,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,timestamp,est_time,est_date
0,2021-03-31,MKL,USD,2021-04-28,2021-04-28 16:35:35,Q1,2921353000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2193301000,42389000.0,0.0,0.0,0.0,0.0,0.24921740029363107,779058000.0,728052000.0,0.24921740029363107,148371000.0,573694000.0,0.19637955426817644,42.09,42.02,13819000.0,13841000.0,https://www.sec.gov/Archives/edgar/data/1096343/000109634321000074/0001096343-21-000074-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000109634321000074/mkl-20210331.htm,1620595045,17:17:25,20210509
1,2020-12-31,MKL,USD,2021-02-19,2021-02-19 16:36:41,Q4,3261114000,0.0,3261114000.0,1.0,0.0,-217556000.0,0.0,8458962.657,2211000000.0,2248050000,44381000.0,262405.0,1535596.608,0.0004708809958805488,1273191.608,0.3106496737004594,882293000.0,1013064000.0,0.3106496737004594,165635000.0,847299000.0,0.25981888397645714,59.44,59.33,13811000.0,13835000.0,https://www.sec.gov/Archives/edgar/data/1096343/000109634321000032/0001096343-21-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000109634321000032/mkl-20201231.htm,1620595045,17:17:25,20210509
2,2020-09-30,MKL,USD,2020-10-27,2020-10-27 16:32:39,Q3,2843675000,0.0,2843675000.0,1.0,0.0,0.0,0.0,2219343.0,2219343.0,2259604000,42744000.0,44664.0,737056.0,0.0002591913632887021,692392.0,0.00024348492707499978,887621000.0,584071000.0,0.20539302135440934,130028000.0,452726000.0,0.15920455044968218,31.07,31.03,13809000.0,13827000.0,https://www.sec.gov/Archives/edgar/data/1096343/000109634320000137/0001096343-20-000137-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000109634320000137/mkl-20200930.htm,1620595045,17:17:25,20210509
3,2020-06-30,MKL,USD,2020-07-28,2020-07-28 16:39:01,Q2,3104908000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1890000000.0,1929535000,45427000.0,0.0,0.0,0.0,0.0,0.37855324537796287,764983000.0,1175373000.0,0.37855324537796287,243702000.0,921768000.0,0.2968744967644774,65.81,65.75,13808000.0,13821000.0,https://www.sec.gov/Archives/edgar/data/1096343/000109634320000118/0001096343-20-000118-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000109634320000118/mkl-20200630.htm,1620595045,17:17:25,20210509
4,2020-03-31,MKL,USD,2020-04-28,2020-04-28 16:43:50,Q1,433946000,0.0,0.0,0.0,0.0,217556000.0,0.0,0.0,2141000000.0,2206005000,45030000.0,0.0,0.0,0.0,0.0,-4.083593350324695,598155000.0,-1772059000.0,-4.083593350324695,-370683000.0,-1405763000.0,-3.2394883234319476,-100.6,-100.6,13815000.0,13815000.0,https://www.sec.gov/Archives/edgar/data/1096343/000109634320000066/0001096343-20-000066-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000109634320000039/mkl1231201910k.htm,1620595045,17:17:25,20210509
5,2019-12-31,MKL,USD,2020-02-21,2020-02-21 16:46:03,Q4,2525699000,0.0,0.0,0.0,0.0,176919000.0,0.0,0.0,1828000000.0,1884689000,42665000.0,0.0,0.0,0.0,0.0,0.2537950880132589,590979000.0,641010000.0,0.2537950880132589,129497000.0,511104000.0,0.20236140569402766,36.34,36.26,13835000.0,13864000.0,https://www.sec.gov/Archives/edgar/data/1096343/000109634320000039/0001096343-20-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000109634320000039/mkl1231201910k.htm,1620595045,17:17:25,20210509
6,2019-09-30,MKL,USD,2019-10-29,2019-10-29 20:50:04,Q3,2086542000,0.0,0.0,0.0,0.0,153358000.0,0.0,0.0,1771000000.0,1824614000,47465000.0,0.0,0.0,0.0,0.0,0.12553210048012453,587500000.0,261928000.0,0.12553210048012453,57975000.0,205637000.0,0.09855397111584621,13.97,13.95,13849000.0,13864000.0,https://www.sec.gov/Archives/edgar/data/1096343/000109634319000217/0001096343-19-000217-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000109634319000217/mkl0930201910-q.htm,1620595045,17:17:25,20210509
7,2019-06-30,MKL,USD,2019-07-30,2019-07-30 16:37:23,Q2,2464131000,0.0,0.0,0.0,0.0,170796000.0,0.0,0.0,1773000000.0,1813937000,41267000.0,0.0,0.0,0.0,0.0,0.2638634066127166,702171000.0,650194000.0,0.2638634066127166,143711000.0,497298000.0,0.20181475741346544,36.1,36.07,13866000.0,13878000.0,https://www.sec.gov/Archives/edgar/data/1096343/000109634319000165/0001096343-19-000165-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000109634319000165/mkl0630201910-q.htm,1620595045,17:17:25,20210509
8,2019-03-31,MKL,USD,2019-04-30,2019-04-30 16:45:56,Q1,2450624000,0.0,0.0,0.0,0.0,174606000.0,0.0,0.0,1678000000.0,1717948000,40290000.0,0.0,0.0,0.0,0.0,0.29897528139771745,542138000.0,732676000.0,0.29897528139771745,155163000.0,576427000.0,0.2352164183489593,42.81,42.76,13895000.0,13911000.0,https://www.sec.gov/Archives/edgar/data/1096343/000109634319000124/0001096343-19-000124-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000109634319000074/mkl_12312018x10k.htm,1620595045,17:17:25,20210509
9,2018-12-31,MKL,USD,2019-02-28,2019-02-28 17:00:48,Q4,1084023000,0.0,0.0,0.0,0.0,80618000.0,0.0,0.0,1975000000.0,2014479000,39490000.0,0.0,0.0,0.0,0.0,-0.8583360316155654,546737000.0,-930456000.0,-0.8583360316155654,-177082000.0,-751543000.0,-0.6932906405122401,-53.88,-53.88,13916000.0,13916000.0,https://www.sec.gov/Archives/edgar/data/1096343/000109634319000074/0001096343-19-000074-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000109634319000074/mkl_12312018x10k.htm,1620595045,17:17:25,20210509
