,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,NAUKRI.NS,INR,2020-12-31,2020-12-31,Q4,2776370000,74970000,2701400000,0.9729971149378505,0.0,0.0,504730000,337810000,2154250000,2229220000,14000000.0,125020000,672170000,0.24210389825563597,547150000,0.19707387704088433,0.0,6970340000,2.510594769429147,179920000,6791720000,2.446258964042977,52.88,52.46,128436460,129464735,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620595520,17:25:20,20210509
1,2020-09-30,NAUKRI.NS,INR,2020-09-30,2020-09-30,Q3,2609120000,67470000,2541650000,0.9741407064450849,0.0,0.0,504050000,289700000,2166650000,2234120000,14850000.0,125610000,500610000,0.19186928926228,375000000,0.14372662046973692,0.0,3424290000,1.3124310112221744,144000000,3280290000,1.2572399889617956,26.05,25.85,125922841,126897099,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620595520,17:25:20,20210509
2,2020-06-30,NAUKRI.NS,INR,2020-06-30,2020-06-30,Q2,2850460000,62740000,2787720000,0.977989517481389,0.0,0.0,258310000,238400000,1874840000,1937580000,15710000.0,127300000,1040180000,0.36491653978656075,912880000,0.3202570813131916,0.0,1228890000,0.43111988942135654,292260000,936630000,0.32858906983434255,7.66,7.6,122275457,123240789,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620595520,17:25:20,20210509
3,2020-03-31,NAUKRI.NS,INR,2020-03-31,2020-03-31,Q1,3275990000,86980000,3189010000,0.9734492474030751,0.0,892140000.0,490040000,-819210000,2303410000,2390390000,5600000.0,57720000,943320000,0.2879495969157415,885600000,0.2703304955143331,0.0,1464440000,0.4470221215571476,273470000,1190970000,0.363545065766379,9.457934641102959,9.457934641102959,125922841,125922841,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620595520,17:25:20,20210509
4,2019-12-31,NAUKRI.NS,INR,2019-12-31,2019-12-31,Q4,3350550000,74130000,3276420000,0.977875274208712,0.0,0.0,503220000,246890000,2407570000,2481700000,22280000.0,126800000,995650000,0.29716016773365567,868850000,0.25931563474653413,0.0,-381620000,-0.11389771828505768,239550000,-598470000,-0.17861843577920042,-4.9,-4.9,122136735,122136735,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620595520,17:25:20,20210509
5,2019-09-30,NAUKRI.NS,INR,2019-09-30,2019-09-30,Q3,3295390000,70180000,3225210000,0.9787035828839682,0.0,0.0,519940000,282210000,2423880000,2494060000,22050000.0,120910000,922240000,0.27985761928026726,801330000,0.243166969615129,0.0,-839280000,-0.2546830572405694,278850000,-1092910000,-0.33164815090171423,-8.95,-8.95,122112849,122112849,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620595520,17:25:20,20210509
6,2019-06-30,NAUKRI.NS,INR,2019-06-30,2019-06-30,Q2,3197010000,61660000,3135350000,0.9807132289232752,0.0,0.0,549670000,295560000,2347300000,2408960000,21310000.0,103500000,891550000,0.2788699441040222,788050000,0.24649594464828073,0.0,-1501160000,-0.469551236937013,407990000,-1875820000,-0.5867419870441444,-15.39,-15.39,121885640,121885640,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620595520,17:25:20,20210509
7,2019-03-31,NAUKRI.NS,INR,2019-03-31,2019-03-31,Q1,3453270000,159100000,3294170000,0.953927726473748,0.0,752120000.0,486940000,-794860000,2725900000,2885000000,170000.0,46840000,615110000,0.1781239231221422,568270000,0.16455996779863724,0.0,4172280000,1.208211347505408,404170000,3882620000,1.1243314307887886,30.833325941240478,30.833325941240478,125922841,125922841,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620595520,17:25:20,20210509
8,2018-12-31,NAUKRI.NS,INR,2018-12-31,2018-12-31,Q4,2810620000,70670000,2739950000,0.974856081576307,0.0,0.0,502970000,295980000,1956880000,2027550000,240000.0,49860000,832930000,0.29635098305711904,783070000,0.2786111249475205,0.0,1078810000,0.3838334602329735,335760000,743050000,0.26437227373319766,6.08478,6.08478,122116159,122116159,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620595520,17:25:20,20210509
9,2018-09-30,NAUKRI.NS,INR,2018-09-30,2018-09-30,Q3,2800070000,56820000,2743250000,0.9797076501658887,0.0,0.0,400050000,280110000,2054900000,2111720000,2130000.0,57000000,745350000,0.2661897738270829,688350000,0.24583313988578856,0.0,-124070000,-0.04430960654555065,283260000,-374680000,-0.13381094044077468,-3.07,-3.07,122045603,122045603,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620595520,17:25:20,20210509
