,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,timestamp,est_time,est_date
0,2020-09-30,PHD.L,GBP,2020-09-30,2020-09-30,Q3,12392750.0,7364250.0,5028500.0,0.40576143309596335,0.0,0.0,0.0,0.0,2840250.0,13281000.0,243500.0,3076500.0,2188250.0,0.17657501361683242,-888250.0,-0.07167497125335377,0.0,-4835000.0,-0.39014746525186095,5000.0,-4754250.0,-0.38363155877428334,-0.05009060929482789,-0.05009060929482789,94913000.0,94913000.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=Proactis+Holdings+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Proactis+Holdings+PLC,1620596540,17:42:20,20210509
1,2020-06-30,PHD.L,GBP,2020-06-30,2020-06-30,Q2,12392750.0,7364250.0,5028500.0,0.40576143309596335,0.0,0.0,0.0,0.0,2840250.0,13281000.0,243500.0,3076500.0,2188250.0,0.17657501361683242,-888250.0,-0.07167497125335377,0.0,-4835000.0,-0.39014746525186095,5000.0,-4754250.0,-0.38363155877428334,-0.05009060929482789,-0.05009060929482789,94913000.0,94913000.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=Proactis+Holdings+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Proactis+Holdings+PLC,1620596540,17:42:20,20210509
2,2020-03-31,PHD.L,GBP,2020-03-31,2020-03-31,Q1,12392750.0,7364250.0,5028500.0,0.40576143309596335,0.0,0.0,0.0,0.0,2840250.0,13281000.0,243500.0,3076500.0,2188250.0,0.17657501361683242,-888250.0,-0.07167497125335377,0.0,-4835000.0,-0.39014746525186095,5000.0,-4754250.0,-0.38363155877428334,-0.05009060929482789,-0.05009060929482789,94913000.0,94913000.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=Proactis+Holdings+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Proactis+Holdings+PLC,1620596540,17:42:20,20210509
3,2020-01-31,PHD.L,GBP,2020-01-31,2020-01-31,Q1,12392750.0,7364250.0,5028500.0,0.40576143309596335,0.0,0.0,0.0,0.0,2840250.0,13281000.0,243500.0,3076500.0,2188250.0,0.17657501361683242,-888250.0,-0.07167497125335377,0.0,-4835000.0,-0.39014746525186095,5000.0,-4754250.0,-0.38363155877428334,-0.05009060929482789,-0.05009060929482789,94913000.0,94913000.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=Proactis+Holdings+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Proactis+Holdings+PLC,1620596540,17:42:20,20210509
4,2019-06-30,PHD.L,GBP,2019-06-30,2019-06-30,Q2,13535000.0,7387750.0,6147250.0,0.4541743627632065,0.0,0.0,0.0,0.0,2807750.0,12881500.0,324750.0,2686000.0,3339500.0,0.24673069818987808,653500.0,0.04828223125230883,0.0,-6455000.0,-0.476911710380495,175750.0,-6630750.0,-0.4898965644625046,-0.0698613467069843,-0.06858166811468289,94913000.0,96684000.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=Proactis+Holdings+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Proactis+Holdings+PLC,1620596540,17:42:20,20210509
5,2019-03-31,PHD.L,GBP,2019-03-31,2019-03-31,Q1,13535000.0,7387750.0,6147250.0,0.4541743627632065,0.0,0.0,0.0,0.0,2807750.0,12881500.0,324750.0,2686000.0,3339500.0,0.24673069818987808,653500.0,0.04828223125230883,0.0,-6455000.0,-0.476911710380495,175750.0,-6630750.0,-0.4898965644625046,-0.0698613467069843,-0.06858166811468289,94913000.0,96684000.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=Proactis+Holdings+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Proactis+Holdings+PLC,1620596540,17:42:20,20210509
6,2019-01-31,PHD.L,GBP,2019-01-31,2019-01-31,Q1,13535000.0,7387750.0,6147250.0,0.4541743627632065,0.0,0.0,0.0,0.0,2807750.0,12881500.0,324750.0,2686000.0,3339500.0,0.24673069818987808,653500.0,0.04828223125230883,0.0,-6455000.0,-0.476911710380495,175750.0,-6630750.0,-0.4898965644625046,-0.0698613467069843,-0.06858166811468289,94913000.0,96684000.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=Proactis+Holdings+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Proactis+Holdings+PLC,1620596540,17:42:20,20210509
7,2018-06-30,PHD.L,GBP,2018-06-30,2018-06-30,Q2,13055250.0,6908250.0,6147000.0,0.47084506233124607,0.0,0.0,0.0,0.0,2833000.0,11840500.0,239000.0,2099250.0,3314000.0,0.2538442389077191,1214750.0,0.09304685854349783,0.0,937250.0,0.07179104191800234,-400500.0,1337750.0,0.1024683556423661,0.0135,0.01325,92893000.0,95136000.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=Proactis+Holdings+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Proactis+Holdings+PLC,1620596540,17:42:20,20210509
8,2018-03-31,PHD.L,GBP,2018-03-31,2018-03-31,Q1,13055250.0,6908250.0,6147000.0,0.47084506233124607,0.0,0.0,0.0,0.0,2833000.0,11840500.0,239000.0,2099250.0,3314000.0,0.2538442389077191,1214750.0,0.09304685854349783,0.0,937250.0,0.07179104191800234,-400500.0,1337750.0,0.1024683556423661,0.0135,0.01325,92893000.0,95136000.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=Proactis+Holdings+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Proactis+Holdings+PLC,1620596540,17:42:20,20210509
9,2018-01-31,PHD.L,GBP,2018-01-31,2018-01-31,Q1,13055250.0,6908250.0,6147000.0,0.47084506233124607,0.0,0.0,0.0,0.0,2833000.0,11840500.0,239000.0,2099250.0,3314000.0,0.2538442389077191,1214750.0,0.09304685854349783,0.0,937250.0,0.07179104191800234,-400500.0,1337750.0,0.1024683556423661,0.0135,0.01325,92893000.0,95136000.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=Proactis+Holdings+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Proactis+Holdings+PLC,1620596540,17:42:20,20210509
