,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,timestamp,est_time,est_date
0,2018-12-31,RXL.PA,EUR,2018-12-31,2018-12-31,Q4,3497000000,2633800000.0,863200000,0.24684014869888476,0.0,175300000.0,0.0,0.0,684200000,3318000000,24500000.0,26200000.0,205200000,0.05867886760080069,179000000,0.05118673148412926,0.0,31700000.0,0.009064912782384901,57700000.0,-27600000.0,-0.007892479267943953,-0.0924742269471251,-0.0924742269471251,298461538,298461538,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=R.X.L#phrase=R.X.L,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=R.X.L#phrase=R.X.L,1620597494,17:58:14,20210509
1,2018-09-30,RXL.PA,EUR,2018-09-30,2018-09-30,Q3,3313000000,2516000000.0,797000000,0.24056746151524297,0.0,659300000.0,659300000.0,-2800000.0,659300000,3175300000,19300000.0,29100000.0,166800000,0.05034711741623906,137700000,0.041563537579233326,0.0,109700000.0,0.033111983096891034,32400000.0,77600000.0,0.023422879565348626,0.26,0.26,298461538,298461538,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=R.X.L#phrase=R.X.L,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=R.X.L#phrase=R.X.L,1620597494,17:58:14,20210509
2,2018-06-30,RXL.PA,EUR,2018-06-30,2018-06-30,Q2,3373600000,2543400000.0,830200000,0.24608726582878823,0.0,672600000.0,672600000.0,-53400000.0,672600000,3216000000,0.0,28400000.0,186000000,0.05513398150343846,157600000,0.04671567465022528,0.0,79100000.0,0.023446763101731088,38900000.0,40000000.0,0.011856770215793217,0.13,0.13,307692308,307692308,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=R.X.L#phrase=R.X.L,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=R.X.L#phrase=R.X.L,1620597494,17:58:14,20210509
3,2018-03-31,RXL.PA,EUR,2018-03-31,2018-03-31,Q1,3178300000,2383000000.0,795300000,0.2502281093666425,0.0,163300000.0,0.0,0.0,668900000,3051900000,25300000.0,24400000.0,150800000,0.04744674826164931,126400000,0.03976968819809332,0.0,88700000.0,0.027908001132680993,28000000.0,60700000.0,0.019098260076141335,0.2007693401733827,0.20044183059198034,302337000,302831000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=R.X.L#phrase=R.X.L,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=R.X.L#phrase=R.X.L,1620597494,17:58:14,20210509
4,2017-12-31,RXL.PA,EUR,2017-12-31,2017-12-31,Q4,3405400000,2567900000.0,837500000,0.24593293005226993,0.0,157300000.0,0.0,0.0,672100000,3240000000,40400000.0,25800000.0,191200000,0.056146120866858516,165400000,0.04856991836494978,0.0,-93800000.0,-0.027544488165854232,-35200000.0,-58800000.0,-0.01726669407411758,-0.19701030958300564,-0.19701030958300564,298461538,298461538,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=R.X.L#phrase=R.X.L,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=R.X.L#phrase=R.X.L,1620597494,17:58:14,20210509
5,2017-09-30,RXL.PA,EUR,2017-09-30,2017-09-30,Q3,3238800000,2453400000.0,785400000,0.24249722119303446,0.0,650200000.0,650200000.0,-6500000.0,650200000,3103600000,0.0,28900000.0,164100000,0.05066691367173027,135200000,0.04174385574904286,0.0,101100000.0,0.031215264912930717,34000000.0,66500000.0,0.020532295912066196,0.22,0.22,302272727,302272727,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=R.X.L#phrase=R.X.L,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=R.X.L#phrase=R.X.L,1620597494,17:58:14,20210509
6,2017-06-30,RXL.PA,EUR,2017-06-30,2017-06-30,Q2,3342800000,2533700000.0,809100000,0.24204259901878664,0.0,666300000.0,666300000.0,-40200000.0,666300000,3200000000,0.0,54000000.0,196800000,0.058872801244465714,142800000,0.04271867895177695,0.0,73100000.0,0.021867895177695346,39400000.0,35000000.0,0.01047026444896494,0.12,0.12,291666667,291666667,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=R.X.L#phrase=R.X.L,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=R.X.L#phrase=R.X.L,1620597494,17:58:14,20210509
7,2017-03-31,RXL.PA,EUR,2017-03-31,2017-03-31,Q1,3323100000,2490800000.0,832300000,0.25045890885017,0.0,692700000.0,692700000.0,0.0,693000000,3183800000,31200000.0,29800000.0,169100000,0.05088622069754145,139300000,0.041918690379464954,0.0,96100000.0,0.028918780656615812,33300000.0,63000000.0,0.018958201679155007,0.20840362820792727,0.2080011093392498,302298000,302883000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=R.X.L#phrase=R.X.L,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=R.X.L#phrase=R.X.L,1620597494,17:58:14,20210509
8,2016-12-31,RXL.PA,EUR,2016-12-31,2016-12-31,Q4,3457700000,2624400000.0,833300000,0.2409983515053359,0.0,160800000.0,0.0,0.0,668200000,3292600000,32800000.0,25600000.0,190700000,0.05515226884923504,165100000,0.047748503340370764,0.0,37700000.0,0.010903201550163404,36700000.0,3400000.0,0.0009833126066460364,0.0113917525949357,0.0113917525949357,298461538,298461538,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=R.X.L#phrase=R.X.L,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=R.X.L#phrase=R.X.L,1620597494,17:58:14,20210509
9,2016-09-30,RXL.PA,EUR,2016-09-30,2016-09-30,Q3,3193900000,2434000000.0,759900000,0.23792228936410031,0.0,639600000.0,639600000.0,-12900000.0,639600000,3073600000,24000000.0,28600000.0,148900000,0.046620119602993206,120300000,0.03766554995460096,0.0,70200000.0,0.021979398227871882,32700000.0,38500000.0,0.012054228372835717,0.13,0.13,296153846,296153846,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=R.X.L#phrase=R.X.L,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=R.X.L#phrase=R.X.L,1620597494,17:58:14,20210509
