,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,timestamp,est_time,est_date
0,2020-09-30,RYD.AX,AUD,2020-09-30,2020-09-30,Q3,489449.5,0.0,0.0,0.0,0.0,10000.0,0.0,4390.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98248.75,0.2007331706335383,-89830.75,188079.5,0.38426742697663396,0.00352038392501727,0.00352038392501727,53425849,53425849,,,1620597506,17:58:26,20210509
1,2020-06-30,RYD.AX,AUD,2020-06-30,2020-06-30,Q2,489449.5,0.0,0.0,0.0,0.0,10000.0,0.0,4390.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98248.75,0.2007331706335383,-89830.75,188079.5,0.38426742697663396,0.00352038392501727,0.00352038392501727,53425849,53425849,,,1620597506,17:58:26,20210509
2,2020-03-31,RYD.AX,AUD,2020-03-31,2020-03-31,Q1,489449.5,0.0,0.0,0.0,0.0,10000.0,0.0,4390.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98248.75,0.2007331706335383,-89830.75,188079.5,0.38426742697663396,0.00352038392501727,0.00352038392501727,53425849,53425849,,,1620597506,17:58:26,20210509
3,2020-01-31,RYD.AX,AUD,2020-01-31,2020-01-31,Q1,489449.5,0.0,0.0,0.0,0.0,10000.0,0.0,4390.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98248.75,0.2007331706335383,-89830.75,188079.5,0.38426742697663396,0.00352038392501727,0.00352038392501727,53425849,53425849,,,1620597506,17:58:26,20210509
4,2019-06-30,RYD.AX,AUD,2019-06-30,2019-06-30,Q2,435101.75,0.0,0.0,0.0,0.0,8411.75,0.0,9081.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91328.0,0.20990032791180455,-50250.5,141578.5,0.3253917043542114,0.00265,0.00265,53425849,53425849,,,1620597506,17:58:26,20210509
5,2019-03-31,RYD.AX,AUD,2019-03-31,2019-03-31,Q1,435101.75,0.0,0.0,0.0,0.0,8411.75,0.0,9081.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91328.0,0.20990032791180455,-50250.5,141578.5,0.3253917043542114,0.00265,0.00265,53425849,53425849,,,1620597506,17:58:26,20210509
6,2019-01-31,RYD.AX,AUD,2019-01-31,2019-01-31,Q1,435101.75,0.0,0.0,0.0,0.0,8411.75,0.0,9081.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91328.0,0.20990032791180455,-50250.5,141578.5,0.3253917043542114,0.00265,0.00265,53425849,53425849,,,1620597506,17:58:26,20210509
7,2018-06-30,RYD.AX,AUD,2018-06-30,2018-06-30,Q2,-549082.25,0.0,0.0,0.0,0.0,7580.75,0.0,283.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-782495.0,1.4250961490742051,-266587.25,-515907.75,0.9395819114531566,-0.014025,-0.014025,36769861,36769861,,,1620597506,17:58:26,20210509
8,2018-03-31,RYD.AX,AUD,2018-03-31,2018-03-31,Q1,-549082.25,0.0,0.0,0.0,0.0,7580.75,0.0,283.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-782495.0,1.4250961490742051,-266587.25,-515907.75,0.9395819114531566,-0.014025,-0.014025,36769861,36769861,,,1620597506,17:58:26,20210509
9,2018-01-31,RYD.AX,AUD,2018-01-31,2018-01-31,Q1,-549082.25,0.0,0.0,0.0,0.0,7580.75,0.0,283.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-782495.0,1.4250961490742051,-266587.25,-515907.75,0.9395819114531566,-0.014025,-0.014025,36769861,36769861,,,1620597506,17:58:26,20210509
10,2017-06-30,RYD.AX,AUD,2017-06-30,2017-06-30,Q2,-77234.75,0.0,0.0,0.0,0.0,7419.25,0.0,1927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-290038.5,3.7552850239043956,-108178.5,-181860.0,2.3546395890450866,-0.00495,-0.00495,36828075,36828075,,,1620597506,17:58:26,20210509
11,2017-03-31,RYD.AX,AUD,2017-03-31,2017-03-31,Q1,-77234.75,0.0,0.0,0.0,0.0,7419.25,0.0,1927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-290038.5,3.7552850239043956,-108178.5,-181860.0,2.3546395890450866,-0.00495,-0.00495,36828075,36828075,,,1620597506,17:58:26,20210509
12,2017-01-31,RYD.AX,AUD,2017-01-31,2017-01-31,Q1,-77234.75,0.0,0.0,0.0,0.0,7419.25,0.0,1927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-290038.5,3.7552850239043956,-108178.5,-181860.0,2.3546395890450866,-0.00495,-0.00495,36828075,36828075,,,1620597506,17:58:26,20210509
13,2016-06-30,RYD.AX,AUD,2016-06-30,2016-06-30,Q2,149357.75,0.0,0.0,0.0,0.0,4184.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20755.0,0.13896165414918207,1615.0,19140.0,0.1281486899742397,0.0007,0.0007,27472071,27472071,,,1620597506,17:58:26,20210509
14,2016-03-31,RYD.AX,AUD,2016-03-31,2016-03-31,Q1,149357.75,0.0,0.0,0.0,0.0,4184.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20755.0,0.13896165414918207,1615.0,19140.0,0.1281486899742397,0.0007,0.0007,27472071,27472071,,,1620597506,17:58:26,20210509
15,2016-01-31,RYD.AX,AUD,2016-01-31,2016-01-31,Q1,149357.75,0.0,0.0,0.0,0.0,4184.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20755.0,0.13896165414918207,1615.0,19140.0,0.1281486899742397,0.0007,0.0007,27472071,27472071,,,1620597506,17:58:26,20210509
