,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,timestamp,est_time,est_date
0,2016-03-31,SQI,USD,2016-05-06 00:00:00,2016-05-06 16:11:16,Q1,26895000.0,8443000.0,18452000.0,0.6860754787135155,7061000.0,-3784000.0,6817000.0,615000.0,17526000.0,25969000,0.0,3144000.0,4070000.0,0.15132924335378323,926000.0,0.03443019148540621,281000.0,1207000.0,0.044878230154303776,149000.0,1058000.0,0.039338166945528906,0.037993320644952776,0.03778841345810415,27847000,27998000,https://www.sec.gov/Archives/edgar/data/1082526/000156459016018270/0001564590-16-018270-index.html,https://www.sec.gov/Archives/edgar/data/1082526/000156459016018270/sqi-10q_20160331.htm,1620598247,18:10:47,20210509
1,2015-12-31,SQI,USD,2016-02-22 00:00:00,2016-02-22 17:10:53,Q4,26655000.0,8128000.0,18527000.0,0.6950665916338398,6690000.0,-3916000.0,6887000.0,639000.0,17187000.0,25315000,0.0,3007000.0,4347000.0,0.163083849184018,1340000.0,0.05027199399737385,236000.0,1576000.0,0.05912586756706059,59000.0,1517000.0,0.0569123991746389,0.054723855560766206,0.0543942056007745,27721000,27889000,https://www.sec.gov/Archives/edgar/data/1082526/000156459016013005/0001564590-16-013005-index.html,https://www.sec.gov/Archives/edgar/data/1082526/000156459016013005/sqi-10k_20151231.htm,1620598247,18:10:47,20210509
2,2015-09-30,SQI,USD,2015-11-06 00:00:00,2015-11-06 16:11:14,Q3,26256000.0,8409000.0,17847000.0,0.6797303473491774,6811000.0,-3503000.0,6308000.0,645000.0,16569000.0,24978000,0.0,2941000.0,4219000.0,0.1606870810481414,1278000.0,0.048674588665447896,-18000.0,1260000.0,0.047989031078610606,1008000.0,252000.0,0.009597806215722121,0.009102730819245773,0.009014487569307816,27684000,27955000,https://www.sec.gov/Archives/edgar/data/1082526/000156459015009926/0001564590-15-009926-index.html,https://www.sec.gov/Archives/edgar/data/1082526/000156459015009926/sqi-10q_20150930.htm,1620598247,18:10:47,20210509
3,2015-06-30,SQI,USD,2015-08-07 00:00:00,2015-08-07 16:13:06,Q2,26501000.0,8702000.0,17799000.0,0.6716350326402777,6730000.0,-3557000.0,6727000.0,734000.0,17361000.0,26063000,0.0,2990000.0,3428000.0,0.12935360929776235,438000.0,0.01652767820082261,116000.0,554000.0,0.02090487151428248,172000.0,382000.0,0.014414550394324743,0.01383306174180699,0.013664818458236451,27615000,27955000,https://www.sec.gov/Archives/edgar/data/1082526/000156459015006669/0001564590-15-006669-index.html,https://www.sec.gov/Archives/edgar/data/1082526/000156459015006669/sqi-10q_20150630.htm,1620598247,18:10:47,20210509
4,2015-03-31,SQI,USD,2015-05-08 00:00:00,2015-05-08 16:06:11,Q1,25941000.0,8328000.0,17613000.0,0.6789638024748468,7072000.0,-3657000.0,7006000.0,735000.0,18162000.0,26490000,0.0,2889000.0,2340000.0,0.09020469527003586,-549000.0,-0.021163409274893026,-38000.0,-587000.0,-0.022628271847654292,-298000.0,-587000.0,-0.022628271847654292,-0.02128,-0.02128,27584000,27584000,https://www.sec.gov/Archives/edgar/data/1082526/000156459015003749/0001564590-15-003749-index.html,https://www.sec.gov/Archives/edgar/data/1082526/000156459015003749/sqi-10q_20150331.htm,1620598247,18:10:47,20210509
5,2014-12-31,SQI,USD,2015-02-23,2015-02-23 16:58:26,Q4,25568000.0,8097000.0,17471000.0,0.6833150813516896,7046000.0,-2954000.0,6208000.0,759000.0,17267000.0,25364000,0.0,2897000.0,3101000.0,0.12128441802252816,204000.0,0.007978723404255319,16000.0,220000.0,0.00860450563204005,148000.0,368000.0,0.014392991239048811,0.01383,0.01383,26609000,26609000,https://www.sec.gov/Archives/edgar/data/1082526/000156459015000831/0001564590-15-000831-index.htm,https://www.sec.gov/Archives/edgar/data/1082526/000156459015000831/sqi-10k_20141231.htm,1620598247,18:10:47,20210509
6,2014-09-30,SQI,USD,2014-11-07 00:00:00,2014-11-07 16:06:48,Q3,25670000.0,7854000.0,17816000.0,0.6940397350993377,7146000.0,-1860000.0,6208000.0,795000.0,18497000.0,26351000,0.0,2834000.0,2153000.0,0.08387222438644332,-681000.0,-0.026529022204908454,87000.0,-594000.0,-0.023139851967276977,321000.0,-430000.0,-0.01675107128944293,-0.01635,-0.01635,26295000,26295000,https://www.sec.gov/Archives/edgar/data/1082526/000156459014005287/0001564590-14-005287-index.html,https://www.sec.gov/Archives/edgar/data/1082526/000156459014005287/sqi-10q_20140930.htm,1620598247,18:10:47,20210509
7,2014-06-30,SQI,USD,2014-08-08 00:00:00,2014-08-08 16:07:54,Q2,25287000.0,7876000.0,17411000.0,0.6885356111836122,7188000.0,-2908000.0,6241000.0,803000.0,17565000.0,25441000,0.0,2635000.0,2481000.0,0.09811365523786926,-154000.0,-0.006090085814845573,50000.0,-104000.0,-0.004112785225609998,-31000.0,-73000.0,-0.0028868588602839404,-0.00284,-0.00284,25675000,25675000,https://www.sec.gov/Archives/edgar/data/1082526/000156459014003412/0001564590-14-003412-index.html,https://www.sec.gov/Archives/edgar/data/1082526/000156459014003412/sqi-10q_20140630.htm,1620598247,18:10:47,20210509
8,2014-03-31,SQI,USD,2014-05-09 00:00:00,2014-05-09 16:21:05,Q1,25407000.0,7670000.0,17737000.0,0.6981146928011965,6927000.0,-3850000.0,6960000.0,797000.0,17794000.0,25464000,0.0,2485000.0,2428000.0,0.09556421458653128,-57000.0,-0.0022434762073444327,-9000.0,-60000.0,-0.0023615539024678237,-126000.0,66000.0,0.002597709292714606,0.0027605822318889075,0.0026939875096942735,23908000,24499000,https://www.sec.gov/Archives/edgar/data/1082526/000156459014002012/0001564590-14-002012-index.html,https://www.sec.gov/Archives/edgar/data/1082526/000156459014002012/sqi-10q_20140331.htm,1620598247,18:10:47,20210509
9,2013-12-31,SQI,USD,2014-02-21,2014-02-21 16:26:58,Q4,25848000.0,7469000.0,18379000.0,0.7110414732281027,7742000.0,-3610000.0,7197000.0,837000.0,19363000.0,26832000,0.0,2503000.0,1519000.0,0.05876663571649644,-984000.0,-0.03806870937790158,21000.0,-963000.0,-0.03725626740947075,257000.0,46000.0,0.0017796347879913338,0.002,0.002,23044000,23044000,https://www.sec.gov/Archives/edgar/data/1082526/000156459014000309/0001564590-14-000309-index.htm,https://www.sec.gov/Archives/edgar/data/1082526/000156459014000309/sqi-10k_20131231.htm,1620598247,18:10:47,20210509
10,2013-09-30,SQI,USD,2013-11-08 00:00:00,2013-11-08 15:24:46,Q3,22513000.0,6759000.0,15754000.0,0.6997734642206725,7132000.0,-2872000.0,6334000.0,602000.0,17530000.0,24289000,0.0,2029000.0,253000.0,0.011237951405854395,-1776000.0,-0.07888775374228224,-13000.0,-1779000.0,-0.07902101008306311,603000.0,-1176000.0,-0.05223648558610581,-0.05157,-0.05157,22803000,22803000,https://www.sec.gov/Archives/edgar/data/1082526/000156459013001132/0001564590-13-001132-index.html,https://www.sec.gov/Archives/edgar/data/1082526/000156459013001132/sqi-10q_20130930.htm,1620598247,18:10:47,20210509
11,2013-06-30,SQI,USD,2013-08-08 00:00:00,2013-08-08 15:00:54,Q2,21205000.0,6569000.0,14636000.0,0.6902145720348974,6851000.0,-2170000.0,5259000.0,489000.0,15688000.0,22257000,0.0,1811000.0,759000.0,0.03579344494223061,-1052000.0,-0.04961094081584532,1000.0,-1051000.0,-0.04956378212685687,531000.0,-1582000.0,-0.07460504597972176,-0.06976,-0.06976,22677000,22677000,https://www.sec.gov/Archives/edgar/data/1082526/000119312513326561/0001193125-13-326561-index.html,https://www.sec.gov/Archives/edgar/data/1082526/000119312513326561/d562326d10q.htm,1620598247,18:10:47,20210509
12,2013-03-31,SQI,USD,2013-05-08 00:00:00,2013-05-08 15:03:38,Q1,20665000.0,6614000.0,14051000.0,0.6799419308008711,6542000.0,-2576000.0,5471000.0,454000.0,15362000.0,21976000,0.0,1620000.0,309000.0,0.014952818775707718,-1311000.0,-0.063440600048391,-26000.0,-1317000.0,-0.06373094604403581,705000.0,-2022000.0,-0.09784660053230099,-0.08961,-0.08961,22564000,22564000,https://www.sec.gov/Archives/edgar/data/1082526/000119312513207183/0001193125-13-207183-index.html,https://www.sec.gov/Archives/edgar/data/1082526/000119312513207183/d509661d10q.htm,1620598247,18:10:47,20210509
13,2012-12-31,SQI,USD,2013-03-08 00:00:00,2013-03-08 13:50:31,Q4,19704000.0,6341000.0,13363000.0,0.6781871701177425,6283000.0,-2807000.0,5719000.0,532000.0,15446000.0,21787000,0.0,1608000.0,-475000.0,-0.024106780349167682,-2083000.0,-0.10571457572066585,-21000.0,-2104000.0,-0.10678034916768168,338000.0,-2442000.0,-0.12393422655298417,-0.10958,-0.10958,22285000,22285000,https://www.sec.gov/Archives/edgar/data/1082526/000119312513098097/0001193125-13-098097-index.html,https://www.sec.gov/Archives/edgar/data/1082526/000119312513098097/d444510d10k.htm,1620598247,18:10:47,20210509
14,2012-09-30,SQI,USD,2012-11-09 00:00:00,2012-11-09 14:18:12,Q3,17173000.0,5343000.0,11830000.0,0.6888720666161998,4734000.0,-1238000.0,4073000.0,318000.0,11960000.0,17303000,0.0,1172000.0,1042000.0,0.060676643568392245,-130000.0,-0.00757002271006813,37000.0,-149000.0,-0.00867641064461655,862000.0,713000.0,0.04151866301752751,0.03206656172700697,0.03144293526195096,22235000,22676000,https://www.sec.gov/Archives/edgar/data/1082526/000119312512462839/0001193125-12-462839-index.html,https://www.sec.gov/Archives/edgar/data/1082526/000119312512462839/d398129d10q.htm,1620598247,18:10:47,20210509
15,2012-06-30,SQI,USD,2012-08-09 00:00:00,2012-08-09 15:10:07,Q2,29588000.0,8586000.0,21002000.0,0.7098147897796404,6171000.0,-2944000.0,8115000.0,418000.0,19875000.0,28461000,0.0,1501000.0,2628000.0,0.08881979180748953,1127000.0,0.03808976612140057,53000.0,1180000.0,0.03988103285115587,627000.0,553000.0,0.01869000946329593,0.024895331562598478,0.02441177768948925,22213000,22653000,https://www.sec.gov/Archives/edgar/data/1082526/000119312512347266/0001193125-12-347266-index.html,https://www.sec.gov/Archives/edgar/data/1082526/000119312512347266/d332280d10q.htm,1620598247,18:10:47,20210509
16,2012-03-31,SQI,USD,2012-05-08,2012-05-08 16:57:17,Q1,14408000.0,4177000.0,10231000.0,0.7100916157690172,3037000.0,-1534000.0,4106000.0,209000.0,9924000.0,14101000,0.0,699000.0,1006000.0,0.0698223209328151,307000.0,0.021307606885063852,15000.0,346000.0,0.024014436424208772,-193000.0,153000.0,0.010619100499722376,0.006887858461261423,0.006754072308303536,22213000,22653000,https://www.sec.gov/Archives/edgar/data/1082526/000119312512218760/0001193125-12-218760-index.htm,https://www.sec.gov/Archives/edgar/data/1082526/000119312512218760/d337843d10q.htm,1620598247,18:10:47,20210509
17,2011-12-31,SQI,USD,2012-02-24 00:00:00,2012-02-24 17:17:03,Q4,14230000.0,3819000.0,10411000.0,0.7316233309908644,2563000.0,-1284000.0,3467000.0,236000.0,8449000.0,12268000,0.0,591000.0,2553000.0,0.17940969782150387,1962000.0,0.13787772312016866,309000.0,2204000.0,0.15488404778636683,-1129000.0,1075000.0,0.07554462403373155,0.048395083959843335,0.04745508321193661,22213000,22653000,https://www.sec.gov/Archives/edgar/data/1082526/000119312512078449/0001193125-12-078449-index.html,https://www.sec.gov/Archives/edgar/data/1082526/000119312512078449/d291454d10k.htm,1620598247,18:10:47,20210509
18,2011-09-30,SQI,USD,2011-11-10 00:00:00,2011-11-10 17:23:41,Q3,13774000.0,3560000.0,10214000.0,0.7415420357194714,3001000.0,-1289000.0,3396000.0,209000.0,8713000.0,12273000,0.0,544000.0,2045000.0,0.1484681283577755,1501000.0,0.1089734281980543,-24000.0,1500000.0,0.10890082764629011,-741000.0,759000.0,0.0551038187890228,0.03416918020978706,0.033505495960799894,22213000,22653000,https://www.sec.gov/Archives/edgar/data/1082526/000095012311097671/0000950123-11-097671-index.html,https://www.sec.gov/Archives/edgar/data/1082526/000095012311097671/c24195e10vq.htm,1620598247,18:10:47,20210509
19,2011-06-30,SQI,USD,2011-08-11 00:00:00,2011-08-11 15:16:28,Q2,12910000.0,3134000.0,9776000.0,0.7572424477149496,2916000.0,-1638000.0,3635000.0,210000.0,8758000.0,11892000,-48200000.0,-7291000.0,-6273000.0,-0.48590240123934936,1018000.0,0.07885360185902401,0.0,49071000.0,3.8010069713400463,8695000.0,159403000.0,12.347250193648335,7.1761130869310765,7.036728027192867,22213000,22653000,https://www.sec.gov/Archives/edgar/data/1082526/000095012311076108/0000950123-11-076108-index.html,https://www.sec.gov/Archives/edgar/data/1082526/000095012311076108/c19446e10vq.htm,1620598247,18:10:47,20210509
20,2011-03-31,SQI,USD,2011-05-11 00:00:00,2011-05-11 12:13:45,Q1,12524000.0,2827000.0,9697000.0,0.7742733950814437,2753000.0,-1668000.0,3784000.0,209000.0,8862000.0,11689000,0.0,491000.0,1326000.0,0.10587671670392845,835000.0,0.06667198977962312,13000.0,871000.0,0.06954647077610987,-447000.0,424000.0,0.03385499840306611,0.020503892838144976,0.019874378925658572,20679000,21334000,https://www.sec.gov/Archives/edgar/data/1082526/000095012311048756/0000950123-11-048756-index.html,https://www.sec.gov/Archives/edgar/data/1082526/000095012311048756/c16910e10vq.htm,1620598247,18:10:47,20210509
21,2010-12-31,SQI,USD,2011-03-09,2011-03-09 17:14:47,Q4,6101000.0,6101000.0,14006000.0,2.2956892312735615,6908000.0,-4496000.0,7213000.0,2286000.0,19124000.0,25225000,-118000.0,293000.0,-4825000.0,-0.7908539583674807,-5118000.0,-0.8388788723160138,118000.0,-5000000.0,-0.8195377806916899,0.0,-5000000.0,-0.8195377806916899,-0.37059,-0.37059,13492000,13492000,https://www.sec.gov/Archives/edgar/data/1082526/000095012311023697/0000950123-11-023697-index.htm,https://www.sec.gov/Archives/edgar/data/1082526/000095012311023697/g26373e10vk.htm,1620598247,18:10:47,20210509
22,2010-09-30,SQI,USD,2010-11-12 00:00:00,2010-11-12 11:37:56,Q3,31459000.0,6776000.0,24683000.0,0.7846085380972059,6092000.0,-4678000.0,8784000.0,6114000.0,25096000.0,31872000,2000.0,-911706000.0,-912119000.0,-28.993896818080678,-413000.0,-0.013128198607711625,1698000.0,1305000.0,0.041482564607902346,-566000.0,1871000.0,0.05947423630757494,0.13138,0.13138,14241000,14241000,https://www.sec.gov/Archives/edgar/data/1082526/000095012310104694/0000950123-10-104694-index.html,https://www.sec.gov/Archives/edgar/data/1082526/000095012310104694/c08262e10vq.htm,1620598247,18:10:47,20210509
23,2004-03-31,SQI,USD,2004-05-13 00:00:00,2004-05-12 19:49:58,Q1,1230915000.0,1972730000.0,-741815000.0,-0.6026533107485083,0.0,259475000.0,1229340000.0,1684646000.0,4402801000.0,6375531000,23552000.0,912506000.0,-2165863000.0,-1.7595552901703204,-3078369000.0,-2.5008786146890727,380289000.0,-3078369000.0,-2.5008786146890727,0.0,-3078369000.0,-2.5008786146890727,-0.82155,-0.82155,3747031000,3747031000,https://www.sec.gov/Archives/edgar/data/1082526/000119312504086498/0001193125-04-086498-index.html,https://www.sec.gov/Archives/edgar/data/1082526/000119312504086498/d10q.htm,1620598247,18:10:47,20210509
24,2003-12-31,SQI,USD,2004-03-25 00:00:00,2004-03-25 15:16:14,Q4,2143702000.0,1991050000.0,152652000.0,0.07120952445815697,0.0,189755000.0,1179486000.0,1331750000.0,3880477000.0,5871527000,18320000.0,946632000.0,946632000.0,0.44158749676960696,0.0,0.0,22331000.0,-3145352000.0,-1.4672524446028412,0.0,-3145352000.0,-1.4672524446028412,-0.82496,-0.82496,3812726000,3812726000,https://www.sec.gov/Archives/edgar/data/1082526/000119312504049219/0001193125-04-049219-index.html,https://www.sec.gov/Archives/edgar/data/1082526/000119312504049219/d10k.htm,1620598247,18:10:47,20210509
25,2003-09-30,SQI,USD,2003-11-12 00:00:00,2003-11-10 17:50:52,Q3,1169079000.0,2338158000.0,-1169079000.0,-1.0,0.0,473361000.0,1003774000.0,1311494000.0,3792403000.0,6130561000,19935000.0,975219000.0,975219000.0,0.8341771599695145,0.0,0.0,-8760000.0,-3390220000.0,-2.8999066786761203,0.0,-3390220000.0,-2.8999066786761203,-0.88384,-0.88384,3835766000,3835766000,https://www.sec.gov/Archives/edgar/data/1082526/000119312503076428/0001193125-03-076428-index.html,https://www.sec.gov/Archives/edgar/data/1082526/000119312503076428/d10q.htm,1620598247,18:10:47,20210509
26,2003-06-30,SQI,USD,2003-08-12 00:00:00,2003-08-12 12:24:55,Q2,1991219000.0,4639802000.0,-2648583000.0,-1.330131442096525,0.0,941355000.0,894823000.0,1843431000.0,4574432000.0,9214234000,26054000.0,1272022000.0,6274187000.0,3.150927647837832,5002165000.0,2.5121119274173256,-5580000.0,-4604362000.0,-2.3123332993508,0.0,-4604362000.0,-2.3123332993508,-1.18691,-1.18691,3879280000,3879280000,https://www.sec.gov/Archives/edgar/data/1082526/000119312503034003/0001193125-03-034003-index.html,https://www.sec.gov/Archives/edgar/data/1082526/000119312503034003/d10q.htm,1620598247,18:10:47,20210509
27,2003-03-31,SQI,USD,2003-05-09 00:00:00,2003-05-08 18:10:20,Q1,1329596000.0,2001828000.0,-672232000.0,-0.5055911720552709,0.0,1074512000.0,1313799000.0,1769699000.0,5471809000.0,7473637000,20137000.0,1996009000.0,-3454333000.0,-2.5980320337907155,-5450342000.0,-4.099246688467775,463000.0,-5450342000.0,-4.099246688467775,0.0,-5450342000.0,-4.099246688467775,-0.18527,-0.18527,29417700000,29417700000,https://www.sec.gov/Archives/edgar/data/1082526/000102140803007273/0001021408-03-007273-index.html,https://www.sec.gov/Archives/edgar/data/1082526/000102140803007273/d10q.htm,1620598247,18:10:47,20210509
28,2002-12-31,SQI,USD,2003-03-17 00:00:00,2003-03-17 16:41:05,Q4,1860046000.0,3720092000.0,-1860046000.0,-1.0,0.0,1306800000.0,1517437000.0,4490159000.0,8831833000.0,12551925000,44964000.0,2215642000.0,-6592409000.0,-3.5442182612688073,-8808051000.0,-4.735394178423545,-13496000.0,-8808051000.0,-4.735394178423545,0.0,-8808051000.0,-4.735394178423545,-0.29917,-0.29917,29441318000,29441318000,https://www.sec.gov/Archives/edgar/data/1082526/000095016803000752/0000950168-03-000752-index.html,https://www.sec.gov/Archives/edgar/data/1082526/000095016803000752/d10k.htm,1620598247,18:10:47,20210509
29,2002-09-30,SQI,USD,2002-11-04 00:00:00,2002-11-04 16:50:41,Q3,1828090000.0,3872904000.0,-2044814000.0,-1.1185521500582576,0.0,-1305485000.0,1529971000.0,3890449000.0,5644906000.0,9517810000,26597000.0,2102713000.0,-3614877000.0,-1.977406473423081,-5717590000.0,-3.12763047771171,-9957000.0,-5717590000.0,-3.12763047771171,0.0,-5717590000.0,-3.12763047771171,-0.19488,-0.19488,29338345000,29338345000,https://www.sec.gov/Archives/edgar/data/1082526/000102140802013195/0001021408-02-013195-index.html,https://www.sec.gov/Archives/edgar/data/1082526/000102140802013195/d10q.htm,1620598247,18:10:47,20210509
