,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,timestamp,est_time,est_date
0,2016-09-30,TLOG,USD,2016-11-03 00:00:00,2016-11-03 17:26:53,Q3,0.0,0.0,0.0,0.0,-38260.0,1471190.0,0.0,12552909.0,3760935.0,9224000.0,1758926.0,9289.999999999993,-9214710.0,0.0,-9224000.0,0.0,0.0,-10951520.0,0.0,-2317000.0,-8634520.0,0.0,-0.3486,-0.3486,24769080,24769080,https://www.sec.gov/Archives/edgar/data/1361248/000155837016009260/0001558370-16-009260-index.html,https://www.sec.gov/Archives/edgar/data/1361248/000155837016009260/tlog-20160930x10q.htm,1620598864,18:21:04,20210509
1,2016-06-30,TLOG,USD,2016-08-11,2016-08-11 13:22:32,Q2,0.0,0.0,0.0,0.0,1498560.0,2382150.0,0.0,1136871.0,3880708.0,5017580.0,1717707.0,21380.00000000001,-4996200.0,0.0,-5017580.0,0.0,0.0,-6746600.0,0.0,0.0,-6746600.0,0.0,-0.27238,-0.27238,24769080,24769080,https://www.sec.gov/Archives/edgar/data/1361248/000155837016007907/tlog-20160630x10q.htm,https://www.sec.gov/Archives/edgar/data/1361248/000155837016007907/tlog-20160630x10q.htm,1620598864,18:21:04,20210509
2,2016-03-31,TLOG,USD,2016-05-04 00:00:00,2016-05-04 13:30:14,Q1,0.0,0.0,0.0,0.0,3301540.0,2972140.0,0.0,3067024.0,6273674.0,9340700.0,1678621.0,73360.0,-9267340.0,0.0,-9340700.0,0.0,0.0,-11065270.0,0.0,0.0,-11065270.0,0.0,-0.44674,-0.44674,24769080,24769080,https://www.sec.gov/Archives/edgar/data/1361248/000155837016005275/0001558370-16-005275-index.html,https://www.sec.gov/Archives/edgar/data/1361248/000155837016005275/tlog-20160331x10q.htm,1620598864,18:21:04,20210509
3,2015-12-31,TLOG,USD,2016-03-16 00:00:00,2016-03-16 15:28:40,Q4,0.0,0.0,0.0,0.0,7149250.0,2555940.0,0.0,3238780.0,9705196.0,12943980.0,1641554.0,48299.99999999998,-12895680.0,0.0,-12943980.0,0.0,0.0,-14272070.0,0.0,0.0,-14272070.0,0.0,-0.57593,-0.57593,24780920,24780920,https://www.sec.gov/Archives/edgar/data/1361248/000155837016004186/0001558370-16-004186-index.html,https://www.sec.gov/Archives/edgar/data/1361248/000155837016004186/tlog-20151231x10k.htm,1620598864,18:21:04,20210509
4,2015-09-30,TLOG,USD,2015-11-04 00:00:00,2015-11-04 13:02:41,Q3,0.0,0.0,0.0,0.0,6096420.0,2523100.0,0.0,1123000.0,8619528.0,9742530.0,1606402.0,49690.00000000001,-9692840.0,0.0,-9742530.0,0.0,0.0,-10895960.0,0.0,0.0,-10895960.0,0.0,-0.45722,-0.45722,23830980,23830980,https://www.sec.gov/Archives/edgar/data/1361248/000155837015002226/0001558370-15-002226-index.html,https://www.sec.gov/Archives/edgar/data/1361248/000155837015002226/tlog-20150930x10q.htm,1620598864,18:21:04,20210509
5,2015-06-30,TLOG,USD,2015-08-05 00:00:00,2015-08-05 13:34:22,Q2,0.0,0.0,0.0,0.0,7710000.0,2880000.0,0.0,1081000.0,10593480.0,11670000.0,1573070.0,49999.99999999999,-11620000.0,0.0,-11670000.0,0.0,0.0,-11870000.0,0.0,0.0,-11870000.0,0.0,-0.50879,-0.50879,23330000,23330000,https://www.sec.gov/Archives/edgar/data/1361248/000155837015001403/0001558370-15-001403-index.html,https://www.sec.gov/Archives/edgar/data/1361248/000155837015001403/tlog-20150630x10q.htm,1620598864,18:21:04,20210509
6,2015-03-31,TLOG,USD,2015-05-14 00:00:00,2015-05-14 13:38:57,Q1,0.0,0.0,0.0,0.0,6450000.0,3140000.0,0.0,1048000.0,9582042.0,10630000.0,1563259.0,40000.0,-10590000.0,0.0,-10630000.0,0.0,-820000.0,-12680000.0,0.0,0.0,-12680000.0,0.0,-0.5559,-0.5559,22810000,22810000,https://www.sec.gov/Archives/edgar/data/1361248/000155837015000933/0001558370-15-000933-index.html,https://www.sec.gov/Archives/edgar/data/1361248/000155837015000933/tlog-20150331x10q.htm,1620598864,18:21:04,20210509
7,2014-12-31,TLOG,USD,2015-02-26,2015-02-26 11:43:15,Q4,0.0,0.0,0.0,0.0,6330000.0,2790000.0,0.0,670000.0,9121749.0,9790000.0,1624668.0,50000.0,-9740000.0,0.0,-9790000.0,0.0,0.0,-11940000.0,0.0,0.0,-11940000.0,0.0,-0.53495,-0.53495,22320000,22320000,https://www.sec.gov/Archives/edgar/data/1361248/000155837015000186/tlog-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1361248/000155837015000186/tlog-20141231x10k.htm,1620598864,18:21:04,20210509
8,2014-09-30,TLOG,USD,2014-11-05 00:00:00,2014-11-05 12:38:47,Q3,0.0,0.0,0.0,0.0,5970000.0,2620000.0,0.0,984000.0,8591719.0,9580000.0,1595275.0,30000.0,-9550000.0,0.0,-9580000.0,0.0,0.0,-9330000.0,0.0,0.0,-9330000.0,0.0,-0.4182,-0.4182,22310000,22310000,https://www.sec.gov/Archives/edgar/data/1361248/000155837014000305/0001558370-14-000305-index.html,https://www.sec.gov/Archives/edgar/data/1361248/000155837014000305/tlog-20140930x10q.htm,1620598864,18:21:04,20210509
9,2014-06-30,TLOG,USD,2014-08-05 00:00:00,2014-08-05 14:33:22,Q2,0.0,0.0,0.0,1.0,4860000.0,3000000.0,0.0,918000.0,7869101.0,8790000.0,139446.0,30000.000000000004,-8760000.0,-9.57197006862745,-8790000.0,-9.572005446623093,0.0,-9350000.0,-10.190019607843137,0.0,-9350000.0,-10.190019607843137,-0.41947,-0.41947,22290000,22290000,https://www.sec.gov/Archives/edgar/data/1361248/000110465914056869/0001104659-14-056869-index.html,https://www.sec.gov/Archives/edgar/data/1361248/000110465914056869/a14-13843_110q.htm,1620598864,18:21:04,20210509
