,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,timestamp,est_time,est_date
0,2021-03-31,UNM,USD,2021-05-06,2021-05-06 12:51:22,Q1,3072000000,0.0,3072000.0,0.001,0.0,0.0,0.0,245000.0,0.0,0.0,-44000000.0,29000000.0,29198000.0,0.009504557291666667,198000.0,0.064453125,60000000.0,198000000.0,0.064453125,45000000.0,153000000.0,0.0498046875,0.7514734774066798,0.7511045655375552,203600000,203700000,https://www.sec.gov/Archives/edgar/data/5513/000000551321000090/0000005513-21-000090-index.htm,https://www.sec.gov/Archives/edgar/data/5513/000000551321000090/unm-20210331.htm,1620599303,18:28:23,20210509
1,2020-12-31,UNM,USD,2021-02-17,2021-02-17,Q4,7265100000,0.0,13162000.0,0.001811674994150115,0.0,-472700000.0,0.0,996000.0,-5353000000.0,-5357200000.0,-281200000.0,57200000.0,58164000.0,0.008005946236115126,964000.0,0.1326891577541947,115500000.0,424300000.0,0.058402499621478025,57800000.0,366500000.0,0.050446655930407015,1.800098231827112,1.799214531173294,203600000,203700000,https://www.sec.gov/Archives/edgar/data/5513/000000551321000015/0000005513-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/5513/000000551321000015/unm-20201231.htm,1620599303,18:28:23,20210509
2,2020-06-30,UNM,USD,2020-07-29 00:00:00,2020-07-29 13:14:10,Q2,3023200000,0.0,0.0,0.0,0.0,233200000.0,0.0,0.0,2684000000.0,2685600000.0,47500000.0,27300000.0,0.0,0.0,0.0,0.11166975390314898,49700000.0,337600000.0,0.11166975390314898,72100000.0,265500000.0,0.08782085207726911,1.3040275049115913,1.3033873343151694,203600000,203700000,https://www.sec.gov/Archives/edgar/data/5513/000000551320000111/0000005513-20-000111-index.htm,https://www.sec.gov/Archives/edgar/data/5513/000000551320000111/unm-20200630.htm,1620599303,18:28:23,20210509
3,2020-03-31,UNM,USD,2020-05-05 00:00:00,2020-05-05 16:13:44,Q1,2873700000,0.0,0.0,0.0,0.0,239500000.0,0.0,0.0,2669000000.0,2671600000.0,45700000.0,28500000.0,0.0,0.0,0.0,0.07032745241326513,58800000.0,202100000.0,0.07032745241326513,41100000.0,161000000.0,0.05602533319413996,0.7919331037875061,0.7915437561455261,203300000,203400000,https://www.sec.gov/Archives/edgar/data/5513/000000551320000076/0000005513-20-000076-index.html,https://www.sec.gov/Archives/edgar/data/5513/000000551320000076/unm-20200331.htm,1620599303,18:28:23,20210509
4,2019-12-31,UNM,USD,2020-02-18 00:00:00,2020-02-18 16:33:40,Q4,3034600000,0.0,0.0,0.0,0.0,221400000.0,0.0,0.0,2657000000.0,2657200000.0,46600000.0,27500000.0,0.0,0.0,0.0,0.12436564950899624,56500000.0,377400000.0,0.12436564950899624,81200000.0,296200000.0,0.09760759243392869,1.4406614785992218,1.4399611084103063,205600000,205700000,https://www.sec.gov/Archives/edgar/data/5513/000000551320000027/0000005513-20-000027-index.html,https://www.sec.gov/Archives/edgar/data/5513/000000551320000027/unm-20191231.htm,1620599303,18:28:23,20210509
5,2019-09-30,UNM,USD,2019-10-30 00:00:00,2019-10-30 12:52:23,Q3,2960000000,0.0,0.0,0.0,0.0,226500000.0,0.0,0.0,2661000000.0,2660600000.0,46100000.0,27700000.0,0.0,0.0,0.0,0.10114864864864864,55600000.0,299400000.0,0.10114864864864864,57400000.0,242000000.0,0.08175675675675675,1.1629147448939874,1.162813046570182,208097800,208116000,https://www.sec.gov/Archives/edgar/data/5513/000000551319000133/0000005513-19-000133-index.html,https://www.sec.gov/Archives/edgar/data/5513/000000551319000133/unm09302019-10xq.htm,1620599303,18:28:23,20210509
6,2019-06-30,UNM,USD,2019-07-31 00:00:00,2019-07-31 11:52:35,Q2,3016700000,0.0,0.0,0.0,0.0,223900000.0,0.0,0.0,2665000000.0,2664700000.0,42600000.0,27500000.0,0.0,0.0,0.0,0.11668379354924255,56000000.0,352000000.0,0.11668379354924255,70800000.0,281200000.0,0.09321443961945172,1.33,1.33,211100000,211100000,https://www.sec.gov/Archives/edgar/data/5513/000000551319000122/0000005513-19-000122-index.html,https://www.sec.gov/Archives/edgar/data/5513/000000551319000122/unm06302019-10xq.htm,1620599303,18:28:23,20210509
7,2019-03-31,UNM,USD,2019-05-01 00:00:00,2019-05-01 11:37:04,Q1,2987600000,0.0,0.0,0.0,0.0,226500000.0,0.0,0.0,2634000000.0,2634300000.0,42100000.0,27400000.0,0.0,0.0,0.0,0.11825545588432186,53100000.0,353300000.0,0.11825545588432186,72400000.0,280900000.0,0.09402195742401928,1.3107792813812413,1.3101679104477613,214300000,214400000,https://www.sec.gov/Archives/edgar/data/5513/000000551319000074/0000005513-19-000074-index.html,https://www.sec.gov/Archives/edgar/data/5513/000000551319000074/unm03312019-10xq.htm,1620599303,18:28:23,20210509
8,2018-12-31,UNM,USD,2019-02-19 00:00:00,2019-02-19 16:37:08,Q4,2880800000,0.0,0.0,0.0,0.0,219800000.0,0.0,0.0,2571000000.0,2571100000.0,42000000.0,26500000.0,0.0,0.0,0.0,0.10750485976117745,50300000.0,309700000.0,0.10750485976117745,60600000.0,249100000.0,0.08646903637878367,1.147926267281106,1.1458141674333027,217000000,217400000,https://www.sec.gov/Archives/edgar/data/5513/000000551319000004/0000005513-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/5513/000000551319000004/unm12312018-10xk.htm,1620599303,18:28:23,20210509
9,2018-09-30,UNM,USD,2018-10-25 00:00:00,2018-10-25 11:38:38,Q3,2927800000,0.0,0.0,0.0,0.0,224200000.0,0.0,0.0,3306000000.0,3305600000.0,42700000.0,25400000.0,0.0,0.0,0.0,-0.12903886877518955,50100000.0,-377800000.0,-0.12903886877518955,-93100000.0,-284700000.0,-0.09724024865086413,-1.3,-1.3,218900000,218900000,https://www.sec.gov/Archives/edgar/data/5513/000000551318000094/0000005513-18-000094-index.html,https://www.sec.gov/Archives/edgar/data/5513/000000551318000094/unm09302018-10xq.htm,1620599303,18:28:23,20210509
