,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,VCEL,USD,2021-02-24,2021-02-24 16:48:01,Q4,45229000.0,11582000.0,33647000.0,0.7439253576245329,3118000.0,18240000.0,0.0,-5.0,21358000.0,32940000.0,1000.0,-2578000.0,9711000.0,0.21470737800968406,12289000.0,0.2717062061951403,680.0,12400000.0,0.27416038382453733,0.0,12220000.0,0.27018063631740696,0.26992401484361195,0.25827450648856576,45272000.0,47314000.0,https://www.sec.gov/Archives/edgar/data/887359/000162828021003081/0001628280-21-003081-index.htm,https://www.sec.gov/Archives/edgar/data/887359/000162828021003081/vcel-20201231.htm,1620599442,18:30:42,20210509
1,2020-09-30,VCEL,USD,2020-11-05,2020-11-05 15:11:07,Q3,32258000.0,9787000.0,22471000.0,0.6966023932047865,2913000.0,16041000.0,0.0,-18000.0,18954000.0,28741000.0,2000.0,2279000.0,5796000.0,0.1796763593527187,3517000.0,0.1090272180544361,-18000.0,3618000.0,0.11215822431644863,0.0,3618000.0,0.11215822431644863,0.0799169464569712,0.07646785306674557,45272000.0,47314000.0,https://www.sec.gov/Archives/edgar/data/887359/000162828020015697/0001628280-20-015697-index.htm,https://www.sec.gov/Archives/edgar/data/887359/000162828020015697/vcel-20200930.htm,1620599442,18:30:42,20210509
2,2020-06-30,VCEL,USD,2020-08-05,2020-08-05 13:46:11,Q2,20014000.0,8660000.0,11354000.0,0.5673028879784151,3226000.0,16486000.0,0.0,-57000.0,19712000.0,28372000.0,1000.0,1355000.0,-7003000.0,-0.34990506645348257,-8358000.0,-0.41760767462776055,-57000.0,-8269000.0,-0.41316078744878587,0.0,-8269000.0,-0.41316078744878587,-0.18,-0.18,45137000.0,45137000.0,https://www.sec.gov/Archives/edgar/data/887359/000162828020011753/0001628280-20-011753-index.htm,https://www.sec.gov/Archives/edgar/data/887359/000162828020011753/vcel-20200630.htm,1620599442,18:30:42,20210509
3,2020-03-31,VCEL,USD,2020-05-11 00:00:00,2020-05-11 16:36:39,Q1,26678000.0,9922000.0,16756000.0,0.6280830646975035,3763000.0,18069000.0,0.0,67000.0,21832000.0,31754000.0,2000.0,1327000.0,-3749000.0,-0.14052777569532948,-5076000.0,-0.1902691356173626,67000.0,-4705000.0,-0.17636254591798486,0.0,-4705000.0,-0.17636254591798486,-0.1,-0.1,44924000.0,44924000.0,https://www.sec.gov/Archives/edgar/data/887359/000162828020007473/0001628280-20-007473-index.htm,https://www.sec.gov/Archives/edgar/data/887359/000162828020007473/vcel03-31x202010q.htm,1620599442,18:30:42,20210509
4,2019-12-31,VCEL,USD,2020-02-25 00:00:00,2020-02-25 17:23:32,Q4,39390000.0,10585000.0,28805000.0,0.7312769738512312,3217000.0,16378000.0,0.0,-28000.0,19595000.0,30180000.0,2000.0,570000.0,9780000.0,0.24828636709824828,9210000.0,0.2338156892612338,-28000.0,9501000.0,0.2412033511043412,0.0,9501000.0,0.2412033511043412,0.21,0.2,44775000.0,46803000.0,https://www.sec.gov/Archives/edgar/data/887359/000162828020002229/0001628280-20-002229-index.html,https://www.sec.gov/Archives/edgar/data/887359/000162828020002229/vcel12-31x201910k.htm,1620599442,18:30:42,20210509
5,2019-09-30,VCEL,USD,2019-11-05 00:00:00,2019-11-05 15:22:23,Q3,30499000.0,9324000.0,21175000.0,0.694285058526509,3096000.0,14982000.0,0.0,-10000.0,18078000.0,27402000.0,2000.0,476000.0,3573000.0,0.11715138201252501,3097000.0,0.10154431292829273,-10000.0,3470000.0,0.11377422210564281,0.0,3470000.0,0.11377422210564281,0.08,0.07,44251000.0,46667000.0,https://www.sec.gov/Archives/edgar/data/887359/000162828019013312/0001628280-19-013312-index.html,https://www.sec.gov/Archives/edgar/data/887359/000162828019013312/vericel9301910q.htm,1620599442,18:30:42,20210509
6,2019-06-30,VCEL,USD,2019-08-06,2019-08-06 13:58:36,Q2,26151000.0,9022000.0,17129000.0,0.6550036327482697,21070000.0,16259000.0,0.0,-18000.0,37329000.0,46351000.0,2000.0,-13000.0,-20213000.0,-0.7729341134182249,-20200000.0,-0.772437000497113,-18000.0,-19792000.0,-0.7568353026652901,0.0,-19792000.0,-0.7568353026652901,-0.45,-0.45,43956000.0,43956000.0,https://www.sec.gov/Archives/edgar/data/887359/000162828019010077/vericel6301910q.htm,https://www.sec.gov/Archives/edgar/data/887359/000162828019010077/vericel6301910q.htm,1620599442,18:30:42,20210509
7,2019-03-31,VCEL,USD,2019-05-07 00:00:00,2019-05-07 17:04:31,Q1,21810000.0,8640000.0,13170000.0,0.6038514442916093,3008000.0,13520000.0,0.0,36000.0,16528000.0,25168000.0,2000.0,711000.0,-2647000.0,-0.12136634571297569,-3358000.0,-0.15396607060981202,36000.0,-2844000.0,-0.13039889958734527,0.0,-2844000.0,-0.13039889958734527,-0.07,-0.07,43725000.0,43725000.0,https://www.sec.gov/Archives/edgar/data/887359/000162828019006102/0001628280-19-006102-index.html,https://www.sec.gov/Archives/edgar/data/887359/000162828019006102/vericel3311910q.htm,1620599442,18:30:42,20210509
8,2018-12-31,VCEL,USD,2019-02-26 00:00:00,2019-02-26 17:25:16,Q4,31335000.0,8629000.0,22706000.0,0.7246210307962342,3018000.0,13693000.0,0.0,-79000.0,16711000.0,25340000.0,392000.0,293000.0,6288000.0,0.2006701771182384,5995000.0,0.1913196106590075,-868000.0,5242000.0,0.16728897399074516,0.0,5242000.0,0.16728897399074516,0.12,0.11,43445000.0,46153000.0,https://www.sec.gov/Archives/edgar/data/887359/000162828019002007/0001628280-19-002007-index.html,https://www.sec.gov/Archives/edgar/data/887359/000162828019002007/vcel12-31x201810k.htm,1620599442,18:30:42,20210509
9,2018-09-30,VCEL,USD,2018-11-06 00:00:00,2018-11-06 16:09:42,Q3,22484000.0,8138000.0,14346000.0,0.638053727094823,3113000.0,12569000.0,0.0,0.0,15682000.0,23820000.0,460000.0,320000.0,-1016000.0,-0.045187689023305465,-1336000.0,-0.05942003202277175,420000.0,-1069000.0,-0.04754492083259206,0.0,-1069000.0,-0.04754492083259206,-0.02,-0.02,42925000.0,42925000.0,https://www.sec.gov/Archives/edgar/data/887359/000162828018013767/0001628280-18-013767-index.html,https://www.sec.gov/Archives/edgar/data/887359/000162828018013767/vericel9301810q.htm,1620599442,18:30:42,20210509
