,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,VGCX.TO,CAD,2020-12-31,2020-12-31,Q4,98221599,55061828,43159771,0.4394122213384044,0,3068395,288264,0,3472160,58533988,4748693,14162019,53849630,0.5482463180018073,39687611,0.4040619517912756,24262362,56638810,0.5766431271394797,1787673,54851137,0.5584427209335088,0.8871013623378791,0.8871013623378791,61831871,61831871,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=VICTORIA GOLD CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=VICTORIA GOLD CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620599486,18:31:26,20210509
1,2020-09-30,VGCX.TO,CAD,2020-09-30,2020-09-30,Q3,80526228,47370791,33155437,0.41173463383880343,0,1357269,134524,0,1607476,48978267,5226976,13025508,44573469,0.5535273426690246,31547961,0.3917724918147166,-3091246,22944771,0.28493537534131114,2672327,20272444,0.2517495790315672,0.328,0.312,61831871,65075978,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=VICTORIA GOLD CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=VICTORIA GOLD CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620599486,18:31:26,20210509
2,2020-06-30,VGCX.TO,CAD,2020-06-30,2020-06-30,Q2,0,29074,-29074,0.0,0,1865738,244034,0,2109772,2138846,96581,29074,-2109772,0.0,-2138846,0.0,-10756358,-12939763,0.0,-74174,-12865589,0.0,-0.214,-0.214,60257495,60257495,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=VICTORIA GOLD CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=VICTORIA GOLD CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620599486,18:31:26,20210509
3,2020-03-31,VGCX.TO,CAD,2020-03-31,2020-03-31,Q1,0,29074,-29074,0.0,0,2214163,193551,6721000,2407714,2436788,122227,29074,-2407714,0.0,-2436788,0.0,-41670078,-44136573,0.0,3229510,-47366083,0.0,-0.819,-0.819,57853469,57853469,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=VICTORIA GOLD CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=VICTORIA GOLD CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620599486,18:31:26,20210509
4,2019-08-31,VGCX.TO,CAD,2019-08-31,2019-08-31,Q3,0,29501,-29501,0.0,0,1528777,271805,0,1800582,1830083,98271,29501,-1800582,0.0,-1830083,0.0,-20530788,-22207524,0.0,-743882,-21463642,0.0,-0.374998,-0.374998,57226581,57226581,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=VICTORIA GOLD CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=VICTORIA GOLD CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620599486,18:31:26,20210509
5,2019-05-31,VGCX.TO,CAD,2019-05-31,2019-05-31,Q2,0,29500,-29500,0.0,0,1496749,274849,0,1771598,1801098,59102,29500,-1771598,0.0,-1801098,0.0,-1176236,-2844651,0.0,-4338606,1493955,0.0,0.03,0.03,55538054,55538054,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=VICTORIA GOLD CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=VICTORIA GOLD CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620599486,18:31:26,20210509
6,2019-02-28,VGCX.TO,CAD,2019-02-28,2019-02-28,Q1,0,1674,-1674,0.0,0,1673572,300667,0,1974239,1975913,28530,1674,-1974239,0.0,-1975913,0.0,-5324011,-7075772,0.0,3036783,-10112555,0.0,-0.194,-0.194,52229218,52229218,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=VICTORIA GOLD CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=VICTORIA GOLD CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620599486,18:31:26,20210509
7,2018-11-30,VGCX.TO,CAD,2018-11-30,2018-11-30,Q4,0,1675,-1675,0.0,0,1085074,292248,0,1377322,1378997,61648,1675,-1377322,0.0,-1378997,0.0,-2408578,-3513164,0.0,-224558,-3288606,0.0,-0.06,-0.06,51822270,51822270,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=VICTORIA GOLD CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=VICTORIA GOLD CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620599486,18:31:26,20210509
8,2018-08-31,VGCX.TO,CAD,2018-08-31,2018-08-31,Q3,0,1193,-1193,0.0,0,1302374,82991,0,1385365,1386558,36354,1193,-1385365,0.0,-1386558,0.0,6733031,5683715,0.0,0,5683715,0.0,0.10976922258500285,0.10802895937103466,51778767,52612883,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=VICTORIA GOLD CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=VICTORIA GOLD CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620599486,18:31:26,20210509
9,2018-05-31,VGCX.TO,CAD,2018-05-31,2018-05-31,Q2,0,952,-952,0.0,0,3349073,135757,0,3484830,3485782,23026,952,-3484830,0.0,-3485782,0.0,-1061098,-4258619,0.0,0,-4258619,0.0,-0.104999,-0.104999,43405699,43405699,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=VICTORIA GOLD CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=VICTORIA GOLD CORP&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620599486,18:31:26,20210509
