,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,timestamp,est_time,est_date
0,2020-06-30,WAYN,USD,2020-06-30,2020-06-30,Q2,5885000.0,784000.0,5101000.0,0.8667799490229396,0.0,3102000.0,0.0,0.0,3886000.0,0.0,784000.0,0.0,2783000.0,0.0,1999000.0,0.3396771452846219,0.0,1999000.0,0.3396771452846219,348000.0,1651000.0,0.28054375531011044,0.64,0.64,2579690.0,2579690.0,,,1620599728,18:35:28,20210509
1,2020-03-31,WAYN,USD,2020-03-31,2020-03-31,Q1,5606000.0,883000.0,4723000.0,0.8424901890831252,0.0,3104000.0,0.0,0.0,3987000.0,0.0,883000.0,0.0,2502000.0,0.0,1619000.0,0.2887977167320728,0.0,1619000.0,0.2887977167320728,302000.0,1317000.0,0.2349268640742062,0.51,0.51,2582350.0,2582350.0,,,1620599728,18:35:28,20210509
2,2019-12-31,WAYN,USD,2019-12-31,2019-12-31,Q4,5864000.0,956000.0,4908000.0,0.8369713506139154,0.0,2790000.0,0.0,0.0,3746000.0,0.0,956000.0,0.0,3074000.0,0.0,2118000.0,0.3611869031377899,0.0,2118000.0,0.3611869031377899,389000.0,1729000.0,0.294849931787176,0.66,0.66,2619700.0,2619700.0,,,1620599728,18:35:28,20210509
3,2019-09-30,WAYN,USD,2019-09-30,2019-09-30,Q3,5751000.0,956000.0,4795000.0,0.8337680403408103,0.0,2848000.0,0.0,0.0,3804000.0,0.0,956000.0,0.0,2903000.0,0.0,1947000.0,0.33854981742305684,0.0,1947000.0,0.33854981742305684,364000.0,1583000.0,0.2752564771344114,0.6,0.6,2638330.0,2638330.0,,,1620599728,18:35:28,20210509
4,2019-06-30,WAYN,USD,2019-06-30,2019-06-30,Q2,5644000.0,899000.0,4745000.0,0.8407158043940468,0.0,2828000.0,0.0,0.0,3727000.0,0.0,899000.0,0.0,2816000.0,0.0,1917000.0,0.339652728561304,0.0,1917000.0,0.339652728561304,345000.0,1572000.0,0.27852586817859676,0.59,0.59,2664410.0,2664410.0,,,1620599728,18:35:28,20210509
5,2019-03-31,WAYN,USD,2019-03-31,2019-03-31,Q1,5389000.0,815000.0,4574000.0,0.8487660048246428,0.0,2643000.0,0.0,0.0,3458000.0,0.0,815000.0,0.0,2746000.0,0.0,1931000.0,0.35832250881425126,0.0,1931000.0,0.35832250881425126,364000.0,1567000.0,0.2907775097420672,0.58,0.58,2701720.0,2701720.0,,,1620599728,18:35:28,20210509
6,2018-12-31,WAYN,USD,2018-12-31,2018-12-31,Q4,5261000.0,734000.0,4527000.0,0.8604827979471583,0.0,2610000.0,0.0,0.0,3344000.0,0.0,734000.0,0.0,2651000.0,0.0,1917000.0,0.3643793955521764,0.0,1917000.0,0.3643793955521764,356000.0,1561000.0,0.2967116517772287,0.58,0.58,2691380.0,2691380.0,,,1620599728,18:35:28,20210509
7,2018-09-30,WAYN,USD,2018-09-30,2018-09-30,Q3,5200000.0,640000.0,4560000.0,0.8769230769230769,0.0,2830000.0,0.0,0.0,3470000.0,0.0,640000.0,0.0,2380000.0,0.0,1730000.0,0.3326923076923077,0.0,1730000.0,0.3326923076923077,320000.0,1420000.0,0.27307692307692305,0.52985,0.52985,2680000.0,2680000.0,,,1620599728,18:35:28,20210509
8,2018-06-30,WAYN,USD,2018-06-30,2018-06-30,Q2,5050000.0,540000.0,4510000.0,0.8930693069306931,0.0,3070000.0,0.0,0.0,3610000.0,0.0,540000.0,0.0,1980000.0,0.0,1440000.0,0.2851485148514851,0.0,1440000.0,0.2851485148514851,240000.0,1200000.0,0.2376237623762376,0.44776,0.44776,2680000.0,2680000.0,,,1620599728,18:35:28,20210509
9,2018-03-31,WAYN,USD,2018-03-31,2018-03-31,Q1,4710000.0,480000.0,4230000.0,0.8980891719745223,0.0,3070000.0,0.0,0.0,3550000.0,0.0,480000.0,0.0,1640000.0,0.0,1160000.0,0.24628450106157113,0.0,1160000.0,0.24628450106157113,190000.0,970000.0,0.2059447983014862,0.36194,0.36194,2680000.0,2680000.0,,,1620599728,18:35:28,20210509
