,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,timestamp,est_time,est_date
0,2021-03-31,ZENTEC.NS,INR,2021-03-31,2021-03-31,Q1,215525000.0,51979000.0,163546000.0,0.7588261222595987,0.0,0.0,0.0,8926000.0,145327000.0,197306000.0,2914000.0,12607000.0,30826000.0,0.14302749101032364,18219000.0,0.11241387310056838,0.0,24228000.0,0.11241387310056838,5892000.0,13502000.0,0.06264702470711055,0.16981511759527104,0.16981511759527104,79510000,79510000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620600138,18:42:18,20210509
1,2020-12-31,ZENTEC.NS,INR,2020-12-31,2020-12-31,Q4,165712000.0,34606000.0,131106000.0,0.7911678092111616,0.0,0.0,0.0,7260000.0,109739000.0,144345000.0,1699000.0,12304000.0,33671000.0,0.20318987158443566,21367000.0,0.12894057159409095,0.0,26928000.0,0.1624987930868012,9408000.0,23171000.0,0.13982692864729168,0.29,0.29,79510000,79510000,,,1620600138,18:42:18,20210509
2,2020-09-30,ZENTEC.NS,INR,2020-09-30,2020-09-30,Q3,123535000.0,28876000.0,94659000.0,0.766252479054519,0.0,0.0,0.0,7106000.0,80530000.0,109406000.0,5024000.0,12179000.0,26308000.0,0.21295988990974218,14129000.0,0.11437244505605698,0.0,16210000.0,0.13121787347715222,6963000.0,7805000.0,0.06318047516898045,0.1,0.1,79510000,79510000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620600138,18:42:18,20210509
3,2020-06-30,ZENTEC.NS,INR,2020-06-30,2020-06-30,Q2,41624000.0,4861000.0,36763000.0,0.8832164136075341,0.0,0.0,0.0,6927000.0,66166000.0,71027000.0,1277000.0,12432000.0,-16971000.0,-0.40772150682298675,-29403000.0,-0.7063953488372093,0.0,-23753000.0,-0.570656352104555,-6387000.0,-13364000.0,-0.3210647703248126,-0.17,-0.17,78611765,78611765,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620600138,18:42:18,20210509
4,2020-03-31,ZENTEC.NS,INR,2020-03-31,2020-03-31,Q1,197884000.0,36177000.0,161707000.0,0.8171807725738311,0.0,0.0,0.0,-4346000.0,134977000.0,171154000.0,2037000.0,5631000.0,32361000.0,0.16353520244183462,26730000.0,0.13507913727234136,0.0,26160000.0,0.13219866184229145,-165006000.0,184795000.0,0.9338551878878535,2.3241730599924537,2.3241730599924537,79510000,79510000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620600138,18:42:18,20210509
5,2019-12-31,ZENTEC.NS,INR,2019-12-31,2019-12-31,Q4,329877000.0,81280000.0,248597000.0,0.7536051316096606,0.0,0.0,0.0,4236000.0,117888000.0,199168000.0,5773000.0,10856000.0,141565000.0,0.42914480245667325,130709000.0,0.3962355665899714,0.0,129171000.0,0.3915732227466601,31454000.0,102280000.0,0.3100549598789852,1.33,1.33,76902256,76902256,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620600138,18:42:18,20210509
6,2019-09-30,ZENTEC.NS,INR,2019-09-30,2019-09-30,Q3,475875000.0,147011000.0,328864000.0,0.6910722353559233,0.0,0.0,0.0,2637000.0,125367000.0,272378000.0,7418000.0,13285000.0,216782000.0,0.45554399789860783,203497000.0,0.42762700288941424,0.0,198716000.0,0.41758024691358026,56907000.0,143380000.0,0.301297609666404,1.86,1.86,77086022,77086022,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620600138,18:42:18,20210509
7,2019-06-30,ZENTEC.NS,INR,2019-06-30,2019-06-30,Q2,489222000.0,167721000.0,321501000.0,0.6571679115003005,0.0,0.0,0.0,2750000.0,99779000.0,267500000.0,10449000.0,9651000.0,231373000.0,0.47294070994354304,221722000.0,0.45321346954961145,0.0,213171000.0,0.4357346971313637,57524000.0,157233000.0,0.32139396838245216,2.04,2.04,77075000,77075000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620600138,18:42:18,20210509
8,2019-03-31,ZENTEC.NS,INR,2019-03-31,2019-03-31,Q1,435048000.0,184298000.0,250750000.0,0.5763731818098233,0.0,0.0,0.0,0.0,188664000.0,372962000.0,1703000.0,9751000.0,71837000.0,0.16512430812232212,62086000.0,0.14271068939519319,0.0,76172000.0,0.1750887258417462,-38759000.0,114966000.0,0.26426049539361174,1.4459313293925293,1.4459313293925293,79510000,79510000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620600138,18:42:18,20210509
9,2018-12-31,ZENTEC.NS,INR,2018-12-31,2018-12-31,Q4,340391000.0,97598000.0,242793000.0,0.7132767905144378,0.0,0.0,0.0,0.0,124213000.0,221811000.0,15217000.0,9510000.0,128090000.0,0.3763025461895291,118580000.0,0.34836408718209355,0.0,100766000.0,0.2960301535587016,14954000.0,85812000.0,0.25209832222356054,1.11,1.11,77308108,77308108,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620600138,18:42:18,20210509
