,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,8159.HK,HKD,2020-12-31,2020-12-31,FY,56403000,0.0,56403000,0.0,50589000.0,0.0,179338000,59245000,0.0,0.0,0.0,5189000.0,0.0,0.0,78684000,0.0,258022000,45398000,0.0,0.0,0.0,0.0,123925000,0.0,0.0,0.0,0.0,908000.0,0.0,124833000,7040000.0,0.0,0.0,0.0,133680000,258513000,0.0,1217000.0,-55186000,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585823,14:43:43,20210509
1,2019-12-31,8159.HK,HKD,2019-12-31,2019-12-31,FY,79871000,0.0,79871000,0.0,35345000.0,0.0,181257000,48524000,0.0,7202000.0,7202000.0,3763000.0,0.0,0.0,75188000,0.0,256445000,40610000,0.0,0.0,0.0,0.0,126372000,0.0,0.0,0.0,0.0,401000.0,0.0,126773000,6400000.0,112544000.0,-136092000.0,0.0,129617000,256390000,0.0,814000.0,-79057000,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585823,14:43:43,20210509
2,2018-12-31,8159.HK,HKD,2018-12-31,2018-12-31,FY,65087000,0.0,65087000,0.0,43930000.0,0.0,195392000,51766000,0.0,7498000.0,7498000.0,2628000.0,0.0,1160000.0,79477000,0.0,274869000,55719000,0.0,0.0,0.0,0.0,154389000,0.0,0.0,0.0,0.0,0.0,0.0,154389000,6400000.0,102209000.0,-134824000.0,0.0,120040000,274429000,0.0,0.0,-65087000,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585823,14:43:43,20210509
3,2017-12-31,8159.HK,HKD,2017-12-31,2017-12-31,FY,61608000,0.0,61608000,0.0,36045000.0,-30000.0,181084000,58465000,0.0,0.0,0.0,389000.0,0.0,1526000.0,83630000,0.0,264714000,121510000,0.0,0.0,0.0,0.0,158376000,0.0,0.0,0.0,0.0,0.0,0.0,158376000,6400000.0,87353000.0,-132483000.0,0.0,105876000,264252000,0.0,0.0,-61608000,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585823,14:43:43,20210509
4,2016-12-31,8159.HK,HKD,2016-12-31,2016-12-31,FY,43031000,0.0,43031000,0.0,27364000.0,0.0,152082000,54665000,0.0,0.0,0.0,0.0,0.0,0.0,75654000,0.0,227736000,106820000,0.0,0.0,0.0,0.0,138490000,0.0,0.0,0.0,0.0,0.0,0.0,138490000,6400000.0,72269000.0,-121178000.0,0.0,88543000,227033000,0.0,0.0,-43031000,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585823,14:43:43,20210509
5,2015-12-31,8159.HK,HKD,2015-12-31,2015-12-31,FY,91749000,0.0,91749000,0.0,18040000.0,0.0,182706000,60501000,0.0,0.0,0.0,0.0,0.0,0.0,81347000,0.0,264053000,79818000,0.0,0.0,0.0,0.0,110676000,0.0,0.0,0.0,0.0,0.0,0.0,110676000,64000000.0,77636000.0,-119583000.0,0.0,152201000,262877000,0.0,0.0,-91749000,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585823,14:43:43,20210509
6,2014-12-31,8159.HK,HKD,2014-12-31,2014-12-31,FY,89574000,0.0,89574000,0.0,24587000.0,0.0,193994000,61241000,0.0,0.0,0.0,0.0,0.0,0.0,94504000,0.0,288498000,83127000,0.0,0.0,0.0,0.0,113505000,0.0,0.0,0.0,0.0,0.0,0.0,113505000,64000000.0,97244000.0,-117101000.0,0.0,174042000,287547000,0.0,0.0,-89574000,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585823,14:43:43,20210509
7,2013-12-31,8159.HK,HKD,2013-12-31,2013-12-31,FY,95504000,0.0,95504000,0.0,28591000.0,0.0,201133000,62579000,0.0,0.0,679000.0,0.0,0.0,0.0,93127000,0.0,294260000,87765000,0.0,0.0,0.0,0.0,117126000,0.0,0.0,0.0,0.0,0.0,0.0,117126000,64000000.0,176016000.0,-114391000.0,0.0,176016000,293142000,0.0,0.0,-95504000,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585823,14:43:43,20210509
8,2012-12-31,8159.HK,HKD,2012-12-31,2012-12-31,FY,157985000,0.0,157985000,0.0,24367000.0,0.0,245424000,62635000,0.0,0.0,660000.0,0.0,0.0,0.0,91701000,0.0,337125000,53537000,0.0,0.0,0.0,0.0,163206000,0.0,0.0,0.0,0.0,0.0,0.0,163206000,64000000.0,64000000.0,-106408000.0,0.0,172896000,336102000,0.0,0.0,-157985000,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585823,14:43:43,20210509
9,2011-12-31,8159.HK,HKD,2011-12-31,2011-12-31,FY,131704000,0.0,131704000,0.0,34828000.0,0.0,269318000,69064000,0.0,0.0,0.0,0.0,0.0,2419000.0,92423000,0.0,361741000,168377000,0.0,0.0,0.0,0.0,192454000,0.0,0.0,0.0,0.0,0.0,0.0,192454000,64000000.0,0.0,-96622000.0,0.0,168590000,361044000,0.0,0.0,-131704000,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585823,14:43:43,20210509
