,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,timestamp,est_time,est_date
0,2019-12-31,AKERBP.OL,USD,2019-12-31,2019-12-31,FY,107104000.0,0.0,107104000.0,0.0,87539000.0,0.0,718603000.0,7838919000.0,1712809000.0,1915968000.0,3628777000.0,0.0,0.0,10363000.0,11508183000.0,0.0,12226786000.0,144942000.0,0.0,0.0,0.0,660132000.0,1715361000.0,3060068000.0,0.0,2235357000.0,0.0,8143840000.0,0.0,9859201000.0,57056000.0,0.0,0.0,0.0,2367586000.0,12226787000.0,0.0,3600024000.0,3492920000.0,https://www.oslobors.no/ob_eng/,https://www.oslobors.no/ob_eng/,1620586433,14:53:53,20210509
1,2018-12-31,AKERBP.OL,USD,2018-12-31,2018-12-31,FY,44944000.0,0.0,44944000.0,0.0,93179000.0,0.0,689450000.0,6173715000.0,1860126000.0,2005886000.0,3866012000.0,2845000.0,0.0,5607000.0,10087710000.0,0.0,10777160000.0,105567000.0,0.0,0.0,0.0,590859000.0,1387247000.0,2018442000.0,0.0,1800199000.0,0.0,6399993000.0,0.0,7787240000.0,57056000.0,0.0,-2758749000.0,0.0,2989921000.0,10777161000.0,0.0,2018442000.0,1973498000.0,https://www.oslobors.no/ob_eng/,https://www.oslobors.no/ob_eng/,1620586433,14:53:53,20210509
2,2017-12-31,AKERBP.OL,USD,2017-12-31,2017-12-31,FY,231506000.0,0.0,231506000.0,0.0,75704000.0,1000.0,2532069000.0,5947911000.0,1860126000.0,1617039000.0,3477165000.0,2845000.0,0.0,3526000.0,9486491000.0,0.0,12018560000.0,32847000.0,0.0,0.0,0.0,704197000.0,2888476000.0,1892595000.0,0.0,1307148000.0,0.0,6141488000.0,0.0,9029964000.0,57056000.0,0.0,-2060342000.0,0.0,2988597000.0,12018561000.0,0.0,3388969000.0,3157463000.0,https://www.oslobors.no/ob_eng/,https://www.oslobors.no/ob_eng/,1620586433,14:53:53,20210509
3,2016-12-31,AKERBP.OL,USD,2016-12-31,2016-12-31,FY,106369000.0,0.0,106369000.0,0.0,69434000.0,0.0,1178290000.0,4837055000.0,1846971000.0,1332811000.0,3179782000.0,2845000.0,0.0,8499000.0,8076905000.0,1000.0,9255196000.0,88156000.0,0.0,0.0,0.0,583844000.0,884739000.0,2540546000.0,0.0,1045542000.0,1000.0,5921250000.0,0.0,6805989000.0,54349000.0,0.0,-1473582000.0,0.0,2449207000.0,9255196000.0,0.0,2540546000.0,2434177000.0,https://www.oslobors.no/ob_eng/,https://www.oslobors.no/ob_eng/,1620586433,14:53:53,20210509
4,2015-12-31,AKERBP.OL,USD,2015-12-31,2015-12-31,FY,86201000.0,2907000.0,89108000.0,0.0,31533000.0,1000.0,487384000.0,3269414000.0,767571000.0,648030000.0,1415601000.0,2845000.0,0.0,8271000.0,4701425000.0,0.0,5188809000.0,51078000.0,2907000.0,0.0,0.0,310676000.0,394840000.0,2622375000.0,0.0,1356114000.0,-1000.0,4454943000.0,0.0,4849783000.0,37530000.0,0.0,-1076338000.0,0.0,339026000.0,5188809000.0,5752000.0,2625282000.0,2539081000.0,https://www.oslobors.no/ob_eng/,https://www.oslobors.no/ob_eng/,1620586433,14:53:53,20210509
5,2014-12-31,AKERBP.OL,USD,2014-12-31,2014-12-31,FY,291346000.0,3289000.0,294635000.0,0.0,25008000.0,1000.0,695594000.0,2840890000.0,1186703000.0,648787000.0,1835490000.0,1824000.0,0.0,1000.0,4688778000.0,0.0,5384372000.0,152258000.0,3289000.0,0.0,0.0,273813000.0,652879000.0,2290440000.0,0.0,1286357000.0,0.0,4079831000.0,0.0,4732710000.0,37530000.0,0.0,-744361000.0,0.0,651662000.0,5384372000.0,5113000.0,2293729000.0,2002383000.0,https://www.oslobors.no/ob_eng/,https://www.oslobors.no/ob_eng/,1620586433,14:53:53,20210509
6,2013-12-31,AKERBP.OL,USD,2013-12-31,2013-12-31,FY,278432226.939533,3958649.175713,282390876.115246,0.0,6721893.179778,-164.429872,627959491.056659,775067334.032708,52801885.024056,106271190.899793,159073075.923849,1973158.467645,103660373.387354,2129695.706078,1105353507.782466,164.42987203598022,1733313163.268997,74393829.275752,3958649.175713,0.0,0.0,130833560.794657,311943034.915039,741659130.297519,0.0,0.0,0.0,897090413.409585,0.0,1209033448.324624,23136434.042245,0.0,-582975259.881413,0.0,524279550.514501,1733312998.8391252,5931807.643358,745617779.4732319,467185552.5336989,https://www.oslobors.no/ob_eng/,https://www.oslobors.no/ob_eng/,1620586433,14:53:53,20210509
7,2012-12-31,AKERBP.OL,USD,2012-12-31,2012-12-31,FY,204319775.89752,0.0,204319775.89752,0.0,3798744.796853,-179.110038,522404874.658795,746666762.19202,69414095.243554,119205252.939196,188619348.18275,2149320.456516,0.0,30312941.058469,975752620.379857,0.0,1498157495.038652,46317139.39776,0.0,0.0,0.0,152731069.860079,305011677.97448,338305010.065984,115884.194614,24064866.491378,179.110038,523567657.02577,1.0728836059570312e-06,828579335.000251,25202036.122912,0.0,-453007973.978894,0.0,669578160.038401,1498157495.038652,0.0,439873834.889203,235554058.991683,https://www.oslobors.no/ob_eng/,https://www.oslobors.no/ob_eng/,1620586433,14:53:53,20210509
8,2011-12-31,AKERBP.OL,USD,2011-12-31,2011-12-31,FY,140999698.431846,3643948.532368,144643646.964214,0.0,6205434.928294,0.0,498682147.165259,151131048.116874,88103136.308806,551716592.950007,639819729.258812,0.0,0.0,0.0,794037327.436001,0.0,1292719474.60126,45956976.276639,3643948.532368,0.0,0.0,70822275.834339,180368248.224099,98346568.824554,275264.709824,342120861.81477,167.537864,496389726.578207,0.0,676757974.802305,21430773.354778,0.0,-77185698.967967,0.0,615961499.798955,1292719474.60126,0.0,101990517.356922,-39009181.07492399,https://www.oslobors.no/ob_eng/,https://www.oslobors.no/ob_eng/,1620586433,14:53:53,20210509
9,2010-12-31,AKERBP.OL,USD,2010-12-31,2010-12-31,FY,134264913.504227,3838813.383456,138103726.887683,0.0,1743353.348416,-170.099849,626285869.805576,69202401.809862,101465580.295634,188418411.607614,289883991.903247,0.0,0.0,306559900.661688,686820153.430063,0.0,1313106023.235639,37419245.096872,3838813.383456,0.0,0.0,127053360.322509,425120005.443195,0.0,413172.532276,298947252.036946,170.099849,350441068.907449,0.0,775561074.350644,18899964.279032,317072071.305857,-62214189.729371,0.0,537544948.884995,1313106023.235639,0.0,260647400.023814,126382486.51958698,https://www.oslobors.no/ob_eng/,https://www.oslobors.no/ob_eng/,1620586433,14:53:53,20210509
