,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,timestamp,est_time,est_date
0,2020-09-30,APDN,USD,2020-12-17,2020-12-17 16:02:34,FY,7786743.0,0.0,7786743.0,194319.0,497367.0,599296.0,9077725.0,1277655.0,285386.0,605330.0,890716.0,0.0,0.0,0.0,2263454.0,0.0,11341179.0,1250021.0,1828415.0,0.0,511036.0,1499116.0,4265878.0,517488.0,0.0,0.0,0.0,1365795.0,0.0,5631673.0,5144.0,-269835650.0,-2448517.0,0.0,5718231.0,11349904.0,0.0,2345903.0,-5440840.0,https://www.sec.gov/Archives/edgar/data/744452/000110465920136828/0001104659-20-136828-index.htm,https://www.sec.gov/Archives/edgar/data/744452/000110465920136828/tm2037742d1_10k.htm,1620588605,15:30:05,20210509
1,2019-09-30,APDN,USD,2019-12-12,2019-12-12 16:02:17,FY,558988.0,0.0,558988.0,839951.0,142629.0,0.0,2146308.0,226221.0,285386.0,734771.0,1020157.0,0.0,0.0,0.0,1418427.0,0.0,3564735.0,1152103.0,0.0,0.0,628993.0,0.0,2245990.0,1545274.0,0.0,0.0,50.0,2167244.0,0.0,4413234.0,1200.0,-256805589.0,-2293261.0,0.0,-841459.0,3571775.0,0.0,1545274.0,986286.0,https://www.sec.gov/Archives/edgar/data/744452/000110465919072186/0001104659-19-072186-index.htm,https://www.sec.gov/Archives/edgar/data/744452/000110465919072186/tm1919812d1_10k.htm,1620588605,15:30:05,20210509
2,2018-09-30,APDN,USD,2018-12-18,2018-12-18 09:14:30,FY,1659564.0,0.0,1659564.0,1485938.0,221369.0,0.0,4002045.0,419774.0,285386.0,864203.0,1149589.0,0.0,0.0,0.0,1631688.0,0.0,5633733.0,500849.0,0.0,0.0,1856693.0,0.0,2821860.0,1586631.0,0.0,0.0,0.0,2057370.0,0.0,4879230.0,30112.0,-248366083.0,-2036255.0,0.0,754503.0,5633733.0,0.0,1586631.0,-72933.0,https://www.sec.gov/Archives/edgar/data/744452/000114420418065023/0001144204-18-065023-index.htm,https://www.sec.gov/Archives/edgar/data/744452/000114420418065023/tv507795_10k.htm,1620588605,15:30:05,20210509
3,2017-09-30,APDN,USD,2017-12-28,2017-12-28 16:11:41,FY,2959781.0,0.0,2959781.0,2587969.0,326468.0,0.0,6241172.0,523688.0,285386.0,1042076.0,1327462.0,0.0,0.0,0.0,1912776.0,0.0,8153948.0,382984.0,0.0,0.0,351735.0,0.0,1295868.0,0.0,0.0,0.0,0.0,0.0,0.0,1295868.0,27377.0,-236673155.0,-1666297.0,0.0,6858080.0,8153948.0,0.0,0.0,-2959781.0,https://www.sec.gov/Archives/edgar/data/744452/000114420417065635/0001144204-17-065635-index.htm,https://www.sec.gov/Archives/edgar/data/744452/000114420417065635/tv481096_10k.htm,1620588605,15:30:05,20210509
4,2016-09-30,APDN,USD,2016-12-06,2016-12-06 16:01:37,FY,4479274.0,0.0,4479274.0,6374895.0,297759.0,0.0,11351934.0,792499.0,285386.0,1525900.0,1811286.0,0.0,0.0,0.0,4213897.0,0.0,15565831.0,1530258.0,0.0,0.0,1837588.0,0.0,4084929.0,0.0,900000.0,0.0,0.0,1115500.0,0.0,5200429.0,24079.0,-223817388.0,-1263200.0,0.0,10365402.0,15565831.0,0.0,0.0,-4479274.0,https://www.sec.gov/Archives/edgar/data/744452/000157104916020376/0001571049-16-020376-index.htm,https://www.sec.gov/Archives/edgar/data/744452/000157104916020376/t1600769_10k.htm,1620588605,15:30:05,20210509
5,2015-09-30,APDN,USD,2015-12-14,2015-12-14 16:13:08,FY,7312184.0,0.0,7312184.0,3929517.0,0.0,0.0,11535052.0,572107.0,285386.0,1598779.0,1884165.0,0.0,0.0,0.0,4019260.0,0.0,15554312.0,1237973.0,0.0,0.0,282050.0,0.0,2667056.0,0.0,0.0,0.0,0.0,320400.0,0.0,2987456.0,21505.0,-211641409.0,-852867.0,0.0,12566856.0,15554312.0,0.0,0.0,-7312184.0,https://www.sec.gov/Archives/edgar/data/744452/000157104915009962/0001571049-15-009962-index.htm,https://www.sec.gov/Archives/edgar/data/744452/000157104915009962/t83787_10k.htm,1620588605,15:30:05,20210509
6,2014-09-30,APDN,USD,2014-12-15,2014-12-15 17:03:27,FY,1393132.0,0.0,1393132.0,834818.0,0.0,0.0,2363315.0,576128.0,0.0,327872.0,327872.0,0.0,0.0,0.0,1142742.0,0.0,3506057.0,1059623.0,1800000.0,0.0,583362.0,0.0,3878121.0,0.0,0.0,0.0,0.0,1096412.0,0.0,4974533.0,13937.0,-199760272.0,-759087.0,0.0,-1468476.0,3506057.0,0.0,1800000.0,406868.0,https://www.sec.gov/Archives/edgar/data/744452/000157104914007249/0001571049-14-007249-index.htm,https://www.sec.gov/Archives/edgar/data/744452/000157104914007249/t80973_10k.htm,1620588605,15:30:05,20210509
7,2013-09-30,APDN,USD,2013-12-20,2013-12-19 18:01:50,FY,6360301.0,0.0,6360301.0,672638.0,0.0,0.0,7207035.0,695995.0,0.0,420676.0,420676.0,0.0,0.0,0.0,1167931.0,0.0,8374966.0,641302.0,0.0,0.0,148503.0,0.0,1115480.0,0.0,0.0,0.0,0.0,2643449.0,0.0,3758929.0,786527.0,-186693611.0,-409629.0,0.0,4616037.0,8374966.0,0.0,0.0,-6360301.0,https://www.sec.gov/Archives/edgar/data/744452/000118811213003587/0001188112-13-003587-index.htm,https://www.sec.gov/Archives/edgar/data/744452/000118811213003587/t77969_10k.htm,1620588605,15:30:05,20210509
8,2012-09-30,APDN,USD,2012-12-20,2012-12-20 16:55:12,FY,724782.0,0.0,724782.0,296994.0,0.0,0.0,1101813.0,210845.0,0.0,0.0,0.0,0.0,0.0,36276.0,247121.0,0.0,1348934.0,473060.0,0.0,0.0,0.0,0.0,592009.0,0.0,0.0,0.0,0.0,0.0,0.0,592009.0,646183.0,-169007139.0,-251958.0,0.0,756925.0,1348934.0,0.0,0.0,-724782.0,https://www.sec.gov/Archives/edgar/data/744452/000118811212003634/0001188112-12-003634-index.htm,https://www.sec.gov/Archives/edgar/data/744452/000118811212003634/t75183_10k.htm,1620588605,15:30:05,20210509
9,2011-09-30,APDN,USD,2011-12-09,2011-12-08 21:32:43,FY,2747294.0,0.0,2747294.0,208587.0,0.0,0.0,3032171.0,89108.0,0.0,272844.0,272844.0,0.0,0.0,109433.0,471385.0,0.0,3503556.0,165465.0,3730880.0,0.0,0.0,0.0,4498941.0,0.0,0.0,0.0,0.0,0.0,0.0,4498941.0,473326.0,-161856427.0,-210862.0,0.0,-995385.0,3503556.0,0.0,3730880.0,983586.0,https://www.sec.gov/Archives/edgar/data/744452/000118811211003443/0001188112-11-003443-index.htm,https://www.sec.gov/Archives/edgar/data/744452/000118811211003443/t72096_10k.htm,1620588605,15:30:05,20210509
