,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,AVOI,USD,2021-03-31,2021-03-31 17:09:02,Q4,348.0,0.0,348.0,0.0,0.0,0.0,348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13984.0,14332.0,78144.0,0.0,0.0,0.0,198811.0,276955.0,0.0,0.0,0.0,0.0,0.0,0.0,276955.0,0.0,0.0,0.0,0.0,-262623.0,14332.0,0.0,0.0,-348.0,https://www.sec.gov/Archives/edgar/data/1342936/000137647421000115/0001376474-21-000115-index.htm,https://www.sec.gov/Archives/edgar/data/1342936/000137647421000115/avoi-20201231.htm,1620588985,15:36:25,20210509
1,2019-12-31,AVOI,USD,2020-03-30,2020-03-30 13:29:27,FY,6241.0,0.0,6241.0,0.0,0.0,0.0,6241.0,0.0,0.0,28687.0,28687.0,0.0,0.0,0.0,28687.0,0.0,34928.0,46083.0,19935.0,0.0,0.0,0.0,238622.0,0.0,0.0,0.0,0.0,0.0,0.0,238622.0,278220.0,-8418514.0,0.0,0.0,-203694.0,34928.0,0.0,19935.0,13694.0,https://www.sec.gov/Archives/edgar/data/1342936/000134293620000011/0001342936-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1342936/000134293620000011/avoi-20191231.htm,1620588985,15:36:25,20210509
2,2018-12-31,AVOI,USD,2019-04-01 00:00:00,2019-03-29 19:56:16,FY,17583.0,0.0,17583.0,0.0,0.0,0.0,17583.0,0.0,0.0,43390.0,43390.0,0.0,0.0,0.0,43390.0,0.0,60973.0,49385.0,45535.0,0.0,0.0,0.0,265367.0,0.0,0.0,0.0,0.0,0.0,0.0,265367.0,267020.0,-8350212.0,-10267.0,0.0,-204394.0,60973.0,0.0,45535.0,27952.0,https://www.sec.gov/Archives/edgar/data/1342936/000134293619000004/0001342936-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1342936/000134293619000004/avrs-20181231.htm,1620588985,15:36:25,20210509
3,2017-12-31,AVOI,USD,2018-04-02 00:00:00,2018-04-02 14:52:32,FY,7257.0,0.0,7257.0,0.0,0.0,0.0,7257.0,0.0,0.0,56799.0,56799.0,0.0,0.0,0.0,56799.0,0.0,64056.0,126502.0,19935.0,0.0,0.0,0.0,314800.0,0.0,0.0,0.0,0.0,0.0,0.0,314800.0,243920.0,-8282912.0,-10267.0,0.0,-250744.0,64056.0,0.0,19935.0,12678.0,https://www.sec.gov/Archives/edgar/data/1342936/000134293618000018/0001342936-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/1342936/000134293618000018/avrs_10k-123117.htm,1620588985,15:36:25,20210509
4,2016-12-31,AVOI,USD,2017-03-31 00:00:00,2017-03-31 11:08:03,FY,9454.0,0.0,9454.0,0.0,0.0,0.0,9454.0,0.0,0.0,68143.0,68143.0,0.0,0.0,0.0,68143.0,0.0,77597.0,109393.0,19935.0,0.0,0.0,0.0,295698.0,0.0,0.0,0.0,0.0,0.0,0.0,295698.0,230395.0,-8190269.0,-10267.0,0.0,-218101.0,77597.0,0.0,19935.0,10481.0,https://www.sec.gov/Archives/edgar/data/1342936/000134293617000016/0001342936-17-000016-index.html,https://www.sec.gov/Archives/edgar/data/1342936/000134293617000016/avrs_10k123116.htm,1620588985,15:36:25,20210509
5,2015-12-31,AVOI,USD,2016-03-25 00:00:00,2016-03-25 12:26:41,FY,8997.0,0.0,8997.0,0.0,0.0,0.0,8997.0,737.0,0.0,81597.0,81597.0,0.0,0.0,0.0,82334.0,0.0,91331.0,92999.0,19935.0,0.0,0.0,0.0,277911.0,0.0,0.0,0.0,0.0,0.0,0.0,277911.0,224595.0,-8113423.0,-9530.0,0.0,-186580.0,91331.0,0.0,19935.0,10938.0,https://www.sec.gov/Archives/edgar/data/1342936/000134293616000057/0001342936-16-000057-index.html,https://www.sec.gov/Archives/edgar/data/1342936/000134293616000057/avrs_10k123115.htm,1620588985,15:36:25,20210509
6,2014-12-31,AVOI,USD,2015-03-31,2015-03-30 19:52:32,FY,10736.0,0.0,10736.0,0.0,0.0,0.0,10736.0,1912.0,0.0,85236.0,85236.0,0.0,0.0,0.0,87148.0,0.0,97884.0,66574.0,0.0,0.0,0.0,0.0,228957.0,0.0,0.0,0.0,0.0,0.0,0.0,228957.0,219195.0,7675148.0,-8355.0,0.0,-131073.0,97884.0,0.0,0.0,-10736.0,https://www.sec.gov/Archives/edgar/data/1342936/000134293615000010/0001342936-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1342936/000134293615000010/avrs_10k123114.htm,1620588985,15:36:25,20210509
7,2013-12-31,AVOI,USD,2014-03-28,2014-03-28 13:54:57,FY,13995.0,0.0,13995.0,0.0,0.0,0.0,13995.0,3087.0,0.0,88327.0,88327.0,0.0,0.0,0.0,91414.0,0.0,105409.0,16736.0,0.0,0.0,0.0,0.0,179119.0,0.0,0.0,0.0,0.0,0.0,0.0,179119.0,211093.0,-7886103.0,-7180.0,0.0,-73710.0,105409.0,0.0,0.0,-13995.0,https://www.sec.gov/Archives/edgar/data/1342936/000134293614000008/0001342936-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1342936/000134293614000008/avrs_10k123113.htm,1620588985,15:36:25,20210509
8,2012-12-31,AVOI,USD,2013-03-05 00:00:00,2013-03-05 09:32:30,FY,76520.0,0.0,76520.0,0.0,0.0,0.0,76520.0,4333.0,0.0,75204.0,75204.0,0.0,0.0,0.0,79537.0,0.0,156057.0,209702.0,0.0,0.0,0.0,0.0,215523.0,0.0,0.0,0.0,0.0,0.0,0.0,215523.0,204283.0,-7748849.0,-5934.0,0.0,-59466.0,156057.0,0.0,10000.0,-66520.0,https://www.sec.gov/Archives/edgar/data/1342936/000134293613000002/0001342936-13-000002-index.html,https://www.sec.gov/Archives/edgar/data/1342936/000134293613000002/avrs_10k123112.htm,1620588985,15:36:25,20210509
9,2011-12-31,AVOI,USD,2012-03-12 00:00:00,2012-03-12 16:31:43,FY,13405.0,0.0,13405.0,0.0,0.0,0.0,13405.0,1982.0,0.0,83100.0,83100.0,0.0,0.0,0.0,85082.0,0.0,98487.0,239821.0,5800.0,0.0,0.0,0.0,276053.0,0.0,0.0,0.0,0.0,0.0,0.0,276053.0,192643.0,-7328949.0,-4608.0,0.0,-177566.0,98487.0,0.0,5800.0,-7605.0,https://www.sec.gov/Archives/edgar/data/1342936/000134293612000013/0001342936-12-000013-index.html,https://www.sec.gov/Archives/edgar/data/1342936/000134293612000013/avrs_10k123111.htm,1620588985,15:36:25,20210509
10,2010-12-31,AVOI,USD,2010-12-31,2010-12-31,FY,128560.0,0.0,128560.0,0.0,0.0,0.0,258560.0,1621.0,0.0,68663.0,68663.0,0.0,0.0,0.0,70284.0,0.0,328844.0,543961.0,123113.0,0.0,0.0,0.0,676504.0,0.0,0.0,0.0,0.0,0.0,0.0,676504.0,186393.0,-6914619.0,-3669.0,0.0,-347660.0,328844.0,0.0,123113.0,-5447.0,,,1620588985,15:36:25,20210509
11,2009-12-31,AVOI,USD,2010-02-26 00:00:00,2010-02-26 16:30:43,FY,2961.0,0.0,2961.0,0.0,0.0,0.0,20961.0,3164.0,0.0,75960.0,75960.0,0.0,0.0,0.0,79124.0,0.0,100085.0,84509.0,302344.0,0.0,0.0,0.0,394091.0,0.0,0.0,0.0,0.0,0.0,0.0,394091.0,165400.0,-5009257.0,-2126.0,0.0,-294006.0,100085.0,0.0,302344.0,299383.0,https://www.sec.gov/Archives/edgar/data/1342936/000107997310000246/0001079973-10-000246-index.html,https://www.sec.gov/Archives/edgar/data/1342936/000107997310000246/avrs_10k-123109.htm,1620588985,15:36:25,20210509
12,2008-12-31,AVOI,USD,2009-03-30 00:00:00,2009-03-30 16:44:59,FY,2627.0,0.0,2627.0,0.0,0.0,0.0,22627.0,3762.0,0.0,78787.0,78787.0,0.0,0.0,0.0,82549.0,0.0,105176.0,68981.0,226344.0,0.0,0.0,0.0,297559.0,0.0,0.0,0.0,0.0,0.0,0.0,297559.0,164700.0,-4528867.0,-628.0,0.0,-192383.0,105176.0,0.0,226344.0,223717.0,https://www.sec.gov/Archives/edgar/data/1342936/000107997309000322/0001079973-09-000322-index.html,https://www.sec.gov/Archives/edgar/data/1342936/000107997309000322/avrs_10k-123108.htm,1620588985,15:36:25,20210509
13,2007-09-30,AVOI,USD,2007-11-29,2007-11-29,FY,114467.0,0.0,114467.0,7366.0,0.0,0.0,121833.0,16563.0,0.0,0.0,0.0,0.0,0.0,0.0,16563.0,0.0,138396.0,112901.0,0.0,0.0,0.0,0.0,112901.0,0.0,0.0,0.0,0.0,0.0,0.0,112901.0,6500.0,-271469.0,0.0,0.0,25495.0,138396.0,0.0,0.0,-114467.0,https://www.sec.gov/Archives/edgar/data/1342936/000136927007000166/0001369270-07-000166-index.htm,https://www.sec.gov/Archives/edgar/data/1342936/000136927007000166/f20071128form10ksbsamoyedfin.htm,1620588985,15:36:25,20210509
14,2006-09-30,AVOI,USD,2006-09-30,2006-09-30,FY,10776.0,0.0,10776.0,0.0,0.0,5000.0,15776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16562.0,0.0,32338.0,5250.0,0.0,0.0,0.0,0.0,5250.0,0.0,0.0,0.0,0.0,0.0,0.0,5250.0,3500.0,-7912.0,0.0,0.0,27088.0,32338.0,0.0,0.0,-10776.0,,,1620588985,15:36:25,20210509
15,2005-09-30,AVOI,USD,2005-09-30,2005-09-30,FY,30000.0,0.0,30000.0,0.0,0.0,10000.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,30000.0,0.0,0.0,-30000.0,,,1620588985,15:36:25,20210509
