,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,BATL,USD,2021-03-08,2021-03-08 17:17:05,FY,4295000.0,0.0,4295000.0,40801000.0,0.0,108000.0,47836000.0,292301000.0,0.0,0.0,0.0,0.0,0.0,631000.0,298661000.0,0.0,346497000,22740000.0,1720000.0,0.0,0.0,22125000.0,83176000.0,158489000.0,0.0,0.0,0.0,173363000.0,0.0,256539000.0,2000.0,-240167000.0,0.0,0.0,89958000.0,346497000,0.0,160209000.0,155914000.0,https://www.sec.gov/Archives/edgar/data/1282648/000155837021002578/0001558370-21-002578-index.htm,https://www.sec.gov/Archives/edgar/data/1282648/000155837021002578/batl-20201231x10k.htm,1620589144,15:39:04,20210509
1,2019-12-31,BATL,USD,2020-03-25,2020-03-25,FY,5701000.0,0.0,5701000.0,54749000.0,0.0,36000.0,71153000.0,512586000.0,0.0,0.0,0.0,0.0,0.0,703000.0,513513000.0,0.0,584666000,36038000.0,0.0,0.0,0.0,8069000.0,106434000.0,144000000.0,0.0,0.0,0.0,161582000.0,0.0,268016000.0,2000.0,-10460000.0,-19852000.0,0.0,316650000.0,584666000,0.0,156400000.0,150699000.0,https://www.sec.gov/Archives/edgar/data/1282648/000155837020003121/0001558370-20-003121-index.htm,https://www.sec.gov/Archives/edgar/data/1282648/000155837020003121/batl-20191231x10k.htm,1620589144,15:39:04,20210509
2,2018-12-31,BATL,USD,2019-03-12,2019-03-12 17:29:03,FY,46866000.0,0.0,46866000.0,94248000.0,0.0,35000.0,144652000.0,1924339000.0,0.0,0.0,0.0,0.0,0.0,2181000.0,1938957000.0,0.0,2083609000,68959000.0,0.0,0.0,0.0,3768000.0,161742000.0,613105000.0,0.0,95791000.0,0.0,724823000.0,0.0,886565000.0,16000.0,101661000.0,-648339000.0,0.0,1197044000.0,2083609000,0.0,619397000.0,572531000.0,https://www.sec.gov/Archives/edgar/data/1282648/000104746919001144/0001047469-19-001144-index.htm,https://www.sec.gov/Archives/edgar/data/1282648/000104746919001144/a2237742z10-k.htm,1620589144,15:39:04,20210509
3,2017-12-31,BATL,USD,2018-03-01,2018-02-28 21:28:54,FY,424071000.0,0.0,424071000.0,43343000.0,0.0,54000.0,471792000.0,1170137000.0,0.0,0.0,0.0,0.0,0.0,1691000.0,1171828000.0,0.0,1643620000,35688000.0,0.0,0.0,0.0,19248000.0,150335000.0,409168000.0,0.0,0.0,0.0,421287000.0,0.0,571622000.0,15000.0,55702000.0,-574247000.0,0.0,1071998000.0,1643620000,0.0,411192000.0,-12879000.0,https://www.sec.gov/Archives/edgar/data/1282648/000104746918001171/0001047469-18-001171-index.htm,https://www.sec.gov/Archives/edgar/data/1282648/000104746918001171/a2234329z10-k.htm,1620589144,15:39:04,20210509
4,2016-12-31,BATL,USD,2017-03-01,2017-02-28 21:48:05,FY,24000.0,0.0,24000.0,153685000.0,0.0,54000.0,160649000.0,1157134000.0,0.0,0.0,0.0,0.0,0.0,1887000.0,1159021000.0,0.0,1319670000,24364000.0,0.0,0.0,422000.0,21369000.0,207553000.0,964653000.0,0.0,0.0,2305000.0,999429000.0,0.0,1206982000.0,9000.0,-479984000.0,-466956000.0,0.0,112688000.0,1319670000,0.0,978730000.0,978706000.0,https://www.sec.gov/Archives/edgar/data/1282648/000104746917001083/0001047469-17-001083-index.htm,https://www.sec.gov/Archives/edgar/data/1282648/000104746917001083/a2230839z10-k.htm,1620589144,15:39:04,20210509
5,2015-12-31,BATL,USD,2015-12-31,2015-12-31,FY,8026000.0,0.0,8026000.0,522485000.0,4635000.0,50000.0,556593000.0,2876044000.0,0.0,0.0,0.0,209000.0,0.0,1599000.0,2902099000.0,0.0,3458692000,47261000.0,0.0,0.0,7964000.0,0.0,295248000.0,2873637000.0,0.0,0.0,6264000.0,3111030000.0,0.0,3406278000.0,12000.0,-3230695000.0,-5956123000.0,0.0,52414000.0,3458692000,0.0,2893673000.0,2885647000.0,,,1620589144,15:39:04,20210509
6,2014-12-31,BATL,USD,2015-03-05,2015-03-04 21:13:35,FY,43713000.0,0.0,43713000.0,632080000.0,4693000.0,58000.0,702705000.0,5379574000.0,0.0,0.0,0.0,4309000.0,136826000.0,3833000.0,5731770000.0,0.0,6434475000,60512000.0,0.0,0.0,21220000.0,0.0,744682000.0,3746736000.0,0.0,0.0,5964000.0,3917624000.0,0.0,4662306000.0,42000.0,-1223275000.0,-2967836000.0,0.0,1772169000.0,6434475000,0.0,3776417000.0,3732704000.0,https://www.sec.gov/Archives/edgar/data/1282648/000104746915001657/0001047469-15-001657-index.htm,https://www.sec.gov/Archives/edgar/data/1282648/000104746915001657/a2223410z10-ka.htm,1620589144,15:39:04,20210509
7,2013-12-31,BATL,USD,2014-02-27,2014-02-27 07:03:22,FY,2834000.0,0.0,2834000.0,324950000.0,5148000.0,58000.0,338626000.0,4916372000.0,0.0,0.0,0.0,4463000.0,8474000.0,1514000.0,5017865000.0,0.0,5356491000,87661000.0,1389000.0,0.0,24882000.0,17859000.0,664382000.0,3183823000.0,0.0,0.0,2157000.0,3244499000.0,0.0,3908881000.0,41000.0,-1506217000.0,-2197976000.0,0.0,1447610000.0,5356491000,0.0,3185212000.0,3182378000.0,https://www.sec.gov/Archives/edgar/data/1282648/000104746914001420/0001047469-14-001420-index.htm,https://www.sec.gov/Archives/edgar/data/1282648/000104746914001420/a2218408z10-k.htm,1620589144,15:39:04,20210509
8,2012-12-31,BATL,USD,2013-02-28,2013-02-28 07:44:35,FY,2506000.0,0.0,2506000.0,270237000.0,3116000.0,3001000.0,287857000.0,4459265000.0,227762000.0,0.0,227762000.0,11137000.0,0.0,3024000.0,4753168000.0,0.0,5041025000,147679000.0,74669000.0,0.0,8840000.0,10429000.0,677968000.0,2034498000.0,0.0,160055000.0,10000.0,2269837000.0,0.0,2947805000.0,26000.0,-274463000.0,-596326000.0,0.0,2093220000.0,5041025000,0.0,2109167000.0,2106661000.0,https://www.sec.gov/Archives/edgar/data/1282648/000104746913001872/0001047469-13-001872-index.htm,https://www.sec.gov/Archives/edgar/data/1282648/000104746913001872/a2213202z10-k.htm,1620589144,15:39:04,20210509
9,2011-12-31,BATL,USD,2012-03-05,2012-03-05 17:04:51,FY,49000.0,0.0,49000.0,10288000.0,4310000.0,1793000.0,20237000.0,216519000.0,0.0,0.0,0.0,0.0,24102000.0,978000.0,247565000.0,0.0,267802000,21454000.0,0.0,0.0,0.0,265000.0,26336000.0,202000000.0,0.0,0.0,10000.0,235518000.0,0.0,261854000.0,3000.0,-216310000.0,-509126000.0,0.0,5948000.0,267802000,0.0,202000000.0,201951000.0,https://www.sec.gov/Archives/edgar/data/1282648/000119312512096917/0001193125-12-096917-index.htm,https://www.sec.gov/Archives/edgar/data/1282648/000119312512096917/d294152d10k.htm,1620589144,15:39:04,20210509
