,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,timestamp,est_time,est_date
0,2020-05-31,CAG,USD,2020-07-24,2020-07-24 13:01:19,FY,553300000,0.0,553300000,860800000,1377900000,0.0,2885900000,2389600000,11436300000.0,4315700000,15752000000,0.0,0.0,1276500000,19418100000,0.0,22304000000,1525600000.0,845500000.0,0.0,0.0,0.0,3287400000,8900800000,0.0,1330100000.0,179400000.0,11065900000,0.0,14353300000,2921200000.0,5471200000,-110000000.0,0.0,7876100000,22229400000,0.0,9746300000,9193000000,https://www.sec.gov/Archives/edgar/data/23217/000156459020033366/0001564590-20-033366-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000156459020033366/cag-10k_20200531.htm,1620589867,15:51:07,20210509
1,2019-05-26,CAG,USD,2019-07-19,2019-07-19 10:14:35,FY,236600000,0.0,236600000,831700000,1571700000,93800000.0,2733800000,2395300000,11499600000.0,4661400000,16161000000,796300000.0,0.0,127400000,19480000000,0.0,22213800000,1255300000.0,1000000.0,0.0,0.0,1800000.0,2142600000,10655700000,0.0,0.0,1951800000.0,12686600000,0.0,14829200000,2921200000.0,5047900000,-110000000.0,-110300000.0,7384600000,22213800000,796300000.0,10656700000,10420100000,https://www.sec.gov/Archives/edgar/data/23217/000002321719000006/0000023217-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000002321719000006/cag-2019x10k.htm,1620589867,15:51:07,20210509
2,2018-05-27,CAG,USD,2018-07-20,2018-07-20 12:27:09,FY,128000000,0.0,128000000,569400000,988700000,252800000.0,1938900000,1589500000,4487400000.0,1282800000,5770200000,776200000.0,0.0,314700000,8450600000,0.0,10389500000,905300000.0,277300000.0,0.0,0.0,14400000.0,2336200000,3231500000,0.0,0.0,1065200000.0,4377100000,0.0,6713300000,2839700000.0,4744900000,-111000000.0,-111100000.0,3676200000,10389500000,776200000.0,3508800000,3380800000,https://www.sec.gov/Archives/edgar/data/23217/000002321718000005/0000023217-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000002321718000005/cag-2018x10k.htm,1620589867,15:51:07,20210509
3,2017-05-28,CAG,USD,2017-07-21,2017-07-21 12:13:08,FY,251400000,0.0,251400000,563400000,934200000,264200000.0,2013200000,1664900000,4298300000.0,1232900000,5531200000,741300000.0,0.0,145700000,8083100000,0.0,10096300000,773100000.0,28200000.0,0.0,0.0,2700000.0,1720500000,2769200000,0.0,0.0,1528800000.0,4385000000,0.0,6105500000,2839700000.0,4247000000,-213000000.0,-212600000.0,3990800000,10096300000,741300000.0,2797400000,2546000000,https://www.sec.gov/Archives/edgar/data/23217/000162828017007184/0001628280-17-007184-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000162828017007184/cag-2017x10k.htm,1620589867,15:51:07,20210509
4,2016-05-29,CAG,USD,2016-07-15,2016-07-15 14:11:01,FY,798100000,0.0,798100000,650100000,1083200000,1045300000.0,3576700000,1701600000,4396200000.0,1237200000,5633400000,0.0,0.0,2478900000,9813900000,0.0,13390600000,706700000.0,13900000.0,0.0,0.0,464200000.0,2532400000,4881400000,0.0,0.0,2182000000.0,7144600000,0.0,9677000000,2839700000.0,3218300000,-345000000.0,-344500000.0,3713600000,13390600000,0.0,4895300000,4097200000,https://www.sec.gov/Archives/edgar/data/23217/000162828016017613/0001628280-16-017613-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000162828016017613/cag-2016x10k.htm,1620589867,15:51:07,20210509
5,2015-05-31,CAG,USD,2015-07-17,2015-07-17 11:41:34,FY,183100000,0.0,183100000,972900000,2201200000,0.0,3667700000,3608100000,6300300000.0,3030000000,9330300000,0.0,0.0,936100000,13874500000,0.0,17542200000,1358300000.0,1008000000.0,0.0,0.0,0.0,3310200000,6888900000,0.0,0.0,2733100000.0,9622000000,0.0,12932200000,2839700000.0,4331100000,-330000000.0,0.0,4526000000,17458200000,0.0,7896900000,7713800000,https://www.sec.gov/Archives/edgar/data/23217/000162828015005333/0001628280-15-005333-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000162828015005333/cag-2015x10k.htm,1620589867,15:51:07,20210509
6,2014-05-25,CAG,USD,2014-07-16,2014-07-16 15:17:50,FY,183000000,90000000.0,273000000,1393000000,2293000000,272000000.0,4231000000,3812000000,7837000000.0,3206000000,11043000000,0.0,0.0,281000000,15135000000,0.0,19366000000,1492000000.0,142000000.0,0.0,0.0,34000000.0,2642000000,8768000000,0.0,0.0,2601000000.0,11466000000,0.0,14108000000,2840000000.0,5011000000,-134000000.0,-133000000.0,5259000000,19367000000,90000000.0,8910000000,8727000000,https://www.sec.gov/Archives/edgar/data/23217/000002321714000009/0000023217-14-000009-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000002321714000009/cag-2014x10k.htm,1620589867,15:51:07,20210509
7,2013-05-26,CAG,USD,2013-07-19,2013-07-19 09:43:02,FY,184000000,0.0,184000000,1286000000,2394000000,516000000.0,4380000000,3859000000,8451000000.0,3422000000,11873000000,0.0,0.0,294000000,16025000000,0.0,20405000000,1502000000.0,185000000.0,0.0,0.0,105000000.0,3401000000,8887000000,0.0,0.0,2754000000.0,11740000000,0.0,15141000000,2840000000.0,5130000000,-196000000.0,-195000000.0,5264000000,20405000000,0.0,9072000000,8888000000,https://www.sec.gov/Archives/edgar/data/23217/000144530513001653/0001445305-13-001653-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000144530513001653/cag-2013x10k.htm,1620589867,15:51:07,20210509
8,2012-05-27,CAG,USD,2012-07-20,2012-07-20 11:02:21,FY,103000000,0.0,103000000,925000000,1870000000,321000000.0,3219000000,2742000000,4015000000.0,1192000000,5207000000,0.0,0.0,274000000,8223000000,0.0,11442000000,1190000000.0,40000000.0,0.0,0.0,995000000.0,2225000000,2859000000,0.0,0.0,1822000000.0,4777000000,0.0,7002000000,2840000000.0,4765000000,-299000000.0,-298000000.0,4440000000,11442000000,0.0,2899000000,2796000000,https://www.sec.gov/Archives/edgar/data/23217/000119312512308387/0001193125-12-308387-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000119312512308387/d357714d10k.htm,1620589867,15:51:07,20210509
9,2011-05-29,CAG,USD,2011-07-19,2011-07-19 15:15:45,FY,972000000,0.0,972000000,849000000,1803000000,275000000.0,3899000000,2670000000,3609000000.0,936000000,4545000000,0.0,0.0,294000000,7510000000,0.0,11409000000,1084000000.0,0.0,0.0,0.0,1042000000.0,2126000000,2870000000,0.0,0.0,1704000000.0,4581000000,0.0,6707000000,2840000000.0,4854000000,-91000000.0,-221000000.0,4702000000,11409000000,0.0,3234000000,2262000000,https://www.sec.gov/Archives/edgar/data/23217/000095012311066520/0000950123-11-066520-index.htm,https://www.sec.gov/Archives/edgar/data/23217/000095012311066520/c64679e10vk.htm,1620589867,15:51:07,20210509
