,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,timestamp,est_time,est_date
0,2019-12-31,CBMG,USD,2020-02-28,2020-02-28 16:12:32,FY,15443649.0,0.0,15443649.0,750943.0,0.0,0.0,34029640.0,41540577.0,7678789.0,7376940.0,15055729.0,0.0,0.0,0.0,63294660.0,0.0,97324300.0,2039686.0,14334398.0,0.0,0.0,5367708.0,23672866.0,0.0,0.0,0.0,17933743.0,17933743.0,0.0,41606609.0,20360.0,-199966543.0,-9978831.0,0.0,55717691.0,97324300.0,0.0,14334398.0,-1109251.0,https://www.sec.gov/Archives/edgar/data/1378624/000165495420002065/0001654954-20-002065-index.htm,https://www.sec.gov/Archives/edgar/data/1378624/000165495420002065/cbmg_10k.htm,1620589983,15:53:03,20210509
1,2018-12-31,CBMG,USD,2019-02-19,2019-02-19 17:01:58,FY,52812880.0,0.0,52812880.0,102696.0,0.0,0.0,54607711.0,15193761.0,7678789.0,7970692.0,15649481.0,0.0,0.0,0.0,37035435.0,0.0,91643146.0,422752.0,0.0,0.0,0.0,3836308.0,6166936.0,0.0,0.0,0.0,257818.0,257818.0,0.0,6424754.0,19121.0,-149982489.0,-6863205.0,0.0,85218392.0,91643146.0,0.0,0.0,-52812880.0,https://www.sec.gov/Archives/edgar/data/1378624/000165495419001756/0001654954-19-001756-index.htm,https://www.sec.gov/Archives/edgar/data/1378624/000165495419001756/cbmg_10k.htm,1620589983,15:53:03,20210509
2,2017-12-31,CBMG,USD,2018-03-05,2018-03-05 16:51:33,FY,21568422.0,0.0,21568422.0,1105827.0,0.0,0.0,24526944.0,12973342.0,7678789.0,12419692.0,20098481.0,0.0,0.0,0.0,36635352.0,0.0,61162296.0,225287.0,0.0,0.0,0.0,2324632.0,3676121.0,0.0,0.0,0.0,183649.0,183649.0,0.0,3859770.0,15616.0,-111036997.0,-3842108.0,0.0,57302526.0,61162296.0,0.0,0.0,-21568422.0,https://www.sec.gov/Archives/edgar/data/1378624/000165495418002152/0001654954-18-002152-index.htm,https://www.sec.gov/Archives/edgar/data/1378624/000165495418002152/cbmg_10k.htm,1620589983,15:53:03,20210509
3,2016-12-31,CBMG,USD,2017-03-13,2017-03-13 16:16:44,FY,39252432.0,0.0,39252432.0,452701.0,0.0,0.0,40692084.0,4117739.0,7678789.0,14092581.0,21771370.0,0.0,0.0,0.0,27936383.0,0.0,68628467.0,216154.0,0.0,0.0,0.0,950220.0,2364036.0,0.0,0.0,0.0,370477.0,370477.0,0.0,2734513.0,14281.0,-85546687.0,-2557979.0,0.0,65893954.0,68628467.0,0.0,0.0,-39252432.0,https://www.sec.gov/Archives/edgar/data/1378624/000165495417001934/0001654954-17-001934-index.htm,https://www.sec.gov/Archives/edgar/data/1378624/000165495417001934/cbmg10-k.htm,1620589983,15:53:03,20210509
4,2015-12-31,CBMG,USD,2016-03-14,2016-03-11 21:48:09,FY,14884597.0,0.0,14884597.0,1051758.0,390886.0,0.0,16694291.0,2768900.0,7678789.0,15949100.0,23627889.0,0.0,0.0,0.0,32766131.0,0.0,49460422.0,260886.0,0.0,0.0,0.0,1913284.0,3019257.0,0.0,0.0,0.0,76229.0,76229.0,0.0,3095486.0,11711.0,-57338311.0,-2185866.0,0.0,46364936.0,49460422.0,0.0,0.0,-14884597.0,https://www.sec.gov/Archives/edgar/data/1378624/000135448816006531/0001354488-16-006531-index.htm,https://www.sec.gov/Archives/edgar/data/1378624/000135448816006531/cbmg_10k.htm,1620589983,15:53:03,20210509
5,2014-12-31,CBMG,USD,2015-03-31,2015-03-31 08:15:57,FY,14770584.0,0.0,14770584.0,276986.0,372249.0,110347.0,16095465.0,1280410.0,7678789.0,11156676.0,18835465.0,0.0,0.0,0.0,27589637.0,0.0,43685102.0,426917.0,0.0,0.0,0.0,724479.0,4076322.0,0.0,0.0,0.0,452689.0,452689.0,0.0,4529011.0,10990.0,-37890590.0,-1743513.0,0.0,39156091.0,43685102.0,0.0,36254.0,-14734330.0,https://www.sec.gov/Archives/edgar/data/1378624/000135448815001428/0001354488-15-001428-index.htm,https://www.sec.gov/Archives/edgar/data/1378624/000135448815001428/cbmg_10k.htm,1620589983,15:53:03,20210509
6,2013-12-31,CBMG,USD,2014-04-15,2014-04-01 10:05:34,FY,7175215.0,0.0,7175215.0,89102.0,119119.0,134661.0,7575008.0,1014805.0,3299566.0,601456.0,3901022.0,0.0,0.0,0.0,10021718.0,0.0,17596726.0,213891.0,0.0,0.0,0.0,1416046.0,2201653.0,0.0,0.0,0.0,0.0,0.0,0.0,2201653.0,7383.0,-22415979.0,-884425.0,0.0,15395073.0,17596726.0,0.0,67999.0,-7107216.0,https://www.sec.gov/Archives/edgar/data/1378624/000135448814001924/0001354488-14-001924-index.htm,https://www.sec.gov/Archives/edgar/data/1378624/000135448814001924/cbmg_10k.htm,1620589983,15:53:03,20210509
7,2012-12-31,CBMG,USD,2013-04-04,2013-04-04 16:52:32,FY,757457.0,0.0,757457.0,2646716.0,0.0,50000.0,3454173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1839483.0,0.0,5293656.0,177161.0,0.0,0.0,251834.0,571844.0,2383918.0,0.0,0.0,110930.0,0.0,110930.0,0.0,2494848.0,1569.0,514907.0,0.0,0.0,2798808.0,5293656.0,0.0,32635.0,-724822.0,https://www.sec.gov/Archives/edgar/data/1378624/000135448813001757/0001354488-13-001757-index.htm,https://www.sec.gov/Archives/edgar/data/1378624/000135448813001757/ebig_fs.htm,1620589983,15:53:03,20210509
8,2011-12-31,CBMG,USD,2012-03-30,2012-03-30 14:01:30,FY,602747.0,0.0,602747.0,0.0,0.0,0.0,602747.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,942483.0,0.0,1545230.0,397646.0,0.0,0.0,376104.0,100000.0,1970886.0,0.0,0.0,0.0,0.0,0.0,0.0,1970886.0,0.0,-6592860.0,0.0,0.0,-425656.0,1545230.0,0.0,115133.0,-487614.0,https://www.sec.gov/Archives/edgar/data/1378624/000135448812001544/0001354488-12-001544-index.htm,https://www.sec.gov/Archives/edgar/data/1378624/000135448812001544/ebig_10k.htm,1620589983,15:53:03,20210509
9,2010-12-31,CBMG,USD,2011-04-14,2011-04-14 17:16:02,FY,49898.0,0.0,49898.0,0.0,0.0,0.0,49898.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1614082.0,0.0,1663980.0,512077.0,18750.0,0.0,334871.0,153000.0,1605117.0,0.0,0.0,0.0,0.0,0.0,0.0,1605117.0,0.0,-5613378.0,0.0,0.0,58863.0,1663980.0,0.0,18750.0,-31148.0,https://www.sec.gov/Archives/edgar/data/1378624/000135448811001192/0001354488-11-001192-index.htm,https://www.sec.gov/Archives/edgar/data/1378624/000135448811001192/ebig_10k.htm,1620589983,15:53:03,20210509
10,2009-12-31,CBMG,USD,2010-04-15,2010-04-15 09:55:03,FY,162609.0,0.0,162609.0,0.0,0.0,0.0,162609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23322.0,0.0,185931.0,333786.0,63750.0,0.0,203271.0,100000.0,1064005.0,0.0,0.0,0.0,0.0,0.0,0.0,1064005.0,0.0,-5438424.0,0.0,0.0,-878074.0,185931.0,0.0,63750.0,-98859.0,https://www.sec.gov/Archives/edgar/data/1378624/000135448810001184/0001354488-10-001184-index.htm,https://www.sec.gov/Archives/edgar/data/1378624/000135448810001184/ebig_10k.htm,1620589983,15:53:03,20210509
11,2008-12-31,CBMG,USD,2009-03-31,2009-03-31 13:20:05,FY,4347.0,0.0,4347.0,0.0,0.0,0.0,4347.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53375.0,0.0,57722.0,26287.0,100000.0,0.0,0.0,33300.0,541096.0,0.0,0.0,0.0,0.0,0.0,0.0,541096.0,0.0,-4685200.0,0.0,0.0,-483375.0,57721.0,0.0,100000.0,95653.0,https://www.sec.gov/Archives/edgar/data/1378624/000135448809000373/0001354488-09-000373-index.htm,https://www.sec.gov/Archives/edgar/data/1378624/000135448809000373/eastb10k.htm,1620589983,15:53:03,20210509
12,2007-12-31,CBMG,USD,2008-03-14,2008-03-14 08:17:40,FY,59162.0,0.0,59162.0,295381.0,0.0,0.0,354543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148800.0,0.0,503343.0,324298.0,0.0,0.0,0.0,30219.0,575625.0,0.0,0.0,0.0,0.0,0.0,0.0,575625.0,0.0,-3451898.0,0.0,0.0,-73773.0,501852.0,0.0,0.0,-59162.0,https://www.sec.gov/Archives/edgar/data/1378624/000114036108006697/0001140361-08-006697-index.htm,https://www.sec.gov/Archives/edgar/data/1378624/000114036108006697/form10ksb.htm,1620589983,15:53:03,20210509
