,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,timestamp,est_time,est_date
0,2020-06-30,CDT.AX,AUD,2020-06-30,2020-06-30,FY,434475.0,0.0,434475.0,62649.0,0.0,0.0,497124.0,8846.0,0.0,0.0,0.0,0.0,0.0,0.0,8846.0,0.0,505970.0,35504.0,0.0,0.0,0.0,0.0,160039.0,0.0,0.0,0.0,0.0,0.0,0.0,160039.0,26809646.0,-27486848.0,0.0,0.0,345931.0,505970.0,0.0,0.0,-434475.0,,,1620590085,15:54:45,20210509
1,2019-06-30,CDT.AX,AUD,2019-06-30,2019-06-30,FY,242288.0,112804.0,355092.0,0.0,0.0,0.0,355092.0,11061.0,0.0,0.0,0.0,0.0,0.0,0.0,11061.0,0.0,366153.0,123535.0,112804.0,0.0,0.0,0.0,244382.0,0.0,0.0,0.0,0.0,0.0,0.0,244382.0,25908754.0,-26711601.0,0.0,0.0,121771.0,366153.0,0.0,0.0,-242288.0,,,1620590085,15:54:45,20210509
2,2018-06-30,CDT.AX,AUD,2018-06-30,2018-06-30,FY,685260.0,31585.0,716845.0,0.0,0.0,0.0,716845.0,13829.0,0.0,0.0,0.0,0.0,0.0,0.0,13829.0,0.0,730674.0,99374.0,31585.0,0.0,0.0,0.0,144581.0,0.0,0.0,0.0,0.0,0.0,0.0,144581.0,25878754.0,-26216863.0,0.0,0.0,586093.0,730674.0,0.0,0.0,-685260.0,,,1620590085,15:54:45,20210509
3,2017-06-30,CDT.AX,AUD,2017-06-30,2017-06-30,FY,288516.0,14101.0,302617.0,6175.0,0.0,0.0,308792.0,34922.0,0.0,0.0,0.0,0.0,0.0,0.0,34922.0,0.0,343714.0,324443.0,14101.0,0.0,0.0,0.0,324443.0,0.0,0.0,0.0,0.0,0.0,0.0,324443.0,23696603.0,-24601370.0,-787986.0,0.0,19271.0,343714.0,0.0,0.0,-288516.0,,,1620590085,15:54:45,20210509
4,2016-06-30,CDT.AX,AUD,2016-06-30,2016-06-30,FY,184809.0,9870.0,194679.0,7625.0,0.0,0.0,202304.0,43157.0,0.0,0.0,0.0,0.0,0.0,0.0,43157.0,0.0,245461.0,180219.0,9870.0,0.0,0.0,0.0,576546.0,0.0,0.0,0.0,0.0,0.0,0.0,576546.0,23394210.0,-24610281.0,-803195.0,0.0,-331085.0,245461.0,0.0,0.0,-184809.0,,,1620590085,15:54:45,20210509
5,2015-06-30,CDT.AX,AUD,2015-06-30,2015-06-30,FY,182518.0,34000.0,216518.0,18719.0,0.0,0.0,235237.0,237929.0,0.0,0.0,0.0,0.0,0.0,0.0,237929.0,0.0,473166.0,57667.0,34000.0,0.0,0.0,0.0,429550.0,0.0,0.0,0.0,0.0,0.0,0.0,429550.0,23222885.0,-24129984.0,-586779.0,0.0,43616.0,473166.0,0.0,0.0,-182518.0,,,1620590085,15:54:45,20210509
6,2014-06-30,CDT.AX,AUD,2014-06-30,2014-06-30,FY,310480.0,76000.0,386480.0,157333.0,0.0,0.0,543813.0,344113.0,0.0,0.0,0.0,0.0,0.0,0.0,344113.0,0.0,887926.0,83482.0,76000.0,0.0,0.0,0.0,164380.0,0.0,0.0,0.0,0.0,0.0,0.0,164380.0,23192885.0,-23354063.0,-439637.0,0.0,723546.0,887926.0,0.0,0.0,-310480.0,,,1620590085,15:54:45,20210509
7,2013-06-30,CDT.AX,AUD,2013-06-30,2013-06-30,FY,1636882.0,0.0,1636882.0,211696.0,0.0,0.0,1848578.0,469007.0,0.0,0.0,0.0,0.0,0.0,0.0,469007.0,0.0,2317585.0,74847.0,0.0,0.0,0.0,0.0,181808.0,0.0,0.0,0.0,0.0,0.0,0.0,181808.0,23044308.0,-21853741.0,-326099.0,0.0,2135777.0,2317585.0,0.0,0.0,-1636882.0,,,1620590085,15:54:45,20210509
8,2012-06-30,CDT.AX,AUD,2012-06-30,2012-06-30,FY,3443660.0,0.0,3443660.0,166478.0,0.0,0.0,3610138.0,567455.0,0.0,0.0,0.0,0.0,0.0,0.0,567455.0,0.0,4177593.0,424437.0,0.0,0.0,0.0,0.0,586602.0,0.0,0.0,0.0,0.0,0.0,0.0,586602.0,22531287.0,-19753925.0,-160465.0,0.0,3590991.0,4177593.0,0.0,0.0,-3443660.0,,,1620590085,15:54:45,20210509
9,2011-06-30,CDT.AX,AUD,2011-06-30,2011-06-30,FY,8771704.0,0.0,8771704.0,55627.0,0.0,0.0,8827331.0,55781.0,0.0,0.0,0.0,0.0,0.0,0.0,55781.0,0.0,8883112.0,902087.0,0.0,0.0,0.0,0.0,1001143.0,0.0,0.0,0.0,0.0,0.0,0.0,1001143.0,22479687.0,-15215822.0,-78728.0,0.0,7881969.0,8883112.0,0.0,0.0,-8771704.0,,,1620590085,15:54:45,20210509
10,2010-06-30,CDT.AX,AUD,2010-06-30,2010-06-30,FY,7752962.0,0.0,7752962.0,94254.0,0.0,0.0,7847216.0,24506.0,0.0,0.0,0.0,0.0,0.0,0.0,24506.0,0.0,7871722.0,249785.0,0.0,0.0,0.0,0.0,918513.0,0.0,0.0,0.0,0.0,0.0,0.0,918513.0,16716725.0,-10162383.0,-58884.0,0.0,6953209.0,7871722.0,0.0,0.0,-7752962.0,,,1620590085,15:54:45,20210509
11,2009-06-30,CDT.AX,AUD,2009-06-30,2009-06-30,FY,794641.0,0.0,794641.0,52916.0,0.0,0.0,847557.0,22102.0,0.0,0.0,0.0,0.0,0.0,0.0,22102.0,0.0,869659.0,37668.0,0.0,0.0,0.0,0.0,103381.0,0.0,0.0,0.0,0.0,0.0,0.0,103381.0,7571552.0,-7184792.0,-48013.0,0.0,766278.0,869659.0,0.0,0.0,-794641.0,,,1620590085,15:54:45,20210509
12,2008-06-30,CDT.AX,AUD,2008-06-30,2008-06-30,FY,1405470.0,0.0,1405470.0,57768.0,0.0,0.0,1463238.0,35500.0,0.0,0.0,0.0,0.0,0.0,0.0,35500.0,0.0,1498738.0,53806.0,0.0,0.0,0.0,0.0,113581.0,0.0,0.0,0.0,0.0,0.0,0.0,113581.0,6516372.0,-5422754.0,-34615.0,0.0,1385157.0,1498738.0,0.0,0.0,-1405470.0,,,1620590085,15:54:45,20210509
