,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,DAI.DE,EUR,2020-12-31,2020-12-31,FY,23048000000,5403000000.0,28451000000,0.0,26314000000,792000000.0,115264000000,82798000000,1221000000.0,15178000000.0,16399000000,5189000000.0,6259000000.0,507000000,170473000000,0.0,285737000000,12378000000.0,58625000000.0,0.0,0.0,189000000.0,99809000000,83470000000.0,7354000000.0,3649000000.0,27000000.0,123680000000,0.0,223489000000,3070000000.0,47111000000,-70325000000,0.0,60691000000,284180000000,10592000000.0,142095000000.0,119047000000,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620590963,16:09:23,20210509
1,2019-12-31,DAI.DE,EUR,2019-12-31,2019-12-31,FY,18883000000,7892000000.0,26775000000,70687000000.0,29533000000,1029000000.0,127800000000,88625000000,1217000000.0,14761000000.0,15978000000,5949000000.0,5803000000.0,576000000,174638000000,0.0,302438000000,12707000000.0,7892000000.0,0.0,0.0,751000000.0,105802000000,95642000000.0,7658000000.0,3935000000.0,589000000.0,133795000000,0.0,239597000000,3070000000.0,46329000000,-67749000000,0.0,61344000000,300941000000,13841000000.0,103534000000.0,84651000000,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620590963,16:09:23,20210509
2,2018-12-31,DAI.DE,EUR,2018-12-31,2018-12-31,FY,15853000000,8946000000.0,24799000000,68529000000.0,29155000000,1044000000.0,121613000000,80424000000,1082000000.0,13719000000.0,14801000000,4860000000.0,4021000000.0,599000000,160006000000,0.0,281619000000,14185000000.0,8946000000.0,0.0,0.0,673000000.0,97952000000,88342000000.0,7050000000.0,4390000000.0,543000000.0,117614000000,0.0,215566000000,3070000000.0,49490000000,-63983000000,0.0,64667000000,280233000000,13806000000.0,97288000000.0,81435000000,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620590963,16:09:23,20210509
3,2017-12-31,DAI.DE,EUR,2017-12-31,2017-12-31,FY,12072000000,9127000000.0,21199000000,58057000000.0,25389000000,986000000.0,106735000000,75695000000,1115000000.0,12620000000.0,13735000000,4818000000.0,2853000000.0,522000000,148870000000,0.0,255605000000,12474000000.0,9127000000.0,0.0,0.0,884000000.0,87105000000,78053000000.0,5802000000.0,3448000000.0,539000000.0,103186000000,0.0,190291000000,3070000000.0,47682000000,-58643000000,0.0,64023000000,254314000000,13945000000.0,87180000000.0,75108000000,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620590963,16:09:23,20210509
4,2016-12-31,DAI.DE,EUR,2016-12-31,2016-12-31,FY,10981000000,9729000000.0,20710000000,53382000000.0,25146000000,757000000.0,102052000000,73323000000,1188000000.0,10910000000.0,12098000000,4098000000.0,3870000000.0,466000000,140936000000,0.0,242988000000,11567000000.0,9729000000.0,0.0,0.0,819000000.0,84457000000,70195000000.0,5559000000.0,4433000000.0,560000000.0,99398000000,0.0,183855000000,3070000000.0,40794000000,-56224000000,0.0,57950000000,241805000000,13827000000.0,79924000000.0,68943000000,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620590963,16:09:23,20210509
5,2015-12-31,DAI.DE,EUR,2015-12-31,2015-12-31,FY,9936000000,7289000000.0,17225000000,49059000000.0,23623000000,738000000.0,91847000000,63264000000,727000000.0,9342000000.0,10069000000,3633000000.0,3284000000.0,489000000,125319000000,0.0,217166000000,10548000000.0,7289000000.0,0.0,0.0,783000000.0,77081000000,59611000000.0,4851000000.0,3090000000.0,556000000.0,85461000000,0.0,162542000000,3070000000.0,36991000000,-52187000000,0.0,53561000000,216103000000,10922000000.0,66900000000.0,56964000000,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620590963,16:09:23,20210509
6,2014-12-31,DAI.DE,EUR,2014-12-31,2014-12-31,FY,9667000000,5302000000.0,14969000000,47061000000.0,20757000000,597000000.0,77145000000,56232000000,740000000.0,8627000000.0,9367000000,2294000000.0,4124000000.0,363000000,112490000000,0.0,189635000000,10178000000.0,5302000000.0,0.0,0.0,704000000.0,66974000000,50154000000.0,3581000000.0,1921000000.0,394000000.0,78077000000,0.0,145051000000,3070000000.0,28487000000,-48578000000,0.0,43665000000,188716000000,7596000000.0,55456000000.0,45789000000,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620590963,16:09:23,20210509
7,2013-12-31,DAI.DE,EUR,2013-12-31,2013-12-31,FY,11053000000,5481000000.0,16534000000,10365000000.0,17314000000,485000000.0,70441000000,49939000000,681000000.0,8707000000.0,9388000000,3432000000.0,1829000000.0,328000000,98077000000,0.0,168518000000,9086000000.0,5481000000.0,0.0,0.0,767000000.0,59108000000,44475000000.0,2728000000.0,1715000000.0,113000000.0,66047000000,0.0,125155000000,3069000000.0,27628000000,-45130000000,0.0,42680000000,167835000000,8913000000.0,49956000000.0,38903000000,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620590963,16:09:23,20210509
8,2012-12-31,DAI.DE,EUR,2012-12-31,2012-12-31,FY,10996000000,4162000000.0,15158000000,37993000000.0,17664000000,538000000.0,67458000000,46657000000,729000000.0,8156000000.0,8885000000,4646000000.0,2274000000.0,447000000,95520000000,0.0,162978000000,8832000000.0,4162000000.0,0.0,0.0,1214000000.0,58718000000,43020000000.0,2444000000.0,2706000000.0,8000000.0,58750000000,0.0,117468000000,3063000000.0,27977000000,-44229000000,0.0,43879000000,161347000000,8808000000.0,47182000000.0,36186000000,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620590963,16:09:23,20210509
9,2011-12-31,DAI.DE,EUR,2011-12-31,2011-12-31,FY,9576000000,3341000000.0,12917000000,39568000000.0,17081000000,2711000000.0,61118000000,41991000000,0.0,0.0,8259000000,4661000000.0,2772000000.0,420000000,87014000000,0.0,148132000000,9515000000.0,3341000000.0,0.0,0.0,2171000000.0,54855000000,29416000000.0,2118000000.0,1081000000.0,650000000.0,51940000000,0.0,106795000000,3060000000.0,24228000000,-36541000000,0.0,39624000000,146419000000,8002000000.0,32757000000.0,23181000000,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620590963,16:09:23,20210509
