,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,timestamp,est_time,est_date
0,2020-10-31,DHY,USD,2020-10-31,2020-10-31,FY,14368963.0,0.0,0.0,10601528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343605322,343605322,6339854.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96587982.0,96587982,103507.0,-50841958.0,0.0,0.0,247017340,343605322,0.0,86750000,72381037,,,1620591120,16:12:00,20210509
1,2019-10-31,DHY,USD,2019-10-31,2019-10-31,FY,11835050.0,0.0,0.0,5739924.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370928437,370928437,4714112.0,0.0,0.0,0.0,0.0,96978440.0,0.0,0.0,0.0,0.0,11382270.0,0.0,108360710,103500.0,-35883470.0,0.0,0.0,262567727,370928437,0.0,92000000,80164950,,,1620591120,16:12:00,20210509
2,2018-10-31,DHY,USD,2018-10-31,2018-10-31,FY,3559689.0,0.0,0.0,6712751.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415474979,415474979,3786648.0,0.0,0.0,0.0,0.0,127938720.0,0.0,0.0,0.0,0.0,21304040.0,1.0,149242761,103478.0,-36066681.0,0.0,0.0,266232218,415474979,0.0,124135474,120575785,,,1620591120,16:12:00,20210509
3,2017-10-31,DHY,USD,2017-10-31,2017-10-31,FY,50000.0,0.0,0.0,6339568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422584023,422584023,8939812.0,0.0,0.0,0.0,0.0,125255330.0,0.0,0.0,0.0,0.0,9361980.0,0.0,134617305,102984.0,-94019.0,0.0,0.0,287966718,422584023,0.0,116000000,115950000,,,1620591120,16:12:00,20210509
4,2016-10-31,DHY,USD,2016-10-31,2016-10-31,FY,569917.0,0.0,0.0,8107378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379463697,379463697,5510038.0,0.0,0.0,0.0,0.0,107666080.0,0.0,0.0,0.0,0.0,10188050.0,4.0,117854134,99996.0,-594253.0,0.0,0.0,261609563,379463697,0.0,102000000,101430083,,,1620591120,16:12:00,20210509
5,2015-10-31,DHY,USD,2015-10-31,2015-10-31,FY,64175.0,0.0,0.0,9151577.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400271295,400271295,3214410.0,0.0,0.0,0.0,0.0,129983750.0,0.0,0.0,0.0,0.0,8168740.0,0.0,138152487,99906.0,-125961.0,0.0,0.0,262118808,400271295,0.0,126600000,126535825,,,1620591120,16:12:00,20210509
6,2014-10-31,DHY,USD,2014-10-31,2014-10-31,FY,384.0,0.0,0.0,12277839.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458326568,458326568,3336136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155588354.0,155588354,99519.0,-17722.0,0.0,0.0,302738214,458326568,0.0,144000000,143999616,,,1620591120,16:12:00,20210509
7,2013-10-31,DHY,USD,2013-10-31,2013-10-31,FY,397.0,0.0,0.0,9420672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467100825,467100825,9300780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162306382.0,162306382,97744.0,-519642.0,0.0,0.0,304794443,467100825,0.0,142000000,141999603,,,1620591120,16:12:00,20210509
8,2012-10-31,DHY,USD,2012-10-31,2012-10-31,FY,208.0,0.0,0.0,12336559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416795156,416795156,13743531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140074766.0,140074766,91580.0,-82659734.0,0.0,0.0,276720390,416795156,0.0,116000000,115999792,,,1620591120,16:12:00,20210509
9,2011-10-31,DHY,USD,2011-10-31,2011-10-31,FY,3050167.0,0.0,0.0,7033210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312715416,312715416,2995128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100590994.0,100590994,75228.0,-88085310.0,0.0,0.0,212124422,312715416,0.0,89000000,85949833,,,1620591120,16:12:00,20210509
10,2010-10-31,DHY,USD,2010-10-31,2010-10-31,FY,1700.0,0.0,0.0,6461872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314340501,314340501,23446618.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94193087.0,94193087,74942.0,-97958469.0,0.0,0.0,220147414,314340501,0.0,60500000,60498300,,,1620591120,16:12:00,20210509
11,2009-10-31,DHY,USD,2009-10-31,2009-10-31,FY,0.0,0.0,0.0,5400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192100000.0,0.0,0.0,0.0,197500000,197500000,0.0,42000000.0,0.0,0.0,3600000.0,0.0,0.0,0.0,0.0,0.0,0.0,46000000.0,46000000,100000.0,-172600000.0,-17600000.0,0.0,151500000,197500000,192100000.0,42000000,42000000,,,1620591120,16:12:00,20210509
12,2008-10-31,DHY,USD,2008-10-31,2008-10-31,FY,0.0,0.0,0.0,7000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170200000.0,0.0,0.0,0.0,177500000,177500000,0.0,58600000.0,0.0,0.0,1500000.0,0.0,0.0,0.0,0.0,0.0,0.0,61000000.0,61000000,100000.0,-201300000.0,-92600000.0,0.0,116500000,177500000,170200000.0,58600000,58600000,,,1620591120,16:12:00,20210509
13,2007-10-31,DHY,USD,2007-10-31,2007-10-31,FY,0.0,0.0,0.0,8300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418500000.0,0.0,0.0,0.0,426900000,426900000,0.0,107500000.0,0.0,0.0,89700000.0,0.0,0.0,0.0,0.0,100000.0,0.0,198200000.0,198200000,100000.0,-209400000.0,-9800000.0,0.0,228700000,426900000,418500000.0,107500000,107500000,,,1620591120,16:12:00,20210509
14,2006-10-31,DHY,USD,2006-10-31,2006-10-31,FY,100000.0,0.0,100000.0,13100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385600000.0,0.0,0.0,0.0,398900000,398900000,0.0,108000000.0,0.0,0.0,58100000.0,0.0,0.0,0.0,0.0,0.0,0.0,167100000.0,167100000,100000.0,-240300000.0,-800000.0,0.0,231800000,398900000,385600000.0,108000000,107900000,,,1620591120,16:12:00,20210509
