,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,EDF.PA,EUR,2020-12-31,2020-12-31,FY,6270000000,15634000000,21904000000,184410000.0,14738000000,0.0,68659000000,164027000000,10265000000.0,9583000000.0,19848000000,6794000000,1150000000.0,0.0,239434000000,0.0,308093000000,11900000000,4901000000,0.0,0.0,16861000000,52520000000,49812000000.0,0.0,3115000000,55496000000,200347000000,0.0,252867000000,1550000000,44083000000.0,-142798000000.0,0.0,45633000000,298500000000,22428000000,54713000000.0,48443000000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=E.D.F#phrase=E.D.F,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=E.D.F#phrase=E.D.F,1620591460,16:17:40,20210509
1,2019-12-31,EDF.PA,EUR,2019-12-31,2019-12-31,FY,3934000000,19309000000,23243000000,126770000.0,14049000000,0.0,73819000000,154372000000,10623000000.0,9350000000.0,19973000000,6414000000,557000000.0,0.0,229465000000,0.0,303284000000,12867000000,19309000000,0.0,0.0,16610000000,55044000000,51880000000.0,0.0,2295000000,52393000000,192450000000,0.0,247494000000,1552000000,0.0,-135440000000.0,0.0,46466000000,293960000000,25723000000,71189000000.0,67255000000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=E.D.F#phrase=E.D.F,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=E.D.F#phrase=E.D.F,1620591460,16:17:40,20210509
2,2018-12-31,EDF.PA,EUR,2018-12-31,2018-12-31,FY,3290000000,27244000000,30534000000,103610000.0,14227000000,7346000000.0,72785000000,142106000000,10195000000.0,9918000000.0,20113000000,8287000000,978000000.0,0.0,210384000000,0.0,283169000000,13421000000,27244000000,0.0,0.0,16012000000,52815000000,49978000000.0,0.0,1987000000,51820000000,177708000000,0.0,230523000000,1505000000,42964000000.0,-130272000000.0,0.0,44469000000,274992000000,35531000000,77222000000.0,73932000000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=E.D.F#phrase=E.D.F,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=E.D.F#phrase=E.D.F,1620591460,16:17:40,20210509
3,2017-12-31,EDF.PA,EUR,2017-12-31,2017-12-31,FY,3692000000,21926000000,25618000000,0.0,14138000000,0.0,76428000000,137968000000,10036000000.0,8896000000.0,18932000000,7249000000,1220000000.0,0.0,204324000000,0.0,280752000000,13994000000,21926000000,0.0,0.0,24960000000,55767000000,48574000000.0,0.0,2362000000,51187000000,176287000000,0.0,232054000000,1464000000,39893000000.0,-124661000000.0,0.0,41357000000,273411000000,29175000000,70500000000.0,66808000000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=E.D.F#phrase=E.D.F,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=E.D.F#phrase=E.D.F,1620591460,16:17:40,20210509
4,2016-12-31,EDF.PA,EUR,2016-12-31,2016-12-31,FY,2893000000,22402000000,25295000000,0.0,14101000000,0.0,86331000000,131253000000,8923000000.0,7450000000.0,16373000000,8645000000,1641000000.0,0.0,195309000000,0.0,281640000000,13031000000,22402000000,0.0,0.0,24414000000,63490000000,51575000000.0,0.0,2272000000,50502000000,176788000000,0.0,240278000000,1055000000,33383000000.0,-119827000000.0,0.0,34438000000,274716000000,31047000000,73977000000.0,71084000000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=E.D.F#phrase=E.D.F,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=E.D.F#phrase=E.D.F,1620591460,16:17:40,20210509
5,2015-12-31,EDF.PA,EUR,2015-12-31,2015-12-31,FY,4182000000,23347000000,27529000000,0.0,14714000000,0.0,78196000000,130314000000,10236000000.0,8889000000.0,19125000000,11525000000,2713000000.0,0.0,200745000000,0.0,278941000000,13284000000,23347000000,0.0,0.0,23622000000,60239000000,49307000000.0,0.0,4122000000,50208000000,178462000000,0.0,238701000000,960000000,33789000000.0,-116266000000.0,0.0,34749000000,273450000000,34872000000,72654000000.0,68472000000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=E.D.F#phrase=E.D.F,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=E.D.F#phrase=E.D.F,1620591460,16:17:40,20210509
6,2014-12-31,EDF.PA,EUR,2014-12-31,2014-12-31,FY,4701000000,13474000000,18175000000,0.0,14747000000,0.0,72787000000,127500000000,9694000000.0,8884000000.0,18578000000,10989000000,2626000000.0,0.0,195202000000,0.0,267989000000,14864000000,13474000000,0.0,0.0,23149000000,57892000000,44393000000.0,0.0,4315000000,49302000000,169487000000,0.0,227379000000,930000000,34261000000.0,-108267000000.0,0.0,35191000000,262570000000,24463000000,57867000000.0,53166000000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=E.D.F#phrase=E.D.F,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=E.D.F#phrase=E.D.F,1620591460,16:17:40,20210509
7,2013-12-31,EDF.PA,EUR,2013-12-31,2013-12-31,FY,5459000000,12991000000,18450000000,0.0,14550000000,0.0,73316000000,125327000000,9206000000.0,7976000000.0,17182000000,7813000000,2839000000.0,0.0,183485000000,0.0,256801000000,14312000000,12991000000,0.0,0.0,22457000000,60166000000,38736000000.0,0.0,5004000000,47409000000,157765000000,0.0,217931000000,930000000,33277000000.0,-103608000000.0,0.0,34207000000,252138000000,20804000000,51727000000.0,46268000000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=E.D.F#phrase=E.D.F,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=E.D.F#phrase=E.D.F,1620591460,16:17:40,20210509
8,2012-12-31,EDF.PA,EUR,2012-12-31,2012-12-31,FY,5874000000,11217000000,17091000000,0.0,14213000000,0.0,68326000000,122242000000,10412000000.0,7625000000.0,18037000000,7555000000,3487000000.0,0.0,181792000000,0.0,250118000000,14643000000,11217000000,0.0,0.0,21037000000,58368000000,43111000000.0,0.0,5601000000,46769000000,161038000000,0.0,219406000000,924000000,24934000000.0,-99925000000.0,0.0,25858000000,245264000000,18772000000,54328000000.0,48454000000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=E.D.F#phrase=E.D.F,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=E.D.F#phrase=E.D.F,1620591460,16:17:40,20210509
9,2011-12-31,EDF.PA,EUR,2011-12-31,2011-12-31,FY,5743000000,16980000000,22723000000,0.0,13581000000,0.0,68681000000,111968000000,0.0,0.0,16350000000,7684000000,2507000000.0,0.0,163026000000,0.0,231707000000,13681000000,16980000000,0.0,0.0,19900000000,51315000000,42688000000.0,0.0,4479000000,46758000000,145485000000,0.0,196800000000,924000000,29646000000.0,0.0,0.0,30570000000,227370000000,24664000000,59668000000.0,53925000000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=E.D.F#phrase=E.D.F,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=E.D.F#phrase=E.D.F,1620591460,16:17:40,20210509
