,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,timestamp,est_time,est_date
0,2019-12-31,EIN3.DE,EUR,2019-12-31,2019-12-31,FY,25729000.0,999000.0,26728000.0,0.0,173293000.0,4896000.0,317654000.0,48878000.0,11747000.0,5917000.0,17664000.0,0.0,10248000.0,2139000.0,79753000.0,0.0,397407000.0,78189000.0,999000.0,0.0,0.0,17474000.0,142774000.0,22676000.0,0.0,3634000.0,1000.0,39761000.0,0.0,182535000.0,9662000.0,189565000.0,-52981000.0,0.0,213020000.0,395555000.0,0.0,23675000.0,-2054000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620591540,16:19:00,20210509
1,2018-12-31,EIN3.DE,EUR,2018-12-31,2018-12-31,FY,14097000.0,1208000.0,15305000.0,0.0,188481000.0,21742000.0,318746000.0,25948000.0,11714000.0,4776000.0,16490000.0,0.0,9055000.0,521000.0,53007000.0,0.0,371753000.0,68483000.0,1208000.0,0.0,0.0,25542000.0,140476000.0,25038000.0,0.0,3110000.0,100000.0,32649000.0,0.0,173125000.0,9662000.0,173356000.0,0.0,0.0,196487000.0,369612000.0,0.0,26246000.0,12149000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620591540,16:19:00,20210509
2,2017-12-31,EIN3.DE,EUR,2017-12-31,2017-12-31,FY,14400000.0,1227000.0,15627000.0,0.0,178468000.0,20901000.0,303071000.0,22104000.0,12337000.0,5524000.0,17861000.0,0.0,8498000.0,517000.0,49693000.0,0.0,352764000.0,85439000.0,1227000.0,0.0,0.0,27208000.0,164044000.0,0.0,0.0,3138000.0,0.0,7148000.0,0.0,171192000.0,9662000.0,151918000.0,0.0,0.0,179531000.0,350723000.0,0.0,22427000.0,8027000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620591540,16:19:00,20210509
3,2016-12-31,EIN3.DE,EUR,2016-12-31,2016-12-31,FY,54704000.0,270000.0,54974000.0,0.0,127382000.0,18798000.0,276127000.0,19884000.0,12764000.0,6988000.0,19752000.0,0.0,6688000.0,424000.0,47136000.0,0.0,323263000.0,70344000.0,270000.0,0.0,0.0,27250000.0,121368000.0,30000000.0,0.0,3051000.0,715000.0,37817000.0,0.0,159185000.0,9662000.0,132905000.0,-41066000.0,0.0,162196000.0,321381000.0,0.0,30270000.0,-24434000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620591540,16:19:00,20210509
4,2015-12-31,EIN3.DE,EUR,2015-12-31,2015-12-31,FY,24306000.0,1070000.0,25376000.0,0.0,138158000.0,19657000.0,250730000.0,19550000.0,13147000.0,9009000.0,22156000.0,0.0,5869000.0,1742000.0,50028000.0,0.0,300758000.0,62529000.0,1070000.0,0.0,0.0,21431000.0,101764000.0,30000000.0,0.0,3152000.0,4316000.0,41060000.0,0.0,142824000.0,9662000.0,128484000.0,-37807000.0,0.0,156279000.0,299103000.0,0.0,31070000.0,6764000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620591540,16:19:00,20210509
5,2014-12-31,EIN3.DE,EUR,2014-12-31,2014-12-31,FY,36254000.0,1792000.0,38046000.0,0.0,109508000.0,18883000.0,242504000.0,18618000.0,13382000.0,10607000.0,23989000.0,0.0,6228000.0,1149000.0,51010000.0,0.0,293514000.0,55269000.0,1792000.0,0.0,0.0,18205000.0,87032000.0,30000000.0,0.0,5828000.0,7749000.0,46894000.0,0.0,133926000.0,9662000.0,122575000.0,-35430000.0,0.0,157987000.0,291913000.0,0.0,31792000.0,-4462000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620591540,16:19:00,20210509
6,2013-12-31,EIN3.DE,EUR,2013-12-31,2013-12-31,FY,59006000.0,1133000.0,60139000.0,0.0,104732000.0,18598000.0,254786000.0,18287000.0,15215000.0,12264000.0,27479000.0,0.0,6835000.0,1323000.0,55256000.0,0.0,310042000.0,52601000.0,1133000.0,0.0,0.0,17933000.0,103337000.0,30000000.0,0.0,4484000.0,11365000.0,48454000.0,0.0,151791000.0,9662000.0,123851000.0,-32736000.0,0.0,155787000.0,307578000.0,0.0,31133000.0,-27873000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620591540,16:19:00,20210509
7,2012-12-31,EIN3.DE,EUR,2012-12-31,2012-12-31,FY,5618000.0,267000.0,5885000.0,0.0,124329000.0,18902000.0,221640000.0,17961000.0,9115000.0,1335000.0,10450000.0,0.0,6481000.0,1194000.0,37719000.0,0.0,259359000.0,32613000.0,267000.0,0.0,0.0,15214000.0,73062000.0,20584000.0,0.0,906000.0,1935000.0,26020000.0,0.0,99082000.0,9662000.0,123241000.0,-30117000.0,0.0,157260000.0,256342000.0,0.0,20851000.0,15233000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620591540,16:19:00,20210509
8,2011-12-31,EIN3.DE,EUR,2011-12-31,2011-12-31,FY,13709000.0,9872000.0,23581000.0,0.0,110449000.0,12389000.0,208599000.0,17943000.0,0.0,9033000.0,9033000.0,0.0,6942000.0,2319000.0,36590000.0,0.0,245189000.0,27707000.0,9872000.0,0.0,0.0,13690000.0,53633000.0,0.0,0.0,3339000.0,2200000.0,28374000.0,0.0,82007000.0,9662000.0,120740000.0,-28132000.0,0.0,160792000.0,242799000.0,0.0,0.0,-13709000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620591540,16:19:00,20210509
9,2010-12-31,EIN3.DE,EUR,2010-12-31,2010-12-31,FY,44462201.86,0.0,44462201.86,0.0,95638603.89,15205733.16,217793825.7,17226901.9,8248594.86,777657.3,9026252.16,0.0,7205351.51,1762320.47,35587963.91,2.9802322387695312e-08,253381789.61,27814042.07,0.0,0.0,0.0,19413134.1,62113624.09,0.0,0.0,905572.84,2220366.89,46233927.35,0.0,108347551.44,9662464.0,92936366.1,-26184583.31,0.0,142790804.93,251138356.37,0.0,0.0,-44462201.86,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620591540,16:19:00,20210509
