,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,timestamp,est_time,est_date
0,2020-03-31,FDC.NS,INR,2020-03-31,2020-03-31,FY,298769000,5022412000.0,5321181000,0.0,2099634000,0.0,9271308000,6911335000,0.0,62195000.0,62195000,0.0,0.0,0.0,8857983000,0.0,18129291000,1178573000.0,5022412000.0,0.0,0.0,0.0,2463387000,3436000.0,0.0,92063000,0.0,191608000,0.0,2654995000,170973000,13317353000.0,-1589306000,0.0,15474296000,18129291000,0.0,5025848000,4727079000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620591997,16:26:37,20210509
1,2019-03-31,FDC.NS,INR,2019-03-31,2019-03-31,FY,199163000,4059277000.0,4258440000,0.0,1737889000,1842000.0,7399985000,6881284000,0.0,64383000.0,64383000,0.0,0.0,0.0,8998861000,0.0,16398846000,776139000.0,4059277000.0,0.0,0.0,0.0,1790575000,4901000.0,0.0,133250000,0.0,155911000,0.0,1946486000,175189000,11089889000.0,-1298792000,0.0,14452360000,16398846000,0.0,4064178000,3865015000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620591997,16:26:37,20210509
2,2018-03-31,FDC.NS,INR,2018-03-31,2018-03-31,FY,281292000,3971575000.0,4252867000,0.0,1604886000,312191000.0,7212466000,6784011000,0.0,80867000.0,80867000,0.0,0.0,0.0,7828856000,0.0,15041322000,973186000.0,3971575000.0,0.0,0.0,0.0,2103742000,6045000.0,0.0,151623000,0.0,176478000,0.0,2280220000,175189000,9395874000.0,-988299000,0.0,12761102000,15041322000,0.0,3977620000,3696328000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620591997,16:26:37,20210509
3,2017-03-31,FDC.NS,INR,2017-03-31,2017-03-31,FY,270620000,4365270000.0,4635890000,0.0,1371634000,141005000.0,7082139000,6745490000,0.0,98264000.0,98264000,0.0,0.0,0.0,7490587000,0.0,14572726000,778748000.0,4365270000.0,0.0,0.0,0.0,1686508000,6948000.0,0.0,173697000,0.0,184245000,0.0,1870753000,178619000,8159060000.0,-655161000,0.0,12701973000,14572726000,0.0,4372218000,4101598000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620591997,16:26:37,20210509
4,2016-03-31,FDC.NS,INR,2016-03-31,2016-03-31,FY,165265000,2570410000.0,2735675000,0.0,1310018000,0.0,4954373000,6912387000,0.0,38965000.0,38965000,0.0,2174000.0,0.0,7383050000,0.0,12337423000,827269000.0,2570410000.0,0.0,0.0,198338000.0,1638073000,7863000.0,0.0,187297000,0.0,200160000,0.0,1838233000,178619000,6158366000.0,-2572355000,0.0,10499190000,12337423000,0.0,2578273000,2413008000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620591997,16:26:37,20210509
5,2015-03-31,FDC.NS,INR,2015-03-31,2015-03-31,FY,137527000,2725281000.0,2862808000,0.0,1232180000,0.0,5021273000,4195660000,0.0,22795000.0,22795000,0.0,2763000.0,0.0,6465496000,0.0,11486769000,871723000.0,2725281000.0,0.0,0.0,180634000.0,1879681000,8979000.0,0.0,228764000,-2000.0,243315000,0.0,2122996000,178619000,4974850000.0,-2292593000,0.0,9363773000,11486769000,0.0,2734260000,2596733000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620591997,16:26:37,20210509
6,2014-03-31,FDC.NS,INR,2014-03-31,2014-03-31,FY,145943000,2365216000.0,2511159000,0.0,1030022000,0.0,4355246000,2996732000,0.0,28290000.0,28290000,0.0,2870000.0,0.0,6202230000,0.0,10557476000,788221000.0,2365216000.0,0.0,0.0,200419000.0,1791907000,10707000.0,0.0,301893000,0.0,312600000,0.0,2104507000,178619000,4474973000.0,-1802142000,0.0,8452969000,10557476000,0.0,2375923000,2229980000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620591997,16:26:37,20210509
7,2013-03-31,FDC.NS,INR,2013-03-31,2013-03-31,FY,36779000,2024172000.0,2060951000,0.0,997066000,104642000.0,4072998000,2925185000,0.0,38972000.0,38972000,0.0,2639000.0,0.0,5589702000,0.0,9662700000,610373000.0,2024172000.0,0.0,0.0,184158000.0,1504414000,14663000.0,0.0,301182000,0.0,315845000,0.0,1820259000,181619000,4085543000.0,-1593943000,0.0,7842441000,9662700000,0.0,2038835000,2002056000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620591997,16:26:37,20210509
8,2012-03-31,FDC.NS,INR,2012-03-31,2012-03-31,FY,167754000,2775041000.0,2942795000,0.0,1029150000,48345000.0,4440031000,2953573000,0.0,84060000.0,84060000,0.0,2613000.0,9586000.0,4188275000,0.0,8628306000,576125000.0,2775041000.0,0.0,0.0,301195000.0,1349303000,20100000.0,0.0,284867000,0.0,324769000,0.0,1674072000,183706000,3506337000.0,-1337986000,0.0,6954234000,8628306000,0.0,2795141000,2627387000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620591997,16:26:37,20210509
9,2011-03-31,FDC.NS,INR,2011-03-31,2011-03-31,FY,180641000,621020000.0,801661000,0.0,974208000,0.0,2183349000,2845681000,0.0,38631000.0,38631000,0.0,2225000.0,0.0,5515193000,0.0,7698542000,376610000.0,621020000.0,0.0,0.0,243941000.0,1238359000,45158000.0,0.0,251109000,0.0,296267000,0.0,1534626000,185356000,0.0,-1173018000,0.0,6163916000,7698542000,0.0,666178000,485537000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620591997,16:26:37,20210509
