,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,timestamp,est_time,est_date
0,2020-03-31,GMDCLTD.NS,INR,2020-03-31,2020-03-31,FY,951193000,65576000.0,1016769000,0.0,951180000,222673000,16186379000,16201054000,0.0,3517712000.0,3517712000.0,131733000.0,0.0,1000.0,35921876000,0.0,52108255000,1368352000,65576000.0,0.0,0.0,97671000,2965943000,0.0,0.0,1113626000.0,203951000.0,6661156000,0.0,9627099000,636000000,13154498000.0,-5012543000,0.0,42481156000,52108255000,197309000.0,3019000.0,-948174000,,,1620592639,16:37:19,20210509
1,2019-03-31,GMDCLTD.NS,INR,2019-03-31,2019-03-31,FY,467636000,198325000.0,665961000,0.0,981343000,1283218000,15038792000,16825944000,0.0,3577616000.0,3577616000.0,111800000.0,0.0,501358000.0,37028173000,0.0,52066965000,1095999000,198325000.0,0.0,0.0,131810000,2461989000,0.0,0.0,1197114000.0,244194000.0,6433924000,0.0,8895913000,636000000,12230606000.0,-4152832000,0.0,43171052000,52066965000,310125000.0,0.0,-467636000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620592639,16:37:19,20210509
2,2018-03-31,GMDCLTD.NS,INR,2018-03-31,2018-03-31,FY,559970000,181602000.0,741572000,0.0,724300000,989502000,14663789000,17441785000,0.0,3291332000.0,3291332000.0,2254021000.0,0.0,456121000.0,39566444000,0.0,54230233000,1095911000,181602000.0,0.0,0.0,167999000,4038159000,0.0,250163000.0,1492300000.0,262462000.0,6673004000,0.0,10711163000,636000000,11308269000.0,-3325154000,0.0,43519070000,54230233000,2435623000.0,0.0,-559970000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620592639,16:37:19,20210509
3,2017-03-31,GMDCLTD.NS,INR,2017-03-31,2017-03-31,FY,496956000,106256000.0,603212000,0.0,688416000,1139597000,14401663000,17860120000,0.0,1915137000.0,1915137000.0,2049785000.0,0.0,2245132000.0,36811447000,0.0,51213110000,974673000,106256000.0,0.0,0.0,287403000,4449924000,0.0,0.0,2231657000.0,250082000.0,6688282000,0.0,11138206000,636000000,8931697000.0,-2521844000,0.0,40074904000,51213110000,2156041000.0,0.0,-496956000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620592639,16:37:19,20210509
4,2016-03-31,GMDCLTD.NS,INR,2016-03-31,2016-03-31,FY,333309000,0.0,333309000,0.0,456108000,12115593000,16024000000,29441598000,0.0,15608000.0,15608000.0,0.0,0.0,11213000.0,37490722000,0.0,53514722000,677977000,0.0,0.0,0.0,1319280000,4595656000,7758712000.0,0.0,1624890000.0,684253000.0,15224968000,0.0,19820624000,636000000,5865242000.0,-11868183000,0.0,33694098000,53514722000,0.0,8405677000.0,8072368000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620592639,16:37:19,20210509
5,2015-03-31,GMDCLTD.NS,INR,2015-03-31,2015-03-31,FY,74060000,0.0,74060000,0.0,520756000,10215712000,13075538000,18006531000,0.0,14984000.0,14984000.0,0.0,0.0,1000.0,28743863000,0.0,41819401000,514925000,0.0,0.0,0.0,845414000,3119064000,0.0,0.0,2078759000.0,7743000.0,6285336000,0.0,9404400000,636000000,4586105000.0,-10560614000,0.0,32415001000,41819401000,0.0,247000.0,-73813000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620592639,16:37:19,20210509
6,2014-03-31,GMDCLTD.NS,INR,2014-03-31,2014-03-31,FY,400798000,0.0,400798000,0.0,471577000,10181283000,12977678000,18718748000,0.0,16835000.0,16835000.0,0.0,0.0,0.0,26471840000,0.0,39449518000,647769000,0.0,0.0,0.0,818633000,3519065000,0.0,0.0,2871417000.0,20580000.0,7306281000,0.0,10825346000,636000000,3231273000.0,-9373938000,0.0,28624336000,39449682000,0.0,247000.0,-400551000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620592639,16:37:19,20210509
7,2013-03-31,GMDCLTD.NS,INR,2013-03-31,2013-03-31,FY,552149000,0.0,552149000,0.0,392746000,9598221000,12117862000,18016485000,0.0,26904000.0,26904000.0,0.0,0.0,652000.0,25188786000,0.0,37306648000,816549000,0.0,0.0,0.0,1534459000,4783187000,0.0,0.0,3118858000.0,20625000.0,7173782000,0.0,11956969000,636000000,2456429000.0,-8714344000,0.0,25349492000,37306461000,0.0,247000.0,-551902000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620592639,16:37:19,20210509
8,2012-03-31,GMDCLTD.NS,INR,2012-03-31,2012-03-31,FY,550208000,0.0,550208000,0.0,654002000,7151987000,9988131000,17596213000,0.0,44612000.0,44612000.0,0.0,0.0,72722000.0,22162899000,0.0,32151030000,670404000,0.0,0.0,0.0,1205641000,5075227000,0.0,0.0,2930407000.0,17301000.0,6619013000,0.0,11694240000,636000000,1563834000.0,-7968116000,0.0,20456897000,32151137000,0.0,247000.0,-549961000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620592639,16:37:19,20210509
9,2011-03-31,GMDCLTD.NS,INR,2011-03-31,2011-03-31,FY,425772400,17787650192.0,18213422592,0.0,680467666,51899956,19301486111,15362088624,335473.0,0.0,335473.0,0.0,0.0,112497931.0,16800755228,0.0,36102241339,1053584786,17787650192.0,0.0,0.0,2008206964,15537501937,1330361106.0,0.0,2536757071.0,0.0,3867118177,0.0,19404620114,636000000,16061698572.0,-7188005121,0.0,16697698572,36102318686,0.0,19118011298.0,18692238898,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620592639,16:37:19,20210509
