,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,GNW,USD,2021-02-26,2021-02-26 06:13:44,FY,2656000000.0,66266000000.0,68922000000.0,16819000000.0,0.0,0.0,0.0,0.0,0.0,200000000.0,200000000.0,77911000000.0,0.0,0.0,0.0,105747000000,105747000000,0.0,0.0,0.0,0.0,0.0,0.0,3548000000.0,0.0,0.0,0.0,0.0,89927000000.0,89927000000,1000000.0,1584000000.0,4425000000.0,0.0,15318000000,105245000000,144177000000.0,3548000000,892000000,https://www.sec.gov/Archives/edgar/data/1276520/000119312521058267/0001193125-21-058267-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312521058267/d105560d10k.htm,1620592690,16:38:10,20210509
1,2019-12-31,GNW,USD,2020-02-27,2020-02-27 07:24:40,FY,3341000000.0,60578000000.0,63919000000.0,17103000000.0,0.0,0.0,75226000000.0,0.0,5000000.0,196000000.0,201000000.0,71885000000.0,0.0,0.0,26116000000.0,75226000000,101342000000,0.0,0.0,0.0,0.0,0.0,83569000000.0,3588000000.0,0.0,0.0,0.0,3588000000.0,0.0,86710000000,1000000.0,1461000000.0,3433000000.0,0.0,14185000000,100895000000,132463000000.0,64166000000,60825000000,https://www.sec.gov/Archives/edgar/data/1276520/000119312520051019/0001193125-20-051019-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312520051019/d849640d10k.htm,1620592690,16:38:10,20210509
2,2018-12-31,GNW,USD,2019-02-27,2019-02-27 07:35:18,FY,2177000000.0,60316000000.0,62493000000.0,17278000000.0,0.0,0.0,2177000000.0,0.0,13000000.0,334000000.0,347000000.0,66191000000.0,0.0,0.0,39085000000.0,59661000000,100923000000,0.0,0.0,0.0,0.0,0.0,84455000000.0,4336000000.0,0.0,24000000.0,0.0,4018000000.0,0.0,86734000000,1000000.0,1118000000.0,2044000000.0,0.0,12450000000,99184000000,126507000000.0,64652000000,62475000000,https://www.sec.gov/Archives/edgar/data/1276520/000119312519052835/0001193125-19-052835-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312519052835/d680173d10k.htm,1620592690,16:38:10,20210509
3,2017-12-31,GNW,USD,2018-02-28,2018-02-28 16:29:11,FY,2875000000.0,63345000000.0,66220000000.0,17569000000.0,0.0,0.0,2875000000.0,0.0,15000000.0,286000000.0,301000000.0,74036000000.0,0.0,0.0,39897000000.0,62525000000,105297000000,0.0,597000000.0,0.0,0.0,0.0,87305000000.0,3977000000.0,0.0,27000000.0,0.0,4574000000.0,0.0,89969000000,1000000.0,1113000000.0,3027000000.0,0.0,13418000000,103387000000,137381000000.0,4574000000,1699000000,https://www.sec.gov/Archives/edgar/data/1276520/000119312518064038/0001193125-18-064038-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312518064038/d492876d10k.htm,1620592690,16:38:10,20210509
4,2016-12-31,GNW,USD,2017-02-27,2017-02-27 17:03:46,FY,2784000000.0,61204000000.0,63988000000.0,17755000000.0,0.0,0.0,2784000000.0,0.0,14000000.0,334000000.0,348000000.0,72228000000.0,0.0,0.0,41302000000.0,60572000000,104658000000,0.0,0.0,0.0,0.0,0.0,87450000000.0,4564000000.0,0.0,53000000.0,0.0,4564000000.0,0.0,90191000000,1000000.0,287000000.0,3094000000.0,0.0,12644000000,102835000000,133432000000.0,65768000000,62984000000,https://www.sec.gov/Archives/edgar/data/1276520/000119312517059195/0001193125-17-059195-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312517059195/d277185d10k.htm,1620592690,16:38:10,20210509
5,2015-12-31,GNW,USD,2016-02-26,2016-02-26 16:56:29,FY,5965000000.0,58507000000.0,64472000000.0,17245000000.0,0.0,0.0,5965000000.0,0.0,14000000.0,343000000.0,357000000.0,69781000000.0,0.0,0.0,42269000000.0,58197000000,106431000000,0.0,298000000.0,0.0,0.0,0.0,86938000000.0,6371000000.0,0.0,24000000.0,0.0,6669000000.0,0.0,91794000000,1000000.0,564000000.0,3010000000.0,0.0,12824000000,104618000000,128288000000.0,6669000000,704000000,https://www.sec.gov/Archives/edgar/data/1276520/000119312516482185/0001193125-16-482185-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312516482185/d52855d10k.htm,1620592690,16:38:10,20210509
6,2014-12-31,GNW,USD,2015-03-02,2015-03-02 13:36:25,FY,4918000000.0,62729000000.0,67647000000.0,17346000000.0,0.0,0.0,4918000000.0,0.0,16000000.0,272000000.0,288000000.0,72433000000.0,0.0,0.0,43993000000.0,62447000000,111358000000,0.0,0.0,0.0,0.0,0.0,89581000000.0,6854000000.0,0.0,908000000.0,0.0,6812000000.0,0.0,94561000000,1000000.0,1179000000.0,4446000000.0,0.0,14923000000,109484000000,135162000000.0,69583000000,64665000000,https://www.sec.gov/Archives/edgar/data/1276520/000119312515072748/0001193125-15-072748-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312515072748/d840962d10k.htm,1620592690,16:38:10,20210509
7,2013-12-31,GNW,USD,2014-03-03,2014-03-03 07:14:39,FY,4214000000.0,58970000000.0,63184000000.0,17219000000.0,0.0,0.0,4214000000.0,0.0,867000000.0,399000000.0,1266000000.0,69291000000.0,0.0,0.0,45202000000.0,58629000000,108045000000,0.0,485000000.0,0.0,0.0,0.0,86211000000.0,6956000000.0,0.0,206000000.0,0.0,7441000000.0,0.0,92425000000,1000000.0,2423000000.0,2542000000.0,0.0,14393000000,106818000000,128261000000.0,7441000000,3227000000,https://www.sec.gov/Archives/edgar/data/1276520/000119312514078864/0001193125-14-078864-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312514078864/d645067d10k.htm,1620592690,16:38:10,20210509
8,2012-12-31,GNW,USD,2013-02-28,2013-02-28 07:37:47,FY,3653000000.0,62679000000.0,66332000000.0,17230000000.0,0.0,0.0,3653000000.0,0.0,1128000000.0,481000000.0,1609000000.0,75094000000.0,0.0,0.0,47498000000.0,62161000000,113312000000,0.0,0.0,0.0,0.0,0.0,89597000000.0,7178000000.0,0.0,1545000000.0,0.0,7178000000.0,0.0,95487000000,1000000.0,1907000000.0,5202000000.0,0.0,16537000000,112024000000,137773000000.0,69857000000,66204000000,https://www.sec.gov/Archives/edgar/data/1276520/000119312513081960/0001193125-13-081960-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312513081960/d437858d10k.htm,1620592690,16:38:10,20210509
9,2011-12-31,GNW,USD,2012-02-27,2012-02-27 16:36:28,FY,4488000000.0,0.0,4488000000.0,0.0,0.0,0.0,4488000000.0,0.0,1253000000.0,577000000.0,1830000000.0,72595000000.0,0.0,0.0,37219000000.0,72595000000,114302000000,0.0,396000000.0,0.0,0.0,0.0,89383000000.0,7982000000.0,0.0,1636000000.0,0.0,8378000000.0,0.0,96637000000,1000000.0,3095000000.0,4047000000.0,0.0,16541000000,113178000000,0.0,8378000000,3890000000,https://www.sec.gov/Archives/edgar/data/1276520/000119312512081737/0001193125-12-081737-index.htm,https://www.sec.gov/Archives/edgar/data/1276520/000119312512081737/d264172d10k.htm,1620592690,16:38:10,20210509
