,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,HYDRA.AS,EUR,2020-12-31,2020-12-31,FY,4629000.0,0.0,4629000.0,0.0,26211000.0,3000.0,89311000,75959000.0,20102000.0,7442000.0,27544000.0,0.0,5621000.0,0.0,109296000.0,0.0,198607000,17154000.0,20926000.0,0.0,0.0,2805000.0,100184000.0,19369000.0,0.0,1390000.0,0.0,35183000.0,0.0,135367000.0,581000.0,1301000.0,-97456000.0,0.0,63079000,198446000,0.0,40295000.0,35666000.0,,,1620593336,16:48:56,20210509
1,2019-12-31,HYDRA.AS,EUR,2019-12-31,2019-12-31,FY,2945000.0,0.0,2945000.0,0.0,34325000.0,0.0,89502000,89341000.0,21802000.0,7288000.0,29090000.0,0.0,3708000.0,0.0,124766000.0,0.0,214268000,24737000.0,0.0,0.0,0.0,2462000.0,102226000.0,26623000.0,0.0,2101000.0,0.0,48842000.0,0.0,151068000.0,580000.0,6635000.0,-83919000.0,0.0,62700000,213768000,0.0,71051000.0,68106000.0,,,1620593336,16:48:56,20210509
2,2018-12-31,HYDRA.AS,EUR,2018-12-31,2018-12-31,FY,3504000.0,0.0,3504000.0,0.0,30577000.0,0.0,85170000,58102000.0,17884000.0,2893000.0,20777000.0,0.0,3743000.0,0.0,82712000.0,0.0,167882000,25132000.0,0.0,0.0,0.0,2299000.0,78468000.0,15670000.0,0.0,1568000.0,0.0,30225000.0,0.0,108693000.0,578000.0,8507000.0,-80543000.0,0.0,59189000,167882000,0.0,23028000.0,19524000.0,,,1620593336,16:48:56,20210509
3,2017-12-31,HYDRA.AS,EUR,2017-12-31,2017-12-31,FY,7222000.0,0.0,7222000.0,0.0,23876000.0,0.0,72247000,46411000.0,15052000.0,2830000.0,17882000.0,271000.0,1260000.0,0.0,66035000.0,0.0,138282000,16444000.0,0.0,0.0,0.0,1865000.0,65066000.0,9578000.0,0.0,1250000.0,0.0,19817000.0,0.0,84883000.0,574000.0,7129000.0,-80212000.0,0.0,53399000,138282000,271000.0,16717000.0,9495000.0,,,1620593336,16:48:56,20210509
4,2016-12-31,HYDRA.AS,EUR,2016-12-31,2016-12-31,FY,1914000.0,0.0,1914000.0,0.0,20137000.0,0.0,55641000,44279000.0,15052000.0,2518000.0,17570000.0,295000.0,308000.0,0.0,62822000.0,0.0,118463000,18031000.0,0.0,0.0,0.0,2033000.0,49487000.0,8738000.0,0.0,1286000.0,0.0,20586000.0,0.0,70073000.0,573000.0,5882000.0,-87439000.0,0.0,48390000,118463000,295000.0,15582000.0,13668000.0,,,1620593336,16:48:56,20210509
5,2015-12-31,HYDRA.AS,EUR,2015-12-31,2015-12-31,FY,8245000.0,0.0,8245000.0,0.0,18951000.0,0.0,57656000,41942000.0,15074000.0,2724000.0,17798000.0,276000.0,2261000.0,0.0,62522000.0,0.0,120178000,17514000.0,0.0,0.0,0.0,1897000.0,54742000.0,9094000.0,0.0,4551000.0,0.0,22645000.0,0.0,77387000.0,550000.0,10784000.0,-90171000.0,0.0,42791000,120178000,276000.0,16986000.0,8741000.0,,,1620593336,16:48:56,20210509
6,2014-12-31,HYDRA.AS,EUR,2014-12-31,2014-12-31,FY,11507000.0,0.0,11507000.0,0.0,10838000.0,0.0,35140000,22633000.0,15936000.0,3779000.0,19715000.0,0.0,143000.0,0.0,42585000.0,0.0,77725000,4554000.0,0.0,0.0,0.0,3165000.0,30524000.0,5801000.0,0.0,2274000.0,0.0,8921000.0,0.0,39445000.0,550000.0,6873000.0,-34413000.0,0.0,35828000,75273000,0.0,8170000.0,-3337000.0,,,1620593336,16:48:56,20210509
7,2013-12-31,HYDRA.AS,EUR,2013-12-31,2013-12-31,FY,4626000.0,0.0,4626000.0,0.0,14615000.0,0.0,40311000,24427000.0,16262000.0,2768000.0,19030000.0,0.0,137000.0,0.0,43684000.0,0.0,83995000,7825000.0,0.0,0.0,0.0,2527000.0,41517000.0,6499000.0,0.0,2165000.0,0.0,9971000.0,0.0,51488000.0,550000.0,4178000.0,-41533000.0,0.0,30420000,81908000,0.0,16457000.0,11831000.0,,,1620593336,16:48:56,20210509
8,2012-12-31,HYDRA.AS,EUR,2012-12-31,2012-12-31,FY,9986000.0,0.0,9986000.0,0.0,14695000.0,0.0,44035000,22151000.0,16262000.0,2909000.0,19171000.0,0.0,215000.0,0.0,41537000.0,0.0,85572000,7875000.0,0.0,0.0,0.0,3546000.0,41593000.0,6193000.0,0.0,2226000.0,50000.0,13537000.0,0.0,55130000.0,550000.0,4695000.0,-38798000.0,0.0,28403000,83533000,0.0,17874000.0,7888000.0,,,1620593336,16:48:56,20210509
9,2011-12-31,HYDRA.AS,EUR,2011-12-31,2011-12-31,FY,1575000.0,0.0,1575000.0,0.0,17136000.0,1708000.0,36738000,20293000.0,0.0,16768000.0,16768000.0,0.0,0.0,0.0,37648000.0,0.0,74386000,7712000.0,0.0,0.0,0.0,1483000.0,35239000.0,7479000.0,0.0,2544000.0,0.0,11727000.0,0.0,46966000.0,550000.0,3631000.0,-37779000.0,0.0,24387000,71353000,0.0,13089000.0,11514000.0,,,1620593336,16:48:56,20210509
