,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,IHG,USD,2020-12-31,2020-12-31,FY,1626000000.0,1000000.0,1627000000,0.0,5000000.0,0.0,2243000000,504000000.0,346000000.0,947000000.0,1293000000,81000000.0,113000000.0,0.0,2796000000,0.0,5039000000,80000000.0,869000000.0,0.0,0.0,13000000.0,1867000000.0,2898000000.0,1117000000.0,95000000.0,0.0,5021000000,0.0,6888000000.0,53000000.0,568000000.0,-2581000000.0,0.0,-1857000000.0,5031000000,82000000.0,3767000000.0,2141000000.0,,,1620593504,16:51:44,20210509
1,2019-12-31,IHG,USD,2020-02-27,2020-02-27 14:22:42,FY,195000000.0,0.0,195000000,0.0,6000000.0,715000000.0,916000000,309000000.0,0.0,0.0,1376000000,0.0,0.0,1356000000.0,3041000000,19000000.0,3976000000,0.0,87000000.0,-50000000.0,-555000000.0,0.0,-1365000000.0,0.0,0.0,0.0,-1042000000.0,-4054000000,0.0,-5441000000.0,0.0,1166000000.0,0.0,0.0,0.0,3976000000,0.0,0.0,-195000000.0,https://www.sec.gov/Archives/edgar/data/858446/000119312520052322/0001193125-20-052322-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000119312520052322/d802209d20f.htm,1620593504,16:51:44,20210509
2,2018-12-31,IHG,USD,2019-02-28,2019-02-28 08:20:01,FY,704000000.0,0.0,704000000,0.0,5000000.0,667000000.0,1376000000,447000000.0,0.0,0.0,1143000000,0.0,0.0,787000000.0,2377000000,0.0,3753000000,0.0,104000000.0,-50000000.0,-572000000.0,0.0,-1370000000.0,0.0,0.0,0.0,-2027000000.0,-3460000000,0.0,-4830000000.0,0.0,1166000000.0,0.0,0.0,0.0,3753000000,0.0,0.0,-704000000.0,https://www.sec.gov/Archives/edgar/data/858446/000119312519055722/0001193125-19-055722-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000119312519055722/d630180d20f.htm,1620593504,16:51:44,20210509
3,2017-12-31,IHG,USD,2018-03-01,2018-03-01 13:18:44,FY,168000000.0,0.0,168000000,0.0,3000000.0,668000000.0,839000000,425000000.0,0.0,0.0,1467000000,0.0,0.0,444000000.0,2336000000,0.0,3175000000,0.0,110000000.0,-64000000.0,0.0,0.0,-1304000000.0,0.0,0.0,0.0,0.0,-2722000000,0.0,-4026000000.0,0.0,1405000000.0,0.0,0.0,0.0,3175000000,0.0,0.0,-168000000.0,https://www.sec.gov/Archives/edgar/data/858446/000119312518066382/0001193125-18-066382-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000119312518066382/d519981d20f.htm,1620593504,16:51:44,20210509
4,2016-12-31,IHG,USD,2017-03-02,2017-03-02 09:13:59,FY,206000000.0,0.0,206000000,0.0,3000000.0,569000000.0,778000000,419000000.0,0.0,0.0,1292000000,0.0,0.0,438000000.0,2149000000,0.0,2927000000,0.0,89000000.0,-50000000.0,0.0,0.0,-1134000000.0,0.0,0.0,0.0,0.0,-2552000000,0.0,-3686000000.0,0.0,1392000000.0,0.0,0.0,0.0,2927000000,0.0,0.0,-206000000.0,https://www.sec.gov/Archives/edgar/data/858446/000119312517066763/0001193125-17-066763-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000119312517066763/d286710d20f.htm,1620593504,16:51:44,20210509
5,2015-12-31,IHG,USD,2016-03-03,2016-03-03 09:32:30,FY,1137000000.0,0.0,1137000000,0.0,3000000.0,466000000.0,1606000000,428000000.0,0.0,0.0,1226000000,0.0,0.0,509000000.0,2163000000,0.0,3769000000,0.0,410000000.0,-85000000.0,0.0,0.0,-1369000000.0,0.0,0.0,0.0,0.0,-2081000000,0.0,-3450000000.0,0.0,2653000000.0,0.0,0.0,0.0,3769000000,0.0,0.0,-1137000000.0,https://www.sec.gov/Archives/edgar/data/858446/000119312516490850/0001193125-16-490850-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000119312516490850/d76057d20f.htm,1620593504,16:51:44,20210509
6,2014-12-31,IHG,USD,2015-02-26,2015-02-26 09:51:49,FY,162000000.0,0.0,162000000,0.0,3000000.0,459000000.0,624000000,741000000.0,74000000.0,569000000.0,643000000,0.0,0.0,500000000.0,1884000000,310000000.0,2818000000,0.0,110000000.0,-47000000.0,0.0,0.0,-943000000.0,0.0,0.0,0.0,0.0,-2498000000,0.0,-3535000000.0,0.0,1636000000.0,0.0,0.0,0.0,2818000000,0.0,0.0,-162000000.0,https://www.sec.gov/Archives/edgar/data/858446/000119312515064434/0001193125-15-064434-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000119312515064434/d819462d20f.htm,1620593504,16:51:44,20210509
7,2013-12-31,IHG,USD,2014-02-26,2014-02-26 13:40:03,FY,134000000.0,0.0,134000000,0.0,4000000.0,448000000.0,586000000,1169000000.0,80000000.0,438000000.0,518000000,0.0,0.0,452000000.0,2139000000,228000000.0,2953000000,0.0,0.0,-47000000.0,0.0,0.0,-814000000.0,0.0,0.0,0.0,0.0,-2213000000,0.0,-3027000000.0,0.0,2334000000.0,0.0,0.0,0.0,2953000000,0.0,0.0,-134000000.0,https://www.sec.gov/Archives/edgar/data/858446/000119312514069218/0001193125-14-069218-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000119312514069218/d679505d20f.htm,1620593504,16:51:44,20210509
8,2012-12-31,IHG,USD,2013-03-26,2013-03-26 15:49:47,FY,195000000.0,0.0,195000000,0.0,4000000.0,461000000.0,660000000,1056000000.0,93000000.0,354000000.0,447000000,0.0,0.0,566000000.0,2069000000,534000000.0,3263000000,0.0,0.0,-54000000.0,0.0,0.0,-780000000.0,0.0,0.0,0.0,0.0,-2105000000,0.0,-2946000000.0,0.0,2781000000.0,0.0,0.0,0.0,3263000000,0.0,0.0,-195000000.0,https://www.sec.gov/Archives/edgar/data/858446/000119312513126680/0001193125-13-126680-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000119312513126680/d423471d20f.htm,1620593504,16:51:44,20210509
9,2011-12-31,IHG,USD,2012-03-29,2012-03-29 12:22:29,FY,182000000.0,0.0,182000000,0.0,4000000.0,392000000.0,578000000,1362000000.0,92000000.0,308000000.0,400000000,0.0,0.0,411000000.0,2173000000,217000000.0,2968000000,0.0,5000000.0,-120000000.0,0.0,0.0,-860000000.0,0.0,0.0,0.0,0.0,-1493000000,0.0,-2413000000.0,0.0,3035000000.0,0.0,0.0,0.0,2968000000,0.0,0.0,-182000000.0,https://www.sec.gov/Archives/edgar/data/858446/000119312512138919/0001193125-12-138919-index.htm,https://www.sec.gov/Archives/edgar/data/858446/000119312512138919/d256000d20f.htm,1620593504,16:51:44,20210509
