,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,timestamp,est_time,est_date
0,2020-03-31,JINDWORLD.NS,INR,2020-03-31,2020-03-31,FY,66096000,146949000.0,213045000,0.0,2449533000,6186000.0,7957575000,2950729000,5787000.0,0.0,5787000.0,167477000.0,0.0,0.0,3165679000,0.0,11123254000,2602161000.0,146949000.0,0.0,0.0,206346000.0,5682397000,1508393000,64447000.0,105687000,-2000.0,1678525000,0.0,7360922000,200520000,3538942000.0,-1073760000.0,0.0,3762332000,11123254000,314426000.0,1655342000,1589246000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620593931,16:58:51,20210509
1,2019-03-31,JINDWORLD.NS,INR,2019-03-31,2019-03-31,FY,97752000,161861000.0,259613000,0.0,2750405000,-2000.0,8304183000,5659862000,15275000.0,0.0,15275000.0,12958000.0,0.0,-1000.0,5746662000,0.0,14050845000,3629971000.0,161861000.0,0.0,0.0,218038000.0,6831935000,3509036000,81442000.0,121750000,1001000.0,3714572000,0.0,10546507000,200520000,3273204000.0,-1847550000.0,0.0,3496594000,14043101000,174819000.0,3670897000,3573145000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620593931,16:58:51,20210509
2,2018-03-31,JINDWORLD.NS,INR,2018-03-31,2018-03-31,FY,107224768,94141205.0,201365973,0.0,2455766340,1725743.0,8233596877,4223575778,235450.0,0.0,235450.0,7552684.0,0.0,0.0,4289511424,0.0,12523108301,2971543613.0,94141205.0,0.0,0.0,21393089.0,6178247273,2875146076,98437617.0,99223039,1000000.0,3084677648,0.0,9262924921,200520400,2984214620.0,-894630365.0,0.0,3204164430,12467089351,101693889.0,2969287281,2862062513,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620593931,16:58:51,20210509
3,2017-03-31,JINDWORLD.NS,INR,2017-03-31,2017-03-31,FY,115339982,41994596.0,157334578,0.0,1145718562,10908957.0,4834485125,3243962156,0.0,0.0,0.0,0.0,0.0,3.0,3284938962,0.0,8119424087,1008463171.0,41994596.0,0.0,0.0,8144280.0,2946757567,2172290268,0.0,127785721,33880707.0,2333956696,0.0,5280714263,200520400,2499128753.0,-1738533975.0,0.0,2838709824,8119424087,0.0,2214284864,2098944882,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620593931,16:58:51,20210509
4,2016-03-31,JINDWORLD.NS,INR,2016-03-31,2016-03-31,FY,135645486,40397056.0,176042542,0.0,1113670384,8641262.0,3782361635,3377936874,0.0,0.0,0.0,0.0,0.0,-1.0,3419304009,0.0,7201665644,1223699310.0,40397056.0,0.0,0.0,391146010.0,2740301635,2137295702,0.0,169651366,30108529.0,2337055597,0.0,5077357232,200520400,1771725277.0,-1257328060.0,0.0,2124308412,7201665644,0.0,2177692758,2042047272,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620593931,16:58:51,20210509
5,2015-03-31,JINDWORLD.NS,INR,2015-03-31,2015-03-31,FY,342997000,46338000.0,389335000,0.0,1075107000,140616000.0,3006620000,3626248000,0.0,0.0,0.0,0.0,0.0,0.0,3667054000,0.0,6673674000,731664000.0,46338000.0,0.0,0.0,267243000.0,2200086000,2183378000,0.0,174106000,387997000.0,2746562000,0.0,4946648000,200520000,0.0,0.0,0.0,1727026000,6673674000,0.0,2229716000,1886719000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620593931,16:58:51,20210509
6,2014-03-31,JINDWORLD.NS,INR,2014-03-31,2014-03-31,FY,118500735,42228000.0,160728735,0.0,1281614170,1779321.0,3016033996,3004513134,0.0,0.0,0.0,0.0,0.0,821040.0,3055265123,0.0,6071299119,990699644.0,42228000.0,0.0,0.0,204782779.0,2258250838,1979469644,0.0,170400673,265194784.0,2416146273,0.0,4674397111,200520400,0.0,0.0,0.0,1396898955,6071296066,0.0,2021697644,1903196909,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620593931,16:58:51,20210509
7,2013-03-31,JINDWORLD.NS,INR,2013-03-31,2013-03-31,FY,272329738,57143000.0,329472738,0.0,722677146,971694.0,2256963797,1568495286,0.0,0.0,0.0,0.0,0.0,1792734.0,1630281419,0.0,3887245216,823880056.0,57143000.0,0.0,0.0,177035630.0,1698351738,808883630,0.0,148958630,74547922.0,1033471354,0.0,2731823092,200520400,0.0,0.0,0.0,1155420124,3887243216,0.0,866026630,593696892,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620593931,16:58:51,20210509
8,2012-03-31,JINDWORLD.NS,INR,2012-03-31,2012-03-31,FY,289630859,63293904.0,352924763,0.0,381454132,971694.0,1864855495,1000652052,0.0,0.0,0.0,0.0,0.0,2764428.0,1085043871,0.0,2949899366,0.0,63293904.0,0.0,0.0,841733955.0,1413352949,401051768,0.0,129736240,810879.0,531598887,0.0,1944951836,200520400,0.0,-242045008.0,0.0,1004945530,2949897366,0.0,464345672,174714813,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620593931,16:58:51,20210509
9,2011-03-31,JINDWORLD.NS,INR,2011-03-31,2011-03-31,FY,189863872,0.0,189863872,0.0,461161735,0.0,2079762556,906981213,0.0,0.0,0.0,0.0,0.0,5308749.0,976160513,0.0,3055923069,0.0,0.0,0.0,0.0,0.0,824355192,1244849292,0.0,117938777,2000.0,1362790069,0.0,2187145261,200520400,0.0,-188780641.0,0.0,868775808,3055921069,0.0,1244849292,1054985420,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620593931,16:58:51,20210509
