,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,JUSC.L,GBP,2020-12-31,2020-12-31,FY,5985000.0,0.0,0.0,612000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257807000,257807000,20967000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20968000.0,20968000.0,1499000.0,0.0,0.0,0.0,236839000,257807000,0.0,0.0,-5985000.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=JPmorgan+US+Smaller+Companies+Investment+Trust+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=JPmorgan+US+Smaller+Companies+Investment+Trust+PLC,1620594008,17:00:08,20210509
1,2019-12-31,JUSC.L,GBP,2019-12-31,2019-12-31,FY,10000.0,0.0,0.0,655000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213513000,213513000,98000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15261000.0,15261000.0,1445000.0,0.0,0.0,0.0,198252000,213513000,0.0,15097000.0,15087000.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=JPmorgan+US+Smaller+Companies+Investment+Trust+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=JPmorgan+US+Smaller+Companies+Investment+Trust+PLC,1620594008,17:00:08,20210509
2,2018-12-31,JUSC.L,GBP,2018-12-31,2018-12-31,FY,18000.0,0.0,0.0,1211000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174607000,174607000,15776000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15776000.0,15776000.0,1445000.0,0.0,0.0,0.0,158831000,174607000,0.0,15704000.0,15686000.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=JPmorgan+US+Smaller+Companies+Investment+Trust+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=JPmorgan+US+Smaller+Companies+Investment+Trust+PLC,1620594008,17:00:08,20210509
3,2017-12-31,JUSC.L,GBP,2017-12-31,2017-12-31,FY,5891000.0,0.0,0.0,298000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181597000,181597000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14910000.0,14910000.0,1424000.0,0.0,0.0,0.0,166687000,181597000,0.0,14785000.0,8894000.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=JPmorgan+US+Smaller+Companies+Investment+Trust+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=JPmorgan+US+Smaller+Companies+Investment+Trust+PLC,1620594008,17:00:08,20210509
4,2016-12-31,JUSC.L,GBP,2016-12-31,2016-12-31,FY,9408000.0,0.0,0.0,576000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170253000,170253000,183000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16429000.0,16429000.0,1424000.0,0.0,0.0,0.0,153824000,170253000,0.0,16187000.0,6779000.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=JPmorgan+US+Smaller+Companies+Investment+Trust+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=JPmorgan+US+Smaller+Companies+Investment+Trust+PLC,1620594008,17:00:08,20210509
5,2015-12-31,JUSC.L,GBP,2015-12-31,2015-12-31,FY,5000.0,0.0,0.0,180000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117458000,117458000,13653000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13653000.0,13653000.0,1424000.0,0.0,0.0,0.0,103805000,117458000,0.0,13569000.0,13564000.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=JPmorgan+US+Smaller+Companies+Investment+Trust+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=JPmorgan+US+Smaller+Companies+Investment+Trust+PLC,1620594008,17:00:08,20210509
6,2014-12-31,JUSC.L,GBP,2014-12-31,2014-12-31,FY,907000.0,0.0,0.0,216000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109050000,109050000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9702000.0,9702000.0,1424000.0,0.0,0.0,0.0,99348000,109050000,0.0,9620000.0,8713000.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=JPmorgan+US+Smaller+Companies+Investment+Trust+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=JPmorgan+US+Smaller+Companies+Investment+Trust+PLC,1620594008,17:00:08,20210509
7,2013-12-31,JUSC.L,GBP,2013-12-31,2013-12-31,FY,1000.0,0.0,0.0,226000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92487000,92487000,41000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6148000.0,6148000.0,1366000.0,0.0,0.0,0.0,86339000,92487000,0.0,6038000.0,6037000.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=JPmorgan+US+Smaller+Companies+Investment+Trust+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=JPmorgan+US+Smaller+Companies+Investment+Trust+PLC,1620594008,17:00:08,20210509
8,2012-12-31,JUSC.L,GBP,2012-12-31,2012-12-31,FY,1541000.0,0.0,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66079000,66079000,636000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6865000.0,6865000.0,1291000.0,0.0,0.0,0.0,59214000,66079000,0.0,6152000.0,4611000.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=JPmorgan+US+Smaller+Companies+Investment+Trust+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=JPmorgan+US+Smaller+Companies+Investment+Trust+PLC,1620594008,17:00:08,20210509
9,2011-12-31,JUSC.L,GBP,2011-12-31,2011-12-31,FY,1655000.0,0.0,0.0,126000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59722000,59722000,6828000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7092000.0,7092000.0,1291000.0,0.0,0.0,0.0,52630000,59722000,0.0,0.0,-1655000.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=JPmorgan+US+Smaller+Companies+Investment+Trust+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=JPmorgan+US+Smaller+Companies+Investment+Trust+PLC,1620594008,17:00:08,20210509
