,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,KMB,USD,2021-02-11,2021-02-11 13:31:23,FY,303000000,300000000.0,303000000,2235000000,1903000000,733000000.0,5174000000,8042000000,1895000000.0,832000000.0,2727000000.0,300000000.0,0.0,1280000000,12349000000,1580000000.0,17523000000,3336000000,486000000,0.0,723000000.0,1898000000.0,6443000000,7878000000,0.0,723000000.0,718000000,10211000000,0.0,16654000000,473000000.0,7567000000,-3172000000,0.0,626000000,17280000000,600000000.0,8364000000,8061000000,https://www.sec.gov/Archives/edgar/data/55785/000005578521000016/0000055785-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/55785/000005578521000016/kmb-20201231.htm,1620594173,17:02:53,20210509
1,2019-12-31,KMB,USD,2020-02-13,2020-02-13 16:28:27,FY,442000000,0.0,442000000,2263000000,1790000000,562000000.0,5057000000,7450000000,1467000000.0,0.0,1467000000.0,268000000.0,0.0,1041000000,10226000000,0.0,15283000000,3055000000,1534000000,0.0,0.0,0.0,6919000000,6213000000,0.0,511000000.0,520000000,8170000000,0.0,15089000000,473000000.0,6686000000,-3294000000,0.0,-33000000,15056000000,0.0,7747000000,7305000000,https://www.sec.gov/Archives/edgar/data/55785/000005578520000016/0000055785-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/55785/000005578520000016/kmb2019form10k.htm,1620594173,17:02:53,20210509
2,2018-12-31,KMB,USD,2019-02-07,2019-02-07 10:35:54,FY,539000000,0.0,539000000,2164000000,1813000000,525000000.0,5041000000,7159000000,1474000000.0,0.0,1474000000.0,224000000.0,0.0,620000000,9477000000,0.0,14518000000,3190000000,1208000000,0.0,0.0,14000000.0,6536000000,6247000000,0.0,458000000.0,328000000,8028000000,0.0,14564000000,473000000.0,5947000000,-3299000000,0.0,-287000000,14277000000,0.0,7455000000,6916000000,https://www.sec.gov/Archives/edgar/data/55785/000005578519000013/0000055785-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/55785/000005578519000013/kmb_2018xformx10k.htm,1620594173,17:02:53,20210509
3,2017-12-31,KMB,USD,2018-02-08,2018-02-08 10:52:12,FY,616000000,0.0,616000000,2315000000,1790000000,490000000.0,5211000000,7436000000,1576000000.0,0.0,1576000000.0,233000000.0,0.0,695000000,9940000000,0.0,15151000000,2834000000,953000000,0.0,0.0,45000000.0,5858000000,6472000000,0.0,395000000.0,299000000,8411000000,0.0,14269000000,473000000.0,6730000000,-2919000000,0.0,629000000,14898000000,0.0,7425000000,6809000000,https://www.sec.gov/Archives/edgar/data/55785/000005578518000014/0000055785-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/55785/000005578518000014/kmb_2017xformx10k.htm,1620594173,17:02:53,20210509
4,2016-12-31,KMB,USD,2017-02-08,2017-02-08 12:05:32,FY,923000000,0.0,923000000,2176000000,1679000000,337000000.0,5115000000,7169000000,1480000000.0,83000000.0,1563000000.0,257000000.0,0.0,498000000,9487000000,0.0,14602000000,2609000000,1133000000,0.0,0.0,44000000.0,5846000000,6439000000,0.0,532000000.0,309000000,8639000000,0.0,14485000000,473000000.0,5831000000,-3474000000,0.0,-102000000,14383000000,0.0,7572000000,6649000000,https://www.sec.gov/Archives/edgar/data/55785/000005578517000017/0000055785-17-000017-index.htm,https://www.sec.gov/Archives/edgar/data/55785/000005578517000017/kmb_2016xformx10k.htm,1620594173,17:02:53,20210509
5,2015-12-31,KMB,USD,2016-02-11,2016-02-11 11:19:13,FY,619000000,0.0,619000000,2281000000,1909000000,617000000.0,5426000000,7104000000,1446000000.0,94000000.0,1540000000.0,247000000.0,0.0,525000000,9416000000,0.0,14842000000,2612000000,1669000000,0.0,0.0,36000000.0,6349000000,6106000000,0.0,766000000.0,380000000,8453000000,0.0,14802000000,473000000.0,4994000000,-3278000000,0.0,-174000000,14628000000,0.0,7775000000,7156000000,https://www.sec.gov/Archives/edgar/data/55785/000005578516000138/0000055785-16-000138-index.htm,https://www.sec.gov/Archives/edgar/data/55785/000005578516000138/kmb_2015x10k.htm,1620594173,17:02:53,20210509
6,2014-12-31,KMB,USD,2015-02-18,2015-02-18 09:11:32,FY,789000000,0.0,789000000,2223000000,1892000000,655000000.0,5559000000,7359000000,1628000000.0,109000000.0,1737000000.0,257000000.0,0.0,614000000,9967000000,0.0,15526000000,2616000000,1326000000,0.0,0.0,113000000.0,6226000000,5630000000,0.0,587000000.0,319000000,8301000000,0.0,14527000000,536000000.0,8470000000,-3312000000,0.0,729000000,15256000000,0.0,6956000000,6167000000,https://www.sec.gov/Archives/edgar/data/55785/000005578515000014/0000055785-15-000014-index.htm,https://www.sec.gov/Archives/edgar/data/55785/000005578515000014/kmb_201410k.htm,1620594173,17:02:53,20210509
7,2013-12-31,KMB,USD,2014-02-14,2014-02-14 10:34:41,FY,1054000000,0.0,1054000000,2545000000,2233000000,718000000.0,6550000000,7948000000,3181000000.0,243000000.0,3424000000.0,382000000.0,0.0,615000000,12369000000,0.0,18919000000,2598000000,375000000,0.0,0.0,506000000.0,5848000000,5386000000,0.0,817000000.0,344000000,7931000000,0.0,13779000000,536000000.0,9714000000,-2242000000,0.0,4856000000,18635000000,0.0,5761000000,4707000000,https://www.sec.gov/Archives/edgar/data/55785/000005578514000015/0000055785-14-000015-index.htm,https://www.sec.gov/Archives/edgar/data/55785/000005578514000015/kmb_10k2013.htm,1620594173,17:02:53,20210509
8,2012-12-31,KMB,USD,2013-02-22,2013-02-22 11:35:40,FY,1106000000,0.0,1106000000,2642000000,2348000000,493000000.0,6589000000,8095000000,3337000000.0,246000000.0,3583000000.0,355000000.0,0.0,856000000,13284000000,0.0,19873000000,2443000000,1115000000,0.0,0.0,6091000000.0,6091000000,5070000000,0.0,0.0,884000000,8495000000,0.0,14586000000,536000000.0,8823000000,-2059000000,0.0,4985000000,19571000000,0.0,6185000000,5079000000,https://www.sec.gov/Archives/edgar/data/55785/000005578513000011/0000055785-13-000011-index.htm,https://www.sec.gov/Archives/edgar/data/55785/000005578513000011/kmb_2012x10k.htm,1620594173,17:02:53,20210509
9,2011-12-31,KMB,USD,2012-02-29,2012-02-29 11:39:21,FY,764000000,0.0,764000000,2602000000,2356000000,561000000.0,6283000000,8049000000,3340000000.0,265000000.0,3605000000.0,338000000.0,0.0,704000000,13090000000,0.0,19373000000,2388000000,706000000,0.0,0.0,2303000000.0,5397000000,5426000000,0.0,0.0,1014000000,8447000000,0.0,13844000000,536000000.0,8244000000,-1866000000,0.0,5249000000,19093000000,0.0,6132000000,5368000000,https://www.sec.gov/Archives/edgar/data/55785/000005578512000021/0000055785-12-000021-index.htm,https://www.sec.gov/Archives/edgar/data/55785/000005578512000021/kmb_2011x10k.htm,1620594173,17:02:53,20210509
