,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,timestamp,est_time,est_date
0,2017-12-31,LHO,USD,2018-02-20 00:00:00,2018-02-20 16:24:46,FY,400667000.0,0.0,400667000.0,35916000.0,0.0,0.0,436583000.0,0.0,0.0,0.0,0.0,0.0,1680000.0,3376678000.0,3378358000.0,0.0,3814941000,134216000.0,42494000.0,0.0,0.0,0.0,134216000.0,0.0,0.0,1680000.0,0.0,1680000.0,1205894000,1341790000,1132000.0,-305708000.0,10880000.0,2766847000.0,2473151000,3814941000,0.0,1123395000.0,722728000,https://www.sec.gov/Archives/edgar/data/1053532/000105353218000006/0001053532-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1053532/000105353218000006/lho-10k2017.htm,1620594430,17:07:10,20210509
1,2016-12-31,LHO,USD,2017-02-22 00:00:00,2017-02-22 16:36:16,FY,134652000.0,0.0,134652000.0,35403000.0,0.0,0.0,170055000.0,0.0,0.0,0.0,0.0,0.0,1081000.0,3772943000.0,3774024000.0,0.0,3944079000,171965000.0,42455000.0,0.0,0.0,0.0,171965000.0,0.0,0.0,1081000.0,0.0,1081000.0,1212968000,1386014000,1131000.0,-275564000.0,2365000.0,2830133000.0,2558065000,3944079000,0.0,0.0,-134652000,https://www.sec.gov/Archives/edgar/data/1053532/000105353217000011/0001053532-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/1053532/000105353217000011/lho-10k2016.htm,1620594430,17:07:10,20210509
2,2015-12-31,LHO,USD,2016-02-18 00:00:00,2016-02-18 16:23:58,FY,5700000.0,0.0,5700000.0,39038000.0,0.0,0.0,44738000.0,0.0,0.0,0.0,0.0,0.0,3566000.0,4026513000.0,4030079000.0,0.0,4074817000,181854000.0,42500000.0,0.0,0.0,0.0,202854000.0,21000000.0,0.0,3566000.0,0.0,24566000.0,1473130000,1700550000,1131000.0,-306051000.0,-97000.0,2679284000.0,2374267000,4074817000,0.0,63500000.0,57800000,https://www.sec.gov/Archives/edgar/data/1053532/000105353216000045/0001053532-16-000045-index.html,https://www.sec.gov/Archives/edgar/data/1053532/000105353216000045/lho-10k2015.htm,1620594430,17:07:10,20210509
3,2014-12-31,LHO,USD,2014-12-31,2014-12-31,FY,114131000.0,0.0,114131000.0,30338000.0,0.0,0.0,144469000.0,0.0,0.0,0.0,0.0,0.0,1447000.0,3554033000.0,3555480000.0,0.0,3699949000,161835000.0,42500000.0,0.0,0.0,0.0,161835000.0,0.0,0.0,1447000.0,0.0,1447000.0,1094958000,1258240000,1127000.0,-233988000.0,748000.0,2673822000.0,2441709000,3699949000,0.0,0.0,-114131000,,,1620594430,17:07:10,20210509
4,2013-12-31,LHO,USD,2013-12-31,2013-12-31,FY,13388000.0,0.0,13388000.0,30661000.0,0.0,0.0,44049000.0,0.0,0.0,0.0,0.0,0.0,1497000.0,3535492000.0,3536989000.0,0.0,3581038000,161085000.0,42500000.0,0.0,0.0,0.0,381691000.0,220606000.0,0.0,0.0,0.0,220606000.0,875350000,1477647000,1039000.0,4603000.0,4603000.0,2093146000.0,2103391000,3581038000,0.0,263106000.0,249718000,,,1620594430,17:07:10,20210509
5,2012-12-31,LHO,USD,2013-02-20 00:00:00,2013-02-20 16:10:00,FY,35090000.0,0.0,35090000.0,28485000.0,0.0,0.0,63575000.0,0.0,0.0,0.0,0.0,0.0,1286000.0,3191709000.0,3192995000.0,0.0,3256570000,101365000.0,42500000.0,0.0,0.0,0.0,254365000.0,153000000.0,0.0,0.0,0.0,153000000.0,996079000,1403444000,955000.0,-7735000.0,-7735000.0,1867641000.0,1853126000,3256570000,0.0,195500000.0,160410000,https://www.sec.gov/Archives/edgar/data/1053532/000105353213000013/0001053532-13-000013-index.html,https://www.sec.gov/Archives/edgar/data/1053532/000105353213000013/lho-2012x1231x10k.htm,1620594430,17:07:10,20210509
6,2011-12-31,LHO,USD,2012-02-22 00:00:00,2012-02-22 16:42:30,FY,20225000.0,0.0,20225000.0,23760000.0,0.0,0.0,43985000.0,0.0,0.0,0.0,0.0,0.0,5250000.0,2784040000.0,2789290000.0,0.0,2833275000,78407000.0,0.0,708000.0,0.0,0.0,344115000.0,265000000.0,0.0,0.0,0.0,265000000.0,458547000,1067662000,851000.0,1771243000.0,0.0,0.0,1765613000,2833275000,0.0,530000000.0,509775000,https://www.sec.gov/Archives/edgar/data/1053532/000119312512072876/0001193125-12-072876-index.html,https://www.sec.gov/Archives/edgar/data/1053532/000119312512072876/d254320d10k.htm,1620594430,17:07:10,20210509
7,2010-12-31,LHO,USD,2010-12-31,2010-12-31,FY,13000000.0,0.0,13000000.0,20074000.0,0.0,0.0,33074000.0,0.0,0.0,0.0,0.0,0.0,10654000.0,2311317000.0,2321971000.0,0.0,2355045000,73817000.0,0.0,0.0,0.0,0.0,194010000.0,120193000.0,0.0,0.0,0.0,120193000.0,597375000,911578000,731000.0,1443500000.0,0.0,0.0,1443467000,2355045000,0.0,240386000.0,227386000,,,1620594430,17:07:10,20210509
8,2009-12-31,LHO,USD,2009-12-31,2009-12-31,FY,8441000.0,0.0,8441000.0,18875000.0,0.0,0.0,0.0,1946631000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023563000.0,2023563000,3038000.0,0.0,0.0,0.0,0.0,0.0,644148000.0,0.0,0.0,0.0,0.0,727328000,727328000,636000.0,-174320000.0,0.0,0.0,1296187000,2023515000,0.0,644148000.0,635707000,,,1620594430,17:07:10,20210509
9,2008-12-31,LHO,USD,2008-12-31,2008-12-31,FY,18056000.0,0.0,18056000.0,22181000.0,0.0,0.0,0.0,2033818000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2131470000.0,2131470000,3424000.0,0.0,0.0,0.0,0.0,0.0,962691000.0,0.0,0.0,0.0,0.0,1074558000,1074558000,411000.0,-153438000.0,0.0,0.0,993672000,2068230000,0.0,962691000.0,944635000,,,1620594430,17:07:10,20210509
10,2007-12-31,LHO,USD,2007-12-31,2007-12-31,FY,26050000.0,0.0,26050000.0,29226000.0,0.0,0.0,0.0,1996659000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2111320000.0,2111320000,3926000.0,0.0,0.0,0.0,0.0,0.0,875820000.0,0.0,0.0,0.0,0.0,984785000,984785000,401000.0,-91091000.0,0.0,0.0,1038136000,2022921000,0.0,875820000.0,849770000,,,1620594430,17:07:10,20210509
