,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,MONT.BR,EUR,2020-12-31,2020-12-31,FY,5057000.0,0.0,5057000.0,0.0,0.0,-1000.0,38382000.0,30842000.0,0.0,589000.0,589000.0,0.0,0.0,0.0,1360539000,0.0,1398921000,0.0,61696000.0,0.0,0.0,4777000.0,105803000.0,445909000,0.0,0.0,-10186000.0,477807000,0.0,583610000,319812000,155009000.0,0.0,0.0,815311000,1398921000,0.0,507605000,502548000,,,1620595224,17:20:24,20210509
1,2019-12-31,MONT.BR,EUR,2019-12-31,2019-12-31,FY,7690000.0,0.0,7690000.0,0.0,0.0,784000.0,32317000.0,13344000.0,0.0,419000.0,419000.0,0.0,0.0,107000.0,1161381000,0.0,1193698000,10712000.0,0.0,0.0,0.0,4784000.0,100896000.0,388800000,0.0,0.0,1000.0,412773000,0.0,513669000,314983000,108465000.0,-914000.0,0.0,680029000,1193698000,0.0,451081000,443391000,,,1620595224,17:20:24,20210509
2,2018-12-31,MONT.BR,EUR,2018-12-31,2018-12-31,FY,4634000.0,0.0,4634000.0,0.0,0.0,795000.0,39051000.0,13148000.0,0.0,374000.0,374000.0,0.0,0.0,1000.0,910426000,0.0,949477000,14822000.0,0.0,0.0,0.0,4708000.0,88754000.0,415922000,0.0,0.0,-1000.0,427154000,0.0,515908000,256063000,64575000.0,-829000.0,0.0,433550000,949458000,0.0,462054000,457420000,,,1620595224,17:20:24,20210509
3,2017-12-31,MONT.BR,EUR,2017-12-31,2017-12-31,FY,3436000.0,0.0,3436000.0,0.0,0.0,840000.0,28811000.0,12877000.0,0.0,168000.0,168000.0,0.0,0.0,1000.0,719615000,0.0,748426000,4664000.0,0.0,0.0,0.0,23000.0,29147000.0,373407000,0.0,0.0,0.0,386250000,0.0,415397000,232938000,36548000.0,-771000.0,0.0,332911000,748308000,0.0,376816000,373380000,,,1620595224,17:20:24,20210509
4,2016-12-31,MONT.BR,EUR,2016-12-31,2016-12-31,FY,3350000.0,0.0,3350000.0,0.0,0.0,46000.0,49297000.0,10097000.0,0.0,189000.0,189000.0,0.0,0.0,1000.0,545462000,0.0,594759000,5512000.0,0.0,0.0,0.0,22000.0,32413000.0,285392000,0.0,0.0,1000.0,310382000,0.0,342795000,200282000,34481000.0,-707000.0,0.0,251846000,594641000,0.0,296167000,292817000,,,1620595224,17:20:24,20210509
5,2015-12-31,MONT.BR,EUR,2015-12-31,2015-12-31,FY,4931000.0,0.0,4931000.0,0.0,0.0,-186000.0,31999000.0,10500000.0,0.0,214000.0,214000.0,0.0,0.0,0.0,517686000,0.0,549685000,2640000.0,0.0,0.0,0.0,3979000.0,50075000.0,266390000,0.0,0.0,1000.0,291353000,0.0,341428000,185288000,24010000.0,-640000.0,0.0,208157000,549585000,0.0,294655000,289724000,,,1620595224,17:20:24,20210509
6,2014-12-31,MONT.BR,EUR,2014-12-31,2014-12-31,FY,4250000.0,0.0,4250000.0,0.0,0.0,197000.0,32046000.0,7655000.0,0.0,125000.0,125000.0,0.0,0.0,-1000.0,421821000,0.0,453867000,7540000.0,0.0,0.0,0.0,0.0,68410000.0,177393000,0.0,0.0,-1000.0,202019000,0.0,270429000,176061000,6107000.0,-551000.0,0.0,183338000,453767000,0.0,228145000,223895000,,,1620595224,17:20:24,20210509
7,2013-12-31,MONT.BR,EUR,2013-12-31,2013-12-31,FY,4093000.0,0.0,4093000.0,0.0,0.0,191000.0,19450000.0,7651000.0,0.0,114000.0,114000.0,0.0,0.0,0.0,320347000,0.0,339797000,1536000.0,0.0,0.0,0.0,2255000.0,42032000.0,141339000,0.0,0.0,452000.0,158798000,0.0,200830000,137537000,15970000.0,-489000.0,0.0,138869000,339699000,0.0,173045000,168952000,,,1620595224,17:20:24,20210509
8,2012-12-31,MONT.BR,EUR,2012-12-31,2012-12-31,FY,7007000.0,0.0,7007000.0,0.0,0.0,603000.0,17269000.0,7883000.0,0.0,141000.0,141000.0,0.0,0.0,1000.0,290229000,0.0,307498000,1648000.0,0.0,0.0,0.0,245000.0,41837000.0,117047000,0.0,0.0,451000.0,141898000,0.0,183735000,128340000,-3102000.0,-418000.0,0.0,123663000,307398000,0.0,153763000,146756000,,,1620595224,17:20:24,20210509
9,2011-12-31,MONT.BR,EUR,2011-12-31,2011-12-31,FY,4948000.0,0.0,4948000.0,0.0,0.0,0.0,15851000.0,8087000.0,0.0,0.0,52000.0,361000.0,0.0,0.0,253631000,0.0,269482000,2735000.0,0.0,0.0,0.0,194000.0,36425000.0,104320000,0.0,0.0,432000.0,116056000,0.0,152481000,107329000,-297000.0,-330000.0,0.0,116897000,269378000,0.0,131102000,126154000,,,1620595224,17:20:24,20210509
