,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,timestamp,est_time,est_date
0,2020-03-31,PETV,USD,2020-06-29,2020-06-29 18:42:50,FY,888.0,1500.0,2388.0,53000.0,0.0,0.0,197105.0,0.0,0.0,58611.0,58611.0,0.0,0.0,0.0,325412.0,0.0,522517.0,595607.0,76350.0,0.0,0.0,0.0,1147805.0,286981.0,0.0,0.0,0.0,410882.0,0.0,1558687.0,22911.0,-54588646.0,-111586.0,0.0,-1036170.0,522517.0,0.0,363331.0,362443.0,https://www.sec.gov/Archives/edgar/data/1512922/000149315220012125/0001493152-20-012125-index.htm,https://www.sec.gov/Archives/edgar/data/1512922/000149315220012125/form10-k.htm,1620596468,17:41:08,20210509
1,2019-03-31,PETV,USD,2019-07-31,2019-07-31 15:38:42,FY,6460.0,0.0,6460.0,0.0,12495.0,0.0,55782.0,0.0,0.0,589817.0,589817.0,0.0,0.0,0.0,635367.0,0.0,691149.0,854990.0,104583.0,0.0,0.0,0.0,1535966.0,0.0,0.0,0.0,0.0,0.0,0.0,1535966.0,22074.0,-52505912.0,-112453.0,0.0,-844817.0,691149.0,0.0,104583.0,98123.0,https://www.sec.gov/Archives/edgar/data/1512922/000149315219011411/0001493152-19-011411-index.htm,https://www.sec.gov/Archives/edgar/data/1512922/000149315219011411/form10-k.htm,1620596468,17:41:08,20210509
2,2018-03-31,PETV,USD,2018-12-10,2018-12-10 17:03:35,FY,237335.0,0.0,237335.0,163.0,25554.0,0.0,295700.0,0.0,0.0,1253510.0,1253510.0,0.0,0.0,0.0,1272081.0,0.0,1567781.0,1238034.0,193099.0,0.0,0.0,0.0,1431133.0,0.0,0.0,0.0,0.0,0.0,0.0,1431133.0,627245.0,-47748154.0,-104111.0,0.0,136648.0,1567781.0,0.0,193099.0,-44236.0,https://www.sec.gov/Archives/edgar/data/1512922/000149315218017252/0001493152-18-017252-index.htm,https://www.sec.gov/Archives/edgar/data/1512922/000149315218017252/form10-ka.htm,1620596468,17:41:08,20210509
3,2017-03-31,PETV,USD,2018-11-14,2018-11-14 17:02:26,FY,25434.0,0.0,25434.0,163.0,0.0,0.0,34187.0,0.0,0.0,1862301.0,1862301.0,0.0,0.0,0.0,1862750.0,0.0,1896937.0,0.0,433302.0,0.0,0.0,0.0,1077192.0,0.0,0.0,0.0,0.0,0.0,0.0,1077192.0,9322.0,-45410816.0,-103054.0,0.0,-13483814.0,-12406622.0,0.0,433302.0,407868.0,https://www.sec.gov/Archives/edgar/data/1512922/000149315218016183/0001493152-18-016183-index.htm,https://www.sec.gov/Archives/edgar/data/1512922/000149315218016183/form10-ka.htm,1620596468,17:41:08,20210509
4,2016-03-31,PETV,USD,2016-03-31,2016-03-31,FY,258.0,0.0,258.0,0.0,0.0,0.0,35279.0,0.0,13407693.0,3245662.0,16653355.0,0.0,0.0,0.0,16654165.0,0.0,16689444.0,0.0,390908.0,0.0,0.0,24460.0,1478906.0,0.0,0.0,0.0,0.0,0.0,0.0,1478906.0,7931.0,-29879283.0,-102694.0,0.0,-70327.0,1408579.0,0.0,390908.0,390650.0,,,1620596468,17:41:08,20210509
5,2015-03-31,PETV,USD,2016-03-23,2016-03-23 16:14:15,FY,39863.0,0.0,39863.0,0.0,0.0,0.0,274863.0,0.0,0.0,488000.0,488000.0,0.0,0.0,0.0,488000.0,0.0,762863.0,71315.0,189235.0,0.0,0.0,285732.0,601608.0,0.0,0.0,0.0,0.0,0.0,0.0,601608.0,7700.0,-26227539.0,0.0,0.0,161255.0,762863.0,0.0,189235.0,149372.0,https://www.sec.gov/Archives/edgar/data/1512922/000147793216009141/0001477932-16-009141-index.htm,https://www.sec.gov/Archives/edgar/data/1512922/000147793216009141/petv_10k.htm,1620596468,17:41:08,20210509
6,2014-03-31,PETV,USD,2014-03-31,2014-03-31,FY,39338.0,0.0,39338.0,0.0,0.0,0.0,47338.0,0.0,0.0,130000.0,130000.0,0.0,0.0,0.0,130000.0,0.0,177338.0,0.0,208826.0,0.0,0.0,186666.0,479149.0,0.0,0.0,0.0,0.0,0.0,0.0,479149.0,3750946.0,-24661847.0,0.0,0.0,-301811.0,177338.0,0.0,208826.0,169488.0,,,1620596468,17:41:08,20210509
7,2013-06-30,PETV,USD,2013-07-15 00:00:00,2013-07-15 15:05:46,FY,265.0,0.0,265.0,1433.0,0.0,0.0,1698.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1698.0,76820.0,197808.0,0.0,0.0,0.0,274628.0,0.0,0.0,0.0,0.0,0.0,0.0,274628.0,117650.0,-1184.0,-1184.0,0.0,-272930.0,1698.0,0.0,197808.0,197543.0,https://www.sec.gov/Archives/edgar/data/1512922/000147793213003209/0001477932-13-003209-index.html,https://www.sec.gov/Archives/edgar/data/1512922/000147793213003209/tenp_10k.htm,1620596468,17:41:08,20210509
8,2013-03-31,PETV,USD,2013-07-17,2013-07-16 18:47:13,FY,721.0,0.0,721.0,1231.0,0.0,0.0,1952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70000.0,0.0,71952.0,15000.0,0.0,0.0,0.0,0.0,256465.0,0.0,0.0,0.0,0.0,1.0,0.0,256466.0,187650.0,-452280.0,0.0,0.0,-184514.0,71952.0,0.0,0.0,-721.0,https://www.sec.gov/Archives/edgar/data/1512922/000147793213003249/0001477932-13-003249-index.htm,https://www.sec.gov/Archives/edgar/data/1512922/000147793213003249/tenp_10ka.htm,1620596468,17:41:08,20210509
9,2012-03-31,PETV,USD,2012-03-31,2012-03-31,FY,225.0,0.0,225.0,554.0,0.0,573.0,1352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1352.0,75929.0,0.0,0.0,0.0,0.0,178971.0,0.0,0.0,0.0,0.0,0.0,0.0,178971.0,114150.0,-366070.0,0.0,0.0,-177619.0,1352.0,0.0,0.0,-225.0,,,1620596468,17:41:08,20210509
10,2011-03-31,PETV,USD,2011-03-31,2011-03-31,FY,1064.0,0.0,1064.0,1233.0,0.0,1442.0,3739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3739.0,9191.0,0.0,0.0,0.0,0.0,78729.0,0.0,0.0,0.0,0.0,0.0,0.0,78729.0,114150.0,-263440.0,0.0,0.0,-74990.0,3739.0,0.0,0.0,-1064.0,,,1620596468,17:41:08,20210509
