,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,timestamp,est_time,est_date
0,2020-03-31,PURVA.NS,INR,2020-03-31,2020-03-31,FY,1060100000,7000000.0,1067100000,0.0,60925300000,0.0,69896800000,851300000,0.0,123300000.0,123300000.0,629800000.0,2518000000.0,0.0,10888700000,0.0,80785500000,5375500000,7000000.0,0.0,0.0,23000000.0,59714200000,1198400000.0,197400000.0,77900000.0,0.0,1920800000,0.0,61635000000,1185800000,7513800000.0,-801000000,0.0,19138500000,80773500000,636800000.0,1205400000,145300000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620596920,17:48:40,20210509
1,2019-03-31,PURVA.NS,INR,2019-03-31,2019-03-31,FY,1491200000,1400000.0,1492600000,0.0,67661000000,0.0,75711700000,983900000,0.0,107800000.0,107800000.0,601300000.0,3017500000.0,96800000.0,11623900000,0.0,87335600000,4676000000,1400000.0,0.0,0.0,0.0,64095000000,4353900000.0,0.0,81800000.0,0.0,4673100000,0.0,68768100000,1185800000,6942800000.0,-404000000,0.0,18567500000,87335600000,602700000.0,4355300000,2864100000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620596920,17:48:40,20210509
2,2018-03-31,PURVA.NS,INR,2018-03-31,2018-03-31,FY,1323100000,0.0,1323100000,0.0,46870600000,0.0,59527400000,937400000,0.0,31600000.0,31600000.0,614500000.0,533300000.0,95900000.0,8385800000,0.0,67913200000,4409000000,0.0,0.0,0.0,0.0,42311700000,1379900000.0,0.0,83600000.0,0.0,1669800000,0.0,43981500000,1185800000,12307000000.0,-350500000,0.0,23931700000,67913200000,614500000.0,23788200000,22465100000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620596920,17:48:40,20210509
3,2017-03-31,PURVA.NS,INR,2017-03-31,2017-03-31,FY,981300000,0.0,981300000,0.0,45511100000,3711400000.0,55189700000,708800000,0.0,0.0,39300000.0,544400000.0,508600000.0,1463400000.0,6519300000,0.0,61709000000,2830700000,0.0,0.0,0.0,10314600000.0,29568200000,0.0,0.0,118000000.0,0.0,8258600000,0.0,37826800000,1185800000,12242300000.0,-236000000,0.0,23882200000,61709000000,544400000.0,20658300000,19677000000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620596920,17:48:40,20210509
4,2016-03-31,PURVA.NS,INR,2016-03-31,2016-03-31,FY,2922700000,0.0,2922700000,0.0,32904800000,2365200000.0,44054800000,1133000000,0.0,0.0,46000000.0,0.0,112500000.0,157400000.0,12798900000,0.0,56853700000,3110000000,0.0,0.0,0.0,9594500000.0,19758500000,13752800000.0,0.0,0.0,33300000.0,14042500000,0.0,33801000000,1185800000,11426100000.0,-726000000,0.0,23052700000,56853700000,0.0,20622400000,17699700000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620596920,17:48:40,20210509
5,2015-03-31,PURVA.NS,INR,2015-03-31,2015-03-31,FY,2233300000,0.0,2233300000,0.0,28170700000,1524500000.0,39023500000,1196100000,0.0,0.0,42600000.0,0.0,54700000.0,120000000.0,12606700000,0.0,51630200000,3097700000,0.0,0.0,0.0,10360100000.0,18239700000,10516700000.0,0.0,0.0,18400000.0,10783200000,0.0,29022900000,1185800000,10980700000.0,-621400000,0.0,22607300000,51630200000,0.0,14969600000,12736300000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620596920,17:48:40,20210509
6,2014-03-31,PURVA.NS,INR,2014-03-31,2014-03-31,FY,1737310000,203050000.0,1940360000,0.0,27001810000,1009980000.0,35429830000,877800000,0.0,0.0,45540000.0,0.0,4090000.0,292080000.0,11948730000,0.0,47378560000,1919160000,203050000.0,0.0,0.0,8997160000.0,18516060000,7030360000.0,0.0,0.0,14060000.0,7129640000,0.0,25645700000,1185750000,10191730000.0,-478370000,0.0,21732860000,47378560000,0.0,7233410000,5496100000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620596920,17:48:40,20210509
7,2013-03-31,PURVA.NS,INR,2013-03-31,2013-03-31,FY,2333580000,57170000.0,2390750000,0.0,21176290000,811520000.0,28199470000,843250000,0.0,0.0,25650000.0,0.0,1640000.0,215170000.0,12500210000,0.0,40699680000,1651440000,57170000.0,0.0,0.0,3412130000.0,12655860000,8977930000.0,0.0,0.0,10230000.0,9048750000,0.0,21704610000,1067120000,9129330000.0,-404700000,0.0,18995070000,40699680000,0.0,9035100000,6701520000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620596920,17:48:40,20210509
8,2012-03-31,PURVA.NS,INR,2012-03-31,2012-03-31,FY,731717000,0.0,731717000,0.0,17323081000,1327319000.0,21380601000,710557000,0.0,15812000.0,15812000.0,0.0,1241000.0,2384222000.0,12776944000,0.0,34157545000,1381916000,0.0,0.0,0.0,5572723000.0,11013296000,6208644000.0,0.0,0.0,2702000.0,6271167000,0.0,17284463000,1067122000,0.0,-349669000,0.0,16873082000,34157545000,0.0,9964989000,9233272000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620596920,17:48:40,20210509
9,2011-03-31,PURVA.NS,INR,2011-03-31,2011-03-31,FY,998994088,3287170511.0,4286164599,0.0,283842906,11623125449.0,18042897535,439279082,0.0,22079956.0,22079956.0,0.0,0.0,0.0,13255590841,0.0,31298488376,3221697894,3287170511.0,0.0,0.0,106085608.0,3944330360,11587125210.0,0.0,3214007.0,0.0,11590339217,0.0,15534669577,1067121675,14696697124.0,-316553089,0.0,15763818799,31298488376,0.0,14874295721,13875301633,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620596920,17:48:40,20210509
