,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,timestamp,est_time,est_date
0,2019-12-31,SIVBO,USD,2020-02-28,2020-02-28 16:20:25,FY,6781783000,29071694000.0,35853477000,0.0,0.0,0.0,35853477000,161876000.0,137823000.0,49417000.0,187240000.0,5034095000.0,240724000.0,29527491000.0,35151426000.0,0.0,71004903000.0,0.0,17430000.0,13778000.0,17200000.0,0.0,48408000.0,347987000.0,0.0,212291000.0,0.0,560278000.0,63925910000.0,64534596000,52000.0,4575601000,84445000.0,1810209000.0,6470307000,71004903000,34105789000.0,365417000,-6416366000,https://www.sec.gov/Archives/edgar/data/719739/000071973920000016/0000719739-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/719739/000071973920000016/sivb-12312019x10k.htm,1620597956,18:05:56,20210509
1,2018-12-31,SIVBO,USD,2019-02-28,2019-02-28 17:09:01,FY,3571539000,7790043000.0,11361582000,55807000.0,0.0,0.0,11417389000,129213000.0,0.0,0.0,0.0,25668000.0,172751000.0,45182958000.0,45510590000.0,0.0,56927979000.0,0.0,631412000.0,3330000.0,598000.0,0.0,635340000.0,696465000.0,0.0,107318000.0,0.0,803783000.0,50372647000.0,51811770000,53000.0,3791838000,-54120000.0,1378438000.0,5116209000,56927979000,7815711000.0,1327877000,-2243662000,https://www.sec.gov/Archives/edgar/data/719739/000071973919000018/0000719739-19-000018-index.htm,https://www.sec.gov/Archives/edgar/data/719739/000071973919000018/sivb-12312018x10k.htm,1620597956,18:05:56,20210509
2,2017-12-31,SIVBO,USD,2018-02-28,2018-02-28 16:54:38,FY,2923075000,11120664000.0,14043739000,141773000.0,0.0,0.0,14185512000,128682000.0,0.0,0.0,0.0,3762542000.0,143994000.0,32993737000.0,37028955000.0,0.0,51214467000.0,0.0,1033730000.0,12683000.0,12000000.0,0.0,1058413000.0,695492000.0,0.0,80149000.0,0.0,775641000.0,45200618000.0,47034672000,53000.0,2866837000,-1472000.0,1314377000.0,4179795000,51214467000,14883206000.0,1729222000,-1193853000,https://www.sec.gov/Archives/edgar/data/719739/000071973918000011/0000719739-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/719739/000071973918000011/sivb-12312017x10xk_final.htm,1620597956,18:05:56,20210509
3,2016-12-31,SIVBO,USD,2017-02-28,2017-02-28 16:06:27,FY,2545750000,12620411000.0,15166161000,111222000.0,0.0,0.0,15277383000,120683000.0,0.0,0.0,0.0,3423427000.0,185889000.0,25676278000.0,29406277000.0,0.0,44683660000.0,0.0,512668000.0,5711000.0,10000000.0,0.0,528379000.0,795704000.0,0.0,114049000.0,0.0,909753000.0,39602974000.0,41041106000,52000.0,2376331000,23430000.0,1242741000.0,3642554000,44683660000,16043838000.0,1308372000,-1237378000,https://www.sec.gov/Archives/edgar/data/719739/000071973917000012/0000719739-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/719739/000071973917000012/sivb-12312016x10xk.htm,1620597956,18:05:56,20210509
4,2015-12-31,SIVBO,USD,2016-02-26,2016-02-26 17:34:35,FY,1503257000,16380748000.0,17884005000,107604000.0,0.0,0.0,17991609000,102625000.0,0.0,0.0,0.0,3059045000.0,156624000.0,23376800000.0,26695094000.0,0.0,44686703000.0,0.0,48350000.0,3658000.0,10000000.0,0.0,62008000.0,796702000.0,0.0,82683000.0,0.0,879385000.0,40547176000.0,41488569000,52000.0,1993646000,15404000.0,1189032000.0,3198134000,44686703000,19439793000.0,845052000,-658205000,https://www.sec.gov/Archives/edgar/data/719739/000071973916000073/0000719739-16-000073-index.htm,https://www.sec.gov/Archives/edgar/data/719739/000071973916000073/sivb-12312015x10xk.htm,1620597956,18:05:56,20210509
5,2014-12-31,SIVBO,USD,2015-02-26,2015-02-26 17:19:03,FY,1796062000,13540655000.0,15336717000,94180000.0,0.0,0.0,15430897000,79845000.0,0.0,0.0,0.0,2404101000.0,127699000.0,21302098000.0,23913743000.0,0.0,39344640000.0,0.0,7781000.0,3497000.0,8000000.0,0.0,11497000.0,453443000.0,0.0,77778000.0,0.0,531221000.0,35984160000.0,36526878000,51000.0,1654657000,42704000.0,1120350000.0,2817762000,39344640000,15944756000.0,461224000,-1334838000,https://www.sec.gov/Archives/edgar/data/719739/000071973915000022/0000719739-15-000022-index.htm,https://www.sec.gov/Archives/edgar/data/719739/000071973915000022/sivb-12312014x10xk.htm,1620597956,18:05:56,20210509
6,2013-12-31,SIVBO,USD,2014-02-27,2014-02-27 17:30:34,FY,1538779000,11986821000.0,13525600000,67772000.0,0.0,0.0,13593372000,67485000.0,0.0,0.0,0.0,300000000.0,136702000.0,12319630000.0,12823817000.0,0.0,26417189000.0,0.0,51987000.0,-16200000.0,8300000.0,0.0,44087000.0,455216000.0,0.0,68465000.0,0.0,523681000.0,23883151000.0,24450919000,46000.0,1390732000,-48764000.0,624256000.0,1966270000,26417189000,12286821000.0,507203000,-1031576000,https://www.sec.gov/Archives/edgar/data/719739/000071973914000012/0000719739-14-000012-index.htm,https://www.sec.gov/Archives/edgar/data/719739/000071973914000012/sivb-12312013x10xk.htm,1620597956,18:05:56,20210509
7,2012-12-31,SIVBO,USD,2013-02-27,2013-02-27 16:47:01,FY,1008983000,11343177000.0,12352160000,64167000.0,0.0,0.0,12416327000,66545000.0,0.0,0.0,0.0,283000000.0,85050000.0,9915201000.0,10349796000.0,0.0,22766123000.0,0.0,54571000.0,8600000.0,5500000.0,0.0,68671000.0,457762000.0,0.0,110630000.0,0.0,568392000.0,20298505000.0,20935568000,45000.0,1174878000,108553000.0,547079000.0,1830555000,22766123000,11626177000.0,512333000,-496650000,https://www.sec.gov/Archives/edgar/data/719739/000071973913000009/0000719739-13-000009-index.htm,https://www.sec.gov/Archives/edgar/data/719739/000071973913000009/sivb-12312012x10k.htm,1620597956,18:05:56,20210509
8,2011-12-31,SIVBO,USD,2012-02-28,2012-02-28 17:21:28,FY,1114948000,10536046000.0,11650994000,0.0,0.0,0.0,11650994000,56471000.0,0.0,0.0,0.0,371500000.0,76878000.0,7813051000.0,8317900000.0,0.0,19968894000.0,0.0,55075000.0,780000.0,6100000.0,0.0,61955000.0,603648000.0,0.0,84853000.0,0.0,688501000.0,17649046000.0,18399502000,44000.0,999733000,85399000.0,484216000.0,1569392000,19968894000,10907546000.0,658723000,-456225000,https://www.sec.gov/Archives/edgar/data/719739/000119312512085818/0001193125-12-085818-index.htm,https://www.sec.gov/Archives/edgar/data/719739/000119312512085818/d256682d10k.htm,1620597956,18:05:56,20210509
9,2010-12-31,SIVBO,USD,2011-02-25,2011-02-25 17:14:34,FY,3076432000,7917967000.0,10994399000,0.0,0.0,0.0,10994399000,44545000.0,0.0,0.0,0.0,0.0,0.0,6488817000.0,6533362000.0,0.0,17527761000.0,0.0,37245000.0,0.0,0.0,0.0,37245000.0,1209260000.0,0.0,0.0,0.0,1209260000.0,15006906000.0,16253411000,42000.0,827831000,24143000.0,422334000.0,1274350000,17527761000,7917967000.0,1246505000,-1829927000,https://www.sec.gov/Archives/edgar/data/719739/000119312511047635/0001193125-11-047635-index.htm,https://www.sec.gov/Archives/edgar/data/719739/000119312511047635/d10k.htm,1620597956,18:05:56,20210509
