,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,T6A.DE,USD,2020-12-31,2020-12-31,FY,418000000,0.0,418000000,133000000,0.0,0.0,573000000,294000000,862000000,86000000,948000000,0.0,10000000.0,104000000.0,1396000000,0.0,1969000000,18000000.0,0.0,0.0,28000000.0,53000000.0,242000000,491000000.0,33000000.0,10000000.0,187000000.0,841000000,0.0,1083000000,0.0,389000000.0,-386000000,0.0,886000000,1969000000,0.0,498000000.0,80000000,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620598567,18:16:07,20210509
1,2019-12-31,T6A.DE,USD,2019-12-31,2019-12-31,FY,319000000,0.0,319000000,183000000,0.0,0.0,533000000,344000000,840000000,110000000,950000000,0.0,7000000.0,95000000.0,1451000000,0.0,1984000000,11000000.0,0.0,0.0,62000000.0,63000000.0,435000000,0.0,36000000.0,8000000.0,171000000.0,388000000,0.0,823000000,0.0,681000000.0,-319000000,0.0,1161000000,1984000000,0.0,167000000.0,-152000000,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620598567,18:16:07,20210509
2,2018-12-31,T6A.DE,USD,2018-12-31,2018-12-31,FY,655000000,15000000.0,670000000,212000000,0.0,0.0,915000000,253000000,756000000,118000000,874000000,0.0,27000000.0,98000000.0,1252000000,0.0,2167000000,15000000.0,0.0,0.0,63000000.0,46000000.0,393000000,0.0,0.0,21000000.0,168000000.0,303000000,0.0,696000000,0.0,1043000000.0,-240000000,0.0,1471000000,2167000000,0.0,83000000.0,-572000000,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620598567,18:16:07,20210509
3,2017-12-31,T6A.DE,USD,2017-12-31,2017-12-31,FY,673000000,35000000.0,708000000,260000000,0.0,0.0,993000000,263000000,758000000,142000000,900000000,0.0,16000000.0,73000000.0,1279000000,0.0,2272000000,8000000.0,7000000.0,0.0,60000000.0,37000000.0,372000000,230000000.0,0.0,14000000.0,148000000.0,537000000,0.0,909000000,0.0,926000000.0,-177000000,0.0,1363000000,2272000000,0.0,237000000.0,-436000000,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620598567,18:16:07,20210509
4,2016-12-31,T6A.DE,USD,2016-12-31,2016-12-31,FY,612000000,118000000.0,730000000,189000000,0.0,0.0,950000000,260000000,736000000,167000000,903000000,0.0,42000000.0,67000000.0,1288000000,0.0,2238000000,14000000.0,80000000.0,0.0,64000000.0,37000000.0,423000000,91000000.0,0.0,12000000.0,126000000.0,313000000,0.0,736000000,0.0,945000000.0,-111000000,0.0,1502000000,2238000000,0.0,171000000.0,-441000000,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620598567,18:16:07,20210509
5,2015-12-31,T6A.DE,USD,2015-12-31,2015-12-31,FY,614000000,47000000.0,661000000,180000000,0.0,0.0,865000000,247000000,732000000,176000000,908000000,0.0,0.0,71000000.0,1263000000,0.0,2128000000,10000000.0,1000000.0,0.0,64000000.0,33000000.0,312000000,200000000.0,0.0,15000000.0,105000000.0,404000000,0.0,716000000,0.0,826000000.0,-88000000,0.0,1412000000,2128000000,0.0,201000000.0,-413000000,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620598567,18:16:07,20210509
6,2014-12-31,T6A.DE,USD,2014-12-31,2014-12-31,FY,455000000,108000000.0,563000000,151000000,0.0,0.0,747000000,195000000,734000000,214000000,948000000,0.0,0.0,38000000.0,1212000000,0.0,1959000000,19000000.0,78000000.0,0.0,57000000.0,40000000.0,381000000,260000000.0,0.0,39000000.0,87000000.0,453000000,0.0,834000000,0.0,628000000.0,-77000000,0.0,1125000000,1959000000,0.0,338000000.0,-117000000,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620598567,18:16:07,20210509
7,2013-12-31,T6A.DE,USD,2013-12-31,2013-12-31,FY,351148000,131220000.0,482368000,127153000,0.0,0.0,630285000,81528000,501984000,51842000,553826000,0.0,893000.0,18144000.0,842729000,0.0,1473014000,9869000.0,68461000.0,0.0,43970000.0,21660000.0,242889000,300000000.0,0.0,13114000.0,44654000.0,365645000,0.0,608534000,144000.0,401881000.0,-48625000,0.0,864480000,1473014000,0.0,368461000.0,17313000,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620598567,18:16:07,20210509
8,2012-12-31,T6A.DE,USD,2012-12-31,2012-12-31,FY,367515000,118970000.0,486485000,129673000,0.0,0.0,632494000,43802000,471684000,38190000,509874000,0.0,502000.0,13274000.0,666700000,0.0,1299194000,14099000.0,72145000.0,0.0,31563000.0,15100000.0,195640000,340000000.0,0.0,11023000.0,25563000.0,376586000,0.0,572226000,143000.0,196438000.0,-37626000,0.0,726968000,1299194000,0.0,412145000.0,44630000,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620598567,18:16:07,20210509
9,2011-12-31,T6A.DE,USD,2011-12-31,2011-12-31,FY,183532000,0.0,183532000,82017000,0.0,0.0,278322000,34754000,466892000,44030000,510922000,0.0,0.0,11888000.0,557564000,0.0,835886000,12097000.0,46734000.0,0.0,19395000.0,13194000.0,130393000,380000000.0,0.0,16004000.0,15952000.0,411956000,0.0,542349000,134000.0,2369000.0,-43391000,0.0,293537000,835886000,0.0,426734000.0,243202000,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620598567,18:16:07,20210509
