,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,timestamp,est_time,est_date
0,2019-12-28,TOFB,USD,2020-04-21,2020-04-21 17:06:03,FY,514000.0,0.0,514000.0,1819000.0,1929000.0,120000.0,4382000.0,145000.0,0.0,0.0,0.0,0.0,217000.0,282000.0,644000.0,0.0,5026000.0,167000.0,0.0,0.0,0.0,375000.0,542000.0,156000.0,0.0,0.0,0.0,156000.0,500000.0,1198000.0,52000.0,3569000.0,0.0,207000.0,3828000.0,5026000.0,0.0,156000.0,-358000.0,https://www.sec.gov/Archives/edgar/data/730349/000149315220006859/0001493152-20-006859-index.htm,https://www.sec.gov/Archives/edgar/data/730349/000149315220006859/form10-k.htm,1620598934,18:22:14,20210509
1,2018-12-29,TOFB,USD,2019-03-29 00:00:00,2019-03-29 16:57:56,FY,558000.0,0.0,558000.0,2128000.0,1714000.0,136000.0,4536000.0,121000.0,0.0,0.0,0.0,0.0,217000.0,16000.0,354000.0,0.0,4890000.0,368000.0,0.0,0.0,0.0,272000.0,640000.0,500000.0,0.0,0.0,0.0,500000.0,0.0,1140000.0,52000.0,3491000.0,0.0,207000.0,3750000.0,4890000.0,0.0,500000.0,-58000.0,https://www.sec.gov/Archives/edgar/data/730349/000149315219004276/0001493152-19-004276-index.html,https://www.sec.gov/Archives/edgar/data/730349/000149315219004276/form10-k.htm,1620598934,18:22:14,20210509
2,2017-12-30,TOFB,USD,2018-03-29 00:00:00,2018-03-29 16:27:16,FY,1414000.0,0.0,1414000.0,1770000.0,1483000.0,158000.0,4825000.0,10000.0,0.0,0.0,0.0,0.0,0.0,16000.0,26000.0,0.0,4851000.0,468000.0,6000.0,0.0,94000.0,536000.0,1104000.0,4000.0,0.0,0.0,0.0,4000.0,500000.0,1608000.0,52000.0,2984000.0,0.0,207000.0,3243000.0,4851000.0,0.0,10000.0,-1404000.0,https://www.sec.gov/Archives/edgar/data/730349/000149315218004145/0001493152-18-004145-index.html,https://www.sec.gov/Archives/edgar/data/730349/000149315218004145/form10-k.htm,1620598934,18:22:14,20210509
3,2016-12-31,TOFB,USD,2017-03-31 00:00:00,2017-03-31 16:44:36,FY,132000.0,0.0,132000.0,2626000.0,1565000.0,166000.0,4489000.0,15000.0,0.0,0.0,0.0,0.0,0.0,16000.0,31000.0,0.0,4520000.0,1148000.0,6000.0,0.0,108000.0,278000.0,1540000.0,10000.0,0.0,0.0,0.0,10000.0,500000.0,2050000.0,52000.0,2280000.0,0.0,138000.0,2470000.0,4520000.0,0.0,16000.0,-116000.0,https://www.sec.gov/Archives/edgar/data/730349/000149315217003239/0001493152-17-003239-index.html,https://www.sec.gov/Archives/edgar/data/730349/000149315217003239/form10k.htm,1620598934,18:22:14,20210509
4,2016-01-02,TOFB,USD,2016-04-01 00:00:00,2016-04-01 17:02:28,FY,55000.0,0.0,55000.0,1783000.0,1473000.0,175000.0,3486000.0,21000.0,0.0,0.0,0.0,0.0,0.0,16000.0,37000.0,0.0,3523000.0,1117000.0,5000.0,0.0,113000.0,248000.0,1483000.0,16000.0,0.0,0.0,0.0,16000.0,0.0,1499000.0,52000.0,1859000.0,0.0,113000.0,2024000.0,3523000.0,0.0,21000.0,-34000.0,https://www.sec.gov/Archives/edgar/data/730349/000149315216008616/0001493152-16-008616-index.html,https://www.sec.gov/Archives/edgar/data/730349/000149315216008616/form10-k.htm,1620598934,18:22:14,20210509
5,2014-12-27,TOFB,USD,2015-03-27,2015-03-27 16:57:41,FY,341000.0,0.0,341000.0,1914000.0,1852000.0,176000.0,4283000.0,27000.0,0.0,0.0,0.0,0.0,0.0,16000.0,43000.0,0.0,4326000.0,1367000.0,5000.0,0.0,114000.0,264000.0,1750000.0,22000.0,0.0,0.0,0.0,22000.0,0.0,1772000.0,52000.0,2502000.0,0.0,0.0,2554000.0,4326000.0,0.0,27000.0,-314000.0,https://www.sec.gov/Archives/edgar/data/730349/000157104915002399/0001571049-15-002399-index.htm,https://www.sec.gov/Archives/edgar/data/730349/000157104915002399/t81854_10k.htm,1620598934,18:22:14,20210509
6,2013-12-28,TOFB,USD,2014-03-28,2014-03-28 15:14:45,FY,214000.0,0.0,214000.0,1954000.0,1844000.0,178000.0,4190000.0,0.0,0.0,0.0,0.0,0.0,0.0,16000.0,16000.0,0.0,4206000.0,877000.0,0.0,0.0,153000.0,459000.0,1489000.0,459000.0,0.0,0.0,0.0,459000.0,0.0,1489000.0,52000.0,2665000.0,0.0,0.0,2717000.0,4206000.0,0.0,459000.0,245000.0,https://www.sec.gov/Archives/edgar/data/730349/000118811214000844/0001188112-14-000844-index.htm,https://www.sec.gov/Archives/edgar/data/730349/000118811214000844/t78732_10k.htm,1620598934,18:22:14,20210509
7,2012-12-29,TOFB,USD,2013-03-29 00:00:00,2013-03-29 16:40:39,FY,471000.0,0.0,471000.0,1880000.0,1750000.0,573000.0,4674000.0,0.0,0.0,0.0,0.0,0.0,331000.0,-315000.0,16000.0,0.0,4690000.0,446000.0,0.0,0.0,183000.0,436000.0,1065000.0,436000.0,0.0,0.0,0.0,436000.0,0.0,1065000.0,52000.0,3573000.0,0.0,0.0,3625000.0,4690000.0,0.0,436000.0,-35000.0,https://www.sec.gov/Archives/edgar/data/730349/000118811213000887/0001188112-13-000887-index.html,https://www.sec.gov/Archives/edgar/data/730349/000118811213000887/t76041_10k.htm,1620598934,18:22:14,20210509
8,2011-12-31,TOFB,USD,2012-04-05,2012-04-05 17:24:18,FY,1594000.0,0.0,1594000.0,1936000.0,1441000.0,429000.0,5400000.0,5000.0,0.0,0.0,0.0,0.0,265000.0,-249000.0,21000.0,0.0,5421000.0,319000.0,0.0,0.0,265000.0,637000.0,956000.0,637000.0,0.0,265000.0,0.0,265000.0,0.0,956000.0,52000.0,4413000.0,0.0,0.0,4465000.0,5421000.0,0.0,637000.0,-957000.0,https://www.sec.gov/Archives/edgar/data/730349/000093041312002089/0000930413-12-002089-index.htm,https://www.sec.gov/Archives/edgar/data/730349/000093041312002089/c69174_10-k.htm,1620598934,18:22:14,20210509
9,2011-01-01,TOFB,USD,2011-04-12,2011-04-12 13:38:04,FY,2528000.0,0.0,2528000.0,1338000.0,1697000.0,202000.0,5765000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,5775000.0,260000.0,0.0,0.0,186000.0,899000.0,1345000.0,585000.0,0.0,0.0,0.0,585000.0,3861000.0,5791000.0,52000.0,4387000.0,0.0,7000.0,4446000.0,10237000.0,0.0,585000.0,-1943000.0,https://www.sec.gov/Archives/edgar/data/730349/000093041311002663/0000930413-11-002663-index.htm,https://www.sec.gov/Archives/edgar/data/730349/000093041311002663/c65033_10-k.htm,1620598934,18:22:14,20210509
