,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,WLFC,USD,2021-03-15,2021-03-15 15:58:34,FY,42540000.0,0.0,42540000.0,186977000.0,59434000.0,0.0,328186000.0,1918366000,0.0,21343000.0,21343000.0,53275000.0,0.0,43778000.0,2036762000,0.0,2364948000,0.0,0.0,0.0,11637000.0,0.0,38614000.0,1693753000,0.0,116838000.0,19522000.0,1962319000,0.0,2000933000,66000.0,355370000.0,-5117000.0,0.0,364015000.0,2364948000,0.0,1693753000,1651213000,https://www.sec.gov/Archives/edgar/data/1018164/000101816421000013/0001018164-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1018164/000101816421000013/wlfc-20201231.htm,1620599863,18:37:43,20210509
1,2019-12-31,WLFC,USD,2020-03-12,2020-03-12 16:38:37,FY,6720000.0,0.0,6720000.0,62204000.0,41759000.0,0.0,167751000.0,1682438000,0.0,4445000.0,4445000.0,58000000.0,0.0,28038000.0,1772857000,0.0,1940608000,0.0,0.0,0.0,0.0,0.0,45648000.0,1251006000,6121000.0,110418000.0,20569000.0,1494984000,0.0,1540632000,64000.0,348965000.0,-3000000.0,0.0,399976000.0,1940608000,0.0,1251006000,1244286000,https://www.sec.gov/Archives/edgar/data/1018164/000101816420000008/0001018164-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1018164/000101816420000008/wlfc-20191231x10k.htm,1620599863,18:37:43,20210509
2,2018-12-31,WLFC,USD,2019-03-14,2019-03-14 16:56:48,FY,11688000.0,0.0,11688000.0,23270000.0,48874000.0,0.0,154882000.0,1700814000,0.0,16142000.0,16142000.0,48000000.0,0.0,15164000.0,1780061000,0.0,1934943000,0.0,0.0,0.0,0.0,0.0,42939000.0,1337349000,5460000.0,90285000.0,28047000.0,1555663000,0.0,1598602000,62000.0,286623000.0,-392428000.0,0.0,336341000.0,1934943000,0.0,1337349000,1325661000,https://www.sec.gov/Archives/edgar/data/1018164/000155837019002025/0001558370-19-002025-index.htm,https://www.sec.gov/Archives/edgar/data/1018164/000155837019002025/wlfc-20181231x10k.htm,1620599863,18:37:43,20210509
3,2017-12-31,WLFC,USD,2018-03-15,2018-03-15 17:05:09,FY,7052000.0,0.0,7052000.0,18848000.0,16379000.0,0.0,116723000.0,1368645000,0.0,16490000.0,16490000.0,51000000.0,0.0,50932000.0,1486708000,0.0,1603431000,0.0,0.0,0.0,0.0,0.0,22072000.0,1085405000,8102000.0,78280000.0,25302000.0,1272978000,0.0,1295050000,64000.0,256301000.0,-376057000.0,0.0,308381000.0,1603431000,0.0,1085405000,1078353000,https://www.sec.gov/Archives/edgar/data/1018164/000155837018002139/0001558370-18-002139-index.htm,https://www.sec.gov/Archives/edgar/data/1018164/000155837018002139/wlfc-20171231x10k.htm,1620599863,18:37:43,20210509
4,2016-12-31,WLFC,USD,2017-03-16,2017-03-15 18:08:37,FY,10076000.0,0.0,10076000.0,16484000.0,25443000.0,0.0,105011000.0,1153405000,0.0,19852000.0,19852000.0,45000000.0,0.0,14213000.0,1232876000,0.0,1337887000,0.0,0.0,0.0,0.0,0.0,17792000.0,900255000,5823000.0,104978000.0,21417000.0,1104075000,0.0,1121867000,64000.0,194729000.0,-1000000.0,0.0,216020000.0,1337887000,0.0,900255000,890179000,https://www.sec.gov/Archives/edgar/data/1018164/000155837017001855/0001558370-17-001855-index.htm,https://www.sec.gov/Archives/edgar/data/1018164/000155837017001855/wlfc-20161231x10k.htm,1620599863,18:37:43,20210509
5,2015-12-31,WLFC,USD,2016-03-11,2016-03-10 18:25:12,FY,9732000.0,0.0,9732000.0,14072000.0,20526000.0,0.0,100810000.0,1143106000,0.0,0.0,932000.0,41000000.0,0.0,22434000.0,1207767000,0.0,1308577000,0.0,0.0,0.0,0.0,0.0,21665000.0,878684000,5090000.0,96742000.0,25010000.0,1076580000,0.0,1098245000,75000.0,182058000.0,-1000000.0,0.0,210332000.0,1308577000,0.0,878684000,868952000,https://www.sec.gov/Archives/edgar/data/1018164/000155837016004008/0001558370-16-004008-index.htm,https://www.sec.gov/Archives/edgar/data/1018164/000155837016004008/wlfc-20151231x10k.htm,1620599863,18:37:43,20210509
6,2014-12-31,WLFC,USD,2015-03-16,2015-03-16 14:55:30,FY,13493000.0,0.0,13493000.0,8912000.0,18593000.0,0.0,110370000.0,1084403000,0.0,0.0,1164000.0,42000000.0,0.0,24099000.0,1151256000,0.0,1261626000,0.0,0.0,0.0,0.0,0.0,21614000.0,840956000,4342000.0,90510000.0,20869000.0,1023151000,0.0,1044765000,83000.0,174702000.0,-290507000.0,0.0,216861000.0,1261626000,0.0,840956000,827463000,https://www.sec.gov/Archives/edgar/data/1018164/000155837015000363/0001558370-15-000363-index.htm,https://www.sec.gov/Archives/edgar/data/1018164/000155837015000363/wlfc-20141231x10k.htm,1620599863,18:37:43,20210509
7,2013-12-31,WLFC,USD,2014-03-17,2014-03-17 16:08:05,FY,12801000.0,0.0,12801000.0,13286000.0,3280000.0,0.0,114021000.0,1037972000,0.0,1396000.0,1396000.0,23485000.0,0.0,22355000.0,1085208000,0.0,1199229000,0.0,0.0,0.0,0.0,0.0,16283000.0,787614000,3549000.0,86685000.0,15158000.0,970341000,0.0,986624000,84000.0,167455000.0,-266472000.0,0.0,212605000.0,1199229000,0.0,787614000,774813000,https://www.sec.gov/Archives/edgar/data/1018164/000110465914020272/0001104659-14-020272-index.htm,https://www.sec.gov/Archives/edgar/data/1018164/000110465914020272/a13-25020_110k.htm,1620599863,18:37:43,20210509
8,2012-12-31,WLFC,USD,2013-03-18,2013-03-18 17:19:15,FY,5379000.0,0.0,5379000.0,12916000.0,0.0,0.0,67862000.0,967448000,0.0,0.0,0.0,22000000.0,0.0,21574000.0,1010853000,0.0,1078715000,0.0,0.0,0.0,0.0,0.0,15374000.0,696988000,4593000.0,90248000.0,6956000.0,863788000,0.0,879162000,87000.0,152911000.0,-1000000.0,0.0,199553000.0,1078715000,0.0,696988000,691609000,https://www.sec.gov/Archives/edgar/data/1018164/000110465913021812/0001104659-13-021812-index.htm,https://www.sec.gov/Archives/edgar/data/1018164/000110465913021812/a12-28274_110k.htm,1620599863,18:37:43,20210509
9,2011-12-31,WLFC,USD,2012-03-13,2012-03-13 16:39:04,FY,6440000.0,0.0,6440000.0,0.0,0.0,0.0,82692000.0,988406000,0.0,0.0,0.0,15000000.0,0.0,37892000.0,1050513000,0.0,1133205000,0.0,0.0,0.0,0.0,0.0,16833000.0,718134000,3743000.0,84706000.0,6278000.0,879711000,0.0,896544000,91000.0,156704000.0,-9000000.0,0.0,236661000.0,1133205000,0.0,718134000,711694000,https://www.sec.gov/Archives/edgar/data/1018164/000119312512112145/0001193125-12-112145-index.htm,https://www.sec.gov/Archives/edgar/data/1018164/000119312512112145/d280727d10k.htm,1620599863,18:37:43,20210509
