,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,3311.HK,HKD,2020-12-31,2020-12-31,FY,8244476000,415520000.0,0.0,0.0,-11055139000,0.0,-2144383000.0,0.0,0.0,2280073000.0,-4531608000,-548380000.0,0.0,0.0,0.0,-330525000.0,324540000,-28207923000.0,0.0,0.0,-1666222000.0,-96934000.0,2881279000,1137116000.0,-188673000,22411689000,22600362000,-4531608000,-548380000.0,-5079988000,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585584,14:39:44,20210509
1,2019-12-31,3311.HK,HKD,2019-12-31,2019-12-31,FY,5673374000,480925000.0,0.0,0.0,-10395275000,0.0,-476990000.0,0.0,0.0,1834949000.0,-2704349000,-381723000.0,0.0,-402407000.0,291658000.0,-1112195000.0,-3090041000,-22166065000.0,0.0,0.0,-1413764000.0,3845810000.0,10506627000,-36071000.0,4676166000,22600362000,17924196000,-2704349000,-381723000.0,-3207126000,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585584,14:39:44,20210509
2,2018-12-31,3311.HK,HKD,2018-12-31,2018-12-31,FY,4517148000,382036000.0,0.0,0.0,-8933028000,0.0,-1911695000.0,0.0,0.0,1520972000.0,-1924595000,-840000.0,0.0,-93331000.0,39389000.0,-1233612000.0,-6953970000,-12860494000.0,0.0,0.0,-1767205000.0,4203413000.0,9581114000,-349221000.0,353328000,17924196000,17570868000,-1924595000,-840000.0,-2733072000,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585584,14:39:44,20210509
3,2017-12-31,3311.HK,HKD,2017-12-31,2017-12-31,FY,5490091000,363584000.0,0.0,0.0,-10842686000,0.0,-83878000.0,0.0,0.0,871236000.0,-4845706000,-11247000.0,0.0,-217415000.0,0.0,-21877000.0,-4800189000,-7757249000.0,6307337000.0,0.0,-1481086000.0,108379000.0,15252916000,479653000.0,6086674000,17570868000,11484194000,-4845706000,-11247000.0,-6312410000,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585584,14:39:44,20210509
4,2016-12-31,3311.HK,HKD,2016-12-31,2016-12-31,FY,5130066000,361353000.0,0.0,0.0,-2018878000,0.0,-22530000.0,0.0,0.0,541831000.0,2867339000,-247679000.0,0.0,-94349000.0,19500000.0,-144000.0,-5690531000,-1797945000.0,4809959000.0,0.0,-1403358000.0,31733000.0,6497667000,-216191000.0,3458284000,11484194000,8025910000,2867339000,-247679000.0,2619660000,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585584,14:39:44,20210509
5,2015-12-31,3311.HK,HKD,2015-12-31,2015-12-31,FY,4153072000,341011000.0,0.0,0.0,-3957998000,0.0,51454000.0,0.0,0.0,30372000.0,300096000,-447463000.0,0.0,-145273000.0,0.0,136019000.0,-935204000,-4075969000.0,9895000.0,0.0,-1210310000.0,8646000.0,1309448000,-164595000.0,509745000,8014873000,7505128000,300096000,-447463000.0,-147367000,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585584,14:39:44,20210509
6,2014-12-31,3311.HK,HKD,2014-12-31,2014-12-31,FY,3457410000,320381000.0,0.0,0.0,-5461372000,0.0,3138000.0,0.0,0.0,301168000.0,-1688938000,-514487000.0,0.0,-323807000.0,282277000.0,-249000.0,-2091319000,-1507621000.0,1441000.0,0.0,-895251000.0,185230000.0,3172269000,-48134000.0,-656122000,7505128000,8161250000,-1688938000,-514487000.0,-2203425000,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585584,14:39:44,20210509
7,2013-12-31,3311.HK,HKD,2013-12-31,2013-12-31,FY,2772145000,292788000.0,0.0,0.0,-6297201000,0.0,27650000.0,0.0,0.0,409330000.0,-3258707000,-380515000.0,0.0,-794166000.0,331761000.0,191315000.0,100218000,-3030783000.0,293000.0,0.0,-699974000.0,-737890000.0,4293909000,145825000.0,1281245000,8151340000,6870095000,-3258707000,-380515000.0,-3639222000,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585584,14:39:44,20210509
8,2012-12-31,3311.HK,HKD,2012-12-31,2012-12-31,FY,2131459000,273986000.0,0.0,0.0,-5215885000,0.0,-31620000.0,0.0,0.0,239375000.0,-3339814000,-403441000.0,0.0,-245782000.0,43234000.0,153049000.0,-457458000,-411505000.0,2271158000.0,0.0,-523193000.0,-929321000.0,5047615000,3835000.0,1254178000,6711990000,5457812000,-3339814000,-403441000.0,-3743255000,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585584,14:39:44,20210509
9,2011-12-31,3311.HK,HKD,2011-12-31,2011-12-31,FY,1507405000,175184000.0,0.0,0.0,-2466830000,0.0,-31848000.0,0.0,0.0,197364000.0,-1004495000,-522200000.0,0.0,-106429000.0,0.0,-121318000.0,-163836000,-1614458000.0,3586509000.0,0.0,-430382000.0,-680111000.0,2894112000,3927000.0,1729708000,5457812000,3728104000,-1004495000,-522200000.0,-1526695000,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585584,14:39:44,20210509
10,2010-12-31,3311.HK,HKD,2010-12-31,2010-12-31,FY,1036278000,81227000.0,0.0,362000.0,-850221000,0.0,-40905000.0,0.0,0.0,-4134000.0,41023000,-364538000.0,0.0,-486544000.0,0.0,-535047000.0,-1424945000,-1259244000.0,5836000.0,0.0,-251561000.0,-1216555000.0,-777448000,31623000.0,-2129747000,3728104000,5857851000,41023000,-364538000.0,-323515000,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585584,14:39:44,20210509
11,2009-12-31,3311.HK,HKD,2009-12-31,2009-12-31,FY,612531000,86879000.0,0.0,934000.0,469832000,0.0,8626000.0,0.0,0.0,9744000.0,1148997000,-132564000.0,0.0,-3084000.0,12334000.0,-578303000.0,-654412000,-15232000.0,1370940000.0,0.0,-186592000.0,344860000.0,3352918000,-1099000.0,3846404000,5746573000,1900169000,1148997000,-132564000.0,1016433000,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585584,14:39:44,20210509
12,2008-12-31,3311.HK,HKD,2008-12-31,2008-12-31,FY,489321000,12132000.0,0.0,1688000.0,-230185000,0.0,-10332000.0,0.0,44118000.0,22300000.0,301425000,-49814000.0,0.0,-3891000.0,4311000.0,-138231000.0,-357971000,-13313000.0,6398000.0,-15748000.0,-199875000.0,-348554000.0,408596000,3572000.0,355622000,1900169000,1544547000,301425000,-49814000.0,86305000,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585584,14:39:44,20210509
13,2007-12-31,3311.HK,HKD,2007-12-31,2007-12-31,FY,447955000,10291000.0,0.0,0.0,-434460000,0.0,-9352000.0,0.0,0.0,-428876000.0,-418585000,-124584000.0,0.0,-59069000.0,102957000.0,-128539000.0,-178224000,-8310000.0,1008972000.0,0.0,0.0,-976138000.0,24524000,-1899000.0,-574184000,1544547000,2118731000,-418585000,-124584000.0,-543169000,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585584,14:39:44,20210509
14,2006-12-31,3311.HK,HKD,2006-12-31,2006-12-31,FY,221863000,9018000.0,0.0,0.0,-387109000,0.0,-2056000.0,0.0,0.0,147866000.0,156884000,-76985000.0,0.0,-155368000.0,157817000.0,-5716000.0,-65945000,-48545000.0,7057000.0,0.0,0.0,-68463000.0,-109951000,-721000.0,-19733000,1686829000,1706562000,156884000,-76985000.0,79899000,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585584,14:39:44,20210509
15,2005-12-31,3311.HK,HKD,2005-12-31,2005-12-31,FY,146534000,11810000.0,0.0,0.0,131520000,0.0,3514000.0,0.0,0.0,72759000.0,84569000,-39269000.0,0.0,0.0,0.0,228409000.0,193543000,-200499000.0,0.0,0.0,0.0,213151000.0,12652000,0.0,290764000,1612429000,1321665000,84569000,-39269000.0,45300000,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585584,14:39:44,20210509
16,2004-12-31,3311.HK,HKD,2004-12-31,2004-12-31,FY,173994000,4924000.0,0.0,0.0,-196947000,0.0,-9042000.0,0.0,0.0,500207000.0,505131000,-45669000.0,0.0,0.0,0.0,294277000.0,287085000,-200000000.0,0.0,0.0,0.0,-477718000.0,-477298000,0.0,314918000,1321665000,1006747000,505131000,-45669000.0,459462000,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585584,14:39:44,20210509
