,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,888.L,USD,2020-12-31,2020-12-31,FY,11300000.0,33600000.0,0.0,11000000.0,33500000.0,0.0,0.0,0.0,0.0,80800000.0,179200000.0,0.0,0.0,0.0,0.0,0.0,0.0,-50000000.0,0.0,-300000.0,-33200000.0,0.0,-58900000.0,3700000.0,93100000.0,190000000.0,96900000.0,179200000.0,-33000000.0,146200000.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=888+Holdings+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=888+Holdings+PLC,1620585955,14:45:55,20210509
1,2019-12-31,888.L,USD,2019-12-31,2019-12-31,FY,41600000.0,32200000.0,0.0,5400000.0,2800000.0,0.0,0.0,0.0,0.0,2400000.0,81600000.0,-22800000.0,0.0,0.0,0.0,0.0,-82900000.0,-15000000.0,100000.0,0.0,-40400000.0,0.0,-31700000.0,-500000.0,-33500000.0,99500000.0,133000000.0,81600000.0,-22800000.0,58800000.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=888+Holdings+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=888+Holdings+PLC,1620585955,14:45:55,20210509
2,2018-12-31,888.L,USD,2018-12-31,2018-12-31,FY,94800000.0,20300000.0,0.0,8900000.0,-58700000.0,0.0,0.0,0.0,0.0,-11700000.0,42100000.0,-22000000.0,0.0,0.0,0.0,0.0,-30600000.0,0.0,100000.0,-800000.0,-56600000.0,0.0,-57300000.0,-800000.0,-46600000.0,133000000.0,179600000.0,42100000.0,-22000000.0,20100000.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=888+Holdings+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=888+Holdings+PLC,1620585955,14:45:55,20210509
3,2017-12-31,888.L,USD,2017-12-31,2017-12-31,FY,12600000.0,19300000.0,0.0,8500000.0,53500000.0,0.0,0.0,0.0,0.0,-600000.0,95500000.0,-20400000.0,0.0,0.0,0.0,0.0,-19800000.0,0.0,300000.0,-700000.0,-70500000.0,0.0,-70900000.0,2200000.0,7000000.0,179600000.0,172600000.0,95500000.0,-20400000.0,75100000.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=888+Holdings+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=888+Holdings+PLC,1620585955,14:45:55,20210509
4,2016-12-31,888.L,USD,2016-12-31,2016-12-31,FY,51500000.0,19000000.0,0.0,6700000.0,-7300000.0,0.0,0.0,0.0,0.0,-400000.0,68100000.0,-18200000.0,0.0,0.0,0.0,0.0,-17800000.0,0.0,1100000.0,0.0,-56600000.0,0.0,-55500000.0,-800000.0,-6000000.0,172600000.0,178600000.0,68100000.0,-18200000.0,49900000.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=888+Holdings+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=888+Holdings+PLC,1620585955,14:45:55,20210509
5,2015-12-31,888.L,USD,2015-12-31,2015-12-31,FY,29500000.0,18600000.0,0.0,4100000.0,35800000.0,0.0,0.0,0.0,0.0,-100000.0,85000000.0,-14400000.0,0.0,0.0,0.0,0.0,-15600000.0,0.0,900000.0,0.0,-53500000.0,0.0,-52600000.0,-1300000.0,15500000.0,178600000.0,163100000.0,85000000.0,-14400000.0,70600000.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=888+Holdings+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=888+Holdings+PLC,1620585955,14:45:55,20210509
6,2014-12-31,888.L,USD,2014-12-31,2014-12-31,FY,56900000.0,19000000.0,0.0,1700000.0,25800000.0,0.0,0.0,0.0,0.0,-400000.0,111900000.0,-17000000.0,0.0,0.0,3900000.0,0.0,-13100000.0,0.0,400000.0,0.0,-51200000.0,0.0,-50800000.0,-700000.0,47300000.0,163100000.0,115800000.0,111900000.0,-17000000.0,94900000.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=888+Holdings+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=888+Holdings+PLC,1620585955,14:45:55,20210509
7,2013-12-31,888.L,USD,2013-12-31,2013-12-31,FY,50000000.0,13900000.0,0.0,5500000.0,12000000.0,0.0,0.0,0.0,0.0,-1700000.0,90200000.0,-22600000.0,0.0,0.0,0.0,-800000.0,-23500000.0,0.0,800000.0,0.0,-33200000.0,0.0,-32400000.0,0.0,34300000.0,115800000.0,81500000.0,90200000.0,-22600000.0,67600000.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=888+Holdings+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=888+Holdings+PLC,1620585955,14:45:55,20210509
8,2012-12-31,888.L,USD,2012-12-31,2012-12-31,FY,35400000.0,14800000.0,0.0,1700000.0,20200000.0,0.0,0.0,0.0,0.0,-1200000.0,70700000.0,-21400000.0,0.0,0.0,2500000.0,0.0,-55300000.0,0.0,0.0,0.0,-8700000.0,0.0,-9800000.0,0.0,5600000.0,81500000.0,75900000.0,70700000.0,-21400000.0,49300000.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=888+Holdings+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=888+Holdings+PLC,1620585955,14:45:55,20210509
9,2011-12-31,888.L,USD,2011-12-31,2011-12-31,FY,1934854.5,13037344.9,0.0,2876639.1,56699784.4,0.0,0.0,0.0,0.0,0.0,75044380.8,-8855261.8,0.0,0.0,0.0,0.0,-54715198.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20329182.099999994,81851338.8,61522156.7,75044380.8,-8855261.8,66189119.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=888+Holdings+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=888+Holdings+PLC,1620585955,14:45:55,20210509
10,2010-12-31,888.L,USD,2010-12-31,2010-12-31,FY,7862945.4,12276653.7,0.0,2309407.5,-6198606.3,0.0,0.0,0.0,0.0,0.0,16217520.6,-14996274.6,0.0,-1130435.4,0.0,0.0,-28249925.1,0.0,0.0,-3464894.1,-10491755.7,0.0,-13956649.8,0.0,-25989054.300000004,61519484.4,87508538.7,16217520.6,-14996274.6,1221246.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=888+Holdings+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=888+Holdings+PLC,1620585955,14:45:55,20210509
11,2009-12-31,888.L,USD,2009-12-31,2009-12-31,FY,24832350.2,8501660.2,0.0,7012495.3,3136786.0,0.0,0.0,0.0,0.0,0.0,41497738.5,-373503.9,0.0,0.0,0.0,0.0,-29985410.5,0.0,0.0,0.0,-22445805.8,0.0,-22445805.8,0.0,-10933477.799999997,87511478.7,98444956.5,41497738.5,-373503.9,41124234.6,https://find-and-update.company-information.service.gov.uk/search/companies?q=888+Holdings+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=888+Holdings+PLC,1620585955,14:45:55,20210509
12,2008-12-31,888.L,USD,2008-12-31,2008-12-31,FY,37185558.2,7330371.4,0.0,8390482.8,7973437.6,0.0,0.0,0.0,0.0,0.0,56392968.6,-1469865.6,0.0,0.0,0.0,0.0,-36695603.0,0.0,65619.0,0.0,-25627865.0,0.0,-25562246.0,0.0,-5864880.399999991,98444540.2,104309420.6,56392968.6,-1469865.6,54923103.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=888+Holdings+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=888+Holdings+PLC,1620585955,14:45:55,20210509
13,2007-12-31,888.L,USD,2007-12-31,2007-12-31,FY,34235300.4,5742022.0,0.0,7799914.5,3730306.6,0.0,0.0,0.0,0.0,-1029000.0,46197177.0,-7574000.0,0.0,-758910.6,0.0,0.0,-20040861.4,0.0,0.0,0.0,-36204854.1,0.0,-36204854.1,0.0,-10048000.0,104308000.0,114356000.0,46197177.0,-7574000.0,46197177.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=888+Holdings+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=888+Holdings+PLC,1620585955,14:45:55,20210509
14,2006-12-31,888.L,USD,2006-12-31,2006-12-31,FY,74501345.1,3800948.8,0.0,8828960.1,2108584.2,0.0,0.0,0.0,0.0,64258000.0,84455276.1,-8620850.3,0.0,0.0,0.0,0.0,-3643884.8,0.0,0.0,0.0,-28658290.1,0.0,-28658290.1,0.0,52154000.0,114356000.0,62202000.0,84455276.1,-8620850.3,75834425.8,https://find-and-update.company-information.service.gov.uk/search/companies?q=888+Holdings+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=888+Holdings+PLC,1620585955,14:45:55,20210509
15,2005-12-31,888.L,USD,2005-12-31,2005-12-31,FY,48015000.0,2720000.0,0.0,17234000.0,21124000.0,0.0,0.0,0.0,0.0,-680000.0,88253000.0,-4231000.0,0.0,0.0,0.0,0.0,-3285000.0,0.0,0.0,-1000.0,-63100000.0,0.0,-63101000.0,0.0,21867000.0,62202000.0,40335000.0,88253000.0,-4231000.0,84022000.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=888+Holdings+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=888+Holdings+PLC,1620585955,14:45:55,20210509
16,2004-12-31,888.L,USD,2004-12-31,2004-12-31,FY,41096926.1,2426793.5,0.0,0.0,7185629.2,0.0,-2080000.0,0.0,0.0,14450000.0,51440287.4,-1554694.8,0.0,0.0,0.0,0.0,-2148340.7,0.0,0.0,-12441425.8,-26101082.6,0.0,-38542508.4,0.0,10749000.0,40335000.0,29586000.0,51440287.4,-1554694.8,49885592.6,https://find-and-update.company-information.service.gov.uk/search/companies?q=888+Holdings+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=888+Holdings+PLC,1620585955,14:45:55,20210509
