,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2019-12-31,ALOBR.PA,EUR,2019-12-31,2019-12-31,FY,1197000.0,790000.0,0.0,0.0,241000.0,0.0,0.0,0.0,0.0,0.0,2392000.0,0.0,0.0,0.0,0.0,1000.0,-837000.0,-2560000.0,0.0,0.0,-717000.0,0.0,-2120000.0,18000.0,-546000.0,2142000.0,2688000.0,2392000.0,-854000.0,1538000.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.O.B.R#phrase=A.L.O.B.R,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.O.B.R#phrase=A.L.O.B.R,1620586597,14:56:37,20210509
1,2018-12-31,ALOBR.PA,EUR,2018-12-31,2018-12-31,FY,674000.0,1026000.0,0.0,0.0,124000.0,0.0,0.0,0.0,0.0,0.0,1919000.0,0.0,0.0,0.0,0.0,0.0,-718000.0,-3963000.0,0.0,0.0,-999000.0,641000.0,-1199000.0,-29000.0,-27000.0,2688000.0,2715000.0,1919000.0,-763000.0,1156000.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.O.B.R#phrase=A.L.O.B.R,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.O.B.R#phrase=A.L.O.B.R,1620586597,14:56:37,20210509
2,2017-12-31,ALOBR.PA,EUR,2017-12-31,2017-12-31,FY,947000.0,856000.0,0.0,0.0,-226000.0,0.0,0.0,0.0,0.0,0.0,1633000.0,0.0,0.0,0.0,0.0,-5356000.0,-4868000.0,-5029000.0,0.0,0.0,-1017000.0,0.0,4534000.0,-21000.0,1278000.0,2715000.0,1437000.0,1633000.0,0.0,1633000.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.O.B.R#phrase=A.L.O.B.R,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.O.B.R#phrase=A.L.O.B.R,1620586597,14:56:37,20210509
3,2016-12-31,ALOBR.PA,EUR,2016-12-31,2016-12-31,FY,1430000.0,710000.0,0.0,0.0,-333000.0,0.0,0.0,0.0,0.0,0.0,1923000.0,-183000.0,0.0,0.0,0.0,-1000.0,1108000.0,-2424000.0,0.0,0.0,-1012000.0,0.0,-3009000.0,-12000.0,11000.0,1437000.0,1426000.0,1923000.0,-183000.0,1740000.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.O.B.R#phrase=A.L.O.B.R,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.O.B.R#phrase=A.L.O.B.R,1620586597,14:56:37,20210509
4,2015-12-31,ALOBR.PA,EUR,2015-12-31,2015-12-31,FY,652000.0,734000.0,0.0,0.0,-1110000.0,0.0,0.0,0.0,0.0,0.0,372000.0,-356000.0,0.0,0.0,0.0,-1000.0,639000.0,-1624000.0,0.0,0.0,0.0,-1000.0,-1324000.0,0.0,-313000.0,1426000.0,1739000.0,372000.0,-356000.0,16000.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.O.B.R#phrase=A.L.O.B.R,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.O.B.R#phrase=A.L.O.B.R,1620586597,14:56:37,20210509
5,2014-12-31,ALOBR.PA,EUR,2014-12-31,2014-12-31,FY,289000.0,1138000.0,0.0,0.0,-304000.0,0.0,0.0,0.0,0.0,0.0,1595000.0,0.0,0.0,0.0,0.0,0.0,-488000.0,-2367000.0,0.0,0.0,-1009000.0,0.0,-2301000.0,-4000.0,-1199000.0,1739000.0,2938000.0,1595000.0,-515000.0,1080000.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.O.B.R#phrase=A.L.O.B.R,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.O.B.R#phrase=A.L.O.B.R,1620586597,14:56:37,20210509
6,2013-12-31,ALOBR.PA,EUR,2013-12-31,2013-12-31,FY,2990317.0,835000.0,0.0,0.0,-1860000.0,0.0,0.0,0.0,0.0,0.0,126000.0,-10000.0,0.0,0.0,0.0,-1000.0,20000.0,-1890000.0,0.0,0.0,-1196000.0,0.0,-3086000.0,-40000.0,-2980000.0,2938000.0,5918000.0,126000.0,-10000.0,116000.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.O.B.R#phrase=A.L.O.B.R,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.O.B.R#phrase=A.L.O.B.R,1620586597,14:56:37,20210509
7,2012-12-31,ALOBR.PA,EUR,2012-12-31,2012-12-31,FY,2990000.0,-710000.0,0.0,0.0,1670000.0,0.0,0.0,0.0,0.0,0.0,3826000.0,-1977000.0,0.0,0.0,0.0,0.0,669000.0,-2463000.0,0.0,0.0,-1192000.0,0.0,-3360000.0,-19000.0,1116000.0,5918000.0,4802000.0,3826000.0,-1977000.0,1849000.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.O.B.R#phrase=A.L.O.B.R,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.O.B.R#phrase=A.L.O.B.R,1620586597,14:56:37,20210509
8,2011-12-31,ALOBR.PA,EUR,2011-12-31,2011-12-31,FY,-273923.0,1891000.0,0.0,0.0,1194000.0,0.0,285000.0,0.0,0.0,0.0,2814000.0,-394000.0,0.0,0.0,0.0,1000.0,-259000.0,-2338000.0,77000.0,0.0,-1194000.0,179000.0,-2398000.0,-9000.0,148000.0,5514000.0,5366000.0,2814000.0,-394000.0,2420000.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.O.B.R#phrase=A.L.O.B.R,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.O.B.R#phrase=A.L.O.B.R,1620586597,14:56:37,20210509
9,2010-12-31,ALOBR.PA,EUR,2010-12-31,2010-12-31,FY,1195176.0,1014015.0,0.0,0.0,-4477819.0,0.0,-6420081.0,0.0,0.0,0.0,-2407312.0,-13194261.0,0.0,0.0,0.0,-4400822.0,-17590967.0,-1339868.0,6798452.0,0.0,-1192314.0,0.0,21185514.0,-5200.0,1182036.0,5366467.0,4184431.0,-2407312.0,-13194261.0,-15601573.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.O.B.R#phrase=A.L.O.B.R,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=A.L.O.B.R#phrase=A.L.O.B.R,1620586597,14:56:37,20210509
