,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2019-12-31,AVES.DE,EUR,2019-12-31,2019-12-31,FY,11982000.0,32904000.0,0.0,0.0,-7243000.0,0.0,92000.0,0.0,0.0,40594000.0,80005000.0,-156240000.0,0.0,-187000.0,0.0,0.0,-130928000.0,-179577000.0,0.0,0.0,0.0,-1273000.0,64645000.0,17000.0,13739000.0,30887000.0,17148000.0,80005000.0,-156676000.0,-76671000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620588964,15:36:04,20210509
1,2018-12-31,AVES.DE,EUR,2018-12-31,2018-12-31,FY,12034000.0,21013000.0,0.0,0.0,1017000.0,0.0,0.0,0.0,0.0,27586000.0,51002000.0,-386575000.0,0.0,-8176000.0,500000.0,0.0,-384243000.0,-258275000.0,0.0,0.0,0.0,0.0,349116000.0,87000.0,2240000.0,17148000.0,14908000.0,51002000.0,-386808000.0,-335806000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620588964,15:36:04,20210509
2,2017-12-31,AVES.DE,EUR,2017-12-31,2017-12-31,FY,-34980000.0,15928000.0,0.0,0.0,-4840000.0,0.0,-486000.0,0.0,0.0,23934000.0,24308000.0,-61029000.0,0.0,0.0,113000.0,0.0,-49300000.0,-134111000.0,1782000.0,0.0,0.0,0.0,17248000.0,-432000.0,-8169000.0,14908000.0,23077000.0,24308000.0,-61029000.0,-36721000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620588964,15:36:04,20210509
3,2016-12-31,AVES.DE,EUR,2016-12-31,2016-12-31,FY,-7666000.0,8508000.0,0.0,0.0,4166000.0,0.0,-2376000.0,0.0,0.0,13296000.0,16477000.0,-51299000.0,0.0,-20101000.0,0.0,0.0,-71642000.0,-60536000.0,17820000.0,0.0,0.0,-1000.0,74147000.0,1488000.0,20470000.0,31954000.0,11484000.0,16477000.0,-54372000.0,-37895000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620588964,15:36:04,20210509
4,2015-12-31,AVES.DE,EUR,2015-12-31,2015-12-31,FY,4372000.0,4807000.0,0.0,0.0,-2840000.0,0.0,0.0,0.0,0.0,9933000.0,3951000.0,-96554000.0,0.0,-5424000.0,432000.0,0.0,-105327000.0,-75766000.0,7852000.0,0.0,0.0,0.0,104680000.0,690000.0,3994000.0,11484000.0,7490000.0,3951000.0,-116101000.0,-112150000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620588964,15:36:04,20210509
5,2014-12-31,AVES.DE,EUR,2014-12-31,2014-12-31,FY,-821303.52,13674.59,0.0,0.0,173862.04,0.0,101720.82,0.0,0.0,0.0,-633766.89,0.0,0.0,0.0,0.0,0.0,-3950.59,0.0,0.0,0.0,0.0,0.0,597109.07,0.0,-40608.41,40767.58,81375.99,-633766.89,-3950.59,-637717.48,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620588964,15:36:04,20210509
6,2013-12-31,AVES.DE,EUR,2013-12-31,2013-12-31,FY,-367602.5,11887.83,0.0,0.0,-217167.97,0.0,-316958.79,0.0,0.0,0.0,-621449.88,0.0,0.0,0.0,0.0,-116206.88,-45466.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-550709.4400000001,81375.99,632085.43,-621449.88,-5549.83,-626999.71,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620588964,15:36:04,20210509
7,2012-12-31,AVES.DE,EUR,2012-12-31,2012-12-31,FY,-938928.79,-6215.44,0.0,0.0,34106.22,0.0,-93495.41,0.0,0.0,0.0,-911038.01,0.0,0.0,0.0,0.0,0.0,-91766.29,0.0,1253537.49,0.0,0.0,0.0,1100940.73,0.0,98136.43000000005,632085.43,533949.0,-911038.01,-46931.44,-957969.45,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620588964,15:36:04,20210509
8,2011-12-31,AVES.DE,EUR,2011-12-31,2011-12-31,FY,-137112.0,0.0,0.0,0.0,32415.0,0.0,3000.0,0.0,0.0,0.0,-101909.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-101909.0,533949.0,635858.0,-101909.0,0.0,-101909.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620588964,15:36:04,20210509
9,2010-12-31,AVES.DE,EUR,2010-12-31,2010-12-31,FY,354224.0,0.0,0.0,0.0,65143.0,0.0,-2000.0,0.0,0.0,0.0,423367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423367.0,635858.0,212491.0,423367.0,0.0,423367.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620588964,15:36:04,20210509
