,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2020-06-30,CVC.AX,AUD,2020-06-30,2020-06-30,FY,-2074480.0,771975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-89850.0,0.0,-20010.0,0.0,0.0,7392555.0,-4030655.0,0.0,-1192425.0,-13054946.0,2757972.0,-7559410.0,0.0,-34531866.0,22625871.0,57157737.0,0.0,-89850.0,-34454861.0,,,1620590855,16:07:35,20210509
1,2019-06-30,CVC.AX,AUD,2019-06-30,2019-06-30,FY,-2060002.0,91789.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53472.0,0.0,-837256.0,0.0,0.0,-3993365.0,-81487901.0,0.0,-5061833.0,-22809860.0,0.0,-31153899.0,0.0,-13935548.0,57157737.0,71093285.0,0.0,-53472.0,21158244.0,,,1620590855,16:07:35,20210509
2,2018-06-30,CVC.AX,AUD,2018-06-30,2018-06-30,FY,22716376.0,85202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30660.0,0.0,-1144843.0,0.0,0.0,-1181647.0,-66669758.0,0.0,0.0,-20438402.0,0.0,39178026.0,0.0,29346569.0,71093285.0,41746716.0,0.0,-36804.0,-8686614.0,,,1620590855,16:07:35,20210509
3,2017-06-30,CVC.AX,AUD,2017-06-30,2017-06-30,FY,27501354.0,125738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16477391.0,-277656.0,0.0,-39853625.0,64205739.0,15532341.0,38230679.0,-14839117.0,7987657.0,-1019624.0,-24287652.0,-166099.0,-1659224.0,-20398.0,20073666.0,41746716.0,21673050.0,-16477391.0,-285394.0,-16762785.0,,,1620590855,16:07:35,20210509
4,2016-06-30,CVC.AX,AUD,2016-06-30,2016-06-30,FY,13798394.0,501343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24829299.0,-143088.0,0.0,-60901310.0,50826372.0,-34731672.0,-44993836.0,-28627970.0,1723695.0,-6131461.0,-10552026.0,0.0,-13316762.0,697616.0,-32783683.0,21673050.0,54456733.0,24829299.0,-187226.0,24642073.0,,,1620590855,16:07:35,20210509
5,2015-06-30,CVC.AX,AUD,2015-06-30,2015-06-30,FY,18323405.0,470019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19587966.0,-190552.0,0.0,-47178754.0,72107343.0,-14379065.0,10332156.0,-41098180.0,0.0,-1354097.0,-18547959.0,-242540.0,-25806287.0,1659115.0,5772950.0,54456733.0,48683783.0,19587966.0,-217368.0,19370598.0,,,1620590855,16:07:35,20210509
6,2014-06-30,CVC.AX,AUD,2014-06-30,2014-06-30,FY,25383574.0,508717.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13668073.0,-607853.0,0.0,-33402553.0,45648107.0,12409340.0,25278460.0,-48396338.0,1000.0,-4350233.0,-12205433.0,0.0,-17050120.0,-813951.0,21082462.0,48683783.0,27601321.0,13668073.0,-607853.0,13060220.0,,,1620590855,16:07:35,20210509
7,2013-06-30,CVC.AX,AUD,2013-06-30,2013-06-30,FY,9290136.0,487032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7586641.0,-64640.0,0.0,-49252403.0,25835136.0,13870787.0,-9893093.0,-1167990.0,0.0,-917050.0,-6456854.0,0.0,1300974.0,321546.0,-15857214.0,27601321.0,43458535.0,-7586641.0,-64640.0,-7651281.0,,,1620590855,16:07:35,20210509
8,2012-06-30,CVC.AX,AUD,2012-06-30,2012-06-30,FY,9133110.0,287515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-889244.0,-207564.0,0.0,-26617678.0,68097395.0,3877416.0,59782270.0,-16000000.0,0.0,-8148703.0,-9834562.0,0.0,-33983265.0,574586.0,25484347.0,43458535.0,17974188.0,-889244.0,-207564.0,-1096808.0,,,1620590855,16:07:35,20210509
9,2011-06-30,CVC.AX,AUD,2011-06-30,2011-06-30,FY,10228494.0,14039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7011492.0,-6157.0,0.0,-42180524.0,41360153.0,-10517928.0,-11067766.0,-6350000.0,0.0,-5894145.0,-6516452.0,0.0,-18760597.0,-5541.0,-22822412.0,17974188.0,40796600.0,7011492.0,-6157.0,7005335.0,,,1620590855,16:07:35,20210509
