,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,FFHL,CNY,2020-12-31,2020-12-31,FY,19610000.0,42256000.0,-6115000.0,0.0,22989000.0,0.0,-2119000.0,6198000.0,4093000.0,0.0,117536000.0,-11257000.0,0.0,0.0,0.0,0.0,-11257000.0,-26000000.0,0.0,0.0,0.0,-45726000.0,-71726000.0,-1000.0,34552000.0,120923000.0,86371000.0,117536000.0,-11257000.0,106279000.0,,,1620592040,16:27:20,20210509
1,2019-12-31,FFHL,CNY,2020-04-28,2020-04-28,FY,11363000.0,41985000.0,2325000.0,0.0,-1782000.0,0.0,-399000.0,-1217000.0,3344000.0,0.0,54366000.0,-12925000.0,0.0,0.0,0.0,0.0,-12559000.0,-7000000.0,0.0,0.0,0.0,4606000.0,-2344000.0,0.0,39463000.0,86371000.0,46908000.0,54366000.0,-12925000.0,41441000.0,https://www.sec.gov/Archives/edgar/data/1381074/000110465920052428/tm206797d1_20f.htm,https://www.sec.gov/Archives/edgar/data/1381074/000110465920052428/tm206797d1_20f.htm,1620592040,16:27:20,20210509
2,2018-12-31,FFHL,CNY,2019-04-29,2019-04-29,FY,-22172000.0,45043000.0,3617000.0,0.0,-487000.0,0.0,-96000.0,3278000.0,-117000.0,0.0,25381000.0,-4619000.0,0.0,0.0,0.0,28000.0,-4591000.0,-56282000.0,0.0,0.0,0.0,0.0,-41332000.0,-2014000.0,-22556000.0,46908000.0,69464000.0,25381000.0,-4619000.0,20762000.0,https://www.sec.gov/Archives/edgar/data/1381074/000114420419021958/tv517528_20f.htm,https://www.sec.gov/Archives/edgar/data/1381074/000114420419021958/tv517528_20f.htm,1620592040,16:27:20,20210509
3,2017-12-31,FFHL,CNY,2018-04-23,2018-04-23,FY,-46003000.0,43405000.0,808000.0,0.0,12023000.0,0.0,-766000.0,-3110000.0,-1533000.0,0.0,10827000.0,-3282000.0,0.0,0.0,0.0,17212000.0,13995000.0,-46288000.0,0.0,0.0,0.0,19327000.0,-26961000.0,1759000.0,-380000.0,12963000.0,13343000.0,10827000.0,-3282000.0,7545000.0,https://www.sec.gov/Archives/edgar/data/1381074/000114420418021848/tv490220_20f.htm,https://www.sec.gov/Archives/edgar/data/1381074/000114420418021848/tv490220_20f.htm,1620592040,16:27:20,20210509
4,2016-12-31,FFHL,CNY,2017-04-06,2017-04-06,FY,-54483000.0,43717000.0,5317000.0,0.0,-20019000.0,0.0,4647000.0,-12179000.0,-459000.0,0.0,-23228000.0,-11218000.0,0.0,0.0,0.0,-30619000.0,-40568000.0,-14985000.0,0.0,0.0,0.0,-11333000.0,60123000.0,2661000.0,-1012000.0,13343000.0,14355000.0,-23228000.0,-11218000.0,-34446000.0,https://www.sec.gov/Archives/edgar/data/1381074/000114420417019460/v461996_20f.htm,https://www.sec.gov/Archives/edgar/data/1381074/000114420417019460/v461996_20f.htm,1620592040,16:27:20,20210509
5,2015-12-31,FFHL,CNY,2016-04-07,2016-04-07,FY,-69065000.0,45039000.0,7000000.0,0.0,1410000.0,0.0,-4434000.0,3277000.0,-1145000.0,7219000.0,-13990000.0,-1556000.0,0.0,0.0,21000000.0,25166000.0,23610000.0,-21369000.0,0.0,0.0,0.0,17142000.0,-4227000.0,-58000.0,5335000.0,14355000.0,9020000.0,-13990000.0,-1556000.0,-15546000.0,https://www.sec.gov/Archives/edgar/data/1381074/000114420416093271/v435081_20f.htm,https://www.sec.gov/Archives/edgar/data/1381074/000114420416093271/v435081_20f.htm,1620592040,16:27:20,20210509
6,2014-12-31,FFHL,CNY,2015-04-09,2015-04-09,FY,-71327000.0,48225000.0,303000.0,0.0,4524000.0,0.0,14421000.0,-3970000.0,-11273000.0,0.0,-18161000.0,-5559000.0,0.0,0.0,0.0,-5244000.0,-10538000.0,-113315000.0,0.0,0.0,0.0,125938000.0,26172000.0,-31000.0,-2558000.0,9020000.0,11578000.0,-18161000.0,-5559000.0,-23720000.0,https://www.sec.gov/Archives/edgar/data/1381074/000114420415022056/v405208_20f.htm,https://www.sec.gov/Archives/edgar/data/1381074/000114420415022056/v405208_20f.htm,1620592040,16:27:20,20210509
7,2013-12-31,FFHL,CNY,2014-04-11,2014-04-11,FY,-59000000.0,48685000.0,-10007000.0,0.0,25075000.0,0.0,-4164000.0,4658000.0,2952000.0,0.0,3090000.0,-13201000.0,0.0,0.0,0.0,-16809000.0,-32069000.0,-118123000.0,0.0,0.0,0.0,5000000.0,35568000.0,-17000.0,6572000.0,11578000.0,5006000.0,3090000.0,-13201000.0,-10111000.0,https://www.sec.gov/Archives/edgar/data/1381074/000114420414022119/v371570_20f.htm,https://www.sec.gov/Archives/edgar/data/1381074/000114420414022119/v371570_20f.htm,1620592040,16:27:20,20210509
8,2012-12-31,FFHL,CNY,2013-04-11,2013-04-11,FY,-54400000.0,49233000.0,-7727000.0,0.0,48070000.0,0.0,7483000.0,9579000.0,-162000.0,10276000.0,46451000.0,-212717000.0,0.0,0.0,0.0,138252000.0,-85389000.0,-168501000.0,0.0,0.0,0.0,38299000.0,-202000.0,-26000.0,-39166000.0,5006000.0,44172000.0,46451000.0,-212717000.0,-166266000.0,https://www.sec.gov/Archives/edgar/data/1381074/000114420413021330/v338187_20f.htm,https://www.sec.gov/Archives/edgar/data/1381074/000114420413021330/v338187_20f.htm,1620592040,16:27:20,20210509
9,2011-12-31,FFHL,CNY,2012-04-12,2012-04-12,FY,21100000.0,44237000.0,165000.0,0.0,-82637000.0,-26620000.0,7270000.0,0.0,0.0,3533000.0,-14018000.0,-35943000.0,0.0,0.0,0.0,-101188000.0,-119325000.0,-142000000.0,0.0,0.0,0.0,0.0,6501000.0,-213000.0,-127055000.0,44172000.0,171227000.0,-14018000.0,-35943000.0,-49961000.0,https://www.sec.gov/Archives/edgar/data/1381074/000114420412021282/v308830_20f.htm,https://www.sec.gov/Archives/edgar/data/1381074/000114420412021282/v308830_20f.htm,1620592040,16:27:20,20210509
10,2010-12-31,FFHL,CNY,2011-03-25,2011-03-25,FY,40800000.0,37185000.0,5231000.0,0.0,16731000.0,3404000.0,-7538000.0,-11581000.0,0.0,-267000.0,98575000.0,-2951000.0,0.0,0.0,0.0,15037000.0,52012000.0,-11179000.0,0.0,0.0,0.0,0.0,-6179000.0,16000.0,144423000.0,171227000.0,26804000.0,98575000.0,-2951000.0,95624000.0,https://www.sec.gov/Archives/edgar/data/1381074/000114420411017029/v215856_20f.htm,https://www.sec.gov/Archives/edgar/data/1381074/000114420411017029/v215856_20f.htm,1620592040,16:27:20,20210509
11,2009-12-31,FFHL,CNY,2010-04-21,2010-04-21,FY,-19000000.0,36353000.0,-4064000.0,0.0,-8339000.0,11609000.0,-18693000.0,-4475000.0,0.0,4939000.0,9929000.0,-87758000.0,0.0,0.0,0.0,-2131000.0,-7599000.0,-11585000.0,0.0,0.0,0.0,0.0,8415000.0,236000.0,10981000.0,26804000.0,15823000.0,9929000.0,-87758000.0,-77829000.0,https://www.sec.gov/Archives/edgar/data/1381074/000114420410021563/v181536_20f.htm,https://www.sec.gov/Archives/edgar/data/1381074/000114420410021563/v181536_20f.htm,1620592040,16:27:20,20210509
12,2008-12-31,FFHL,CNY,2009-03-31 00:00:00,2009-03-31 17:10:35,FY,18200000.0,25658000.0,0.0,0.0,31394000.0,18186000.0,11080000.0,3691000.0,0.0,4818000.0,80027000.0,-56093000.0,0.0,0.0,0.0,33498000.0,-76750000.0,-23262000.0,0.0,0.0,0.0,0.0,-18262000.0,-104000.0,-15086000.0,15823000.0,30909000.0,80027000.0,-110248000.0,-30221000.0,https://www.sec.gov/Archives/edgar/data/1381074/000114420409017981/0001144204-09-017981-index.html,https://www.sec.gov/Archives/edgar/data/1381074/000114420409017981/v144398_20f.htm,1620592040,16:27:20,20210509
13,2007-12-31,FFHL,CNY,2008-04-14,2008-04-14,FY,47300000.0,22375460.04,146101.6,0.0,9255536.36,0.0,-18883631.8,0.0,0.0,1702083.64,79581541.52,-569796.24,0.0,0.0,0.0,-236458134.52,-237027930.76,0.0,0.0,0.0,0.0,0.0,-49608798.28,4054319.4,-203008173.2,30951623.96,233959797.16,79581541.52,-569796.24,79011745.28,https://www.sec.gov/Archives/edgar/data/1381074/000114420408022089/v110456_20f.htm,https://www.sec.gov/Archives/edgar/data/1381074/000114420408022089/v110456_20f.htm,1620592040,16:27:20,20210509
14,2006-12-31,FFHL,CNY,2007-04-02 00:00:00,2007-04-02 13:01:55,FY,67700000.0,23470475.0,756357.5,0.0,-33045805.0,0.0,1099447.5,0.0,0.0,-1076055.0,58442262.5,-40141530.0,0.0,0.0,0.0,-3306140.0,-43439872.5,0.0,235663842.5,0.0,0.0,0.0,227304922.5,0.0,242307312.5,249730532.5,7423220.0,58442262.5,-40141530.0,18300732.5,https://www.sec.gov/Archives/edgar/data/1381074/000114420407016210/0001144204-07-016210-index.html,https://www.sec.gov/Archives/edgar/data/1381074/000114420407016210/v070184_20f.htm,1620592040,16:27:20,20210509
15,2005-12-31,FFHL,CNY,2005-12-31,2005-12-31,FY,57693231.0,24034809.5,-56514.5,0.0,-38639771.0,0.0,-6918989.5,0.0,0.0,1017261.0,44016722.0,-36669837.0,0.0,0.0,0.0,4771438.5,-31785369.5,0.0,0.0,0.0,-26529521.0,-1800390.5,-10689314.0,0.0,1542038.5,7500281.5,5958243.0,44016722.0,-36669837.0,7346885.0,,,1620592040,16:27:20,20210509
16,2004-12-31,FFHL,CNY,2004-12-31,2004-12-31,FY,14097689.45,2698676.9,-289735.25,0.0,43352671.55,0.0,13294708.9,0.0,0.0,1001656.15,60877515.1,-57077844.25,0.0,0.0,0.0,4445366.55,-40463597.2,0.0,0.0,0.0,-15504974.95,0.0,-14511596.95,0.0,0.0,5902320.95,0.0,60877515.1,-57077844.25,3799670.85,,,1620592040,16:27:20,20210509
