,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2020-06-30,GIB.AX,AUD,2020-06-30,2020-06-30,FY,-521620.0,9435.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49665.0,0.0,0.0,0.0,0.0,-193045.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-589740.0,683106.0,1272846.0,0.0,-396695.0,-589740.0,,,1620592542,16:35:42,20210509
1,2019-06-30,GIB.AX,AUD,2019-06-30,2019-06-30,FY,-880961.0,3839.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82596.0,0.0,0.0,0.0,0.0,57344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-398011.0,1272846.0,1670857.0,0.0,-455355.0,-398011.0,,,1620592542,16:35:42,20210509
2,2018-06-30,GIB.AX,AUD,2018-06-30,2018-06-30,FY,-171244.0,7716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-347856.0,0.0,0.0,0.0,33000.0,-418784.0,0.0,1150800.0,-55264.0,0.0,0.0,1095536.0,0.0,-324973.0,1670857.0,1995830.0,0.0,-1034725.0,-1453509.0,,,1620592542,16:35:42,20210509
3,2017-06-30,GIB.AX,AUD,2017-06-30,2017-06-30,FY,-3383223.0,8568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-173569.0,-1166.0,0.0,0.0,0.0,0.0,-173569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-604087.0,1995830.0,2599917.0,-173569.0,-430518.0,-604087.0,,,1620592542,16:35:42,20210509
4,2016-06-30,GIB.AX,AUD,2016-06-30,2016-06-30,FY,-920170.0,15682.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-390299.0,-3622.0,0.0,0.0,0.0,-10702.0,-390299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1069643.0,2599917.0,3669560.0,-390299.0,-675306.0,-1065605.0,,,1620592542,16:35:42,20210509
5,2015-06-30,GIB.AX,AUD,2015-06-30,2015-06-30,FY,542950.0,14021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-577414.0,-22790.0,0.0,0.0,0.0,1016.0,-577414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1963090.0,3669560.0,1706470.0,-577414.0,0.0,-577414.0,,,1620592542,16:35:42,20210509
6,2014-06-30,GIB.AX,AUD,2014-06-30,2014-06-30,FY,-145713.0,18254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-194352.0,-358.0,0.0,0.0,0.0,0.0,-194352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-514354.0,1706470.0,2220824.0,-194352.0,-320229.0,-514581.0,,,1620592542,16:35:42,20210509
7,2013-06-30,GIB.AX,AUD,2013-06-30,2013-06-30,FY,-3997324.0,73014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123722.0,-9345.0,0.0,0.0,0.0,172555.0,-123722.0,0.0,402921.0,-40011.0,0.0,-40011.0,362910.0,0.0,-121326.0,2220824.0,2342150.0,-123722.0,-774781.0,-898503.0,,,1620592542,16:35:42,20210509
8,2012-06-30,GIB.AX,AUD,2012-06-30,2012-06-30,FY,-1666356.0,189277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-854231.0,-9692.0,0.0,0.0,0.0,0.0,-854231.0,0.0,899000.0,0.0,0.0,0.0,899000.0,0.0,-1296551.0,2342150.0,3638701.0,-854231.0,-1341320.0,-2195551.0,,,1620592542,16:35:42,20210509
9,2011-06-30,GIB.AX,AUD,2011-06-30,2011-06-30,FY,-936845.0,247257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-517329.0,-33105.0,0.0,0.0,0.0,0.0,-517329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2184361.0,3638701.0,5823062.0,-517329.0,-1667032.0,-2184361.0,,,1620592542,16:35:42,20210509
10,2010-06-30,GIB.AX,AUD,2010-06-30,2010-06-30,FY,-1003918.0,228367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-658139.0,-224176.0,0.0,0.0,0.0,0.0,-658139.0,0.0,3834338.0,-197646.0,0.0,-197646.0,3636692.0,0.0,765792.0,5823062.0,5057270.0,-658139.0,-2212761.0,-2870900.0,,,1620592542,16:35:42,20210509
11,2009-06-30,GIB.AX,AUD,2009-06-30,2009-06-30,FY,-632638.0,169886.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-356925.0,-1350183.0,0.0,0.0,0.0,0.0,-356925.0,0.0,0.0,0.0,0.0,-129000.0,-129000.0,0.0,-4558464.0,5057270.0,9615734.0,-356925.0,-4072539.0,-4429464.0,,,1620592542,16:35:42,20210509
