,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,HUBN.SW,CHF,2020-12-31,2020-12-31,FY,51863000.0,28148000,0.0,0.0,13357000.0,0.0,8519000.0,0.0,0.0,1511000.0,86502000,0.0,0.0,-80000.0,0.0,0.0,-36303000.0,-749000.0,0.0,-1154000.0,-31157000.0,0.0,-33511000.0,-4768000.0,11920000.0,203556000,191636000,86502000,-39251000.0,47251000,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,1620593294,16:48:14,20210509
1,2019-12-31,HUBN.SW,CHF,2019-12-31,2019-12-31,FY,62759000.0,31301000,0.0,0.0,28505000.0,0.0,10560000.0,0.0,0.0,1048000.0,129080000,-36016000.0,0.0,-682000.0,0.0,0.0,-83958000.0,-191000.0,0.0,-1517000.0,-48683000.0,0.0,-50391000.0,-1921000.0,-7190000.0,191636000,198826000,129080000,-36016000.0,93064000,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,1620593294,16:48:14,20210509
2,2018-12-31,HUBN.SW,CHF,2018-12-31,2018-12-31,FY,61354000.0,33908000,0.0,0.0,-1020000.0,0.0,3687000.0,0.0,0.0,5195000.0,99551000,-28697000.0,0.0,-193000.0,0.0,0.0,-27824000.0,0.0,0.0,-2210000.0,-21416000.0,0.0,-23626000.0,-1880000.0,46221000.0,198826000,152605000,99551000,-28697000.0,70854000,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,1620593294,16:48:14,20210509
3,2017-12-31,HUBN.SW,CHF,2017-12-31,2017-12-31,FY,42146000.0,32378000,0.0,0.0,-18257000.0,0.0,-21048000.0,0.0,0.0,1335000.0,52939000,-37040000.0,0.0,0.0,0.0,0.0,-32973000.0,0.0,0.0,0.0,-24342000.0,0.0,-25655000.0,782000.0,-4907000.0,152605000,157512000,52939000,-37040000.0,15899000,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,1620593294,16:48:14,20210509
4,2016-12-31,HUBN.SW,CHF,2016-12-31,2016-12-31,FY,49098000.0,36029000,0.0,0.0,-8204000.0,0.0,-6595000.0,0.0,0.0,-5566000.0,76907000,-33764000.0,0.0,0.0,0.0,0.0,-54804000.0,0.0,0.0,0.0,-19473000.0,0.0,-24381000.0,-199000.0,-2477000.0,157512000,159989000,76907000,-33764000.0,43143000,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,1620593294,16:48:14,20210509
5,2015-12-31,HUBN.SW,CHF,2015-12-31,2015-12-31,FY,24709000.0,34175000,0.0,0.0,10584000.0,0.0,26571000.0,0.0,0.0,9647000.0,69661000,-22571000.0,0.0,0.0,0.0,0.0,-12926000.0,0.0,0.0,0.0,-27263000.0,0.0,-28136000.0,-1896000.0,26703000.0,159989000,133286000,69661000,-22571000.0,47090000,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,1620593294,16:48:14,20210509
6,2014-12-31,HUBN.SW,CHF,2014-12-31,2014-12-31,FY,59229000.0,32064000,0.0,0.0,-10529000.0,0.0,-9960000.0,0.0,0.0,-3487000.0,77994000,-43316000.0,0.0,0.0,0.0,0.0,-74927000.0,0.0,0.0,0.0,-15578000.0,0.0,-16985000.0,2415000.0,-11503000.0,133286000,144789000,77994000,-43316000.0,34678000,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,1620593294,16:48:14,20210509
7,2013-12-31,HUBN.SW,CHF,2013-12-31,2013-12-31,FY,32514000.0,32249000,0.0,0.0,38171000.0,0.0,11924000.0,0.0,0.0,8288000.0,115911000,-25937000.0,0.0,0.0,0.0,0.0,-44532000.0,0.0,0.0,0.0,-9737000.0,0.0,-10246000.0,-745000.0,60388000.0,144789000,84401000,115911000,-25937000.0,89974000,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,1620593294,16:48:14,20210509
8,2012-12-31,HUBN.SW,CHF,2012-12-31,2012-12-31,FY,21835000.0,27113000,0.0,0.0,3117000.0,0.0,12080000.0,0.0,0.0,-4484000.0,39206000,-66027000.0,0.0,0.0,0.0,356000.0,-97406000.0,0.0,0.0,0.0,-18500000.0,0.0,-18500000.0,-762000.0,-77462000.0,84401000,161863000,39206000,-66027000.0,-26821000,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,1620593294,16:48:14,20210509
9,2011-12-31,HUBN.SW,CHF,2011-12-31,2011-12-31,FY,49773000.0,26608000,0.0,0.0,-36982000.0,0.0,-21479000.0,0.0,0.0,11910000.0,29216000,-50564000.0,0.0,-518000.0,26247000.0,407000.0,-934000.0,-97000.0,1071000.0,0.0,-29153000.0,0.0,-28179000.0,-1390000.0,-1287000.0,161863000,163150000,29216000,-50564000.0,-21348000,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,1620593294,16:48:14,20210509
