,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,ITUB,BRL,2020-12-31,2020-12-31,FY,18896000000,3729000000,-239000000.0,217000000.0,-1462000000.0,0.0,0.0,0.0,158229000000.0,10457000000.0,59491000000,-1716000000.0,0.0,-50650000000.0,55583000000.0,0.0,753000000,-10581000000,494000000.0,0.0,-11552000000.0,2824000000.0,-13555000000,-11677000000.0,35011000000.0,105822000000.0,70811000000.0,59491000000,-5307000000,54184000000.0,,,1620593815,16:56:55,20210509
1,2019-12-31,ITUB,BRL,2019-12-31,2019-12-31,FY,27113000000,3561000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35224000000,-1621000000.0,0.0,0.0,0.0,0.0,-38723000000,5715000000,0.0,0.0,0.0,0.0,-21302000000,54000000.0,0.0,0.0,0.0,35224000000,4312000000,0.0,,,1620593815,16:56:55,20210509
2,2018-12-31,ITUB,BRL,2018-12-31,2018-12-31,FY,24907000000,3567000000,10287000000.0,-98000000.0,-33132000000.0,0.0,0.0,0.0,20717000000.0,7877000000.0,22709000000,-1483000000.0,0.0,-9772000000.0,31879000000.0,0.0,20129000000,-15048000000,1187000000.0,-510000000.0,-20093000000.0,-26000000.0,-31584000000,990000000.0,12244000000.0,95558000000.0,83314000000.0,22709000000,-2864000000,19845000000.0,,,1620593815,16:56:55,20210509
3,2017-12-31,ITUB,BRL,2017-12-31,2017-12-31,FY,23903000000,3169000000,5101000000.0,81000000.0,-74724000000.0,0.0,0.0,0.0,-20476000000.0,30238000000.0,8642000000,-943000000.0,0.0,-23812000000.0,22955000000.0,201000000.0,-3838000000,-13573000000,0.0,-3089000000.0,-10382000000.0,569000000.0,-16922000000,-687000000.0,-12805000000.0,83314000000.0,96119000000.0,8642000000,-3594000000,5048000000.0,,,1620593815,16:56:55,20210509
4,2016-12-31,ITUB,BRL,2016-12-31,2016-12-31,FY,23263000000,3233000000,4172000000.0,69000000.0,-67196000000.0,0.0,0.0,0.0,-37197000000.0,24382000000.0,30311000000,-991000000.0,0.0,-11703000000.0,22302000000.0,336000000.0,14429000000,-18198000000,0.0,-947000000.0,-7673000000.0,-1106000000.0,-22329000000,-17941000000.0,4470000000.0,96119000000.0,91649000000.0,30311000000,-2067000000,28244000000.0,,,1620593815,16:56:55,20210509
5,2015-12-31,ITUB,BRL,2015-12-31,2015-12-31,FY,25740000000,2828000000,-1869000000.0,180000000.0,-91340000000.0,0.0,0.0,0.0,-80910000000.0,13055000000.0,-34459000000,-1466000000.0,0.0,-13649000000.0,15374000000.0,122000000.0,-360000000,-5242000000,0.0,-3324000000.0,-7008000000.0,34000000.0,-8529000000,9681000000.0,-33669000000.0,91649000000.0,125318000000.0,-34459000000,-2624000000,-37083000000.0,,,1620593815,16:56:55,20210509
6,2014-12-31,ITUB,BRL,2014-12-31,2014-12-31,FY,21555000000,2544000000,-262000000.0,550000000.0,31495000000.0,0.0,0.0,0.0,40746000000.0,14789000000.0,89726000000,-3966000000.0,0.0,-57511000000.0,63435000000.0,67000000.0,2677000000,-16158000000,0.0,-35000000.0,-6319000000.0,82000000.0,-21688000000,-1186000000.0,69528000000.0,125318000000.0,55790000000.0,89726000000,-5198000000,84528000000.0,,,1620593815,16:56:55,20210509
7,2013-12-31,ITUB,BRL,2013-12-31,2013-12-31,FY,16424000000,2333000000,801000000.0,212000000.0,-15175000000.0,0.0,0.0,0.0,49330000000.0,12767000000.0,32530000000,-2516000000.0,0.0,-39702000000.0,29998000000.0,111000000.0,-14500000000,-5166000000,0.0,-662000000.0,-5369000000.0,255000000.0,-10606000000,2590000000.0,10015000000.0,55790000000.0,45775000000.0,32530000000,-2516000000,30014000000.0,,,1620593815,16:56:55,20210509
8,2012-12-31,ITUB,BRL,2012-12-31,2012-12-31,FY,12634000000,2190000000,-3491000000.0,203000000.0,-501000000.0,0.0,0.0,0.0,-2691000000.0,17199000000.0,48635000000,-1914000000.0,0.0,-52612000000.0,18098000000.0,131000000.0,-37583000000,-14017000000,0.0,-122000000.0,-5206000000.0,-12271000000.0,-4913000000,1546000000.0,7685000000.0,45790000000.0,38105000000.0,48635000000,-3652000000,44983000000.0,,,1620593815,16:56:55,20210509
9,2011-12-31,ITUB,BRL,2011-12-31,2011-12-31,FY,13837000000,2168000000,-3315000000.0,0.0,-50622000000.0,0.0,0.0,0.0,9576000000.0,16576000000.0,-7440000000,-1903000000.0,0.0,-33660000000.0,35780000000.0,0.0,-1311000000,-8574000000,0.0,-1303000000.0,-4588000000.0,-702000000.0,-921000000,2168000000.0,-7504000000.0,38105000000.0,45609000000.0,-7440000000,-3875000000,-11315000000.0,,,1620593815,16:56:55,20210509
