,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2020-03-31,JAGRAN.NS,INR,2020-03-31,2020-03-31,FY,2734221000,1457628000,0.0,0.0,36946000,0.0,-188259000,0.0,0.0,261817000,4041120000,-370571000,0.0,-3830809000.0,4495416000.0,-10430000.0,370683000,-3038085000.0,0.0,-1009539000.0,-1037477000.0,-260242000.0,-4624426000,0.0,-212623000.0,349371000,561994000,4041120000,-370571000,3670549000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620593854,16:57:34,20210509
1,2019-03-31,JAGRAN.NS,INR,2019-03-31,2019-03-31,FY,2605541000,1279195000,0.0,0.0,-1254294000,0.0,-1014429000,0.0,0.0,171306000,2846198000,18086000,0.0,-2967974000.0,3443305000.0,300735000.0,-577416000,-3326131000.0,0.0,-3506211000.0,-887528000.0,-182785000.0,-2244745000,0.0,24037000.0,561994000,537957000,2846198000,18086000,1438111000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620593854,16:57:34,20210509
2,2018-03-31,JAGRAN.NS,INR,2018-03-31,2018-03-31,FY,2998474000,1360761000,0.0,0.0,-850942000,0.0,271232000,0.0,0.0,120975000,3906503000,-520357000,0.0,-5742421000.0,7305875000.0,-300000000.0,1017080000,-1769814000.0,0.0,-3022500000.0,-934131000.0,-190188000.0,-6052757000,0.0,-1129174000.0,537957000,1667131000,3906503000,-520357000,3386146000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620593854,16:57:34,20210509
3,2017-03-31,JAGRAN.NS,INR,2017-03-31,2017-03-31,FY,3475218000,1288908000,0.0,0.0,-427276000,0.0,-266270000,0.0,0.0,281850000,4773785000,-1178229000,0.0,-4689133000.0,1508990000.0,-574000.0,-4193048000,-2799488000.0,4000000000.0,0.0,-427000.0,0.0,630767000,0.0,1211504000.0,1667131000,455627000,4773785000,-1178229000,3595556000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620593854,16:57:34,20210509
4,2016-03-31,JAGRAN.NS,INR,2016-03-31,2016-03-31,FY,4447339000,1043941000,0.0,0.0,-679354000,0.0,259934000,0.0,0.0,1572526000,5182749000,-3846291000,0.0,-1565866000.0,6877775000.0,-258864000.0,-63122000,-6867314000.0,0.0,0.0,-1141043000.0,-232930000.0,-5539938000,0.0,64636000.0,447778000,383142000,5182749000,-3846291000,1336458000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620593854,16:57:34,20210509
5,2015-03-31,JAGRAN.NS,INR,2015-03-31,2015-03-31,FY,3079694000,1035357000,0.0,0.0,-506375000,0.0,69810000,0.0,0.0,230090000,4385270000,-546964000,0.0,-9852802000.0,5233965000.0,-74100000.0,-4407117000,-2726921000.0,0.0,0.0,-933095000.0,-166676000.0,167653000,0.0,145806000.0,386676000,240870000,4385270000,-546964000,3838306000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620593854,16:57:34,20210509
6,2014-03-31,JAGRAN.NS,INR,2014-03-31,2014-03-31,FY,2261535000,889520000,0.0,0.0,-119808000,0.0,-165800000,0.0,0.0,293362000,3305429000,-902498000,0.0,-3433173000.0,2301783000.0,-406000000.0,-1698355000,-558734000.0,0.0,-475000000.0,-948325000.0,-169225000.0,-1884307000,0.0,-277233000.0,240870000,518103000,3305429000,-902498000,2402931000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620593854,16:57:34,20210509
7,2013-03-31,JAGRAN.NS,INR,2013-03-31,2013-03-31,FY,2550818000,1247422000,0.0,0.0,-691763000,0.0,-57722000,0.0,0.0,-744105000,2018533000,-1006787000,0.0,-4609254000.0,3530980000.0,-104500000.0,-1638902000,-299863000.0,0.0,0.0,-1106389000.0,-185929000.0,-314275000,0.0,65356000.0,518103000,452747000,2018533000,-1006787000,1011746000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620593854,16:57:34,20210509
8,2012-03-31,JAGRAN.NS,INR,2012-03-31,2012-03-31,FY,1783340000,709350000,0.0,0.0,-141795000,0.0,-92497000,0.0,0.0,-134653000,2274924000,-1522478000,0.0,-6362241000.0,6013166000.0,-415334000.0,-2196275000,-179240000.0,80000000.0,0.0,-1106357000.0,1278921000.0,73324000,0.0,215824000.0,452747000,236923000,2274924000,-1522478000,752446000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620593854,16:57:34,20210509
9,2011-03-31,JAGRAN.NS,INR,2011-03-31,2011-03-31,FY,2079988000,654600000,0.0,0.0,-368012000,0.0,-77552000,0.0,0.0,-80176000,2332156000,-1367504000,0.0,-3024125000.0,2711605000.0,-545223000.0,-2619743000,-777666000.0,0.0,0.0,-451604000.0,-168032000.0,-213143000,0.0,-500730000.0,362343000,863073000,2332156000,-1367504000,964652000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620593854,16:57:34,20210509
