,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2020-07-31,JDW.L,GBP,2020-07-31,2020-07-31,FY,-97561000.0,128330000.0,0.0,10705000.0,-66843000.0,0.0,622000.0,0.0,0.0,62135000.0,16759000.0,-192245000.0,0.0,0.0,0.0,0.0,-188361000.0,0.0,137995000.0,-17581000.0,-8371000.0,0.0,303103000.0,0.0,131501000.0,174451000.0,42950000.0,16759000.0,-192245000.0,-175486000.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=J+D+Wetherspoon+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=J+D+Wetherspoon+PLC,1620593899,16:58:19,20210509
1,2019-07-31,JDW.L,GBP,2019-07-31,2019-07-31,FY,72777000.0,81811000.0,0.0,11558000.0,1079000.0,0.0,-417000.0,0.0,0.0,36819000.0,173591000.0,-151834000.0,0.0,0.0,0.0,-131528000.0,-149438000.0,-13865000.0,0.0,-21403000.0,-12652000.0,0.0,-44294000.0,0.0,-20141000.0,42950000.0,63091000.0,173591000.0,-151834000.0,21757000.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=J+D+Wetherspoon+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=J+D+Wetherspoon+PLC,1620593899,16:58:19,20210509
2,2018-07-31,JDW.L,GBP,2018-07-31,2018-07-31,FY,66709000.0,79305000.0,0.0,11405000.0,7348000.0,0.0,-1725000.0,0.0,0.0,33904000.0,176399000.0,-131583000.0,0.0,0.0,0.0,-16278000.0,-126841000.0,0.0,0.0,-65252000.0,-12655000.0,0.0,-37111000.0,0.0,12447000.0,63091000.0,50644000.0,176399000.0,-131583000.0,44816000.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=J+D+Wetherspoon+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=J+D+Wetherspoon+PLC,1620593899,16:58:19,20210509
3,2017-07-31,JDW.L,GBP,2017-07-31,2017-07-31,FY,56059000.0,73869000.0,0.0,10711000.0,11228000.0,0.0,-2407000.0,0.0,0.0,28803000.0,177345000.0,-187446000.0,0.0,0.0,0.0,-88603000.0,-167826000.0,0.0,0.0,-38894000.0,-13352000.0,0.0,-5010000.0,0.0,4509000.0,50644000.0,46135000.0,177345000.0,-187446000.0,-10101000.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=J+D+Wetherspoon+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=J+D+Wetherspoon+PLC,1620593899,16:58:19,20210509
4,2016-07-31,JDW.L,GBP,2016-07-31,2016-07-31,FY,51206000.0,72212000.0,0.0,9556000.0,-9593000.0,0.0,283000.0,0.0,0.0,34997000.0,130873000.0,-124803000.0,0.0,0.0,0.0,-36083000.0,-102283000.0,0.0,0.0,-60457000.0,-14190000.0,0.0,-28107000.0,0.0,483000.0,32658000.0,32175000.0,130873000.0,-124803000.0,6070000.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=J+D+Wetherspoon+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=J+D+Wetherspoon+PLC,1620593899,16:58:19,20210509
5,2015-07-31,JDW.L,GBP,2015-07-31,2015-07-31,FY,44824000.0,66668000.0,0.0,8907000.0,27324000.0,0.0,2861000.0,0.0,0.0,35874000.0,165137000.0,-173339000.0,0.0,0.0,0.0,-21612000.0,-172616000.0,0.0,0.0,-19545000.0,-14591000.0,-6831000.0,7339000.0,0.0,-140000.0,32175000.0,32315000.0,165137000.0,-173339000.0,-8202000.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=J+D+Wetherspoon+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=J+D+Wetherspoon+PLC,1620593899,16:58:19,20210509
6,2014-07-31,JDW.L,GBP,2014-07-31,2014-07-31,FY,41122000.0,58075000.0,0.0,7521000.0,29905000.0,0.0,-2455000.0,0.0,0.0,36982000.0,143821000.0,-8754000.0,0.0,0.0,0.0,-14823000.0,-177002000.0,0.0,0.0,-31888000.0,-14949000.0,-11441000.0,35659000.0,0.0,2478000.0,32315000.0,29837000.0,143821000.0,-8754000.0,-24932000.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=J+D+Wetherspoon+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=J+D+Wetherspoon+PLC,1620593899,16:58:19,20210509
7,2013-07-31,JDW.L,GBP,2013-07-31,2013-07-31,FY,46188000.0,53097000.0,0.0,6539000.0,-6024000.0,0.0,1118000.0,0.0,0.0,37645000.0,106280000.0,-101819000.0,0.0,0.0,0.0,-93000.0,-101174000.0,0.0,0.0,0.0,-15053000.0,0.0,-3309000.0,0.0,1797000.0,29837000.0,28040000.0,106280000.0,-101819000.0,4461000.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=J+D+Wetherspoon+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=J+D+Wetherspoon+PLC,1620593899,16:58:19,20210509
8,2012-07-31,JDW.L,GBP,2012-07-31,2012-07-31,FY,44567000.0,50548000.0,0.0,5379000.0,35495000.0,0.0,514000.0,0.0,0.0,44361000.0,136767000.0,-45225000.0,0.0,-74859000.0,0.0,-489000.0,-119686000.0,0.0,95000.0,-22711000.0,-15544000.0,7743000.0,-16731000.0,0.0,350000.0,28040000.0,27690000.0,136767000.0,-45225000.0,91542000.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=J+D+Wetherspoon+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=J+D+Wetherspoon+PLC,1620593899,16:58:19,20210509
9,2011-07-31,JDW.L,GBP,2011-07-31,2011-07-31,FY,46792000.0,44395000.0,0.0,4595000.0,31308000.0,0.0,-1577000.0,0.0,0.0,31308000.0,122962000.0,-39225000.0,0.0,-86793000.0,0.0,0.0,-124879000.0,0.0,225000.0,-38542000.0,-5211000.0,0.0,3526000.0,0.0,-45791000.0,-495573000.0,-449782000.0,122962000.0,-39225000.0,83737000.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=J+D+Wetherspoon+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=J+D+Wetherspoon+PLC,1620593899,16:58:19,20210509
