,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,MBWS.PA,EUR,2020-12-31,2020-12-31,FY,-38445000.0,5143000.0,0.0,0.0,1392000.0,0.0,0.0,0.0,0.0,7053000.0,4425000.0,-5025000.0,0.0,0.0,0.0,1732000.0,1148000.0,-12356000.0,0.0,0.0,0.0,-1000.0,11521000.0,-1212000.0,15882000.0,42075000.0,26193000.0,4425000.0,-5025000.0,-600000.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=M.B.W.S#phrase=M.B.W.S,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=M.B.W.S#phrase=M.B.W.S,1620594814,17:13:34,20210509
1,2019-12-31,MBWS.PA,EUR,2019-12-31,2019-12-31,FY,-65926000.0,31407000.0,0.0,0.0,2398000.0,0.0,19922000.0,0.0,0.0,6101000.0,-16975000.0,-9056000.0,0.0,0.0,187000.0,-238000.0,-7462000.0,-5356000.0,58589000.0,0.0,0.0,0.0,28658000.0,140000.0,4361000.0,26193000.0,21832000.0,-16975000.0,-9056000.0,-26031000.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=M.B.W.S#phrase=M.B.W.S,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=M.B.W.S#phrase=M.B.W.S,1620594814,17:13:34,20210509
2,2018-12-31,MBWS.PA,EUR,2018-12-31,2018-12-31,FY,-61905000.0,8515000.0,0.0,0.0,-16839000.0,0.0,3337000.0,0.0,0.0,6078000.0,-57372000.0,-22488000.0,0.0,0.0,0.0,0.0,-1101000.0,-6216000.0,51000.0,-306000.0,0.0,-1000.0,20826000.0,-252000.0,-37899000.0,21832000.0,59731000.0,-57372000.0,-22488000.0,-79860000.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=M.B.W.S#phrase=M.B.W.S,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=M.B.W.S#phrase=M.B.W.S,1620594814,17:13:34,20210509
3,2017-12-31,MBWS.PA,EUR,2017-12-31,2017-12-31,FY,-67328000.0,48057000.0,0.0,0.0,52259000.0,0.0,45196000.0,0.0,0.0,5632000.0,24640000.0,-22221000.0,0.0,0.0,0.0,-1000.0,-5060000.0,-50625000.0,35000.0,-2746000.0,0.0,0.0,-9755000.0,-23000.0,9803000.0,59731000.0,49928000.0,24640000.0,-22221000.0,2419000.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=M.B.W.S#phrase=M.B.W.S,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=M.B.W.S#phrase=M.B.W.S,1620594814,17:13:34,20210509
4,2016-12-31,MBWS.PA,EUR,2016-12-31,2016-12-31,FY,6885000.0,-10325000.0,0.0,0.0,-83569000.0,0.0,-8870000.0,0.0,0.0,17513000.0,-86882000.0,-18786000.0,0.0,-14000.0,0.0,-3971000.0,-13258000.0,-884000.0,35559000.0,-6693000.0,0.0,0.0,60865000.0,92000.0,-39184000.0,49928000.0,89112000.0,-86882000.0,-18786000.0,-105668000.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=M.B.W.S#phrase=M.B.W.S,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=M.B.W.S#phrase=M.B.W.S,1620594814,17:13:34,20210509
5,2015-12-31,MBWS.PA,EUR,2015-12-31,2015-12-31,FY,5847000.0,-305000.0,0.0,0.0,1118000.0,0.0,12880000.0,0.0,0.0,7706000.0,40148000.0,-10416000.0,0.0,0.0,0.0,-112000.0,-9609000.0,-1877000.0,317000.0,0.0,0.0,0.0,-18603000.0,-10000.0,11928000.0,89112000.0,77184000.0,40148000.0,-10416000.0,29732000.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=M.B.W.S#phrase=M.B.W.S,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=M.B.W.S#phrase=M.B.W.S,1620594814,17:13:34,20210509
6,2014-12-31,MBWS.PA,EUR,2014-12-31,2014-12-31,FY,-19096000.0,12375000.0,0.0,0.0,21104000.0,0.0,58149000.0,0.0,0.0,7345000.0,20566000.0,-4844000.0,0.0,-4000.0,0.0,3500000.0,3295000.0,-1596000.0,7000.0,0.0,0.0,0.0,17373000.0,-282000.0,40716000.0,77186000.0,36470000.0,20566000.0,-4844000.0,15722000.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=M.B.W.S#phrase=M.B.W.S,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=M.B.W.S#phrase=M.B.W.S,1620594814,17:13:34,20210509
7,2013-12-31,MBWS.PA,EUR,2013-12-31,2013-12-31,FY,190260000.0,20017000.0,0.0,0.0,27091000.0,0.0,27091000.0,0.0,0.0,-225647000.0,13281000.0,-4418000.0,0.0,0.0,107000.0,106000.0,13357000.0,-6853000.0,73000.0,0.0,0.0,2591000.0,-18656000.0,-993000.0,8295000.0,36470000.0,28175000.0,13281000.0,-4418000.0,8863000.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=M.B.W.S#phrase=M.B.W.S,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=M.B.W.S#phrase=M.B.W.S,1620594814,17:13:34,20210509
8,2012-12-31,MBWS.PA,EUR,2012-12-31,2012-12-31,FY,-117792000.0,86658000.0,0.0,0.0,21029000.0,0.0,21029000.0,0.0,0.0,21156000.0,15234000.0,-3870000.0,0.0,0.0,0.0,526000.0,-2035000.0,-2483000.0,4014000.0,0.0,0.0,0.0,-17336000.0,1820000.0,-2317000.0,28175000.0,30492000.0,15234000.0,-3870000.0,11364000.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=M.B.W.S#phrase=M.B.W.S,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=M.B.W.S#phrase=M.B.W.S,1620594814,17:13:34,20210509
9,2011-12-31,MBWS.PA,EUR,2011-12-31,2011-12-31,FY,-54836000.0,19063000.0,0.0,0.0,16135000.0,0.0,0.0,0.0,0.0,34883000.0,11942000.0,-7085000.0,0.0,-1271000.0,2129000.0,3180000.0,-2718000.0,-8232000.0,23730000.0,-2370000.0,0.0,-19062000.0,-7916000.0,-2177000.0,-871000.0,30492000.0,31363000.0,11942000.0,-7085000.0,4857000.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=M.B.W.S#phrase=M.B.W.S,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=M.B.W.S#phrase=M.B.W.S,1620594814,17:13:34,20210509
