,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2019-12-31,MLSBT.PA,EUR,2019-12-31,2019-12-31,FY,168791.0,877719.0,0.0,0.0,372318.0,0.0,0.0,0.0,0.0,0.0,1356840.0,-625918.0,0.0,0.0,19773.0,-1.0,-606146.0,-264227.0,0.0,0.0,0.0,-1.0,-190478.0,2447.0,562663.0,1079044.0,516381.0,1356840.0,-625918.0,730922.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=M.L.S.B.T#phrase=M.L.S.B.T,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=M.L.S.B.T#phrase=M.L.S.B.T,1620595123,17:18:43,20210509
1,2018-12-31,MLSBT.PA,EUR,2018-12-31,2018-12-31,FY,197761.0,777686.0,0.0,0.0,-49275.0,0.0,0.0,0.0,0.0,0.0,909218.0,-1063522.0,0.0,0.0,15692.0,0.0,-1057786.0,-313620.0,0.0,0.0,0.0,0.0,-218620.0,6684.0,-360505.0,516381.0,876886.0,909218.0,-1063522.0,-154304.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=M.L.S.B.T#phrase=M.L.S.B.T,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=M.L.S.B.T#phrase=M.L.S.B.T,1620595123,17:18:43,20210509
2,2017-12-31,MLSBT.PA,EUR,2017-12-31,2017-12-31,FY,565203.0,576890.0,0.0,0.0,-202662.0,0.0,0.0,0.0,0.0,0.0,1038561.0,-2290887.0,0.0,0.0,0.0,0.0,-2158436.0,-214800.0,0.0,0.0,0.0,0.0,407200.0,-33984.0,-746659.0,876886.0,1623545.0,1038561.0,-2290887.0,-1252326.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=M.L.S.B.T#phrase=M.L.S.B.T,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=M.L.S.B.T#phrase=M.L.S.B.T,1620595123,17:18:43,20210509
3,2016-12-31,MLSBT.PA,EUR,2016-12-31,2016-12-31,FY,504943.0,502081.0,0.0,0.0,174220.0,0.0,0.0,0.0,0.0,0.0,1336276.0,-788255.0,0.0,0.0,0.0,0.0,-893054.0,-219536.0,35528.0,0.0,0.0,0.0,-163925.0,11468.0,290765.0,1623545.0,1332780.0,1336276.0,-788255.0,548021.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=M.L.S.B.T#phrase=M.L.S.B.T,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=M.L.S.B.T#phrase=M.L.S.B.T,1620595123,17:18:43,20210509
4,2015-12-31,MLSBT.PA,EUR,2015-12-31,2015-12-31,FY,275267.0,885994.0,0.0,0.0,-213276.0,0.0,0.0,0.0,0.0,0.0,844280.0,-1082074.0,0.0,0.0,0.0,-100000.0,-1181794.0,-180765.0,0.0,0.0,-24803.0,1.0,324433.0,2424.0,-10659.0,1332780.0,1343439.0,844280.0,-1082074.0,-237794.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=M.L.S.B.T#phrase=M.L.S.B.T,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=M.L.S.B.T#phrase=M.L.S.B.T,1620595123,17:18:43,20210509
5,2014-12-31,MLSBT.PA,EUR,2014-12-31,2014-12-31,FY,-98900.0,986200.0,0.0,0.0,-113900.0,0.0,17000.0,0.0,0.0,-592000.0,279800.0,-26200.0,0.0,0.0,0.0,-100.0,228100.0,0.0,0.0,-9700.0,0.0,-32000.0,-64500.0,0.0,443400.0,1343400.0,900000.0,279800.0,-26200.0,253600.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=M.L.S.B.T#phrase=M.L.S.B.T,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=M.L.S.B.T#phrase=M.L.S.B.T,1620595123,17:18:43,20210509
6,2013-12-31,MLSBT.PA,EUR,2013-12-31,2013-12-31,FY,-663700.0,928800.0,0.0,0.0,-281700.0,0.0,8600.0,0.0,0.0,-382500.0,-451700.0,-87000.0,0.0,0.0,0.0,0.0,-948700.0,0.0,661600.0,0.0,0.0,-100.0,993400.0,0.0,-406800.0,900000.0,1306800.0,-451700.0,-87000.0,-538700.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=M.L.S.B.T#phrase=M.L.S.B.T,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=M.L.S.B.T#phrase=M.L.S.B.T,1620595123,17:18:43,20210509
7,2012-12-31,MLSBT.PA,EUR,2012-12-31,2012-12-31,FY,-316000.0,655200.0,0.0,0.0,513500.0,0.0,-10300.0,0.0,0.0,-540700.0,291900.0,-72900.0,0.0,-61000.0,0.0,-20000.0,-153900.0,-3900.0,0.0,0.0,0.0,-84300.0,-88200.0,900.0,50700.0,1306800.0,1256100.0,291900.0,-72900.0,219000.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=M.L.S.B.T#phrase=M.L.S.B.T,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=M.L.S.B.T#phrase=M.L.S.B.T,1620595123,17:18:43,20210509
8,2011-12-31,MLSBT.PA,EUR,2011-12-31,2011-12-31,FY,-405200.0,753100.0,0.0,0.0,217700.0,0.0,2800.0,0.0,0.0,-505500.0,49300.0,-241500.0,0.0,0.0,0.0,-257100.0,-498600.0,-40300.0,0.0,0.0,0.0,-15700.0,-56000.0,300.0,-505100.0,1256100.0,1761200.0,49300.0,-241500.0,-192200.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=M.L.S.B.T#phrase=M.L.S.B.T,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=M.L.S.B.T#phrase=M.L.S.B.T,1620595123,17:18:43,20210509
9,2010-12-31,MLSBT.PA,EUR,2010-12-31,2010-12-31,FY,-175800.0,867800.0,0.0,0.0,-550100.0,0.0,9800.0,0.0,0.0,-940200.0,-941900.0,-53600.0,0.0,0.0,0.0,-93100.0,-141600.0,0.0,0.0,0.0,0.0,0.0,-151700.0,0.0,-1219400.0,1761200.0,2980600.0,-941900.0,-53600.0,-995500.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=M.L.S.B.T#phrase=M.L.S.B.T,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=M.L.S.B.T#phrase=M.L.S.B.T,1620595123,17:18:43,20210509
10,2009-12-31,MLSBT.PA,EUR,2009-12-31,2009-12-31,FY,-1326500.0,659300.0,0.0,0.0,117500.0,0.0,11900.0,0.0,0.0,-481300.0,-690700.0,-16400.0,0.0,0.0,0.0,-25700.0,-41200.0,0.0,0.0,0.0,0.0,0.0,-80500.0,0.0,-819000.0,2980600.0,3799600.0,-690700.0,-16400.0,-707100.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=M.L.S.B.T#phrase=M.L.S.B.T,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=M.L.S.B.T#phrase=M.L.S.B.T,1620595123,17:18:43,20210509
11,2008-12-31,MLSBT.PA,EUR,2008-12-31,2008-12-31,FY,-1066700.0,1345300.0,0.0,0.0,-19300.0,0.0,105800.0,0.0,0.0,-252400.0,123300.0,-54700.0,0.0,0.0,0.0,-1431700.0,-1485900.0,-20000.0,1754900.0,0.0,-79900.0,0.0,1592400.0,0.0,220900.0,3799600.0,3578700.0,123300.0,-54700.0,68600.0,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=M.L.S.B.T#phrase=M.L.S.B.T,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=M.L.S.B.T#phrase=M.L.S.B.T,1620595123,17:18:43,20210509
