,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2020-03-31,PETS,USD,2020-05-26 00:00:00,2020-05-26 11:51:08,FY,25851000.0,2257000.0,-151000.0,2822000.0,-3130000.0,-1492000.0,3486000.0,3383000.0,104675000.0,0.0,38844000.0,-2311000.0,0.0,0.0,0.0,0.0,-2311000.0,0.0,0.0,-11497000.0,-21803000.0,0.0,-33300000.0,0.0,3233000.0,103762000.0,100529000.0,38844000.0,-2311000.0,36533000.0,https://www.sec.gov/Archives/edgar/data/1040130/000143774920011720/0001437749-20-011720-index.htm,https://www.sec.gov/Archives/edgar/data/1040130/000143774920011720/pets20200331_10k.htm,1620596466,17:41:06,20210509
1,2019-03-31,PETS,USD,2019-05-28 00:00:00,2019-05-28 15:16:54,FY,37740000.0,2225000.0,125000.0,3097000.0,20679000.0,-335000.0,1967000.0,1001000.0,107805000.0,0.0,45138000.0,-620000.0,0.0,0.0,0.0,0.0,-620000.0,0.0,0.0,0.0,-21925000.0,0.0,-21925000.0,0.0,22593000.0,100529000.0,77936000.0,45138000.0,-620000.0,44518000.0,https://www.sec.gov/Archives/edgar/data/1040130/000143774919010894/0001437749-19-010894-index.html,https://www.sec.gov/Archives/edgar/data/1040130/000143774919010894/pets20190331_10k.htm,1620596466,17:41:06,20210509
2,2018-03-31,PETS,USD,2018-05-29 00:00:00,2018-05-29 16:11:09,FY,37283000.0,2126000.0,-92000.0,2575000.0,23696000.0,-596000.0,-3109000.0,53000.0,87126000.0,0.0,37379000.0,-703000.0,0.0,0.0,0.0,0.0,-703000.0,0.0,0.0,0.0,-17470000.0,0.0,-17470000.0,0.0,19206000.0,77936000.0,58730000.0,37379000.0,-703000.0,36676000.0,https://www.sec.gov/Archives/edgar/data/1040130/000143774918010847/0001437749-18-010847-index.html,https://www.sec.gov/Archives/edgar/data/1040130/000143774918010847/pets20180331_10k.htm,1620596466,17:41:06,20210509
3,2017-03-31,PETS,USD,2017-05-23 00:00:00,2017-05-23 11:19:04,FY,23819000.0,1369000.0,1951000.0,1935000.0,2887000.0,-505000.0,5358000.0,10217000.0,63430000.0,0.0,47204000.0,-10604000.0,0.0,0.0,0.0,0.0,-10604000.0,0.0,0.0,0.0,-15509000.0,0.0,-15509000.0,0.0,21091000.0,58730000.0,37639000.0,47204000.0,-10604000.0,36600000.0,https://www.sec.gov/Archives/edgar/data/1040130/000157104917005258/0001571049-17-005258-index.html,https://www.sec.gov/Archives/edgar/data/1040130/000157104917005258/t1700341_10k.htm,1620596466,17:41:06,20210509
4,2016-03-31,PETS,USD,2016-05-24 00:00:00,2016-05-24 16:05:58,FY,20567000.0,770000.0,-23000.0,1612000.0,-12440000.0,-53000.0,-518000.0,-149000.0,60543000.0,0.0,21053000.0,-20130000.0,0.0,0.0,15645000.0,0.0,-4485000.0,0.0,0.0,0.0,-14684000.0,142000.0,-14542000.0,0.0,2026000.0,37639000.0,35613000.0,21053000.0,-20130000.0,923000.0,https://www.sec.gov/Archives/edgar/data/1040130/000157104916015491/0001571049-16-015491-index.html,https://www.sec.gov/Archives/edgar/data/1040130/000157104916015491/t1600358_10k.htm,1620596466,17:41:06,20210509
5,2015-03-31,PETS,USD,2015-05-22 00:00:00,2015-05-22 15:01:52,FY,17453000.0,660000.0,157000.0,1481000.0,6867000.0,-264000.0,10659000.0,-616000.0,72983000.0,1714000.0,32043000.0,-918000.0,0.0,-68000.0,0.0,0.0,-986000.0,0.0,0.0,0.0,-13807000.0,58000.0,-13749000.0,0.0,17308000.0,35613000.0,18305000.0,32043000.0,-918000.0,31125000.0,https://www.sec.gov/Archives/edgar/data/1040130/000157104915004580/0001571049-15-004580-index.html,https://www.sec.gov/Archives/edgar/data/1040130/000157104915004580/t82385_10k.htm,1620596466,17:41:06,20210509
6,2014-03-31,PETS,USD,2014-05-27 00:00:00,2014-05-27 15:30:40,FY,17972000.0,867000.0,-183000.0,1479000.0,4926000.0,-417000.0,-4126000.0,-686000.0,66116000.0,0.0,13506000.0,-45000.0,0.0,-84000.0,0.0,0.0,-129000.0,0.0,0.0,0.0,-13326000.0,99000.0,-13227000.0,0.0,150000.0,18305000.0,18155000.0,13506000.0,-45000.0,13461000.0,https://www.sec.gov/Archives/edgar/data/1040130/000157104914002091/0001571049-14-002091-index.html,https://www.sec.gov/Archives/edgar/data/1040130/000157104914002091/t79402_10k.htm,1620596466,17:41:06,20210509
7,2013-03-31,PETS,USD,2013-05-28 00:00:00,2013-05-28 16:56:29,FY,17165000.0,1091000.0,-76000.0,1943000.0,-17026000.0,77000.0,-5384000.0,-165000.0,61190000.0,0.0,13290000.0,-626000.0,0.0,-5189000.0,0.0,0.0,-5815000.0,0.0,0.0,-3865000.0,-31972000.0,-284000.0,-36121000.0,0.0,-28646000.0,18155000.0,46801000.0,13290000.0,-626000.0,12664000.0,https://www.sec.gov/Archives/edgar/data/1040130/000118811213001701/0001188112-13-001701-index.html,https://www.sec.gov/Archives/edgar/data/1040130/000118811213001701/t76639_10k.htm,1620596466,17:41:06,20210509
8,2012-03-31,PETS,USD,2012-05-29,2012-05-29 14:34:07,FY,16659000.0,1411000.0,-56000.0,2246000.0,-2427000.0,366000.0,-1077000.0,297000.0,78216000.0,16706000.0,20391000.0,-705000.0,0.0,0.0,0.0,0.0,11639000.0,0.0,0.0,-23685000.0,-10964000.0,-240000.0,-34889000.0,0.0,-2859000.0,46801000.0,49660000.0,20391000.0,-705000.0,19686000.0,https://www.sec.gov/Archives/edgar/data/1040130/000118811212001799/t73684_10k.htm,https://www.sec.gov/Archives/edgar/data/1040130/000118811212001799/t73684_10k.htm,1620596466,17:41:06,20210509
9,2011-03-31,PETS,USD,2011-05-31 00:00:00,2011-05-31 15:43:49,FY,20871000.0,1375000.0,348000.0,2171000.0,1232000.0,64000.0,3924000.0,1964000.0,80643000.0,48000.0,30106000.0,-677000.0,0.0,0.0,0.0,0.0,-10823000.0,0.0,0.0,-12247000.0,-10727000.0,-132000.0,-22766000.0,0.0,-3483000.0,49660000.0,53143000.0,30106000.0,-677000.0,29429000.0,https://www.sec.gov/Archives/edgar/data/1040130/000094344011000276/0000943440-11-000276-index.html,https://www.sec.gov/Archives/edgar/data/1040130/000094344011000276/pets2011_10k.htm,1620596466,17:41:06,20210509
