,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,SOLN,USD,2021-02-18,2021-02-17 17:48:11,FY,3134000000,3905000000,100000000,113000000,-389000000.0,0.0,-186000000,-27000000.0,-140000000,-15000000,6696000000,-7441000000,0.0,-877000000,871000000,-471000000,-7030000000,-6394000000,74000000,0.0,-2685000000,-233000000.0,-576000000,0.0,-910000000,1068000000,1978000000,6696000000,-7441000000,-745000000,https://www.sec.gov/Archives/edgar/data/92122/000009212221000006/0000092122-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/92122/000009212221000006/so-20201231.htm,1620598148,18:09:08,20210509
1,2019-12-31,SOLN,USD,2019-12-31,2019-12-31,FY,4754000000,3331000000,1368000000,107000000,1974000000.0,630000000.0,-76000000,-693000000.0,-2729000000,-354000000,5781000000,-7555000000,0.0,-888000000,882000000,-755000000,-3392000000,-6197000000,844000000,0.0,-2570000000,-217000000.0,-1930000000,0.0,459000000,1978000000,1519000000,5781000000,-7555000000,-1774000000,,,1620598148,18:09:08,20210509
2,2018-12-31,SOLN,USD,2019-02-20,2019-02-19 18:34:01,FY,2242000000,3549000000,94000000,125000000,-1181000000.0,-426000000.0,172000000,291000000.0,-4703000000,-404000000,6945000000,-8001000000,0.0,-1117000000,1111000000,-530000000,-5760000000,-8207000000,1090000000,-33000000.0,-2425000000,2134000000.0,-1813000000,0.0,-628000000,1519000000,2147000000,6945000000,-8001000000,-1056000000,https://www.sec.gov/Archives/edgar/data/92122/000009212219000006/0000092122-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/3153/000009212219000006/so10-k12312018.htm,1620598148,18:09:08,20210509
3,2017-12-31,SOLN,USD,2018-02-21,2018-02-20 21:22:00,FY,880000000,3457000000,166000000,109000000,-327000000.0,-199000000.0,72000000,-280000000.0,-3522000000,-446000000,6395000000,-7423000000,0.0,-811000000,805000000,1460000000,-7191000000,-3990000000,793000000,-658000000.0,-2300000000,-261000000.0,951000000,0.0,155000000,2130000000,1975000000,6395000000,-7423000000,-1028000000,https://www.sec.gov/Archives/edgar/data/92122/000009212218000012/0000092122-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/3153/000009212218000012/so_10-kx12312017.htm,1620598148,18:09:08,20210509
4,2016-12-31,SOLN,USD,2017-02-22,2017-02-21 21:23:49,FY,2493000000,2923000000,-127000000,121000000,-592000000.0,-544000000.0,-79000000,301000000.0,-3195000000,-409000000,4894000000,-7310000000,0.0,-1160000000,1154000000,-599000000,-20048000000,-3623000000,3758000000,0.0,-2104000000,98000000.0,15725000000,0.0,571000000,1975000000,1404000000,4894000000,-7310000000,-2416000000,https://www.sec.gov/Archives/edgar/data/92122/000009212217000007/0000092122-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/3153/000009212217000007/so_10-kx12312016.htm,1620598148,18:09:08,20210509
5,2015-12-31,SOLN,USD,2016-02-26,2016-02-26 15:42:42,FY,2435000000,2395000000,1356000000,99000000,-6000000.0,243000000.0,17000000,-353000000.0,-2603000000,-265000000,6274000000,-7393000000,0.0,-1424000000,1418000000,119000000,-7280000000,-3859000000,256000000,-527000000.0,-2018000000,-9000000.0,1700000000,0.0,694000000,1404000000,710000000,6274000000,-7393000000,-1119000000,https://www.sec.gov/Archives/edgar/data/92122/000009212216000126/0000092122-16-000126-index.htm,https://www.sec.gov/Archives/edgar/data/3153/000009212216000126/so_10-kx12312015.htm,1620598148,18:09:08,20210509
6,2014-12-31,SOLN,USD,2015-03-02,2015-03-02 10:52:18,FY,2031000000,2293000000,744000000,63000000,-2660000000.0,-352000000.0,341000000,267000000.0,-2597000000,-283000000,5815000000,-5977000000,0.0,-916000000,914000000,-429000000,-6408000000,-1492000000,806000000,-5000000.0,-1934000000,100000000.0,644000000,0.0,51000000,710000000,659000000,5815000000,-5977000000,-162000000,https://www.sec.gov/Archives/edgar/data/92122/000009212215000015/0000092122-15-000015-index.htm,https://www.sec.gov/Archives/edgar/data/3153/000009212215000015/so_10-kx12312014.htm,1620598148,18:09:08,20210509
7,2013-12-31,SOLN,USD,2013-12-31,2013-12-31,FY,1710000000,2298000000,798000000,59000000,915000000.0,-153000000.0,517000000,72000000.0,63000000,-108000000,6097000000,-5463000000,0.0,-986000000,984000000,-277000000,-5742000000,-2830000000,695000000,-20000000.0,-1828000000,9000000.0,-324000000,0.0,31000000,659000000,628000000,6097000000,-5463000000,634000000,,,1620598148,18:09:08,20210509
8,2012-12-31,SOLN,USD,2012-12-31,2012-12-31,FY,2415000000,2145000000,1096000000,55000000,-547000000.0,234000000.0,-549000000,-89000000.0,-852000000,-87000000,4898000000,-4809000000,0.0,-1046000000,1043000000,-356000000,-5168000000,-3199000000,397000000,-430000000.0,-1758000000,169000000.0,-417000000,0.0,-687000000,628000000,1315000000,4898000000,-4809000000,89000000,,,1620598148,18:09:08,20210509
9,2011-12-31,SOLN,USD,2011-12-31,2011-12-31,FY,2268000000,2048000000,1155000000,42000000,284000000.0,0.0,-122000000,-5000000.0,-305000000,-138000000,5903000000,-4525000000,0.0,-2195000000,2190000000,322000000,-4183000000,-3170000000,723000000,0.0,-1666000000,-458000000.0,-852000000,0.0,868000000,1315000000,447000000,5903000000,-4525000000,1378000000,,,1620598148,18:09:08,20210509
