,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,SPND,USD,2021-04-15,2021-04-15 12:49:35,FY,-894000.0,0.0,-149000.0,0.0,-88000.0,577000.0,0.0,-291000.0,13204000.0,0.0,-761000.0,0.0,0.0,0.0,0.0,0.0,-7823000.0,0.0,0.0,0.0,0.0,0.0,335000.0,0.0,-8249000.0,7775000.0,16024000.0,-761000.0,0.0,-761000.0,https://www.sec.gov/Archives/edgar/data/867038/000101738621000113/0001017386-21-000113-index.htm,https://www.sec.gov/Archives/edgar/data/867038/000101738621000113/sog_2020dec31-10k.htm,1620598220,18:10:20,20210509
1,2019-12-31,SPND,USD,2020-04-02,2020-04-02 14:37:33,FY,-646000.0,456000.0,0.0,0.0,1900000.0,-325000.0,0.0,0.0,13292000.0,120000.0,-231000.0,-19000.0,0.0,0.0,0.0,0.0,1856000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1625000.0,16024000.0,14399000.0,-231000.0,-270000.0,-501000.0,https://www.sec.gov/Archives/edgar/data/867038/000101738620000095/sog_2019dec31-10k.htm,https://www.sec.gov/Archives/edgar/data/867038/000101738620000095/sog_2019dec31-10k.htm,1620598220,18:10:20,20210509
2,2018-12-31,SPND,USD,2019-04-01 00:00:00,2019-04-01 15:14:20,FY,264000.0,499000.0,0.0,0.0,1493000.0,-16000.0,0.0,249000.0,11392000.0,189000.0,1088000.0,0.0,0.0,0.0,0.0,308000.0,1511000.0,0.0,0.0,-270000.0,0.0,0.0,-270000.0,0.0,2329000.0,14399000.0,12070000.0,1088000.0,-320000.0,768000.0,https://www.sec.gov/Archives/edgar/data/867038/000101738619000077/0001017386-19-000077-index.html,https://www.sec.gov/Archives/edgar/data/867038/000101738619000077/sog_2018dec31-10k.htm,1620598220,18:10:20,20210509
3,2017-12-31,SPND,USD,2018-04-17,2018-04-17 11:05:56,FY,-3000.0,522000.0,0.0,0.0,951000.0,-671000.0,0.0,0.0,9899000.0,133000.0,1060000.0,0.0,0.0,0.0,0.0,0.0,-374000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,686000.0,12070000.0,11384000.0,1060000.0,-192000.0,868000.0,https://www.sec.gov/Archives/edgar/data/867038/000086703818000005/sog10k2017_180416a.htm,https://www.sec.gov/Archives/edgar/data/867038/000086703818000005/sog10k2017_180416a.htm,1620598220,18:10:20,20210509
4,2016-12-31,SPND,USD,2017-04-14,2017-04-14 10:31:39,FY,-1329000.0,1104000.0,0.0,0.0,-1077000.0,-93000.0,0.0,0.0,8948000.0,36000.0,-753000.0,0.0,0.0,0.0,0.0,232000.0,-708000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1461000.0,11384000.0,12845000.0,-753000.0,-990000.0,-1743000.0,https://www.sec.gov/Archives/edgar/data/867038/000086703817000005/sog10k2016c_170414.htm,https://www.sec.gov/Archives/edgar/data/867038/000086703817000005/sog10k2016c_170414.htm,1620598220,18:10:20,20210509
5,2015-12-31,SPND,USD,2016-03-30 00:00:00,2016-03-30 09:48:14,FY,-5777000.0,2426000.0,0.0,0.0,-640000.0,318000.0,0.0,0.0,10025000.0,35000.0,-335000.0,0.0,0.0,0.0,0.0,0.0,-1114000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1449000.0,12845000.0,14294000.0,-335000.0,-1114000.0,-1449000.0,https://www.sec.gov/Archives/edgar/data/867038/000086703816000020/0000867038-16-000020-index.html,https://www.sec.gov/Archives/edgar/data/867038/000086703816000020/sog10k2015_160330.htm,1620598220,18:10:20,20210509
6,2014-12-31,SPND,USD,2015-04-15,2015-04-15 12:09:48,FY,3205000.0,1846000.0,0.0,0.0,1787000.0,1480000.0,0.0,0.0,10665000.0,42000.0,8522000.0,0.0,0.0,0.0,0.0,0.0,-3357000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5165000.0,14294000.0,9129000.0,8522000.0,-3357000.0,5165000.0,https://www.sec.gov/Archives/edgar/data/867038/000086703815000006/sog10k2014_150415a.htm,https://www.sec.gov/Archives/edgar/data/867038/000086703815000006/sog10k2014_150415a.htm,1620598220,18:10:20,20210509
7,2013-12-31,SPND,USD,2014-04-15,2014-04-15 15:24:26,FY,3542000.0,1913000.0,0.0,0.0,2939000.0,-1478000.0,0.0,484000.0,8878000.0,120000.0,4659000.0,0.0,0.0,0.0,0.0,0.0,-1961000.0,-720000.0,0.0,0.0,0.0,0.0,-720000.0,0.0,1978000.0,9129000.0,7151000.0,4659000.0,-1961000.0,2698000.0,https://www.sec.gov/Archives/edgar/data/867038/000086703814000006/sog10k2013_1404015b.htm,https://www.sec.gov/Archives/edgar/data/867038/000086703814000006/sog10k2013_1404015b.htm,1620598220,18:10:20,20210509
8,2012-12-31,SPND,USD,2013-04-15,2013-04-15 13:05:47,FY,3659000.0,1647000.0,0.0,0.0,269000.0,-546000.0,0.0,229000.0,5939000.0,40000.0,4574000.0,-6000.0,0.0,0.0,0.0,0.0,-2470000.0,-120000.0,0.0,-1528000.0,0.0,0.0,-1648000.0,0.0,456000.0,7151000.0,6695000.0,4574000.0,-2470000.0,2104000.0,https://www.sec.gov/Archives/edgar/data/867038/000086703813000006/sog10k2012_0415a.htm,https://www.sec.gov/Archives/edgar/data/867038/000086703813000006/sog10k2012_0415a.htm,1620598220,18:10:20,20210509
9,2011-12-31,SPND,USD,2012-04-05,2012-04-05 12:25:29,FY,1753000.0,1152000.0,0.0,0.0,-15000.0,-521000.0,0.0,946000.0,5670000.0,68000.0,3224000.0,-2453000.0,0.0,-200000.0,0.0,0.0,-2653000.0,-120000.0,0.0,0.0,0.0,0.0,-120000.0,0.0,451000.0,6695000.0,6244000.0,3224000.0,-2453000.0,771000.0,https://www.sec.gov/Archives/edgar/data/867038/000086703812000014/sog10k2011_120405m.htm,https://www.sec.gov/Archives/edgar/data/867038/000086703812000014/sog10k2011_120405m.htm,1620598220,18:10:20,20210509
