,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,ST5.DE,EUR,2020-12-31,2020-12-31,FY,22970597.65,23437260.37,0.0,0.0,-1008024.91,0.0,-1519030.68,0.0,0.0,-109866.07,42905649.34,-47244083.35,0.0,0.0,167228.47,0.0,-44440977.05,-12675108.0,0.0,0.0,-3520866.26,0.0,4378962.25,-1877261.15,966373.3900000006,23088258.59,22121885.2,42905649.34,-49264039.89,-6358390.55,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620598331,18:12:11,20210509
1,2019-12-31,ST5.DE,EUR,2019-12-31,2019-12-31,FY,70945884.46,24223735.44,0.0,0.0,-5288508.05,0.0,-10257315.19,0.0,0.0,-129394.58,43361562.93,-50292932.89,0.0,-4884.62,36471.53,0.0,-49458861.01,-12903680.0,0.0,0.0,-3520866.25,0.0,8862969.31,592344.1,3358015.329999998,22121885.2,18763869.87,43361562.93,-50292932.89,-6931369.96,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620598331,18:12:11,20210509
2,2018-12-31,ST5.DE,EUR,2018-12-31,2018-12-31,FY,51679709.84,19842802.23,0.0,0.0,3000754.59,0.0,-661441.2,0.0,0.0,-69901.2,40521532.39,-47262676.04,0.0,-1171.4,0.0,0.0,-44981971.44,-13122252.0,0.0,0.0,-2957527.65,0.0,-1550144.89,-754518.88,-6765102.82,18763869.87,25528972.69,40521532.39,-47262676.04,-6741143.65,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620598331,18:12:11,20210509
3,2017-12-31,ST5.DE,EUR,2017-12-31,2017-12-31,FY,15267130.71,15886934.71,0.0,0.0,-7005928.14,0.0,-11856304.77,0.0,0.0,-629355.29,25493939.9,-46795313.95,0.0,0.0,0.01,0.0,-45985119.15,-9997246.0,24966142.45,0.0,-2304567.0,0.0,27562490.46,847580.07,7918891.280000001,25528972.69,17610081.41,25493939.9,-46795313.95,-21301374.05,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620598331,18:12:11,20210509
4,2016-12-31,ST5.DE,EUR,2016-12-31,2016-12-31,FY,11560362.59,15455370.98,0.0,0.0,3232246.51,0.0,-5298111.61,0.0,0.0,577771.12,32919129.28,-30110569.56,0.0,0.0,39633.87,0.0,-26809067.97,0.0,0.0,0.0,-1920472.5,0.0,1695971.51,-563380.93,7242651.890000001,17610081.41,10367429.52,32919129.28,-30110569.56,2808559.72,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620598331,18:12:11,20210509
5,2015-12-31,ST5.DE,EUR,2015-12-31,2015-12-31,FY,8074755.0,12477164.24,0.0,0.0,-714419.75,0.0,5062498.35,0.0,0.0,21376.51,20425904.74,-51697899.7,0.0,-60979.69,61003.6,0.0,-49948422.71,0.0,0.0,0.0,-1536378.0,0.0,29699477.47,98862.05,275821.5499999989,10367429.52,10091607.97,20425904.74,-51697899.7,-31271994.96,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620598331,18:12:11,20210509
6,2014-12-31,ST5.DE,EUR,2014-12-31,2014-12-31,FY,5912970.58,11826496.69,0.0,0.0,-936534.18,0.0,-11474774.39,0.0,0.0,-69964.92,16741385.23,-35327232.21,0.0,-570230.54,522635.51,0.0,-35153719.75,0.0,0.0,0.0,-1536378.0,0.0,22986912.19,-72736.71,4501840.960000001,10091607.97,5589767.01,16741385.23,-35327232.21,-18585846.98,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620598331,18:12:11,20210509
7,2013-12-31,ST5.DE,EUR,2013-12-31,2013-12-31,FY,4878377.53,12141988.54,0.0,0.0,-3914178.52,0.0,-4875881.32,0.0,0.0,-413930.66,12570367.71,-8868831.7,0.0,-84669.96,16300.0,0.0,-8315152.69,-7509052.6,0.0,0.0,-1536378.0,0.0,-9045430.6,366451.52,-4423764.0600000005,5589767.0,10013531.06,12570367.71,-8868831.7,3701536.01,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620598331,18:12:11,20210509
8,2012-12-31,ST5.DE,EUR,2012-12-31,2012-12-31,FY,2844199.11,10957671.08,0.0,0.0,1029167.53,0.0,1022737.53,0.0,0.0,606758.3,15091054.92,-12032116.32,0.0,-629764.93,0.0,0.0,-12278855.13,-3283481.4,0.0,0.0,-1536375.62,0.0,1123609.37,43909.34,3979718.5100000007,10036446.8,6056728.29,15091054.92,-12032116.32,3058938.6,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620598331,18:12:11,20210509
9,2011-12-31,ST5.DE,EUR,2011-12-31,2011-12-31,FY,5854538.25,7754872.69,0.0,0.0,-122426.15,0.0,0.0,0.0,0.0,-3466430.79,8844640.44,-24313829.94,0.0,0.0,160863.09,0.0,-23179785.13,-1257632.35,0.0,0.0,-1536378.01,0.0,5100785.23,-36362.75,-9270722.2,6056728.29,15327450.49,8844640.44,-24313829.94,-15469189.5,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620598331,18:12:11,20210509
