,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2019-12-31,THAL.L,USD,2019-12-31,2019-12-31,FY,-3028479.0,26308.0,0.0,0.0,5059641.0,0.0,0.0,0.0,0.0,-50042.0,80967.0,0.0,0.0,0.0,0.0,-346296.0,-6128.0,-16128792.0,0.0,-1352506.0,0.0,0.0,6167738.0,585795.0,6828372.0,24198744.0,17370372.0,80967.0,293521.0,-107680.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=Thalassa+Holdings+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Thalassa+Holdings+Ltd,1620598770,18:19:30,20210509
1,2018-12-31,THAL.L,USD,2018-12-31,2018-12-31,FY,7027857.0,41919.0,0.0,0.0,-3545497.0,0.0,0.0,0.0,0.0,-48565.0,-7871443.0,-3638.0,0.0,0.0,0.0,19106548.0,19289107.0,0.0,0.0,-2280798.0,0.0,0.0,-2280798.0,142218.0,9279084.0,17370372.0,8091288.0,-7871443.0,-3638.0,-7875081.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=Thalassa+Holdings+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Thalassa+Holdings+Ltd,1620598770,18:19:30,20210509
2,2017-12-31,THAL.L,USD,2017-12-31,2017-12-31,FY,1384500.0,101067.0,0.0,0.0,1138286.0,0.0,0.0,0.0,0.0,-47131.0,3945644.0,-40642.0,0.0,0.0,0.0,-189093.0,-705951.0,0.0,218487.0,-3099107.0,0.0,0.0,-2880620.0,0.0,359073.0,8091288.0,7732215.0,3945644.0,-40642.0,3905002.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=Thalassa+Holdings+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Thalassa+Holdings+Ltd,1620598770,18:19:30,20210509
3,2016-12-31,THAL.L,USD,2016-12-31,2016-12-31,FY,1968581.0,1100445.0,0.0,0.0,1497460.0,0.0,-100116.0,0.0,0.0,-45740.0,4434158.0,0.0,0.0,0.0,0.0,-15987450.0,-15987450.0,0.0,0.0,-1017629.0,0.0,0.0,-1017629.0,0.0,-12570921.0,7732215.0,20303136.0,4434158.0,0.0,4434158.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=Thalassa+Holdings+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Thalassa+Holdings+Ltd,1620598770,18:19:30,20210509
4,2015-12-31,THAL.L,USD,2015-12-31,2015-12-31,FY,-12259230.0,2226645.0,0.0,168375.0,919641.0,0.0,-47804.0,0.0,0.0,430336.0,4757779.0,-1242292.0,0.0,0.0,0.0,0.0,-1242292.0,0.0,0.0,-940425.0,0.0,0.0,-940425.0,0.0,2575062.0,20303136.0,17728074.0,4757779.0,-1242292.0,3515487.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=Thalassa+Holdings+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Thalassa+Holdings+Ltd,1620598770,18:19:30,20210509
5,2014-12-31,THAL.L,USD,2014-12-31,2014-12-31,FY,-12166241.0,1787244.0,0.0,168377.0,707680.0,0.0,346777.0,0.0,0.0,0.0,307442.0,-9907805.0,0.0,0.0,0.0,0.0,-15292055.0,0.0,477532.0,0.0,0.0,0.0,477532.0,0.0,-14507081.0,17728074.0,32235155.0,307442.0,-10052990.0,-9745548.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=Thalassa+Holdings+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Thalassa+Holdings+Ltd,1620598770,18:19:30,20210509
6,2013-12-31,THAL.L,USD,2013-12-31,2013-12-31,FY,4285931.0,685173.0,0.0,0.0,-4435613.0,0.0,-608231.0,0.0,0.0,0.0,-855313.0,-941278.0,0.0,0.0,0.0,0.0,-5709104.0,0.0,36317103.0,0.0,0.0,0.0,36317103.0,0.0,29752686.0,32235155.0,2482469.0,-855313.0,-3854479.0,-4709792.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=Thalassa+Holdings+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Thalassa+Holdings+Ltd,1620598770,18:19:30,20210509
7,2012-12-31,THAL.L,USD,2012-12-31,2012-12-31,FY,1203184.0,562695.0,0.0,0.0,115556.0,0.0,-81777.0,0.0,0.0,0.0,1924162.0,-1397764.0,0.0,-38675.0,0.0,0.0,-1433806.0,0.0,21288.0,0.0,0.0,0.0,21288.0,0.0,511644.0,2482469.0,1970825.0,1924162.0,-1397764.0,526398.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=Thalassa+Holdings+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Thalassa+Holdings+Ltd,1620598770,18:19:30,20210509
8,2011-12-31,THAL.L,USD,2011-12-31,2011-12-31,FY,355888.9,399403.7,0.0,0.0,-1049017.5,0.0,0.0,0.0,0.0,0.0,181829.7,-180275.6,0.0,0.0,0.0,0.0,1600723.0,-247101.9,0.0,-71488.6,0.0,0.0,-318590.5,0.0,1463962.2000000002,1970598.8,506636.6,181829.7,-180275.6,1554.1,https://find-and-update.company-information.service.gov.uk/search/companies?q=Thalassa+Holdings+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Thalassa+Holdings+Ltd,1620598770,18:19:30,20210509
9,2010-12-31,THAL.L,USD,2010-12-31,2010-12-31,FY,546429.3,26616.9,0.0,0.0,599663.1,0.0,0.0,0.0,0.0,0.0,510418.2,-1966519.2,0.0,0.0,2406480.9,646634.1,6262.8,-454053.0,308442.9,0.0,0.0,0.0,-145610.1,0.0,371070.9,258340.5,-112730.4,510418.2,-1966519.2,-1456101.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=Thalassa+Holdings+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Thalassa+Holdings+Ltd,1620598770,18:19:30,20210509
