,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2020-12-26,UFPI,USD,2021-03-03,2021-03-03 17:23:46,FY,340983000.0,63964000.0,1857000.0,4034000.0,335583000.0,-87552000.0,-76022000.0,62405000.0,1074613000,0.0,336477000.0,-89182000.0,-65255000.0,-28054000.0,0.0,0.0,-154718000.0,77964000.0,1395000.0,-29212000.0,-30669000.0,0.0,85221000.0,0.0,267942000.0,436608000.0,168666000.0,336477000.0,-89182000.0,247295000.0,https://www.sec.gov/Archives/edgar/data/912767/000155837021002324/0001558370-21-002324-index.htm,https://www.sec.gov/Archives/edgar/data/912767/000155837021002324/ufpi-20201226x10k.htm,1620599237,18:27:17,20210509
1,2019-12-31,UFPI,USD,2020-02-26 00:00:00,2020-02-26 16:10:43,FY,179650000.0,66819000.0,7176000.0,4007000.0,0.0,-16872000.0,73120000.0,-24132000.0,739030000,0.0,349291000.0,-84933000.0,-39000000.0,-13352000.0,9828000.0,-16235000.0,-142037000.0,-463673000.0,1093000.0,0.0,-24549000.0,-2196000.0,-67268000.0,482000.0,140468000.0,168666000.0,28198000.0,349291000.0,-84933000.0,264358000.0,https://www.sec.gov/Archives/edgar/data/912767/000155837020001462/0001558370-20-001462-index.html,https://www.sec.gov/Archives/edgar/data/912767/000155837020001462/ufpi-20191228x10kaa58c7.htm,1620599237,18:27:17,20210509
2,2019-12-28,UFPI,USD,2020-02-26 00:00:00,2020-02-26 16:10:43,FY,179650000.0,66819000.0,7176000.0,4000000.0,53922000.0,-16872000.0,73120000.0,-24132000.0,739030000,3049000.0,349291000.0,-84933000.0,-39000000.0,-13352000.0,0.0,-43752000.0,-142037000.0,-3136000.0,1093000.0,1093000.0,-24549000.0,127660000.0,-67268000.0,482000.0,140468000.0,167784000.0,27316000.0,349291000.0,-84933000.0,264358000.0,https://www.sec.gov/Archives/edgar/data/912767/000155837020001462/0001558370-20-001462-index.html,https://www.sec.gov/Archives/edgar/data/912767/000155837020001462/ufpi-20191228x10kaa58c7.htm,1620599237,18:27:17,20210509
3,2018-12-29,UFPI,USD,2019-02-27 00:00:00,2019-02-27 15:12:09,FY,148598000.0,61342000.0,857000.0,3600000.0,124867000.0,-8512000.0,-84304000.0,-5213000.0,685108000,-1142000.0,116685000.0,-95862000.0,-54017000.0,-37967000.0,0.0,66614000.0,-121232000.0,-5540000.0,1026000.0,-23603000.0,-22072000.0,36675000.0,4393000.0,-464000.0,-618000.0,27721000.0,28339000.0,116685000.0,-95862000.0,20823000.0,https://www.sec.gov/Archives/edgar/data/912767/000155837019001176/0001558370-19-001176-index.html,https://www.sec.gov/Archives/edgar/data/912767/000155837019001176/ufpi-20181229x10k.htm,1620599237,18:27:17,20210509
4,2017-12-30,UFPI,USD,2018-02-28 00:00:00,2018-02-28 15:27:15,FY,119512000.0,53396000.0,-8629000.0,3805000.0,75580000.0,-30787000.0,-49262000.0,21159000.0,560241000,2917000.0,136583000.0,-71116000.0,-60587000.0,-12977000.0,0.0,7021000.0,-137659000.0,-13347000.0,660000.0,-12317000.0,-19607000.0,24449000.0,-5247000.0,650000.0,-5673000.0,28418000.0,34091000.0,136583000.0,-71116000.0,65467000.0,https://www.sec.gov/Archives/edgar/data/912767/000155837018001251/0001558370-18-001251-index.html,https://www.sec.gov/Archives/edgar/data/912767/000155837018001251/ufpi-20171230x10k.htm,1620599237,18:27:17,20210509
5,2016-12-31,UFPI,USD,2017-03-01 00:00:00,2017-03-01 14:55:26,FY,101179000.0,43618000.0,2464000.0,2335000.0,40604000.0,-5119000.0,-3245000.0,11259000.0,484661000,0.0,172520000.0,-53762000.0,-81000000.0,-5666000.0,2568000.0,-92766000.0,-227469000.0,-107294000.0,536000.0,0.0,-17680000.0,-3353000.0,3211000.0,-1927000.0,-53665000.0,34091000.0,87756000.0,172520000.0,-53762000.0,118758000.0,https://www.sec.gov/Archives/edgar/data/912767/000091276717000007/0000912767-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/912767/000091276717000007/ufpi-20161231x10k.htm,1620599237,18:27:17,20210509
6,2015-12-26,UFPI,USD,2016-02-24 00:00:00,2016-02-24 15:42:17,FY,80595000.0,41241000.0,-1369000.0,1846000.0,46557000.0,-26007000.0,34139000.0,4798000.0,444057000,1720000.0,168796000.0,-43522000.0,-2505000.0,-800000.0,0.0,10000.0,-46636000.0,0.0,1074000.0,274000.0,-3188000.0,-16769000.0,-33002000.0,-1221000.0,87937000.0,87937000.0,0.0,168796000.0,-43522000.0,125274000.0,https://www.sec.gov/Archives/edgar/data/912767/000091276716000036/0000912767-16-000036-index.html,https://www.sec.gov/Archives/edgar/data/912767/000091276716000036/ufpi-20151226x10k.htm,1620599237,18:27:17,20210509
7,2014-12-27,UFPI,USD,2015-02-25,2015-02-25 16:59:19,FY,57551000.0,36322999.99999999,4926000.0,1919000.0,-46000.0,-9710000.0,-49575000.0,15390000.0,397500000,-1779000.0,73120000.0,-45305000.0,-34641000.0,-4866000.0,0.0,17749000.0,-67063000.0,0.0,541000.0,-4325000.0,-12205000.0,11325000.0,-5205000.0,-852000.0,0.0,0.0,0.0,73120000.0,-45305000.0,27815000.0,https://www.sec.gov/Archives/edgar/data/912767/000114036115008949/form10k.htm,https://www.sec.gov/Archives/edgar/data/912767/000114036115008949/form10k.htm,1620599237,18:27:17,20210509
8,2013-12-28,UFPI,USD,2014-02-26,2014-02-26 14:30:17,FY,43100000.0,33600000.0,4500000.0,1874000.0,59146000.0,-17886000.0,-42287000.0,6756000.0,397546000,1900000.0,54400000.0,-40023000.0,-11478000.0,0.0,0.0,7898000.0,-43600000.0,0.0,2144000.0,2100000.0,-8200000.0,-12400000.0,-18400000.0,-100000.0,-7600000.0,0.0,7600000.0,54400000.0,-40023000.0,14200000.0,https://www.sec.gov/Archives/edgar/data/912767/000114036114009715/form10k.htm,https://www.sec.gov/Archives/edgar/data/912767/000114036114009715/form10k.htm,1620599237,18:27:17,20210509
9,2012-12-29,UFPI,USD,2013-02-26 00:00:00,2013-02-26 14:38:06,FY,23900000.0,33400000.0,2500000.0,1270000.0,113001000.0,-32274000.0,-45529000.0,16281000.0,338400000,-3500000.0,-5700000.0,-30344000.0,-16974000.0,0.0,0.0,13095000.0,-34200000.0,-42774000.0,2061000.0,2100000.0,-7900000.0,85313000.0,36700000.0,200000.0,-3000000.0,7700000.0,10700000.0,-5700000.0,-30344000.0,-36100000.0,https://www.sec.gov/Archives/edgar/data/912767/000114036113009280/0001140361-13-009280-index.html,https://www.sec.gov/Archives/edgar/data/912767/000114036113009280/form10k.htm,1620599237,18:27:17,20210509
