,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,VMT.AX,AUD,2020-12-31,2020-12-31,FY,3747700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-590946.0,0.0,-6182635.0,0.0,0.0,-6773581.0,-2026599.0,13651725.0,-226079.0,0.0,0.0,11399047.0,-306105.0,8349447.0,14997486.0,6648039.0,0.0,-590946.0,3439140.0,,,1620599574,18:32:54,20210509
1,2019-12-31,VMT.AX,AUD,2019-12-31,2019-12-31,FY,1366768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-195748.0,0.0,0.0,0.0,0.0,1687083.0,-2290280.0,188083.0,0.0,0.0,0.0,1014522.0,-51608.0,2454249.0,6648039.0,4193790.0,0.0,-195748.0,1491335.0,,,1620599574,18:32:54,20210509
2,2018-12-31,VMT.AX,AUD,2018-12-31,2018-12-31,FY,-917563.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-734167.0,0.0,0.0,0.0,0.0,266883.0,-2056023.0,2212500.0,-33874.0,0.0,0.0,1331134.0,157148.0,1020998.0,4193790.0,3172792.0,0.0,-734167.0,-467284.0,,,1620599574,18:32:54,20210509
3,2017-12-31,VMT.AX,AUD,2017-12-31,2017-12-31,FY,-8056809.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-593183.0,0.0,-19197.0,0.0,0.0,-2361441.0,-1590635.0,0.0,0.0,0.0,0.0,1639761.0,-138352.0,-1189063.0,3172792.0,4361855.0,0.0,-595489.0,-2956930.0,,,1620599574,18:32:54,20210509
4,2016-12-31,VMT.AX,AUD,2016-12-31,2016-12-31,FY,-13606636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-524405.0,0.0,-60798.0,0.0,0.0,47081.0,-2828512.0,0.0,0.0,0.0,0.0,121221.0,-139961.0,-2295674.0,4361855.0,6657529.0,0.0,-2953688.0,-2906607.0,,,1620599574,18:32:54,20210509
5,2015-12-31,VMT.AX,AUD,2015-12-31,2015-12-31,FY,-753313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-858044.0,0.0,0.0,106494.0,-1043275.0,15883.0,-7880556.0,9018000.0,-592333.0,0.0,0.0,5443835.0,218556.0,2807387.0,6657529.0,3850142.0,0.0,-2375912.0,-2360029.0,,,1620599574,18:32:54,20210509
6,2014-12-31,VMT.AX,AUD,2014-12-31,2014-12-31,FY,883987.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1101351.0,0.0,-393244.0,0.0,0.0,625964.0,-5400250.0,1247290.0,-22480.0,0.0,0.0,121704.0,170075.0,-576852.0,3850142.0,4426994.0,0.0,-1101351.0,-475387.0,,,1620599574,18:32:54,20210509
7,2013-12-31,VMT.AX,AUD,2013-12-31,2013-12-31,FY,404460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-402528.0,0.0,0.0,0.0,0.0,-3825397.0,-6043162.0,6540660.0,-438298.0,0.0,0.0,6586926.0,238585.0,2592100.0,4426994.0,1834894.0,0.0,-408014.0,-4233411.0,,,1620599574,18:32:54,20210509
8,2012-06-30,VMT.AX,AUD,2012-06-30,2012-06-30,FY,-7162129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1168297.0,0.0,0.0,0.0,0.0,-207438.0,-3252856.0,1027198.0,-3080.0,0.0,0.0,1926200.0,-17001.0,529659.0,1231258.0,701599.0,0.0,-1176557.0,-1383995.0,,,1620599574,18:32:54,20210509
9,2011-06-30,VMT.AX,AUD,2011-06-30,2011-06-30,FY,-4424544.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2096340.0,0.0,0.0,0.0,0.0,-5649446.0,-2769176.0,4713000.0,-88200.0,0.0,0.0,5794802.0,-13455.0,-1888000.0,701599.0,2589599.0,0.0,-2099901.0,-7749347.0,,,1620599574,18:32:54,20210509
10,2010-06-30,VMT.AX,AUD,2010-06-30,2010-06-30,FY,-3643199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1811743.0,0.0,-1226447.0,0.0,-780366.0,-6054871.0,-787152.0,11462500.0,0.0,0.0,0.0,12488189.0,101644.0,1299615.0,2589599.0,1289984.0,0.0,-1812129.0,-7867000.0,,,1620599574,18:32:54,20210509
11,2009-06-30,VMT.AX,AUD,2009-06-30,2009-06-30,FY,-4235764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1835743.0,0.0,0.0,0.0,-342437.0,-3288030.0,-486455.0,6862500.0,-534624.0,0.0,0.0,7546377.0,657978.0,1463008.0,1289984.0,-173024.0,0.0,-3110880.0,-6398910.0,,,1620599574,18:32:54,20210509
