,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,timestamp,est_time,est_date
0,2019-12-31,ABRD.ME,RUB,2019-12-31,2019-12-31,FY,8229835000.0,4491278000.0,3738557000.0,0.45426876723530907,17302000.0,214459000.0,574848000.0,6181000.0,1942191000.0,6433469000.0,224960000.0,109468000.0,1905834000.0,0.23157621021563615,1796366000.0,0.21827484998180402,0.0,1627872000.0,0.19780129249249834,353591000.0,1285544000.0,0.15620531881866404,13.117771,13.117771,98000184,98000184,http://www.cbr.ru/eng/search/?text=ABRD&category=Any&time=Any&dateFrom=&dateTo=,http://www.cbr.ru/eng/search/?text=ABRD&category=Any&time=Any&dateFrom=&dateTo=,1620586074,14:47:54,20210509
1,2018-12-31,ABRD.ME,RUB,2018-12-31,2018-12-31,FY,7660565000.0,3994509000.0,3666056000.0,0.47856209039411585,31822000.0,218369000.0,647105000.0,0.0,1956187000.0,5950696000.0,269105000.0,67105000.0,1776974000.0,0.23196383034410648,1709869000.0,0.22320403260072855,0.0,1395280000.0,0.18213800157038026,330242000.0,1090607000.0,0.14236639203505225,11.128622,11.128622,98000184,98000184,http://www.cbr.ru/eng/search/?text=ABRD&category=Any&time=Any&dateFrom=&dateTo=,http://www.cbr.ru/eng/search/?text=ABRD&category=Any&time=Any&dateFrom=&dateTo=,1620586074,14:47:54,20210509
2,2017-12-31,ABRD.ME,RUB,2017-12-31,2017-12-31,FY,6628516000.0,3264296000.0,3364220000.0,0.5075374337181957,0.0,185422000.0,681870000.0,0.0,1972809000.0,5237105000.0,251607000.0,74387000.0,1465798000.0,0.2211351681130437,1391411000.0,0.20991289754750536,0.0,1137085000.0,0.17154443015601079,314174000.0,826426000.0,0.12467737876773624,8.432903,8.432903,98000184,98000184,http://www.cbr.ru/eng/search/?text=ABRD&category=Any&time=Any&dateFrom=&dateTo=,http://www.cbr.ru/eng/search/?text=ABRD&category=Any&time=Any&dateFrom=&dateTo=,1620586074,14:47:54,20210509
3,2016-12-31,ABRD.ME,RUB,2016-12-31,2016-12-31,FY,6935875000.0,3087917000.0,3847958000.0,0.5547905635554274,0.0,170158000.0,1538749000.0,0.0,2658970000.0,5746887000.0,378007000.0,78429000.0,1267417000.0,0.18273354118982824,1188988000.0,0.17142581145133096,0.0,672786000.0,0.09700088308973273,167275000.0,494501000.0,0.07129612341629571,6.05511,6.05511,81666728,81666728,http://www.cbr.ru/eng/search/?text=ABRD&category=Any&time=Any&dateFrom=&dateTo=,http://www.cbr.ru/eng/search/?text=ABRD&category=Any&time=Any&dateFrom=&dateTo=,1620586074,14:47:54,20210509
4,2015-12-31,ABRD.ME,RUB,2015-12-31,2015-12-31,FY,7824100379.54,3374430761.14,4449669618.4,0.5687132580808745,0.0,239309345.23000002,1709478423.74,0.0,2999926698.31,6374357459.45,358192526.25,88023517.22,1537766437.31,0.19654226846721634,1449742920.09,0.1852919632627763,0.0,505363732.42,0.06459065041413894,351653216.54,151800155.74,0.019401611479443307,2.065308,2.065308,73500000,73500000,http://www.cbr.ru/eng/search/?text=ABRD&category=Any&time=Any&dateFrom=&dateTo=,http://www.cbr.ru/eng/search/?text=ABRD&category=Any&time=Any&dateFrom=&dateTo=,1620586074,14:47:54,20210509
5,2014-12-31,ABRD.ME,RUB,2014-12-31,2014-12-31,FY,7733519051.44,3725681141.0,4007837910.44,0.5182424564783003,0.0,208615909.32000017,1217009517.36,0.0,2396220255.52,6121901396.52,300444708.2,81878826.12,1693496481.04,0.2189813550306916,1611617654.92,0.20839383005333298,0.0,209449705.92,0.02708336328220462,171873272.48,37520847.0,0.004851717148484108,0.510488,0.510488,73500000,73500000,http://www.cbr.ru/eng/search/?text=ABRD&category=Any&time=Any&dateFrom=&dateTo=,http://www.cbr.ru/eng/search/?text=ABRD&category=Any&time=Any&dateFrom=&dateTo=,1620586074,14:47:54,20210509
6,2013-12-31,ABRD.ME,RUB,2013-12-31,2013-12-31,FY,4995330519.36,2303814551.28,2691515968.08,0.5388063828106485,0.0,164057876.88,669319307.68,0.0,1444097346.8,3747911898.08,207135812.08,35251562.24,1282670183.52,0.25677383679595545,1247418621.28,0.24971693393369673,0.0,874120361.44,0.1749874924296285,220190728.32,653929633.12,0.13090818126760936,8.897002,8.897002,73500000,73500000,http://www.cbr.ru/eng/search/?text=ABRD&category=Any&time=Any&dateFrom=&dateTo=,http://www.cbr.ru/eng/search/?text=ABRD&category=Any&time=Any&dateFrom=&dateTo=,1620586074,14:47:54,20210509
7,2012-12-31,ABRD.ME,RUB,2012-12-31,2012-12-31,FY,3506318264.76,1630862658.96,1875455605.8,0.5348788855390373,0.0,145990276.01999998,568681639.07,0.0,1229465341.58,2860328000.54,222721744.44,30072903.3,676063167.52,0.19281283570710744,645990264.22,0.1842360605745573,0.0,465218701.05,0.13268011227778354,149848113.11,315370587.94,0.08994351457185432,4.290756,4.290756,73500000,73500000,http://www.cbr.ru/eng/search/?text=ABRD&category=Any&time=Any&dateFrom=&dateTo=,http://www.cbr.ru/eng/search/?text=ABRD&category=Any&time=Any&dateFrom=&dateTo=,1620586074,14:47:54,20210509
8,2011-12-31,ABRD.ME,RUB,2011-12-31,2011-12-31,FY,3214292572.68,1483829693.64,1730462879.04,0.5383650803128919,0.0,476888135.91999996,339464508.88,0.0,919868207.44,2403697901.08,0.0,0.0,820479192.26,0.2552596484942577,810594671.6,0.2521844708505006,0.0,613991875.56,0.19101928703648413,159111992.76,454879882.8,0.14151788380008362,6.188842,6.188842,73500000,73500000,http://www.cbr.ru/eng/search/?text=ABRD&category=Any&time=Any&dateFrom=&dateTo=,http://www.cbr.ru/eng/search/?text=ABRD&category=Any&time=Any&dateFrom=&dateTo=,1620586074,14:47:54,20210509
9,2010-12-31,ABRD.ME,RUB,2010-12-31,2010-12-31,FY,1972652534.4,908412518.4,1064240016.0,0.5394969450733492,0.0,266503564.79999998,247904601.6,0.0,557999486.4,1466412004.8,0.0,0.0,506240529.6,0.2566293459045374,506240529.6,0.2566293459045374,0.0,334781337.6,0.16971125515615793,102875515.2,168186019.2,0.08525881586700988,2.288245,2.288245,73500000,73500000,http://www.cbr.ru/eng/search/?text=ABRD&category=Any&time=Any&dateFrom=&dateTo=,http://www.cbr.ru/eng/search/?text=ABRD&category=Any&time=Any&dateFrom=&dateTo=,1620586074,14:47:54,20210509
