,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,timestamp,est_time,est_date
0,2020-09-30,ADIG.L,GBP,2020-09-30,2020-09-30,FY,-3145000.0,0.0,0.0,0.0,0.0,837000.0,0.0,0.0,0.0,0.0,3789000.0,0.0,0.0,0.0,0.0,1.2661367249602544,0.0,-3982000.0,1.2661367249602544,435000.0,-4417000.0,1.4044515103338633,-0.013404084117307119,-0.013404084117307119,329526431.0,329526431.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Diversified+Income+and+Growth+Trust+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Diversified+Income+and+Growth+Trust+PLC,1620586175,14:49:35,20210509
1,2019-09-30,ADIG.L,GBP,2019-09-30,2019-09-30,FY,7618000.0,0.0,0.0,0.0,0.0,935000.0,0.0,0.0,935000.0,0.0,3780000.0,0.0,0.0,0.0,0.0,0.8772643738514045,0.0,6683000.0,0.8772643738514045,-2005000.0,8688000.0,1.1404568128117616,0.0264,0.0264,329526431.0,329526431.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Diversified+Income+and+Growth+Trust+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Diversified+Income+and+Growth+Trust+PLC,1620586175,14:49:35,20210509
2,2018-09-30,ADIG.L,GBP,2018-09-30,2018-09-30,FY,10410000.0,0.0,0.0,0.0,0.0,872000.0,0.0,0.0,872000.0,0.0,3598000.0,0.0,0.0,0.0,0.0,0.9162343900096062,0.0,9538000.0,0.9162343900096062,343000.0,9195000.0,0.8832853025936599,0.028,0.028,328613280.0,328613280.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Diversified+Income+and+Growth+Trust+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Diversified+Income+and+Growth+Trust+PLC,1620586175,14:49:35,20210509
3,2017-09-30,ADIG.L,GBP,2017-09-30,2017-09-30,FY,25017000.0,0.0,0.0,0.0,0.0,1007000.0,0.0,0.0,1007000.0,0.0,3808000.0,659000.0,0.0,0.0,0.0,0.9597473717871847,0.0,24010000.0,0.9597473717871847,179000.0,23831000.0,0.9525922372786505,0.0802,0.0802,297328911.0,297328911.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Diversified+Income+and+Growth+Trust+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Diversified+Income+and+Growth+Trust+PLC,1620586175,14:49:35,20210509
4,2016-09-30,ADIG.L,GBP,2016-09-30,2016-09-30,FY,4643000.0,0.0,0.0,0.0,0.0,873000.0,94000.0,0.0,967000.0,0.0,3838000.0,0.0,0.0,0.0,0.0,0.7917294852466078,0.0,3676000.0,0.7917294852466078,73000.0,3603000.0,0.7760068920956278,0.0132,0.0132,272290493.0,272290493.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Diversified+Income+and+Growth+Trust+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Diversified+Income+and+Growth+Trust+PLC,1620586175,14:49:35,20210509
5,2015-09-30,ADIG.L,GBP,2015-09-30,2015-09-30,FY,-11763000.0,0.0,0.0,0.0,0.0,874000.0,107000.0,0.0,981000.0,0.0,4026000.0,0.0,0.0,0.0,0.0,1.083397092578424,0.0,-12744000.0,1.083397092578424,-34000.0,-12710000.0,1.0805066734676527,-0.0445,-0.0445,285283310.0,285283310.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Diversified+Income+and+Growth+Trust+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Diversified+Income+and+Growth+Trust+PLC,1620586175,14:49:35,20210509
6,2014-09-30,ADIG.L,GBP,2014-09-30,2014-09-30,FY,28001000.0,0.0,0.0,0.0,0.0,636000.0,75000.0,0.0,711000.0,0.0,4171000.0,0.0,0.0,0.0,0.0,0.9746080497125102,0.0,27290000.0,0.9746080497125102,439000.0,26851000.0,0.958930038212921,0.093,0.093,289412282.0,289412282.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Diversified+Income+and+Growth+Trust+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Diversified+Income+and+Growth+Trust+PLC,1620586175,14:49:35,20210509
7,2013-09-30,ADIG.L,GBP,2013-09-30,2013-09-30,FY,57154000.0,0.0,0.0,0.0,0.0,695000.0,175000.0,0.0,870000.0,0.0,4185000.0,0.0,0.0,0.0,0.0,0.9847779682961822,0.0,56284000.0,0.9847779682961822,359000.0,55925000.0,0.9784966931448368,0.193,0.193,290245981.0,290245981.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Diversified+Income+and+Growth+Trust+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Diversified+Income+and+Growth+Trust+PLC,1620586175,14:49:35,20210509
8,2012-09-30,ADIG.L,GBP,2012-09-30,2012-09-30,FY,58354000.0,0.0,0.0,0.0,0.0,859000.0,0.0,0.0,859000.0,0.0,4110000.0,0.0,0.0,0.0,0.0,0.9852795009767968,0.0,57495000.0,0.9852795009767968,471000.0,57024000.0,0.9772080748534805,0.196,0.196,291112282.0,291112282.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Diversified+Income+and+Growth+Trust+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Diversified+Income+and+Growth+Trust+PLC,1620586175,14:49:35,20210509
9,2011-09-30,ADIG.L,GBP,2011-09-30,2011-09-30,FY,-10066000.0,0.0,0.0,0.0,0.0,2309000.0,0.0,0.0,6432000.0,0.0,4123000.0,0.0,0.0,0.0,0.0,1.6389827140870257,0.0,-16498000.0,1.6389827140870257,235000.0,-16733000.0,1.662328631035168,-0.058,-0.058,291112282.0,291112282.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Diversified+Income+and+Growth+Trust+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Diversified+Income+and+Growth+Trust+PLC,1620586175,14:49:35,20210509
10,2010-09-30,ADIG.L,GBP,2010-09-30,2010-09-30,FY,47950000.0,0.0,0.0,0.0,0.0,2631400.0,0.0,0.0,6751400.0,0.0,4120000.0,0.0,0.0,0.0,0.0,0.8591991657977059,0.0,41198600.0,0.8591991657977059,353000.0,40845600.0,0.851837330552659,0.14,0.14,291112282.0,291112282.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Diversified+Income+and+Growth+Trust+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Diversified+Income+and+Growth+Trust+PLC,1620586175,14:49:35,20210509
11,2009-09-30,ADIG.L,GBP,2009-09-30,2009-09-30,FY,46798000.0,0.0,0.0,0.0,0.0,1495000.0,0.0,0.0,6041000.0,0.0,4546000.0,0.0,0.0,0.0,0.0,0.8709132868926023,0.0,40757000.0,0.8709132868926023,293000.0,40464000.0,0.8646523355698962,0.138,0.138,292587264.0,292587264.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Diversified+Income+and+Growth+Trust+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Diversified+Income+and+Growth+Trust+PLC,1620586175,14:49:35,20210509
12,2008-09-30,ADIG.L,GBP,2008-09-30,2008-09-30,FY,-116430000.0,0.0,0.0,0.0,0.0,993000.0,0.0,0.0,7634000.0,0.0,6641000.0,0.0,0.0,0.0,0.0,1.0655672936528386,0.0,-124064000.0,1.0655672936528386,295000.0,-124359000.0,1.0681010048956454,-0.418,-0.418,297162555.0,297162555.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Diversified+Income+and+Growth+Trust+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Diversified+Income+and+Growth+Trust+PLC,1620586175,14:49:35,20210509
13,2007-09-30,ADIG.L,GBP,2007-09-30,2007-09-30,FY,54874000.0,0.0,0.0,0.0,0.0,3002000.0,0.0,0.0,10816000.0,0.0,7814000.0,0.0,0.0,0.0,0.0,0.8028939023945767,0.0,44058000.0,0.8028939023945767,337000.0,43721000.0,0.7967525604111236,0.143,0.143,306387624.0,306387624.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Diversified+Income+and+Growth+Trust+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Diversified+Income+and+Growth+Trust+PLC,1620586175,14:49:35,20210509
14,2006-09-30,ADIG.L,GBP,2006-09-30,2006-09-30,FY,56937000.0,0.0,0.0,0.0,0.0,2875000.0,0.0,0.0,10689000.0,0.0,7814000.0,0.0,0.0,0.0,0.0,0.8122661889456768,0.0,46248000.0,0.8122661889456768,305000.0,45943000.0,0.8069093910813706,0.146,0.146,315715159.0,315715159.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Diversified+Income+and+Growth+Trust+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Diversified+Income+and+Growth+Trust+PLC,1620586175,14:49:35,20210509
15,2005-09-30,ADIG.L,GBP,2005-09-30,2005-09-30,FY,112688000.0,0.0,0.0,0.0,0.0,4518000.0,0.0,0.0,12332000.0,0.0,7814000.0,0.0,0.0,0.0,0.0,0.8905651000993895,0.0,100356000.0,0.8905651000993895,270000.0,100086000.0,0.8881691040749681,0.303,0.303,330374885.0,330374885.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Diversified+Income+and+Growth+Trust+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Diversified+Income+and+Growth+Trust+PLC,1620586175,14:49:35,20210509
16,2004-09-30,ADIG.L,GBP,2004-09-30,2004-09-30,FY,60919000.0,0.0,0.0,0.0,0.0,3570000.0,0.0,0.0,11384000.0,0.0,7814000.0,0.0,0.0,0.0,0.0,0.8131289088790032,0.0,49535000.0,0.8131289088790032,254000.0,49281000.0,0.8089594379421855,0.1418,0.1418,347578402.0,347578402.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Diversified+Income+and+Growth+Trust+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Diversified+Income+and+Growth+Trust+PLC,1620586175,14:49:35,20210509
