,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,timestamp,est_time,est_date
0,2020-03-31,ADVENZYMES.NS,INR,2020-03-31,2020-03-31,FY,4415550000,871870000,3543680000,0.8025455492520751,4670000.0,120550000,67540000,41280000.0,1751810000,2623680000,25820000,257780000,2049650000,0.46418905912060787,1791870000,0.40580901586438833,0.0,1791570000,0.40574107415837213,461080000,1292940000,0.2928151645887828,11.58,11.56,111671347,111805464,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620586207,14:50:07,20210509
1,2019-03-31,ADVENZYMES.NS,INR,2019-03-31,2019-03-31,FY,4177370000,814050000,3363320000,0.8051285856890819,4030000.0,133380000,61580000,46430000.0,1715660000,2529710000,38600000,211160000,1858820000,0.4449737514273335,1647660000,0.3944252005448404,0.0,1619640000,0.38771763094961664,460610000,1110590000,0.265858662268365,9.95,9.94,111646319,111725736,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620586207,14:50:07,20210509
2,2018-03-31,ADVENZYMES.NS,INR,2018-03-31,2018-03-31,FY,3879130000,890580000,2988550000,0.7704175936356864,4700000.0,136750000,48570000,7900000.0,1510590000,2401170000,47180000,182980000,1660940000,0.4281733275244707,1477960000,0.3810029568485717,0.0,1389670000,0.35824269874946185,454110000,900550000,0.23215257029282338,8.07,8.06,111630025,111666389,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620586207,14:50:07,20210509
3,2017-03-31,ADVENZYMES.NS,INR,2017-03-31,2017-03-31,FY,3301080000,756600000,2544480000,0.7708022828892362,0.0,92260000,48780000,19230000.0,1144710000,1901310000,39000000,122090000,1521860000,0.46101881808377865,1399770000,0.4240339525246283,0.0,1365830000,0.41375246888896966,442210000,906490000,0.27460406897136697,8.19,8.186,110693460,110726260,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620586207,14:50:07,20210509
4,2016-03-31,ADVENZYMES.NS,INR,2016-03-31,2016-03-31,FY,2926470000,682730000,2243740000,0.7667052797397548,0.0,74450000,40190000,4120000.0,932900000,1615630000,66690000,87190000,1398030000,0.47771888999374673,1310840000,0.4479253161658927,0.0,1181800000,0.4038312369510024,414340000,758490000,0.259182564659812,6.97,6.97,108850000,108850000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620586207,14:50:07,20210509
5,2015-03-31,ADVENZYMES.NS,INR,2015-03-31,2015-03-31,FY,2221170000,554230000,1666940000,0.750478351499435,0.0,96150000,29160000,17520000.0,842600000,1396830000,79600000,90170000,914510000,0.4117244515277984,824340000,0.3711287294533962,0.0,748090000,0.3367999747880622,229960000,509800000,0.22951867709360382,4.684,4.684,108850000,108850000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620586207,14:50:07,20210509
6,2014-03-31,ADVENZYMES.NS,INR,2014-03-31,2014-03-31,FY,2145280000,557130000,1588150000,0.7402996345465394,10000.0,105770000,32090000,970000.0,882900000,1440030000,89310000,99820000,805070000,0.37527502237470167,705250000,0.3287449656921241,0.0,284520000,0.13262604415274462,74470000,197370000,0.09200197643198091,1.814,1.814,108850000,108850000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620586207,14:50:07,20210509
7,2013-03-31,ADVENZYMES.NS,INR,2013-03-31,2013-03-31,FY,2194449333,609130615,1585318718,0.7224221102579451,71209.0,80607017,24016246,11200506.0,741800389,1350931004,90414788,74299697,917818026,0.41824525733991963,843518329,0.3843872429931377,0.0,773229588,0.3523570019923536,264465662,498188398,0.22702205537775338,4.676,4.676,106560470,106560470,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620586207,14:50:07,20210509
8,2012-03-31,ADVENZYMES.NS,INR,2012-03-31,2012-03-31,FY,1712611360,550450727,1162160633,0.6785898191169303,0.0,59112345,20554185,15871248.0,580155353,1130606080,117083465,54975108,636980388,0.3719351645547884,582005280,0.3398349991091966,0.0,475770446,0.2778040932765972,134923077,337546721,0.19709475768045823,3.256,3.256,103656000,103656000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620586207,14:50:07,20210509
9,2011-03-31,ADVENZYMES.NS,INR,2011-03-31,2011-03-31,FY,1161138710,531539633,629599077,0.5422255511574495,0.0,60158273,22722711,1911749.0,441744115,973283748,21487889,49848419,237703381,0.2047157492492865,187854962,0.1617851169564401,0.0,190897724,0.1644056152429885,22237963,166721511,0.14358449129647913,1.608,1.608,103656000,103656000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620586207,14:50:07,20210509
