,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,timestamp,est_time,est_date
0,2019-12-31,ALVW,USD,2020-02-21,2020-02-21 10:47:12,FY,8547600000,6963200000,1584400000,0.18536197295147175,-405000000.0,398900000.0,0.0,-42000000.0,410400000.0,7373600000,69500000.0,350600000.0,1076400000,0.12593008563807384,725800000,0.08491272403949647,-42000000.0,648400000.0,0.0758575506574945,185600000.0,461500000.0,0.05399176376994712,5.29243119266055,5.280320366132723,87200000,87400000,https://www.sec.gov/Archives/edgar/data/1034670/000156459020005667/0001564590-20-005667-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000156459020005667/alv-10k_20191231.htm,1620587271,15:07:51,20210509
1,2018-12-31,ALVW,USD,2019-02-21,2019-02-21 11:12:11,FY,8678200000,6966900000,1711300000,0.19719527090871378,-412000000.0,390300000.0,0.0,-211000000.0,401600000.0,7368500000,66100000.0,397100000.0,1083100000,0.12480698762416169,686000000,0.07904865064183816,-211000000.0,612400000.0,0.07056762923186836,234900000.0,190400000.0,0.021940033647530593,2.185993111366246,2.18098510882016,87100000,87300000,https://www.sec.gov/Archives/edgar/data/1034670/000156459019003571/0001564590-19-003571-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000156459019003571/alv-10k_20181231.htm,1620587271,15:07:51,20210509
2,2017-12-31,ALVW,USD,2018-02-22,2018-02-22 09:46:01,FY,10382600000,8233600000,2149000000,0.20698091036927166,-740000000.0,489700000.0,0.0,-31000000.0,536700000.0,8770300000,61200000.0,425800000.0,1031100000,0.09931038468206423,605300000,0.05829946256236396,0.0,506500000.0,0.048783541694758535,203500000.0,427100000.0,0.04113613160480034,4.881142857142857,4.870011402508552,87500000,87700000,https://www.sec.gov/Archives/edgar/data/1034670/000156459018002787/0001564590-18-002787-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000156459018002787/alv-10k_20171231.htm,1620587271,15:07:51,20210509
3,2016-12-31,ALVW,USD,2017-02-23,2017-02-23 06:59:31,FY,10073600000,8016600000,2057000000,0.20419710927573062,-651000000.0,476100000.0,0.0,-38000000.0,519800000.0,8536400000,62400000.0,383000000.0,1230700000,0.12217082274459974,847700000,0.08415065120711562,0.0,803800000.0,0.07979272554002541,242200000.0,567100000.0,0.05629566391359593,6.429705215419501,6.415158371040724,88200000,88400000,https://www.sec.gov/Archives/edgar/data/1034670/000119312517052888/0001193125-17-052888-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000119312517052888/d302454d10k.htm,1620587271,15:07:51,20210509
4,2015-12-31,ALVW,USD,2016-02-19,2016-02-19 11:00:07,FY,9169600000,7325500000,1844100000,0.20111019019368348,-523000000.0,411500000.0,0.0,-161000000.0,431100000.0,7756600000,65100000.0,319100000.0,1046900000,0.11417073809108358,727800000,0.07937096492758682,0.0,675700000.0,0.07368914674576862,218200000.0,456800000.0,0.04981678590123888,5.179138321995465,5.167420814479638,88200000,88400000,https://www.sec.gov/Archives/edgar/data/1034670/000119312516469305/0001193125-16-469305-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000119312516469305/d92313d10k.htm,1620587271,15:07:51,20210509
5,2014-12-31,ALVW,USD,2015-02-19,2015-02-19 08:07:11,FY,9240500000,7436700000,1803800000,0.19520588712731995,-535000000.0,414900000.0,0.0,-114000000.0,430900000.0,7867600000,63400000.0,305400000.0,1028000000,0.11124939126670634,722600000,0.07819923164330934,-114000000.0,667000000.0,0.07218224122071316,198000000.0,467800000.0,0.05062496618148368,5.079261672095548,5.062770562770563,92100000,92400000,https://www.sec.gov/Archives/edgar/data/1034670/000119312515053479/0001193125-15-053479-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000119312515053479/d820512d10k.htm,1620587271,15:07:51,20210509
6,2013-12-31,ALVW,USD,2014-02-21,2014-02-21 08:48:15,FY,8803400000,7098800000,1704600000,0.19362973396642205,-489000000.0,389900000.0,0.0,-43000000.0,410300000.0,7509100000,32900000.0,286000000.0,1047400000,0.1189767589794852,761400000,0.0864893109480428,-43000000.0,734000000.0,0.08337687711565986,244100000.0,485800000.0,0.05518322466319831,5.086910994764398,5.065693430656935,95500000,95900000,https://www.sec.gov/Archives/edgar/data/1034670/000119312514061778/0001193125-14-061778-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000119312514061778/d631733d10k.htm,1620587271,15:07:51,20210509
7,2012-12-31,ALVW,USD,2013-02-22,2013-02-22 11:59:03,FY,8266700000,6620500000,1646200000,0.1991362938052669,-455000000.0,366700000.0,0.0,-98000000.0,386900000.0,7007400000,41700000.0,273200000.0,978600000,0.11837855492518175,705400000,0.08533030108749562,-98000000.0,487600000.0,0.05898363313051157,183000000.0,483100000.0,0.05843928048677223,5.166844919786096,5.079915878023134,93500000,95100000,https://www.sec.gov/Archives/edgar/data/1034670/000119312513070928/0001193125-13-070928-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000119312513070928/d433868d10k.htm,1620587271,15:07:51,20210509
8,2011-12-31,ALVW,USD,2012-02-23,2012-02-23 14:10:09,FY,8232400000,6504500000,1727900000,0.2098901899810505,-441000000.0,368700000.0,0.0,-9000000.0,368700000.0,6873200000,62000000.0,268300000.0,1157500000,0.14060298333414314,889200000,0.10801224430299791,-9000000.0,828300000.0,0.10061464457509353,201300000.0,623400000.0,0.07572518342160245,6.988789237668161,6.653148345784419,89200000,93700000,https://www.sec.gov/Archives/edgar/data/1034670/000119312512074898/0001193125-12-074898-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000119312512074898/d222650d10k.htm,1620587271,15:07:51,20210509
9,2010-12-31,ALVW,USD,2011-02-23,2011-02-23 13:34:54,FY,7170600000,5578500000,1592100000,0.22203162915237218,-361000000.0,327200000.0,0.0,-16000000.0,327200000.0,5905700000,54300000.0,281700000.0,1150900000,0.16050260787102894,869200000,0.12121719242462277,-16000000.0,805500000.0,0.11233369592502719,210000000.0,590600000.0,0.082364097843974,6.765177548682703,6.391774891774892,87300000,92400000,https://www.sec.gov/Archives/edgar/data/1034670/000119312511043338/0001193125-11-043338-index.htm,https://www.sec.gov/Archives/edgar/data/1034670/000119312511043338/d10k.htm,1620587271,15:07:51,20210509
